source_id,usage_scope,train_dev_test_use,ood_evaluation_use,bonafide_group_provenance,spoof_voice_group_provenance,license,source_url,artifact_name,expected_size_bytes,last_modified_utc,sha256,rights_basis,status,notes
ksc_slr102,commercial_clean,product_allowed,research_only,unknown,not_applicable,CC-BY-4.0,https://openslr.trmal.net/resources/102/ISSAI_KSC_335RS_v1.1_flac.tar.gz,ISSAI_KSC_335RS_v1.1_flac.tar.gz,19092377812,2022-02-14T11:38:18Z,a200aa3ab6b0284a7241ac357951fa5422f6fea855a30c1ab2fa1559c3f0d149,OpenSLR SLR102 lists CC-BY-4.0,verified,Verified 2026-08-09: exact expected size and gzip CRC; archive contains paired audio transcripts and source metadata. Retain attribution. No verified speaker group.
ksc_derived_kk_v1,personal_research,research_only,research_only,not_applicable,unknown,"KSC text CC-BY-4.0; Piper voice CC-BY-4.0; MMS-TTS model CC-BY-NC-4.0; piper-tts GPL-3.0-or-later",https://huggingface.co/rhasspy/piper-voices/tree/ea046e8458f6acd997706d6e6066a022b42f6fb1/kk/kk_KZ/issai/high,ksc_derived_kk_v1_models.json,4685,2026-08-10T00:00:00Z,0b47a62fe467f7bfe95724a366e0a223ae28a7a14510acc7bb3936702f1c8d9f,"Pinned model lock plus verified local Piper/MMS files; generated only from verified KSC transcripts for personal research",verified,Verified 2026-08-10: model lock pins 273106664 bytes across Piper six-voice kk_KZ-issai-high CC-BY-4.0 and Meta MMS-TTS Kazakh CC-BY-NC-4.0. Local bundle SHA/size validation is mandatory before generation. Derived synthetic rows are research-only and not product/speaker-independent evidence; no voice cloning.
ksc_derived_kk_v2_kazemotts,personal_research,research_only,research_only,not_applicable,unknown,"KSC text CC-BY-4.0; KazEmoTTS model CC-BY-4.0",https://github.com/IS2AI/KazEmoTTS/tree/0db250b2ebd95c0de7f8fb7ccba9fd65d4815115,kazemotts_kk_v1_models.json,3723,2026-08-10T00:00:00Z,a88c900f2217f49f129087012095b4c8cc99f7da4d9bae568ff9e95fe6d5e67b,"Official ISSAI KazEmoTTS model/source; locked local inference only; no voice cloning",verified,Verified locally 2026-08-10: source and checkpoint archives match the exact lock (248377435 bytes total); both ZIP CRC checks passed; extracted Grad-TTS and HiFi-GAN members match inner SHA-256 and load only with torch weights_only=True. Research-only; fixed pretrained profiles are not verified voice groups and no cloning is permitted.
ksc_derived_kk_v3_sparktts,personal_research,research_only,research_only,not_applicable,unknown,"KSC text CC-BY-4.0; Spark-TTS-Kazakh model CC-BY-NC-SA-4.0; Spark-TTS source Apache-2.0",https://huggingface.co/ErnarBahat/Spark-TTS-Kazakh/tree/bd0572a9bf744cb4cf9ab1c7a67bd182fde0c367,sparktts_kk_v1_models.json,5752,2026-08-10T00:00:00Z,bc0febaf0f4b0113d21df3583add2ae60106cc0f315148eaf52f81bc6f9e1c45,"Pinned Kazakh Spark-TTS LLM + BiCodec controlled inference; no reference audio or voice cloning",verified,Verified locally 2026-08-10: all 1861074893 locked source and model bytes match exact size/SHA-256. The runtime extracts only the audited BiCodec detokenization source closure and does not load wav2vec2/reference-audio code; LLM and BiCodec weights are safetensors. Research-only; virtual controls are not verified voice groups.
ksc_derived_kk_v4_espeakng,personal_research,research_only,research_only,not_applicable,not_applicable,"KSC text CC-BY-4.0; eSpeak NG GPL-3.0-or-later",https://github.com/espeak-ng/espeak-ng/tree/4870adfa25b1a32b4361592f1be8a40337c58d6c,espeakng_kk_v1_models.json,4053,2026-08-10T00:00:00Z,9f874fa0508a1994bdde244eb9b7542b8bb60cd3bbac3e28aba27c4c62c0f872,"Pinned eSpeak NG 1.52.0 Kazakh formant runtime; text-only local synthesis with no reference audio",verified,Verified locally 2026-08-10: all 29248111 locked source/package bytes match exact size/SHA-256. Debian payload extraction rejects escaping paths and unsafe member types; the extracted pinned binary generated a non-empty 22050 Hz PCM Kazakh WAV with the bundled kk language data. Research-only stress source; profiles are deterministic parameters, not speaker or voice identities.
fresh_suite_v1_kazakhtts_tacotron2_pwg,personal_research,research_only,research_only,not_applicable,unknown,"FLEURS/KSC2 CC-BY-4.0; ISSAI Kazakh_TTS model CC-BY-4.0; ESPnet Apache-2.0; ParallelWaveGAN MIT",https://github.com/IS2AI/Kazakh_TTS/tree/fc906048ff5914a3528d1ae4ed6f7ccd94d71383,kazakhtts_tacotron2_pwg_v1_models.json,4282,2026-08-12T00:00:00Z,1ee5150c1c9c5f69b33cc4a4a67148904079651830b0a144f8647af10c8cf68e,"Pinned FLEURS/KSC2 transcript derivatives and official ISSAI fixed-voice pretrained Tacotron2/ParallelWaveGAN artifacts; exact local text-only route; no reference audio or voice cloning",verified,"Verified locally 2026-08-12: all 122908306 source/model archive bytes and six required inner members match exact size/SHA-256; ZIP CRC and config-route checks passed. CUDA smoke and two-listener language gate passed for KK/RU/mixed without detector inference. Exact route is unseen across stored manifests, but the fixed ISSAI_KazakhTTS2_M2 speaker alias overlaps earlier Piper evaluation rows, so no speaker-independence claim is allowed. Frozen selection binds FLEURS/KSC2 CC-BY-4.0 inputs; derivatives remain personal research and require full-asset review."
fleurs_ru_v1_espeakng,personal_research,research_only,research_only,not_applicable,not_applicable,"FLEURS CC-BY-4.0; eSpeak NG GPL-3.0-or-later",https://github.com/espeak-ng/espeak-ng/tree/4870adfa25b1a32b4361592f1be8a40337c58d6c,espeakng_ru_v1_models.json,29248111,2026-08-11T00:00:00Z,6e84fc467f65bda1a581a0bff3779f5b04337289325e63bda40667e1ff629825,"Pinned eSpeak NG 1.52.0 Russian formant runtime reusing an exact verified local package bundle; text-only FLEURS transcript synthesis with no reference audio",verified,The Russian lock pins the same six source/runtime artifacts already verified locally for eSpeak NG 1.52.0; the package contains lang/zle/ru and ru_dict. No voice cloning or speaker identity claim; generated clips remain personal-research-only and require separate QA/acoustic review.
common_voice_ru_v24,personal_research,research_only,research_only,source_provided,not_applicable,CC0-1.0,https://dev.mozilladatacollective.com/datasets/cmj8l8ct700o5nlovbdnv58yr,cv-corpus-24.0-2025-12-05-ru.tar.gz,7008716262,,9a2ed32a0574f74f505cd7740a599f0b9edc9f52ba1e7d6624b66f258db4c0ea,"Common Voice RU v24, CC0-1.0; owner-authorized personal research; no speaker identification or re-hosting",owner_authorized_personal_research,Verified locally 2026-08-09 and rechecked 2026-08-13: exact size/SHA-256 and gzip CRC. Archive is retained outside the repository. client_id is source-provided, not a verified product speaker group.
voxforge_ru_mdc_2026_05,personal_research,research_only,research_only,source_provided,not_applicable,GPL-3.0-or-later,https://mozilladatacollective.com/datasets/cmp2h1zvg00n0mp07wrjxow3l,voxforge-russian-9a8495d3.tar.gz,3795197539,,7372c6f8d067b8d1651995ad8306b673acaf2cde705ee51295152b96c93de557,"Mozilla Data Collective VoxForge Russian dataset card declares GPL-3.0; the exact archive contains per-submission GPL-3.0-or-later notices and GNU GPL v3 texts",verified,"Verified locally 2026-08-13: exact size/SHA-256, gzip CRC, safe TAR paths and all 644 submissions/6412 WAV-to-PROMPTS/prompts-original bindings. This source-level receipt does not authorize extraction, selection, synthetic pairing, training, calibration, detector inference, re-hosting or product use. Contributor identifiers are source-provided conservative groups, not verified human speaker identities."
stage_d_ru_dialogs_vits2_masha_neutral_v1,personal_research,research_only,research_only,not_applicable,source_provided,"Dialogs-RU model card OpenRAIL declaration; Dialogs dataset OpenRAIL license",https://huggingface.co/frappuccino/dialogs-ru-vits2/tree/af7eabc15d087fce701de7261190ccb747c3bc7a,dialogs_ru_vits2_masha_neutral_v1_artifact_lock.json,3185,2026-08-13T00:00:00Z,3979afb3efc3c96434011cbdf0a374ba875e992b440cc0fba0aa81f146153c6b,"Pinned Dialogs-RU text-only fixed Masha/neutral checkpoint and locked runtime; no reference audio, cloning, or random profile",verified,"Verified locally 2026-08-13: all 15 locked model/runtime/rights bytes (529698251 total) match size/SHA-256; checkpoint is accepted only by torch.load(weights_only=True) with an exact tensor-only state dictionary. The model repository omits a LICENSE file at this revision; the model card declares OpenRAIL and the pinned training-dataset OpenRAIL license explicitly covers trained models and outputs. Full audit of 53 historical spoof manifests / 18422 rows found zero exact-route and zero Masha-alias overlap. Generic RuASD vits2TTS prevents architecture-family novelty; no speaker-independent claim. Not authorized for training, calibration or detector inference."
ml_df_it_v1,personal_research,prohibited,research_only,source_provided,source_provided,CC-BY-4.0,https://zenodo.org/records/17098081,dataset_IT.7z,1485098719,2026-06-16T12:51:59Z,e4155164722998c334de06a85ddfcb051720e3a8ba0673ea2d9751f5eef5ecec,"ML-DF v1 official record: CC-BY-4.0; derived from MLS under CC-BY-4.0",verified,Verified locally 2026-08-09: exact size; official MD5 c3ce93f9566605e0a5ad2e3cda099d7d. Italian cross-lingual bona-fide/spoof OOD only; not Russian or Kazakh and not eligible for B0 train/dev/test because metadata has only two source speaker pseudo-IDs.
