sample_id,relative_path,sha256,split,label,language,code_switch,parent_group_id,source_name,source_license,rights_basis,speaker_pseudo_id,text_id,text_hash,duration_s,generator_family,generator_name,generator_version,voice_id,clone_consent_id,device,capture_route,original_sr,codec,augmentation_chain,augmentation_seed,created_at
common_voice_ru_v24:common_voice_ru_21355418,processed/f3/f3e309db650f1c1af6f9db0c4b25fde104f5392df320c493fd4cdb259e562304.wav,a67c2ff73809297fa05b9fd400a69037793a00665945971e243a99be26715f6c,train,bonafide,ru,unknown,common_voice_ru_v24:client:90fdcfc58fa2ad4fb15195a34bbc4f9aaa4a6e20e9d4ea897e3d42574cb7417313fec0fe97f83cef51898aa909f37380f0653307a686eb5ce909c764ab7f3521,common_voice_ru_v24,CC0-1.0,"Common Voice RU v24, CC0-1.0; owner-authorized personal research; no speaker identification or re-hosting",common_voice_ru_v24:client:90fdcfc58fa2ad4fb15195a34bbc4f9aaa4a6e20e9d4ea897e3d42574cb7417313fec0fe97f83cef51898aa909f37380f0653307a686eb5ce909c764ab7f3521,66d9b564fa3cd6a03b93e22c0ca1370fe592f4cf8bcf0361fdf77fb274bf6cec,56082d036e4614d9d77f36eb7c33b180149ccd434491f2a6600adb6978e69a46,5.496,,,,,,unknown,crowdsourced_web_recording,48000,wav,,,2026-08-09T00:00:00Z
common_voice_ru_v24:common_voice_ru_35644456,processed/4b/4b8ec2b6a4b4e25ccfb15ff898973a3695cf7dcff86b60bf1feedbfb0ce689a0.wav,5db93155101ff2a157b9605e85294f89f0bf9c32cfa0ab4e438586cee1409405,train,bonafide,ru,unknown,common_voice_ru_v24:client:98d149ee58208dafe78d88c7124fcff4222eaf14f281cc92a4166a621cb04845152803c0f793eb75b0d7c5ae96f67494b40d5d278e36c9bb7d1a8e2bd8bd63bb,common_voice_ru_v24,CC0-1.0,"Common Voice RU v24, CC0-1.0; owner-authorized personal research; no speaker identification or re-hosting",common_voice_ru_v24:client:98d149ee58208dafe78d88c7124fcff4222eaf14f281cc92a4166a621cb04845152803c0f793eb75b0d7c5ae96f67494b40d5d278e36c9bb7d1a8e2bd8bd63bb,27cdd4a898b31b9865833922bfa426e4d26f50ef5aeb0c32fe3380e33f392064,36ec10d52db14f3d555308e3c95e44e8079dc2f7e78d15c56c5942acc88d5d19,4.896,,,,,,unknown,crowdsourced_web_recording,32000,wav,,,2026-08-09T00:00:00Z
common_voice_ru_v24:common_voice_ru_19545737,processed/f8/f88188bb3ffe390b2e37301ec993e8fb1192cb60f31f964095f7c10d943f9c7a.wav,37e51e5d598770bfb1c02cb912af5eaeec6e7957ab1ec47842cac8b1cc60929b,train,bonafide,ru,unknown,common_voice_ru_v24:client:6d58a8224aa01f8dc850119bbf710ddbd3c43c554fadca19d74e65967f8f743dcd35b77269bc007ac86717b69875126ad837ebde8ab79f3790ef7bff2d34592f,common_voice_ru_v24,CC0-1.0,"Common Voice RU v24, CC0-1.0; owner-authorized personal research; no speaker identification or re-hosting",common_voice_ru_v24:client:6d58a8224aa01f8dc850119bbf710ddbd3c43c554fadca19d74e65967f8f743dcd35b77269bc007ac86717b69875126ad837ebde8ab79f3790ef7bff2d34592f,80bb48aba19a60af5da48cf16d00d1d721b7fc199bfca326ea2301a503ecd028,7ee65074313bd873727f270cf2f97824a9d8f6b26a31f7a9ad8d278e53356211,4.824,,,,,,unknown,crowdsourced_web_recording,48000,wav,,,2026-08-09T00:00:00Z
common_voice_ru_v24:common_voice_ru_21292262,processed/51/51e514ac96a476858306dcdf077899ea1ba707758426701cad1b1708ea6e66a1.wav,ebd0de74e6bbf0ca8d07bb4e8f8275b4b5d7316b5d60eb76c12e36e234d47cc2,train,bonafide,ru,unknown,common_voice_ru_v24:client:2b2d8b79e4878e0e79fd736cc2b9d736df1f4260f13f5903bc2c8f1b8da63bb85cda38f517ff6786552d80607c637de73d39721e127cc49913fc8b455693998c,common_voice_ru_v24,CC0-1.0,"Common Voice RU v24, CC0-1.0; owner-authorized personal research; no speaker identification or re-hosting",common_voice_ru_v24:client:2b2d8b79e4878e0e79fd736cc2b9d736df1f4260f13f5903bc2c8f1b8da63bb85cda38f517ff6786552d80607c637de73d39721e127cc49913fc8b455693998c,6096b5da40ebaceb7e6279215f656f78b221237f5f90447e5c16bdba64a92867,d1e4ef6d3f3245b5982b10a17e7bec2c11264a9fa6cd734dfe41d8831bacf3e7,5.736,,,,,,unknown,crowdsourced_web_recording,48000,wav,,,2026-08-09T00:00:00Z
common_voice_ru_v24:common_voice_ru_19057090,processed/7c/7c83b1e9f8d7a3554bd7a86a66c4db840459356c299e915937e0717d703cae47.wav,185c015da7b3ec7f3ba8f6707700639281ecd35c1a9a5296c68e3057d859f314,dev,bonafide,ru,unknown,common_voice_ru_v24:client:febde09af3e02af6f37f0aca729a88842933b118fbf25c5a81dc91a1bc0c1f9123aca01fe0a4ecf2a22e2e55dd0da3012263ed330e2fbec5247525e18cf19cfc,common_voice_ru_v24,CC0-1.0,"Common Voice RU v24, CC0-1.0; owner-authorized personal research; no speaker identification or re-hosting",common_voice_ru_v24:client:febde09af3e02af6f37f0aca729a88842933b118fbf25c5a81dc91a1bc0c1f9123aca01fe0a4ecf2a22e2e55dd0da3012263ed330e2fbec5247525e18cf19cfc,75f94ad8926f5c8d5d10bd1a8231bf20ee5bb0d520904571e185b5cd788daf42,7cf7d4d1da26227e6c9ef0519bb820609ee9131493b592b5fff3b1cb13157283,10.368,,,,,,unknown,crowdsourced_web_recording,48000,wav,,,2026-08-09T00:00:00Z
common_voice_ru_v24:common_voice_ru_25786407,processed/22/22e992a33d41a519687cb73e423da9b0a413a363c7dd3566858978fcdc00a140.wav,8a72d1aca672c22b5798b7ca225049f78c53d080a42c77c533958826bb2b1bee,train,bonafide,ru,unknown,common_voice_ru_v24:client:6c21a53b87a8769d468b06d610a18057d3b9b56fd047d41d6ff6d5e01b56d642b7f30fe7db8dd58871821e8d70797330f5c02ad140c671ace946ca617d04018e,common_voice_ru_v24,CC0-1.0,"Common Voice RU v24, CC0-1.0; owner-authorized personal research; no speaker identification or re-hosting",common_voice_ru_v24:client:6c21a53b87a8769d468b06d610a18057d3b9b56fd047d41d6ff6d5e01b56d642b7f30fe7db8dd58871821e8d70797330f5c02ad140c671ace946ca617d04018e,30e62d42139eb4c5ebaf9546be1e5b81f3aed4436e00126c8cf1cc50065043ba,a4534f41e9192ba14817cf14041d80b8d1da3c2e7a3b4899f27a6ead4b0d0d90,5.76,,,,,,unknown,crowdsourced_web_recording,32000,wav,,,2026-08-09T00:00:00Z
common_voice_ru_v24:common_voice_ru_22715035,processed/b0/b085710993cca9f9d292a1c60ad3dcf3afd77c4554549f7677235fbc4e4fe8e6.wav,8c82a9da03bbeae84db62f782a112bf4f5abb1ab69c0a5752c21f65a2185bd4a,train,bonafide,ru,unknown,common_voice_ru_v24:client:07cf6bcb427d5c4fc59874d66193ddb6aff75426a5d10252b73ba5686c8b6f256bcda9e8b9364576f4e9478449f6321ea912ae76ab692d40add648c01e15af98,common_voice_ru_v24,CC0-1.0,"Common Voice RU v24, CC0-1.0; owner-authorized personal research; no speaker identification or re-hosting",common_voice_ru_v24:client:07cf6bcb427d5c4fc59874d66193ddb6aff75426a5d10252b73ba5686c8b6f256bcda9e8b9364576f4e9478449f6321ea912ae76ab692d40add648c01e15af98,bc975fef303e3c6932e30fe21804d9d005422672474f1e049037b87896462261,a638fc8a0b94a9ef0f2c38cd02467f864b13b81e73fc035267bc93dac611da65,5.112,,,,,,unknown,crowdsourced_web_recording,48000,wav,,,2026-08-09T00:00:00Z
common_voice_ru_v24:common_voice_ru_20399269,processed/2f/2f102223f233cafa3979f53f5ef30e90e8303b507caea977cb0b131ba3934218.wav,b20c4d238241aa3677e6721c3411b901450aff3d556406bf86b5b4c2b166c57e,train,bonafide,ru,unknown,common_voice_ru_v24:client:e7dc57575b1f615ed4875c345c2be6a8801139b9e546448f51797d62a4ea43272ca44b7989afb7512484f7b8fdd6c9175822017e43dc1a088acb26638c8cec40,common_voice_ru_v24,CC0-1.0,"Common Voice RU v24, CC0-1.0; owner-authorized personal research; no speaker identification or re-hosting",common_voice_ru_v24:client:e7dc57575b1f615ed4875c345c2be6a8801139b9e546448f51797d62a4ea43272ca44b7989afb7512484f7b8fdd6c9175822017e43dc1a088acb26638c8cec40,7aa9046d016a6c2583ec6332a464eeeb237f343f008479d027f039d0f454b047,6c4e901329e3861f885c8c7da80669598f2d7f0330dbc80c10fdad91a4cf0876,4.536,,,,,,unknown,crowdsourced_web_recording,48000,wav,,,2026-08-09T00:00:00Z
common_voice_ru_v24:common_voice_ru_22514444,processed/e5/e5d617e86fcc342f4e7cb837e5c99a6477964eead9c9b665ebc29b6b87872270.wav,742eb2d9b32b8e4204e5ebfed451f9df77fd9a7e81e422e05f2e21261b5a8307,train,bonafide,ru,unknown,common_voice_ru_v24:client:51ed0b6eb752fd265fd3ae31311619af39c76268ed300de98eaa8f4d3bc0093a7a7350893b8de44318de2b7efc1c0cdf99c7dc6fa248107b89922d203f43dbf1,common_voice_ru_v24,CC0-1.0,"Common Voice RU v24, CC0-1.0; owner-authorized personal research; no speaker identification or re-hosting",common_voice_ru_v24:client:51ed0b6eb752fd265fd3ae31311619af39c76268ed300de98eaa8f4d3bc0093a7a7350893b8de44318de2b7efc1c0cdf99c7dc6fa248107b89922d203f43dbf1,ddb25d44833ee4710504ed64c3829c872f25da7e6a04871b44c60dc28b716c49,39823b1cfb2404fe4216f2ee4e8756e2ca617ca2af0ece66093e605f12fcb19f,6.984,,,,,,unknown,crowdsourced_web_recording,48000,wav,,,2026-08-09T00:00:00Z
common_voice_ru_v24:common_voice_ru_25166807,processed/8a/8a2537534c25371a32687d9a43ff061f4d604276fb5eddd43e82f2ce57c91d96.wav,18aa2371bb1819414ac1eaaeb2149b76c49d1c7be73b800d19773caa10ac35c0,train,bonafide,ru,unknown,common_voice_ru_v24:client:a37e1164d9e655e4ac1c9ed42bc2322c2ce5e61239d035ec3e20b466180ec2b0b24f08f2b7f89e09f6720e81cd7e4d0d5300ff5bcdbc3e6eee69d07c58523b39,common_voice_ru_v24,CC0-1.0,"Common Voice RU v24, CC0-1.0; owner-authorized personal research; no speaker identification or re-hosting",common_voice_ru_v24:client:a37e1164d9e655e4ac1c9ed42bc2322c2ce5e61239d035ec3e20b466180ec2b0b24f08f2b7f89e09f6720e81cd7e4d0d5300ff5bcdbc3e6eee69d07c58523b39,136d6290ff29844dffe403eb0eba67d445c33082ee6f63d5d763acf32a2ef2c9,28b8e5cfcd98733beb869cad2f6b36a799229ec28748c16d40e6fec7bdf9cbf3,6.912,,,,,,unknown,crowdsourced_web_recording,32000,wav,,,2026-08-09T00:00:00Z
