protocol_id,text_hash,label,sample_id,relative_path,audio_sha256,input_transcript
common-voice-ru-v24-silero-v5-5-eugene-pre-qa-acoustic-gate-v1,05ba954f2ec2d4005b9de4bea7aca19daa695bf1177f484d00708ae32a8e233f,bonafide,common_voice_ru_v24:common_voice_ru_20388721,processed/b1/b1fda6d5bf6f21558c8812bfe6ea541b7f972903b5854f72efec29a16e00391a.wav,8a18c4c8c5161029dfe4ebb8b8af21f4a9f65afad6ba364bb87e04d441f8cd6f,Соединенные Штаты с нетерпением ждут их скорейшего осуществления.
common-voice-ru-v24-silero-v5-5-eugene-pre-qa-acoustic-gate-v1,05ba954f2ec2d4005b9de4bea7aca19daa695bf1177f484d00708ae32a8e233f,spoof,silero_v5_5_ru_eugene_v1:3dc50acc48aaa48c,processed/fe/fe338718cbc81a8594b9b00eda4547f5694861e468cfbfdabd8c0bb01abbada4.wav,518c33ee22a66944a198f4235d8825cdcd4348e206e5731ff5e6d9eae02ad1d6,Соединенные Штаты с нетерпением ждут их скорейшего осуществления.
common-voice-ru-v24-silero-v5-5-eugene-pre-qa-acoustic-gate-v1,0670aff216165eb4166a1612e19e69bace851ab8acbdf8d195a9657cf49dad20,bonafide,common_voice_ru_v24:common_voice_ru_24599764,processed/36/366916742e5ab73702c1a968b6fb0fe20caf4d71ce8923a46897007b2854f2fc.wav,eab913d86a6d170bd5ebcfb914b32c34fde564107f1c2bb6823eb5bb5608c240,"Конечно, будучи неофициальным, он будет наличествовать только на английском языке."
common-voice-ru-v24-silero-v5-5-eugene-pre-qa-acoustic-gate-v1,0670aff216165eb4166a1612e19e69bace851ab8acbdf8d195a9657cf49dad20,spoof,silero_v5_5_ru_eugene_v1:e1a016ab5acea953,processed/d7/d7bab52c03b7271f41f2cb48d64abffa544e8fe00e0f821af26f6464dcae92a3.wav,66258d03641b9cae6b26d406e0964548fe9c445fe2a0dd1698cee5a5bd9889c1,"Конечно, будучи неофициальным, он будет наличествовать только на английском языке."
common-voice-ru-v24-silero-v5-5-eugene-pre-qa-acoustic-gate-v1,0803fe1f49cc9bae6873c37747bdf17fd5922e6ace734eacdd9487933dcf982b,bonafide,common_voice_ru_v24:common_voice_ru_41961959,processed/fa/fa02b8e6ed48c9781c71058199c1bcc780964b0048d834231a36c0074b464a19.wav,8e0634b8369f345edfaea2e831652b6fea4176a14f7e76c851f9f89d440bfc93,"Абак позволяет выполнять базовые арифметические операции, такие как сложение, вычитание, умножение и деление."
common-voice-ru-v24-silero-v5-5-eugene-pre-qa-acoustic-gate-v1,0803fe1f49cc9bae6873c37747bdf17fd5922e6ace734eacdd9487933dcf982b,spoof,silero_v5_5_ru_eugene_v1:3667a277c2b2df25,processed/93/937b240f622fae762be9e3562613b37b84f97642703616c974f37a1d3a19b0ec.wav,3bad6892d5c20132d9538b4c07ced93b3e12ba3eb3d084db2f31159814b9b963,"Абак позволяет выполнять базовые арифметические операции, такие как сложение, вычитание, умножение и деление."
common-voice-ru-v24-silero-v5-5-eugene-pre-qa-acoustic-gate-v1,17808c42e7306c9566474bcdf60c4b73d913fcbd39aa152fbcaddbb3f6a9b413,bonafide,common_voice_ru_v24:common_voice_ru_31506078,processed/ea/eac5e258c077f92c103a254ef01380726dd007626239427f822a1b5f453a99d4.wav,e22f19098df32fcc07485015f906082936c9eeef6d930f884561a89e12f588ab,Мучительное состояние Вронского после последней сцены.
common-voice-ru-v24-silero-v5-5-eugene-pre-qa-acoustic-gate-v1,17808c42e7306c9566474bcdf60c4b73d913fcbd39aa152fbcaddbb3f6a9b413,spoof,silero_v5_5_ru_eugene_v1:7e20e077680999bb,processed/e3/e3536ff00a9239f140d6c0d3e89e961edd6eb65d43747b038237d9992936423c.wav,e78afe2300ca681d7f0e5b9f00da4f5244f796ff4d4c29680f691d53e8fa189c,Мучительное состояние Вронского после последней сцены.
common-voice-ru-v24-silero-v5-5-eugene-pre-qa-acoustic-gate-v1,184068519989d6e722a2df30afc9afce453a5b98b3a08a272ecc8cdae9e69fee,bonafide,common_voice_ru_v24:common_voice_ru_26888875,processed/e4/e40b934d119a861dadcbf48a20fb690149c9889d990d9e48768ee4682affd2f8.wav,d84f02b1305e92b3c7c236c2a10c20e177bfcb9522280c106076397854dcdc0c,Затем Комитет представит Ассамблее второй доклад по этим полномочиям.
common-voice-ru-v24-silero-v5-5-eugene-pre-qa-acoustic-gate-v1,184068519989d6e722a2df30afc9afce453a5b98b3a08a272ecc8cdae9e69fee,spoof,silero_v5_5_ru_eugene_v1:bcfcb25a23f76218,processed/30/3032e9cc1e069fb632dcd1f22a5809fcbc608ac92c9a8621ec900b074f75f784.wav,2a9b43d79e88177313a015c69dfd125e7cea726254fdc1cb506b933a13f7dc74,Затем Комитет представит Ассамблее второй доклад по этим полномочиям.
common-voice-ru-v24-silero-v5-5-eugene-pre-qa-acoustic-gate-v1,1bf41d25bb86d7c385d9eaeac65fbad4faace8360745905b1061bad6f7bd5ac8,bonafide,common_voice_ru_v24:common_voice_ru_25542082,processed/2c/2cf74c0186fc35c078a05ccb91e9bc843b2feb05601f8f1423ecc6ab0aa797ea.wav,7c74e7639e59a7f6e848854fac9f209fbc025ac1bd8e7799f01f6aaa13ce2486,"Но на этот раз, к удивлению моему, я застал его в чрезвычайной перемене."
common-voice-ru-v24-silero-v5-5-eugene-pre-qa-acoustic-gate-v1,1bf41d25bb86d7c385d9eaeac65fbad4faace8360745905b1061bad6f7bd5ac8,spoof,silero_v5_5_ru_eugene_v1:a7b5df72960225d2,processed/f0/f036376e3fe5f380af26f1c18884a50726ba37101af5377ea82ffa1f0e187d64.wav,1dd43f15a43c4c7c4c00ef2b3a3faf803109122c4ea78e87db2b040a0acdf8f7,"Но на этот раз, к удивлению моему, я застал его в чрезвычайной перемене."
common-voice-ru-v24-silero-v5-5-eugene-pre-qa-acoustic-gate-v1,289a5878e3bbbb8018e2a8a85bc40a70e6e37cb42f486b45e546fbf9b93a6764,bonafide,common_voice_ru_v24:common_voice_ru_20536932,processed/b7/b7f54592767a7dd689b41611bd27ea835efc2bbb34ecf27f10b0548e77b21239.wav,c7a31ff188cb506f4ccdd3a8b7ad3ebd74cd3adbf80e6aa3ea084f12a696d5d3,Такая ответственность выходит далеко за рамки Конференции по разоружению.
common-voice-ru-v24-silero-v5-5-eugene-pre-qa-acoustic-gate-v1,289a5878e3bbbb8018e2a8a85bc40a70e6e37cb42f486b45e546fbf9b93a6764,spoof,silero_v5_5_ru_eugene_v1:3446477bc43cf913,processed/ea/ea1fbc021e86c94fef9fecc36991fafcbae1c32838dd128a1aa91163a5624c4f.wav,7d1ff4decf2386c995184ae2c0cc5df33bf2d34d4b24dce3c931ad3403dae5a4,Такая ответственность выходит далеко за рамки Конференции по разоружению.
common-voice-ru-v24-silero-v5-5-eugene-pre-qa-acoustic-gate-v1,35d55aa0f07f0ea9df5c15a0eee47b90fc7c59a1715ff843ee3c130c62e36b2d,bonafide,common_voice_ru_v24:common_voice_ru_30542884,processed/eb/eb5625b2f885b445f597b3451216c30c63820045d16f2fc3d459619d93c11d2b.wav,6ec2357af6b8f13b25e6208dd6fff1c12f51cbaf2981c6e797974432934c5211,"Я, говорит, люблю, чтобы от женщины женщиной пахло!"
common-voice-ru-v24-silero-v5-5-eugene-pre-qa-acoustic-gate-v1,35d55aa0f07f0ea9df5c15a0eee47b90fc7c59a1715ff843ee3c130c62e36b2d,spoof,silero_v5_5_ru_eugene_v1:da78992ccc8a130b,processed/93/939cf790f0f6dd6350d17f134792456e269aa56c80829225dd8752320e249f26.wav,ddb1f137a8b572577a29cc24dda5fba88e4311f6f060a64763a59decf849c393,"Я, говорит, люблю, чтобы от женщины женщиной пахло!"
common-voice-ru-v24-silero-v5-5-eugene-pre-qa-acoustic-gate-v1,3833dfcacf3d494d8c8b577fc937ff5edee24d6af1488ce7be7bf6ac6b068cbc,bonafide,common_voice_ru_v24:common_voice_ru_26853053,processed/60/605d5d3c8a058cf877b5ef9b1b4ca6fe59912b4b3d9af61b6428be90721c0c0e.wav,5d019c8ad74c1569e75eaefec6ada11fcf44cf699186cac7a3f19c16b9f1059f,Очень важно ориентировать наши обсуждения на достижение общей цели укрепления этого органа.
common-voice-ru-v24-silero-v5-5-eugene-pre-qa-acoustic-gate-v1,3833dfcacf3d494d8c8b577fc937ff5edee24d6af1488ce7be7bf6ac6b068cbc,spoof,silero_v5_5_ru_eugene_v1:63b197dc5144f75b,processed/1b/1b251a6a5755f22e14975a7013f74a23ce9fca4a22812546612f64cd6fb4bcb0.wav,25ed1022d53532fb8bbbe94127b4438cd0d36e213f1bc75d32807ce87f855c01,Очень важно ориентировать наши обсуждения на достижение общей цели укрепления этого органа.
common-voice-ru-v24-silero-v5-5-eugene-pre-qa-acoustic-gate-v1,3cbc28d97bfe4b725ad51d2f1512712ffd4192d3d07ace59d8fdf03d9343d698,bonafide,common_voice_ru_v24:common_voice_ru_28761513,processed/ec/ec2fb68747e1cd05976c691b361adbcf13f3f01c5229d48888b460bce1d32dcf.wav,abe9b2cd0c6b1e9e0187969a9441b2a76c3e7f1f9a45b91eb5bb8d6a5c608ee1,"Нет, я не вижу, почему это не может быть новая сила, если она...."
common-voice-ru-v24-silero-v5-5-eugene-pre-qa-acoustic-gate-v1,3cbc28d97bfe4b725ad51d2f1512712ffd4192d3d07ace59d8fdf03d9343d698,spoof,silero_v5_5_ru_eugene_v1:c7e6bd489ecb826f,processed/7c/7c5162ea5f57ee5df6523daa49715922492f9d9f23cf79aaeafbaea600e82264.wav,77cbf8b08b5319cad97d7194d46722359b9a3bbd925fefd48ed10855c435692d,"Нет, я не вижу, почему это не может быть новая сила, если она...."
common-voice-ru-v24-silero-v5-5-eugene-pre-qa-acoustic-gate-v1,3edf55c39890d79be8210bcbabf383357fb8a491b98d7b8c9788c2f23925acec,bonafide,common_voice_ru_v24:common_voice_ru_25474679,processed/68/68f67a0edcf68f2562d3efb3453849d3da1b2d9142d18b2bafc7203bea024abe.wav,78c8c1bc045740fc483b7d060c19675ebe9b0ba0366bc3af6ed17ab766dd7258,"Мы считаем, что для достижения нашей цели эти консультации следует активизировать."
