protocol_id,packet_sha256,text_hash,label,sample_id,audio_sha256,reviewer_pseudo_id,review_status,intelligible,russian_audible,lexical_content_preserved,severe_artifacts_absent,notes
common-voice-ru-v24-silero-v5-5-eugene-pre-qa-acoustic-gate-v1,3cf55fd48b6bf81ae593661df2a40b4b9e4fb11eb238ca1fce553dea1a3f29f7,05ba954f2ec2d4005b9de4bea7aca19daa695bf1177f484d00708ae32a8e233f,bonafide,common_voice_ru_v24:common_voice_ru_20388721,8a18c4c8c5161029dfe4ebb8b8af21f4a9f65afad6ba364bb87e04d441f8cd6f,reviewer_2,pass,yes,yes,yes,yes,
common-voice-ru-v24-silero-v5-5-eugene-pre-qa-acoustic-gate-v1,3cf55fd48b6bf81ae593661df2a40b4b9e4fb11eb238ca1fce553dea1a3f29f7,05ba954f2ec2d4005b9de4bea7aca19daa695bf1177f484d00708ae32a8e233f,spoof,silero_v5_5_ru_eugene_v1:3dc50acc48aaa48c,518c33ee22a66944a198f4235d8825cdcd4348e206e5731ff5e6d9eae02ad1d6,reviewer_2,pass,yes,yes,yes,yes,
common-voice-ru-v24-silero-v5-5-eugene-pre-qa-acoustic-gate-v1,3cf55fd48b6bf81ae593661df2a40b4b9e4fb11eb238ca1fce553dea1a3f29f7,0670aff216165eb4166a1612e19e69bace851ab8acbdf8d195a9657cf49dad20,bonafide,common_voice_ru_v24:common_voice_ru_24599764,eab913d86a6d170bd5ebcfb914b32c34fde564107f1c2bb6823eb5bb5608c240,reviewer_2,pass,yes,yes,yes,yes,
common-voice-ru-v24-silero-v5-5-eugene-pre-qa-acoustic-gate-v1,3cf55fd48b6bf81ae593661df2a40b4b9e4fb11eb238ca1fce553dea1a3f29f7,0670aff216165eb4166a1612e19e69bace851ab8acbdf8d195a9657cf49dad20,spoof,silero_v5_5_ru_eugene_v1:e1a016ab5acea953,66258d03641b9cae6b26d406e0964548fe9c445fe2a0dd1698cee5a5bd9889c1,reviewer_2,pass,yes,yes,yes,yes,
common-voice-ru-v24-silero-v5-5-eugene-pre-qa-acoustic-gate-v1,3cf55fd48b6bf81ae593661df2a40b4b9e4fb11eb238ca1fce553dea1a3f29f7,0803fe1f49cc9bae6873c37747bdf17fd5922e6ace734eacdd9487933dcf982b,bonafide,common_voice_ru_v24:common_voice_ru_41961959,8e0634b8369f345edfaea2e831652b6fea4176a14f7e76c851f9f89d440bfc93,reviewer_2,pass,yes,yes,yes,yes,
common-voice-ru-v24-silero-v5-5-eugene-pre-qa-acoustic-gate-v1,3cf55fd48b6bf81ae593661df2a40b4b9e4fb11eb238ca1fce553dea1a3f29f7,0803fe1f49cc9bae6873c37747bdf17fd5922e6ace734eacdd9487933dcf982b,spoof,silero_v5_5_ru_eugene_v1:3667a277c2b2df25,3bad6892d5c20132d9538b4c07ced93b3e12ba3eb3d084db2f31159814b9b963,reviewer_2,pass,yes,yes,yes,yes,
common-voice-ru-v24-silero-v5-5-eugene-pre-qa-acoustic-gate-v1,3cf55fd48b6bf81ae593661df2a40b4b9e4fb11eb238ca1fce553dea1a3f29f7,17808c42e7306c9566474bcdf60c4b73d913fcbd39aa152fbcaddbb3f6a9b413,bonafide,common_voice_ru_v24:common_voice_ru_31506078,e22f19098df32fcc07485015f906082936c9eeef6d930f884561a89e12f588ab,reviewer_2,pass,yes,yes,yes,yes,
common-voice-ru-v24-silero-v5-5-eugene-pre-qa-acoustic-gate-v1,3cf55fd48b6bf81ae593661df2a40b4b9e4fb11eb238ca1fce553dea1a3f29f7,17808c42e7306c9566474bcdf60c4b73d913fcbd39aa152fbcaddbb3f6a9b413,spoof,silero_v5_5_ru_eugene_v1:7e20e077680999bb,e78afe2300ca681d7f0e5b9f00da4f5244f796ff4d4c29680f691d53e8fa189c,reviewer_2,pass,yes,yes,yes,yes,
common-voice-ru-v24-silero-v5-5-eugene-pre-qa-acoustic-gate-v1,3cf55fd48b6bf81ae593661df2a40b4b9e4fb11eb238ca1fce553dea1a3f29f7,184068519989d6e722a2df30afc9afce453a5b98b3a08a272ecc8cdae9e69fee,bonafide,common_voice_ru_v24:common_voice_ru_26888875,d84f02b1305e92b3c7c236c2a10c20e177bfcb9522280c106076397854dcdc0c,reviewer_2,pass,yes,yes,yes,yes,
common-voice-ru-v24-silero-v5-5-eugene-pre-qa-acoustic-gate-v1,3cf55fd48b6bf81ae593661df2a40b4b9e4fb11eb238ca1fce553dea1a3f29f7,184068519989d6e722a2df30afc9afce453a5b98b3a08a272ecc8cdae9e69fee,spoof,silero_v5_5_ru_eugene_v1:bcfcb25a23f76218,2a9b43d79e88177313a015c69dfd125e7cea726254fdc1cb506b933a13f7dc74,reviewer_2,pass,yes,yes,yes,yes,
