sample_id,relative_path,sha256,split,label,language,code_switch,parent_group_id,source_name,source_license,rights_basis,speaker_pseudo_id,text_id,text_hash,duration_s,generator_family,generator_name,generator_version,voice_id,clone_consent_id,device,capture_route,original_sr,codec,augmentation_chain,augmentation_seed,created_at
common_voice_ru_v24:common_voice_ru_32576136,processed/ba/ba0bbe02feef9b6c552cf61556d91f86691ebe4ef3bd3efd3a2a8f0f94396355.wav,c18fdb0032960e1f178f25fbf5ffbeae39b2d1dcbf418033f12934f808e6633e,test,bonafide,ru,unknown,common_voice_ru_v24:client:f4b1c4e3cdbd919f23fc8debdaa9154b67b4f31f1ad753366927e7a1f9eeb2375dcb5e4cc942991403aa1964895c25a3cbbec6cf5d49a081f5f5a25088e8f4fe,common_voice_ru_v24,CC0-1.0,"Common Voice RU v24, CC0-1.0; owner-authorized personal research; no speaker identification or re-hosting",common_voice_ru_v24:client:f4b1c4e3cdbd919f23fc8debdaa9154b67b4f31f1ad753366927e7a1f9eeb2375dcb5e4cc942991403aa1964895c25a3cbbec6cf5d49a081f5f5a25088e8f4fe,07d37ae33ec8a750908d2c43b290a623d808a5acd311fef3fc10c69db1f5c59c,637f62c90f1f4f029dc9ace4210ec74b09364ddb47019067c5eb325d0ef6641a,6.048,,,,,,unknown,crowdsourced_web_recording,32000,wav,,,2026-08-13T17:12:59+05:00
silero_v5_5_ru_eugene_v1:8f336fdeef0652db,processed/2a/2a8ea008705310235ca9e91d0eb519f920337583baebac8feb1e8f16365bd5f0.wav,af9148fe954c29698fda8e4a80de16b47202f306a97319680c5ec9b58832690a,test,spoof,ru,unknown,silero_v5_5_ru_eugene_v1:profile:silero_v5_5_ru_eugene:eugene,silero_v5_5_ru_eugene_v1,Silero V5.5 RU model CC-BY-NC-SA-4.0,Offline derivative for personal research from source transcript 07d37ae33ec8a750908d2c43b290a623d808a5acd311fef3fc10c69db1f5c59c; Silero repository and V5.5 RU package CC-BY-NC-SA-4.0; only the project's personal-research scope is permitted; fixed eugene profile; no reference audio or voice cloning,silero_v5_5_ru_eugene_v1:synthetic-profile:silero_v5_5_ru_eugene:eugene,07d37ae33ec8a750908d2c43b290a623d808a5acd311fef3fc10c69db1f5c59c,637f62c90f1f4f029dc9ace4210ec74b09364ddb47019067c5eb325d0ef6641a,4.0125,silero_v5_5_ru_torchpackage_tts,Silero V5.5 RU fixed eugene text-only TTS,Silero v5_5_ru package SHA-256 50081637b602126ee06cb3bc8a744d25651d2da149ee8864b9a379bfdd934437; source d9355348e2781dc8fa25a135d1602c530afae24c; wrapper SHA-256 9841a7361d9d8c07e81778cbb2609ccd2195a9e53af9e58d021318c0828560f1,silero_v5_5_ru_eugene:eugene,not_applicable:fixed-pretrained-tts-no-reference-audio,local_cpu_silero_v5_5_ru_eugene,offline_text_only_silero_v5_5_ru_fixed_eugene,48000,wav,text_normalization=silero_v5_5_ru_literal_whitespace_only_v1,,2026-08-13T17:41:27+05:00
common_voice_ru_v24:common_voice_ru_25542082,processed/2c/2cf74c0186fc35c078a05ccb91e9bc843b2feb05601f8f1423ecc6ab0aa797ea.wav,7c74e7639e59a7f6e848854fac9f209fbc025ac1bd8e7799f01f6aaa13ce2486,test,bonafide,ru,unknown,common_voice_ru_v24:client:10ebb0ddd305f75fdedc965252115490eac0d48480cb0419761bf473c571a1ea97835de61ce6ffef72dbd83b0acdb0286534ed7fa9695bfc15b95bc3824a7a95,common_voice_ru_v24,CC0-1.0,"Common Voice RU v24, CC0-1.0; owner-authorized personal research; no speaker identification or re-hosting",common_voice_ru_v24:client:10ebb0ddd305f75fdedc965252115490eac0d48480cb0419761bf473c571a1ea97835de61ce6ffef72dbd83b0acdb0286534ed7fa9695bfc15b95bc3824a7a95,09b1c87a479000c0c4decec9c9493852ff1002be43d059e1aa6fa67ed362e297,1bf41d25bb86d7c385d9eaeac65fbad4faace8360745905b1061bad6f7bd5ac8,6.588,,,,,,unknown,crowdsourced_web_recording,32000,wav,,,2026-08-13T17:12:59+05:00
silero_v5_5_ru_eugene_v1:a7b5df72960225d2,processed/f0/f036376e3fe5f380af26f1c18884a50726ba37101af5377ea82ffa1f0e187d64.wav,1dd43f15a43c4c7c4c00ef2b3a3faf803109122c4ea78e87db2b040a0acdf8f7,test,spoof,ru,unknown,silero_v5_5_ru_eugene_v1:profile:silero_v5_5_ru_eugene:eugene,silero_v5_5_ru_eugene_v1,Silero V5.5 RU model CC-BY-NC-SA-4.0,Offline derivative for personal research from source transcript 09b1c87a479000c0c4decec9c9493852ff1002be43d059e1aa6fa67ed362e297; Silero repository and V5.5 RU package CC-BY-NC-SA-4.0; only the project's personal-research scope is permitted; fixed eugene profile; no reference audio or voice cloning,silero_v5_5_ru_eugene_v1:synthetic-profile:silero_v5_5_ru_eugene:eugene,09b1c87a479000c0c4decec9c9493852ff1002be43d059e1aa6fa67ed362e297,1bf41d25bb86d7c385d9eaeac65fbad4faace8360745905b1061bad6f7bd5ac8,3.5125,silero_v5_5_ru_torchpackage_tts,Silero V5.5 RU fixed eugene text-only TTS,Silero v5_5_ru package SHA-256 50081637b602126ee06cb3bc8a744d25651d2da149ee8864b9a379bfdd934437; source d9355348e2781dc8fa25a135d1602c530afae24c; wrapper SHA-256 9841a7361d9d8c07e81778cbb2609ccd2195a9e53af9e58d021318c0828560f1,silero_v5_5_ru_eugene:eugene,not_applicable:fixed-pretrained-tts-no-reference-audio,local_cpu_silero_v5_5_ru_eugene,offline_text_only_silero_v5_5_ru_fixed_eugene,48000,wav,text_normalization=silero_v5_5_ru_literal_whitespace_only_v1,,2026-08-13T17:41:27+05:00
common_voice_ru_v24:common_voice_ru_24983777,processed/36/3690d7d67ced3739c3d2d6bb531ce602c69b101bd84c6051147b98647620855d.wav,3534bb18142bb0966954286709f5146ce55de240a5efa675d9cdd75d19ef97ab,test,bonafide,ru,unknown,common_voice_ru_v24:client:91ba4d8a3506dce20b02ce41baea2b1f6926ed7832bc1dc6d59e6e4764525d924501489188e121802023e69a553e0601fa5d33119d54d1d766fd926a9504414a,common_voice_ru_v24,CC0-1.0,"Common Voice RU v24, CC0-1.0; owner-authorized personal research; no speaker identification or re-hosting",common_voice_ru_v24:client:91ba4d8a3506dce20b02ce41baea2b1f6926ed7832bc1dc6d59e6e4764525d924501489188e121802023e69a553e0601fa5d33119d54d1d766fd926a9504414a,0e9154e17f2b3c0344e1a31e3a19c5c5d8902180b40a453b990308dea732c568,81767ef6cd6c21f21c270fcea61fc1a87f6033ef49926b2212f9dbe3f910fbf5,6.228,,,,,,unknown,crowdsourced_web_recording,32000,wav,,,2026-08-13T17:12:59+05:00
silero_v5_5_ru_eugene_v1:a24b131526005da8,processed/08/08b5941f1991dcb158a4c4d0819c02efd7fe214a7a10f059456926f7ee17b736.wav,31954b6b8b6e0363c99ca1fe1d51ef9383cc6595c4da9a53c0e49e3a656dd122,test,spoof,ru,unknown,silero_v5_5_ru_eugene_v1:profile:silero_v5_5_ru_eugene:eugene,silero_v5_5_ru_eugene_v1,Silero V5.5 RU model CC-BY-NC-SA-4.0,Offline derivative for personal research from source transcript 0e9154e17f2b3c0344e1a31e3a19c5c5d8902180b40a453b990308dea732c568; Silero repository and V5.5 RU package CC-BY-NC-SA-4.0; only the project's personal-research scope is permitted; fixed eugene profile; no reference audio or voice cloning,silero_v5_5_ru_eugene_v1:synthetic-profile:silero_v5_5_ru_eugene:eugene,0e9154e17f2b3c0344e1a31e3a19c5c5d8902180b40a453b990308dea732c568,81767ef6cd6c21f21c270fcea61fc1a87f6033ef49926b2212f9dbe3f910fbf5,3.8,silero_v5_5_ru_torchpackage_tts,Silero V5.5 RU fixed eugene text-only TTS,Silero v5_5_ru package SHA-256 50081637b602126ee06cb3bc8a744d25651d2da149ee8864b9a379bfdd934437; source d9355348e2781dc8fa25a135d1602c530afae24c; wrapper SHA-256 9841a7361d9d8c07e81778cbb2609ccd2195a9e53af9e58d021318c0828560f1,silero_v5_5_ru_eugene:eugene,not_applicable:fixed-pretrained-tts-no-reference-audio,local_cpu_silero_v5_5_ru_eugene,offline_text_only_silero_v5_5_ru_fixed_eugene,48000,wav,text_normalization=silero_v5_5_ru_literal_whitespace_only_v1,,2026-08-13T17:41:27+05:00
common_voice_ru_v24:common_voice_ru_25079014,processed/d6/d626e0ecd6288c5a464ee1f54c56c2032ce8a41f74d8ac2e2df064b7b91bcbac.wav,b207fe3c876145bf97c237a79de671212fc6321fddbc5f6016b4f7b86e0dc4ac,test,bonafide,ru,unknown,common_voice_ru_v24:client:99422b8591f3a6677c3923892bde14a0c55412dc25c9583562f1b9710ef87a1d522f1d35e985c82f00e3bd48e0f374573d5d12c09f89f382d453e293bc95b079,common_voice_ru_v24,CC0-1.0,"Common Voice RU v24, CC0-1.0; owner-authorized personal research; no speaker identification or re-hosting",common_voice_ru_v24:client:99422b8591f3a6677c3923892bde14a0c55412dc25c9583562f1b9710ef87a1d522f1d35e985c82f00e3bd48e0f374573d5d12c09f89f382d453e293bc95b079,12cc23a6397394793ad3cb04dc2c9ddcb4338857628f4cf5d8d0b65752cefe36,d0d0182ef8caad2be044a080463bb3b5bc9f1e1a4a97d2c2564a280c7899544a,9.036,,,,,,unknown,crowdsourced_web_recording,32000,wav,,,2026-08-13T17:12:59+05:00
silero_v5_5_ru_eugene_v1:3dfd38dc76b2462e,processed/6f/6ffa0c99e2118625bfa52d3436106ec294de60ece99d2742972fe073d705a991.wav,6cbc94c4b7f923e03109b309a9845033d059916b0791f098c754b70e13647d9f,test,spoof,ru,unknown,silero_v5_5_ru_eugene_v1:profile:silero_v5_5_ru_eugene:eugene,silero_v5_5_ru_eugene_v1,Silero V5.5 RU model CC-BY-NC-SA-4.0,Offline derivative for personal research from source transcript 12cc23a6397394793ad3cb04dc2c9ddcb4338857628f4cf5d8d0b65752cefe36; Silero repository and V5.5 RU package CC-BY-NC-SA-4.0; only the project's personal-research scope is permitted; fixed eugene profile; no reference audio or voice cloning,silero_v5_5_ru_eugene_v1:synthetic-profile:silero_v5_5_ru_eugene:eugene,12cc23a6397394793ad3cb04dc2c9ddcb4338857628f4cf5d8d0b65752cefe36,d0d0182ef8caad2be044a080463bb3b5bc9f1e1a4a97d2c2564a280c7899544a,4.7,silero_v5_5_ru_torchpackage_tts,Silero V5.5 RU fixed eugene text-only TTS,Silero v5_5_ru package SHA-256 50081637b602126ee06cb3bc8a744d25651d2da149ee8864b9a379bfdd934437; source d9355348e2781dc8fa25a135d1602c530afae24c; wrapper SHA-256 9841a7361d9d8c07e81778cbb2609ccd2195a9e53af9e58d021318c0828560f1,silero_v5_5_ru_eugene:eugene,not_applicable:fixed-pretrained-tts-no-reference-audio,local_cpu_silero_v5_5_ru_eugene,offline_text_only_silero_v5_5_ru_fixed_eugene,48000,wav,text_normalization=silero_v5_5_ru_literal_whitespace_only_v1,,2026-08-13T17:41:27+05:00
common_voice_ru_v24:common_voice_ru_35215534,processed/f6/f67721856edb60462bac999b15a56e6ea76e8151f2280d345a4bd69f56bb8bd7.wav,08af6b4039c25887216df37c75a8d6b9a6c3d395cc19a20b87b64c274bb02f88,test,bonafide,ru,unknown,common_voice_ru_v24:client:419ee3d39551357752fd54ac9627622b23cc0ccd2ecfe85c06c770cb96fb62973eb49f1a55b6a05d47667d9700a4382ecff179e7157414e99796294e5990529a,common_voice_ru_v24,CC0-1.0,"Common Voice RU v24, CC0-1.0; owner-authorized personal research; no speaker identification or re-hosting",common_voice_ru_v24:client:419ee3d39551357752fd54ac9627622b23cc0ccd2ecfe85c06c770cb96fb62973eb49f1a55b6a05d47667d9700a4382ecff179e7157414e99796294e5990529a,13444e6e7180d7b12fd6eff711c8f75e6cd07e7a13d8dccddbf168e8ec844fef,56513006e01aae81815792f5502556e72035d0c554d356a428f4e715e309e593,7.02,,,,,,unknown,crowdsourced_web_recording,32000,wav,,,2026-08-13T17:12:59+05:00
silero_v5_5_ru_eugene_v1:30f03f290025e3db,processed/f9/f9bedd6c88d8c8ab203d5bbf381ea569d6f73c02641098f426a19f4197bcd4cf.wav,2a6f43fd334ff05d4aee3303ed1376aea787f922fa42f5dc7df8b72c8b6abf07,test,spoof,ru,unknown,silero_v5_5_ru_eugene_v1:profile:silero_v5_5_ru_eugene:eugene,silero_v5_5_ru_eugene_v1,Silero V5.5 RU model CC-BY-NC-SA-4.0,Offline derivative for personal research from source transcript 13444e6e7180d7b12fd6eff711c8f75e6cd07e7a13d8dccddbf168e8ec844fef; Silero repository and V5.5 RU package CC-BY-NC-SA-4.0; only the project's personal-research scope is permitted; fixed eugene profile; no reference audio or voice cloning,silero_v5_5_ru_eugene_v1:synthetic-profile:silero_v5_5_ru_eugene:eugene,13444e6e7180d7b12fd6eff711c8f75e6cd07e7a13d8dccddbf168e8ec844fef,56513006e01aae81815792f5502556e72035d0c554d356a428f4e715e309e593,3.7,silero_v5_5_ru_torchpackage_tts,Silero V5.5 RU fixed eugene text-only TTS,Silero v5_5_ru package SHA-256 50081637b602126ee06cb3bc8a744d25651d2da149ee8864b9a379bfdd934437; source d9355348e2781dc8fa25a135d1602c530afae24c; wrapper SHA-256 9841a7361d9d8c07e81778cbb2609ccd2195a9e53af9e58d021318c0828560f1,silero_v5_5_ru_eugene:eugene,not_applicable:fixed-pretrained-tts-no-reference-audio,local_cpu_silero_v5_5_ru_eugene,offline_text_only_silero_v5_5_ru_fixed_eugene,48000,wav,text_normalization=silero_v5_5_ru_literal_whitespace_only_v1,,2026-08-13T17:41:27+05:00
