sample_id,relative_path,sha256,split,label,language,code_switch,parent_group_id,source_name,source_license,rights_basis,speaker_pseudo_id,text_id,text_hash,duration_s,generator_family,generator_name,generator_version,voice_id,clone_consent_id,device,capture_route,original_sr,codec,augmentation_chain,augmentation_seed,created_at
common_voice_ru_v24:common_voice_ru_19532006,raw/common_voice_ru_v24/slices/silero_v5_5_eugene_pre_qa_v1/clips/common_voice_ru_19532006.mp3,dbdf4b1711b087172566e6a21c094103b24e4c0b75938a0bd86ee95efabdba79,test,bonafide,ru,unknown,common_voice_ru_v24:client:da01ce919cb4747f94bb37caeb8fd352a9fd67ee7b9e34b7199200225776489c7693cbdb9ebb270c5102f67f2a8b6edacd0619f2e5d3c9922c11dc4b284c98ef,common_voice_ru_v24,CC0-1.0,"Common Voice RU v24, CC0-1.0; owner-authorized personal research; no speaker identification or re-hosting",common_voice_ru_v24:client:da01ce919cb4747f94bb37caeb8fd352a9fd67ee7b9e34b7199200225776489c7693cbdb9ebb270c5102f67f2a8b6edacd0619f2e5d3c9922c11dc4b284c98ef,6fb8e5e3793d060cf9135ebd66a7c19c1d117c950ed50619c36c42f1f3f6a70b,98ef45de8d9205c53589bdc35c376639d9e9e4fa0761481cd9bb9572b0404c4d,5.669625,,,,,,unknown,crowdsourced_web_recording,48000,mp3,,,2026-08-13T17:12:59+05:00
common_voice_ru_v24:common_voice_ru_38307671,raw/common_voice_ru_v24/slices/silero_v5_5_eugene_pre_qa_v1/clips/common_voice_ru_38307671.mp3,abc82a3adbce45b9a3a0e4b1b93ba3942c19455fd4e8dc6280b81a42f77cb6e9,test,bonafide,ru,unknown,common_voice_ru_v24:client:3ed3e2125436ffd4668604132c1ae70318f20426645ab0a729278518e6a5bb12440fe3cc885d274e7153160ae93de960ec61e839660ad05bae355eed121158c1,common_voice_ru_v24,CC0-1.0,"Common Voice RU v24, CC0-1.0; owner-authorized personal research; no speaker identification or re-hosting",common_voice_ru_v24:client:3ed3e2125436ffd4668604132c1ae70318f20426645ab0a729278518e6a5bb12440fe3cc885d274e7153160ae93de960ec61e839660ad05bae355eed121158c1,7c920e6afda25401c1a6d105111ec361ee83aa22e8eb122d6d28929722ce0e86,6489170509060551f73a7f9b67621da27c6cc6cc1c584a894b7a7877bf9342cf,9.4035,,,,,,unknown,crowdsourced_web_recording,32000,mp3,,,2026-08-13T17:12:59+05:00
common_voice_ru_v24:common_voice_ru_37761684,raw/common_voice_ru_v24/slices/silero_v5_5_eugene_pre_qa_v1/clips/common_voice_ru_37761684.mp3,8dc9e1b6ab2421842e8d9270e34d62add1c3a09094d984e04b822360fb8a56b3,test,bonafide,ru,unknown,common_voice_ru_v24:client:ffcadc7092d8cd2939b87d114ae48c3882a78e49906db301a763f82d1029f470b03eac0dd6688fda257b815523bbcccdaf9761d38f297957ea05756c827d47fe,common_voice_ru_v24,CC0-1.0,"Common Voice RU v24, CC0-1.0; owner-authorized personal research; no speaker identification or re-hosting",common_voice_ru_v24:client:ffcadc7092d8cd2939b87d114ae48c3882a78e49906db301a763f82d1029f470b03eac0dd6688fda257b815523bbcccdaf9761d38f297957ea05756c827d47fe,6747efab87a6b52acb7eb71bb74083a8ea87fb509fafb02855221706feec352c,bf25309bbcb110bf146a92d3a280dfe6b7b0d4751f932454dbf6a37e23d8ee30,7.7475,,,,,,unknown,crowdsourced_web_recording,32000,mp3,,,2026-08-13T17:12:59+05:00
common_voice_ru_v24:common_voice_ru_32576136,raw/common_voice_ru_v24/slices/silero_v5_5_eugene_pre_qa_v1/clips/common_voice_ru_32576136.mp3,ba0bbe02feef9b6c552cf61556d91f86691ebe4ef3bd3efd3a2a8f0f94396355,test,bonafide,ru,unknown,common_voice_ru_v24:client:f4b1c4e3cdbd919f23fc8debdaa9154b67b4f31f1ad753366927e7a1f9eeb2375dcb5e4cc942991403aa1964895c25a3cbbec6cf5d49a081f5f5a25088e8f4fe,common_voice_ru_v24,CC0-1.0,"Common Voice RU v24, CC0-1.0; owner-authorized personal research; no speaker identification or re-hosting",common_voice_ru_v24:client:f4b1c4e3cdbd919f23fc8debdaa9154b67b4f31f1ad753366927e7a1f9eeb2375dcb5e4cc942991403aa1964895c25a3cbbec6cf5d49a081f5f5a25088e8f4fe,07d37ae33ec8a750908d2c43b290a623d808a5acd311fef3fc10c69db1f5c59c,637f62c90f1f4f029dc9ace4210ec74b09364ddb47019067c5eb325d0ef6641a,6.0555,,,,,,unknown,crowdsourced_web_recording,32000,mp3,,,2026-08-13T17:12:59+05:00
common_voice_ru_v24:common_voice_ru_38123243,raw/common_voice_ru_v24/slices/silero_v5_5_eugene_pre_qa_v1/clips/common_voice_ru_38123243.mp3,a9c4cbf8d74a30f78ced2ff8ff4d80e7af6cad063f883cda55fbd037cf169530,test,bonafide,ru,unknown,common_voice_ru_v24:client:8de2418c90a1fbc6934a6541b7536c140e5405cb69ad640b4095ad97cef7d8dfc6f0a7c7767e2c88dd53f841854dd53eb078de2e9fea5b38ead4f5050999e70e,common_voice_ru_v24,CC0-1.0,"Common Voice RU v24, CC0-1.0; owner-authorized personal research; no speaker identification or re-hosting",common_voice_ru_v24:client:8de2418c90a1fbc6934a6541b7536c140e5405cb69ad640b4095ad97cef7d8dfc6f0a7c7767e2c88dd53f841854dd53eb078de2e9fea5b38ead4f5050999e70e,764aa22b594ca18c7a3135eb479bd9fd14fe0375f21c8ecf7c615adeed9b9e3c,5cf5d6b1b371fa26ca2a832e8726a2ddbc325404153e7e6fc2fb412274a2dc0d,3.6075,,,,,,unknown,crowdsourced_web_recording,32000,mp3,,,2026-08-13T17:12:59+05:00
common_voice_ru_v24:common_voice_ru_43426296,raw/common_voice_ru_v24/slices/silero_v5_5_eugene_pre_qa_v1/clips/common_voice_ru_43426296.mp3,c2579d1b7b2e69d2b777fa6d08a1e3dd04e65f6cd7577771d31d569e8a729df5,test,bonafide,ru,unknown,common_voice_ru_v24:client:0833e8f468993d7d207f2ba7142cd1d52420ee4f4ae3fd6c7d08dcb22b734f72692b72d3c6e7d2b950d99b383271d66a92456f762f7a9fdae74d9b8f23f5dd3e,common_voice_ru_v24,CC0-1.0,"Common Voice RU v24, CC0-1.0; owner-authorized personal research; no speaker identification or re-hosting",common_voice_ru_v24:client:0833e8f468993d7d207f2ba7142cd1d52420ee4f4ae3fd6c7d08dcb22b734f72692b72d3c6e7d2b950d99b383271d66a92456f762f7a9fdae74d9b8f23f5dd3e,d2cd8b99bc72e30e3508e98d1900cc67a61bfc68f9c86af2010b26f1e730ce21,0cc147d614d31fe87cf731750e8f27027c251d9c0fa81ea325bd7cd676f55485,3.6075,,,,,,unknown,crowdsourced_web_recording,32000,mp3,,,2026-08-13T17:12:59+05:00
common_voice_ru_v24:common_voice_ru_37330519,raw/common_voice_ru_v24/slices/silero_v5_5_eugene_pre_qa_v1/clips/common_voice_ru_37330519.mp3,44d8e98a3f188aeb06bdf0cb8649d0982404ed1b612aa8fb0d22d1745f614624,test,bonafide,ru,unknown,common_voice_ru_v24:client:9ac351c743c1b20f85a0f96981da1b14cfa70d45811f393d1963d436bd1684cda826382de9bbca4bd55db0266e611fbdb9b9b47a58c67de6b0f0cf2d7cdaa791,common_voice_ru_v24,CC0-1.0,"Common Voice RU v24, CC0-1.0; owner-authorized personal research; no speaker identification or re-hosting",common_voice_ru_v24:client:9ac351c743c1b20f85a0f96981da1b14cfa70d45811f393d1963d436bd1684cda826382de9bbca4bd55db0266e611fbdb9b9b47a58c67de6b0f0cf2d7cdaa791,4ff6b7e70e2f8bebc78299eb67aca8589ac07c6bb6bef8c7293343fa8b3275ce,b2e2680b6b3da4ef808e91aadc3a6ff53edff963cd2fd825a82c47a20a36435a,6.32365625,,,,,,unknown,crowdsourced_web_recording,32000,mp3,,,2026-08-13T17:12:59+05:00
common_voice_ru_v24:common_voice_ru_19517687,raw/common_voice_ru_v24/slices/silero_v5_5_eugene_pre_qa_v1/clips/common_voice_ru_19517687.mp3,07801f92d60d36723c8802d3a35b6eb61c05bbe1627770babade28d10e5b1983,test,bonafide,ru,unknown,common_voice_ru_v24:client:5c8d1e260bfb69d21620f1817c366a4dea96711a4a389fbfc7497075455da85b67f5a957736eb8cd6e385db9b949b97b83932277056bebd5521e9411f731b12b,common_voice_ru_v24,CC0-1.0,"Common Voice RU v24, CC0-1.0; owner-authorized personal research; no speaker identification or re-hosting",common_voice_ru_v24:client:5c8d1e260bfb69d21620f1817c366a4dea96711a4a389fbfc7497075455da85b67f5a957736eb8cd6e385db9b949b97b83932277056bebd5521e9411f731b12b,6f38e752af78a15ff303873e30d6e4dc84dfbc3381860a72a43697da6ee2292d,416b5a61cca2e6e9122cde276d1d3c974594c3fa78bbd048e0be21cf3a984a01,5.021625,,,,,,unknown,crowdsourced_web_recording,48000,mp3,,,2026-08-13T17:12:59+05:00
common_voice_ru_v24:common_voice_ru_25542082,raw/common_voice_ru_v24/slices/silero_v5_5_eugene_pre_qa_v1/clips/common_voice_ru_25542082.mp3,2cf74c0186fc35c078a05ccb91e9bc843b2feb05601f8f1423ecc6ab0aa797ea,test,bonafide,ru,unknown,common_voice_ru_v24:client:10ebb0ddd305f75fdedc965252115490eac0d48480cb0419761bf473c571a1ea97835de61ce6ffef72dbd83b0acdb0286534ed7fa9695bfc15b95bc3824a7a95,common_voice_ru_v24,CC0-1.0,"Common Voice RU v24, CC0-1.0; owner-authorized personal research; no speaker identification or re-hosting",common_voice_ru_v24:client:10ebb0ddd305f75fdedc965252115490eac0d48480cb0419761bf473c571a1ea97835de61ce6ffef72dbd83b0acdb0286534ed7fa9695bfc15b95bc3824a7a95,09b1c87a479000c0c4decec9c9493852ff1002be43d059e1aa6fa67ed362e297,1bf41d25bb86d7c385d9eaeac65fbad4faace8360745905b1061bad6f7bd5ac8,6.5955,,,,,,unknown,crowdsourced_web_recording,32000,mp3,,,2026-08-13T17:12:59+05:00
common_voice_ru_v24:common_voice_ru_28761513,raw/common_voice_ru_v24/slices/silero_v5_5_eugene_pre_qa_v1/clips/common_voice_ru_28761513.mp3,ec2fb68747e1cd05976c691b361adbcf13f3f01c5229d48888b460bce1d32dcf,test,bonafide,ru,unknown,common_voice_ru_v24:client:1372a1de559132d15ddcf4476275ec3d39ff49529f88f021c35ef49d6466e5f877984b18352ceb0e8b01961190536f91294b5622f58d596176a3a4b4079b9534,common_voice_ru_v24,CC0-1.0,"Common Voice RU v24, CC0-1.0; owner-authorized personal research; no speaker identification or re-hosting",common_voice_ru_v24:client:1372a1de559132d15ddcf4476275ec3d39ff49529f88f021c35ef49d6466e5f877984b18352ceb0e8b01961190536f91294b5622f58d596176a3a4b4079b9534,3e59c38b52505b9e0d986e32bc9303694af5ca350882168c773806275100c2ff,3cbc28d97bfe4b725ad51d2f1512712ffd4192d3d07ace59d8fdf03d9343d698,4.3275,,,,,,unknown,crowdsourced_web_recording,32000,mp3,,,2026-08-13T17:12:59+05:00
