selection_rank,sample_id,clip_name,source_split,parent_group_id,speaker_pseudo_id,text_id,text_hash
1,common_voice_ru_v24:common_voice_ru_19532006,common_voice_ru_19532006.mp3,test,common_voice_ru_v24:client:da01ce919cb4747f94bb37caeb8fd352a9fd67ee7b9e34b7199200225776489c7693cbdb9ebb270c5102f67f2a8b6edacd0619f2e5d3c9922c11dc4b284c98ef,common_voice_ru_v24:client:da01ce919cb4747f94bb37caeb8fd352a9fd67ee7b9e34b7199200225776489c7693cbdb9ebb270c5102f67f2a8b6edacd0619f2e5d3c9922c11dc4b284c98ef,6fb8e5e3793d060cf9135ebd66a7c19c1d117c950ed50619c36c42f1f3f6a70b,98ef45de8d9205c53589bdc35c376639d9e9e4fa0761481cd9bb9572b0404c4d
2,common_voice_ru_v24:common_voice_ru_38307671,common_voice_ru_38307671.mp3,test,common_voice_ru_v24:client:3ed3e2125436ffd4668604132c1ae70318f20426645ab0a729278518e6a5bb12440fe3cc885d274e7153160ae93de960ec61e839660ad05bae355eed121158c1,common_voice_ru_v24:client:3ed3e2125436ffd4668604132c1ae70318f20426645ab0a729278518e6a5bb12440fe3cc885d274e7153160ae93de960ec61e839660ad05bae355eed121158c1,7c920e6afda25401c1a6d105111ec361ee83aa22e8eb122d6d28929722ce0e86,6489170509060551f73a7f9b67621da27c6cc6cc1c584a894b7a7877bf9342cf
3,common_voice_ru_v24:common_voice_ru_37761684,common_voice_ru_37761684.mp3,test,common_voice_ru_v24:client:ffcadc7092d8cd2939b87d114ae48c3882a78e49906db301a763f82d1029f470b03eac0dd6688fda257b815523bbcccdaf9761d38f297957ea05756c827d47fe,common_voice_ru_v24:client:ffcadc7092d8cd2939b87d114ae48c3882a78e49906db301a763f82d1029f470b03eac0dd6688fda257b815523bbcccdaf9761d38f297957ea05756c827d47fe,6747efab87a6b52acb7eb71bb74083a8ea87fb509fafb02855221706feec352c,bf25309bbcb110bf146a92d3a280dfe6b7b0d4751f932454dbf6a37e23d8ee30
4,common_voice_ru_v24:common_voice_ru_32576136,common_voice_ru_32576136.mp3,test,common_voice_ru_v24:client:f4b1c4e3cdbd919f23fc8debdaa9154b67b4f31f1ad753366927e7a1f9eeb2375dcb5e4cc942991403aa1964895c25a3cbbec6cf5d49a081f5f5a25088e8f4fe,common_voice_ru_v24:client:f4b1c4e3cdbd919f23fc8debdaa9154b67b4f31f1ad753366927e7a1f9eeb2375dcb5e4cc942991403aa1964895c25a3cbbec6cf5d49a081f5f5a25088e8f4fe,07d37ae33ec8a750908d2c43b290a623d808a5acd311fef3fc10c69db1f5c59c,637f62c90f1f4f029dc9ace4210ec74b09364ddb47019067c5eb325d0ef6641a
5,common_voice_ru_v24:common_voice_ru_38123243,common_voice_ru_38123243.mp3,test,common_voice_ru_v24:client:8de2418c90a1fbc6934a6541b7536c140e5405cb69ad640b4095ad97cef7d8dfc6f0a7c7767e2c88dd53f841854dd53eb078de2e9fea5b38ead4f5050999e70e,common_voice_ru_v24:client:8de2418c90a1fbc6934a6541b7536c140e5405cb69ad640b4095ad97cef7d8dfc6f0a7c7767e2c88dd53f841854dd53eb078de2e9fea5b38ead4f5050999e70e,764aa22b594ca18c7a3135eb479bd9fd14fe0375f21c8ecf7c615adeed9b9e3c,5cf5d6b1b371fa26ca2a832e8726a2ddbc325404153e7e6fc2fb412274a2dc0d
6,common_voice_ru_v24:common_voice_ru_43426296,common_voice_ru_43426296.mp3,test,common_voice_ru_v24:client:0833e8f468993d7d207f2ba7142cd1d52420ee4f4ae3fd6c7d08dcb22b734f72692b72d3c6e7d2b950d99b383271d66a92456f762f7a9fdae74d9b8f23f5dd3e,common_voice_ru_v24:client:0833e8f468993d7d207f2ba7142cd1d52420ee4f4ae3fd6c7d08dcb22b734f72692b72d3c6e7d2b950d99b383271d66a92456f762f7a9fdae74d9b8f23f5dd3e,d2cd8b99bc72e30e3508e98d1900cc67a61bfc68f9c86af2010b26f1e730ce21,0cc147d614d31fe87cf731750e8f27027c251d9c0fa81ea325bd7cd676f55485
7,common_voice_ru_v24:common_voice_ru_37330519,common_voice_ru_37330519.mp3,test,common_voice_ru_v24:client:9ac351c743c1b20f85a0f96981da1b14cfa70d45811f393d1963d436bd1684cda826382de9bbca4bd55db0266e611fbdb9b9b47a58c67de6b0f0cf2d7cdaa791,common_voice_ru_v24:client:9ac351c743c1b20f85a0f96981da1b14cfa70d45811f393d1963d436bd1684cda826382de9bbca4bd55db0266e611fbdb9b9b47a58c67de6b0f0cf2d7cdaa791,4ff6b7e70e2f8bebc78299eb67aca8589ac07c6bb6bef8c7293343fa8b3275ce,b2e2680b6b3da4ef808e91aadc3a6ff53edff963cd2fd825a82c47a20a36435a
8,common_voice_ru_v24:common_voice_ru_19517687,common_voice_ru_19517687.mp3,test,common_voice_ru_v24:client:5c8d1e260bfb69d21620f1817c366a4dea96711a4a389fbfc7497075455da85b67f5a957736eb8cd6e385db9b949b97b83932277056bebd5521e9411f731b12b,common_voice_ru_v24:client:5c8d1e260bfb69d21620f1817c366a4dea96711a4a389fbfc7497075455da85b67f5a957736eb8cd6e385db9b949b97b83932277056bebd5521e9411f731b12b,6f38e752af78a15ff303873e30d6e4dc84dfbc3381860a72a43697da6ee2292d,416b5a61cca2e6e9122cde276d1d3c974594c3fa78bbd048e0be21cf3a984a01
9,common_voice_ru_v24:common_voice_ru_25542082,common_voice_ru_25542082.mp3,test,common_voice_ru_v24:client:10ebb0ddd305f75fdedc965252115490eac0d48480cb0419761bf473c571a1ea97835de61ce6ffef72dbd83b0acdb0286534ed7fa9695bfc15b95bc3824a7a95,common_voice_ru_v24:client:10ebb0ddd305f75fdedc965252115490eac0d48480cb0419761bf473c571a1ea97835de61ce6ffef72dbd83b0acdb0286534ed7fa9695bfc15b95bc3824a7a95,09b1c87a479000c0c4decec9c9493852ff1002be43d059e1aa6fa67ed362e297,1bf41d25bb86d7c385d9eaeac65fbad4faace8360745905b1061bad6f7bd5ac8
10,common_voice_ru_v24:common_voice_ru_28761513,common_voice_ru_28761513.mp3,test,common_voice_ru_v24:client:1372a1de559132d15ddcf4476275ec3d39ff49529f88f021c35ef49d6466e5f877984b18352ceb0e8b01961190536f91294b5622f58d596176a3a4b4079b9534,common_voice_ru_v24:client:1372a1de559132d15ddcf4476275ec3d39ff49529f88f021c35ef49d6466e5f877984b18352ceb0e8b01961190536f91294b5622f58d596176a3a4b4079b9534,3e59c38b52505b9e0d986e32bc9303694af5ca350882168c773806275100c2ff,3cbc28d97bfe4b725ad51d2f1512712ffd4192d3d07ace59d8fdf03d9343d698
11,common_voice_ru_v24:common_voice_ru_20478835,common_voice_ru_20478835.mp3,test,common_voice_ru_v24:client:90da1f3af4a271943eb2cc5205fbec4aa5ba4bb7dee5398a343a4f9d5633c078ceef10e8540d8d1e21d03700ab700b90694c53858821c696190d6fbe3a29e872,common_voice_ru_v24:client:90da1f3af4a271943eb2cc5205fbec4aa5ba4bb7dee5398a343a4f9d5633c078ceef10e8540d8d1e21d03700ab700b90694c53858821c696190d6fbe3a29e872,fb59cc7100ccf725af84b66a53d2e31a340ac794b4af77bd9f61e8c1c2769f80,2c7fc48ce876a7ecfd6d423c7b8b414a04f12b981ac8da150d2fa00e3f8da649
12,common_voice_ru_v24:common_voice_ru_26888875,common_voice_ru_26888875.mp3,test,common_voice_ru_v24:client:6f6bda7e57685d9c59df41587b477b004bd939df7bea854a3fab5fabb7671fff73a209a868c9dd7e2ba24d8a21727365f2c9148512d2f58cab5cdd01be07b5f1,common_voice_ru_v24:client:6f6bda7e57685d9c59df41587b477b004bd939df7bea854a3fab5fabb7671fff73a209a868c9dd7e2ba24d8a21727365f2c9148512d2f58cab5cdd01be07b5f1,998dbaa2261727f2f118413fa1ed426c6cd5acdecc36afd2ea2bb6eded6f3a49,184068519989d6e722a2df30afc9afce453a5b98b3a08a272ecc8cdae9e69fee
13,common_voice_ru_v24:common_voice_ru_28136768,common_voice_ru_28136768.mp3,test,common_voice_ru_v24:client:75301ac5a530856d298a01b6cb2acc1ad2173081bf72e60a2a4553412d735b9850bd758769a2d6946292c3578ac3dbed1551b62f067f0fe0e7ad83002c81a16a,common_voice_ru_v24:client:75301ac5a530856d298a01b6cb2acc1ad2173081bf72e60a2a4553412d735b9850bd758769a2d6946292c3578ac3dbed1551b62f067f0fe0e7ad83002c81a16a,e751594906a0c6d673e96f1afd526de8fd8b41ef81be81c7e1dfbde5835c166a,4a28128ab1d880f07911e80b1586dd1df7b530e67cee078be533e3b3c82dadd9
14,common_voice_ru_v24:common_voice_ru_23928300,common_voice_ru_23928300.mp3,test,common_voice_ru_v24:client:405f56657b5e645d1c0bbdbd8f2c287a44ca2091734f0681ac5baafaf5a5aa3203eee69afa7ee379a86a06f1258dc726d2075492724807f3ef05c1f1f42e45d5,common_voice_ru_v24:client:405f56657b5e645d1c0bbdbd8f2c287a44ca2091734f0681ac5baafaf5a5aa3203eee69afa7ee379a86a06f1258dc726d2075492724807f3ef05c1f1f42e45d5,33cb6fe9f079aa17a46121dfb87256567bce8090a4e12343b843c1b0a3ed3fa3,ebe174d9610da65071940eb99bd1874d81f921e5f13ee409877ab2f15df79c99
15,common_voice_ru_v24:common_voice_ru_23942976,common_voice_ru_23942976.mp3,test,common_voice_ru_v24:client:44567fdc3ab50575c1bb7eba82e0bef8382d9dbb229c562c5fdc513dbf9ae8a48afb4d6f6a90317c84cdff0aaa6c0709e3c0700c9a9251749e9caf66302bb451,common_voice_ru_v24:client:44567fdc3ab50575c1bb7eba82e0bef8382d9dbb229c562c5fdc513dbf9ae8a48afb4d6f6a90317c84cdff0aaa6c0709e3c0700c9a9251749e9caf66302bb451,d435a2e1ad50c4c1ece5a5372cf37cd6835b2393e6c5cf46ded7ee83f0e41331,1095ba3bf596e572779627cc1d705689cc62172ae23dd8aeb2f470a2ed7ff901
16,common_voice_ru_v24:common_voice_ru_26244464,common_voice_ru_26244464.mp3,test,common_voice_ru_v24:client:56cbd733ddcd3defc3630e1e517c32de587db62efbab7acb816b41d50c30d1db0a9a4f51a9076eb46501736b6445e76f34d1d3b9815ae1d78a3f4f91363bea69,common_voice_ru_v24:client:56cbd733ddcd3defc3630e1e517c32de587db62efbab7acb816b41d50c30d1db0a9a4f51a9076eb46501736b6445e76f34d1d3b9815ae1d78a3f4f91363bea69,63e315b650af2428a57bab85c4b3bd447ce3338554e60242fc199fb282e39b05,f1dc5d3b80e69ed90b3fb9f45997cb2a2c5a84a4ac98b8dccee5dde0ad95547a
17,common_voice_ru_v24:common_voice_ru_25976645,common_voice_ru_25976645.mp3,test,common_voice_ru_v24:client:c2b682d9ee888ee6bacfc5ffdaebca7493993e35515a2c517fa0301a352a1cfc0e8bd6c9572ecbbb74ad0bdf23ad16727a3bf4e8de9bd87fd9b50275a4f76162,common_voice_ru_v24:client:c2b682d9ee888ee6bacfc5ffdaebca7493993e35515a2c517fa0301a352a1cfc0e8bd6c9572ecbbb74ad0bdf23ad16727a3bf4e8de9bd87fd9b50275a4f76162,470c7de24c52be8c2cfde0bdf57c6f85ddbcb94066cfdafed36a2116b8bf480d,7b9d14895b5e733e2efb396ebbdea7a1b862e94591e1ce592a841af131b050bb
