sample_id,relative_path,sha256,split,label,language,code_switch,parent_group_id,source_name,source_license,rights_basis,speaker_pseudo_id,text_id,text_hash,duration_s,generator_family,generator_name,generator_version,voice_id,clone_consent_id,device,capture_route,original_sr,codec,augmentation_chain,augmentation_seed,created_at
denis_1_0_mdc:0000000001_0300000050_General/0000000206,raw/denis_1_0_mdc_pre_qa_v1/denis_ru_001.webm,fee90af6ebf8b5b627b573f15cb2994c8d24c86de92a8261dc690b454092ab80,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:6c0ed1ba584a485229ba970aa98cbcb2167d0b53ea6ad938b9a8342ef8dabf35,6c0ed1ba584a485229ba970aa98cbcb2167d0b53ea6ad938b9a8342ef8dabf35,6.8735,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,ogg_opus_source_suffix_webm,,,2026-08-14T07:05:00+05:00
denis_1_0_mdc:4000000001_4000000300_CustomerService/4000000297,raw/denis_1_0_mdc_pre_qa_v1/denis_ru_002.webm,5038dc75566be382ce0ecbd21f95fab2158d379c86b3b6dffee698337ea7d197,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:dd3f8ea87921c843bd49a58871facc7bb6d9b04590df3ab57587c8b3c553180c,dd3f8ea87921c843bd49a58871facc7bb6d9b04590df3ab57587c8b3c553180c,6.2935,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,ogg_opus_source_suffix_webm,,,2026-08-14T07:05:00+05:00
denis_1_0_mdc:3000000001_3000000300_Chat/3000000049,raw/denis_1_0_mdc_pre_qa_v1/denis_ru_003.webm,e36540b67d349d0e5780a94991e3304b32eaad9358704937f5377eaf0cef2f27,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:0afc6f39d53c8b9f4c6317366d375ae1bd2e664caf8e8d711ed4bc0ac1342b19,0afc6f39d53c8b9f4c6317366d375ae1bd2e664caf8e8d711ed4bc0ac1342b19,4.9535,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,ogg_opus_source_suffix_webm,,,2026-08-14T07:05:00+05:00
denis_1_0_mdc:0000000001_0300000050_General/0200000075,raw/denis_1_0_mdc_pre_qa_v1/denis_ru_004.webm,abc34d06e1159373520a8566cc480a7c3064f66aa3bf664f541f815981f7e2b0,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:d91efa57bbde110592c1e6cf8b0f95c5a01e453949365bf3062b7ac95c849394,d91efa57bbde110592c1e6cf8b0f95c5a01e453949365bf3062b7ac95c849394,6.3335,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,ogg_opus_source_suffix_webm,,,2026-08-14T07:05:00+05:00
denis_1_0_mdc:4000000001_4000000300_CustomerService/4000000076,raw/denis_1_0_mdc_pre_qa_v1/denis_ru_005.webm,00547420a2e6045ee1a94e9ff0d3daee673d06a0774bc99097059b1284837249,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:330c56cc47e9610670539b20a8d1639ac61d3dae9be07deab87a5c3588fdc0ab,330c56cc47e9610670539b20a8d1639ac61d3dae9be07deab87a5c3588fdc0ab,9.9535,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,ogg_opus_source_suffix_webm,,,2026-08-14T07:05:00+05:00
denis_1_0_mdc:3000000001_3000000300_Chat/3000000189,raw/denis_1_0_mdc_pre_qa_v1/denis_ru_006.webm,d838934e1e0ab6cbada1b1a261a8791bc1fe5d9010f8104952d3a8daeaba112f,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:1dda816fd8a015e042cdfb15ae34511ffbb07f16b8a0861e220e8379fa6a6717,1dda816fd8a015e042cdfb15ae34511ffbb07f16b8a0861e220e8379fa6a6717,4.7535,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,ogg_opus_source_suffix_webm,,,2026-08-14T07:05:00+05:00
denis_1_0_mdc:0000000001_0300000050_General/0000000270,raw/denis_1_0_mdc_pre_qa_v1/denis_ru_007.webm,2162093bc5e9266cb83c5a57fd2eab72c247699f31e8ff57f344292b0b69778e,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:f27c06ad2b59e1576bf2b0f3159956f9ca31ecd8adb728f3a82c3d007e84e2e3,f27c06ad2b59e1576bf2b0f3159956f9ca31ecd8adb728f3a82c3d007e84e2e3,4.4335,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,ogg_opus_source_suffix_webm,,,2026-08-14T07:05:00+05:00
denis_1_0_mdc:4000000001_4000000300_CustomerService/4000000001,raw/denis_1_0_mdc_pre_qa_v1/denis_ru_008.webm,7b15112cdfe0632b566d4acab953fbf07f3e12ef31908207d2352f2b000faa4c,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:d682f608d4caa4244fd72033e565c02adf1d66a0a50604378aa75b971c1f2515,d682f608d4caa4244fd72033e565c02adf1d66a0a50604378aa75b971c1f2515,4.4735,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,ogg_opus_source_suffix_webm,,,2026-08-14T07:05:00+05:00
denis_1_0_mdc:3000000001_3000000300_Chat/3000000257,raw/denis_1_0_mdc_pre_qa_v1/denis_ru_009.webm,2ec7c5b641638f03162194fb5aaae23e53c2114e10a292c7b52a855fc5539319,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:7758a3cb5b0f998640c67d348b648f1bbbf9e4324ffea5bef75b0cf97d475316,7758a3cb5b0f998640c67d348b648f1bbbf9e4324ffea5bef75b0cf97d475316,4.2335,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,ogg_opus_source_suffix_webm,,,2026-08-14T07:05:00+05:00
denis_1_0_mdc:0000000001_0300000050_General/0100000002,raw/denis_1_0_mdc_pre_qa_v1/denis_ru_010.webm,20c9e72f3a67daeb983ca48ca0ec287cd88f30659919da1f302a62c7d3b33ee8,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:7acb1833e41b304566c36c72ec10bd006ccaf62922a6f53d61b8e4fe285f4897,7acb1833e41b304566c36c72ec10bd006ccaf62922a6f53d61b8e4fe285f4897,3.3935,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,ogg_opus_source_suffix_webm,,,2026-08-14T07:05:00+05:00
denis_1_0_mdc:4000000001_4000000300_CustomerService/4000000285,raw/denis_1_0_mdc_pre_qa_v1/denis_ru_011.webm,2c70e2f3f27de17b3c3f445ec06761c6f25475c29a5dfd6e14b1754da1c43fa8,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:98b6ecb6afa19e2f74d9da000399a1d75b6e2919dacd5ce9aecf6bd865ac2270,98b6ecb6afa19e2f74d9da000399a1d75b6e2919dacd5ce9aecf6bd865ac2270,6.8735,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,ogg_opus_source_suffix_webm,,,2026-08-14T07:05:00+05:00
