sample_id,relative_path,sha256,split,label,language,code_switch,parent_group_id,source_name,source_license,rights_basis,speaker_pseudo_id,text_id,text_hash,duration_s,generator_family,generator_name,generator_version,voice_id,clone_consent_id,device,capture_route,original_sr,codec,augmentation_chain,augmentation_seed,created_at
denis_1_0_mdc:0000000001_0300000050_General/0000000206,processed/fe/fee90af6ebf8b5b627b573f15cb2994c8d24c86de92a8261dc690b454092ab80.wav,04c1c31c4163c51171792a3ae545d8b00b88658c49859b709fea887d0caf7015,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:6c0ed1ba584a485229ba970aa98cbcb2167d0b53ea6ad938b9a8342ef8dabf35,6c0ed1ba584a485229ba970aa98cbcb2167d0b53ea6ad938b9a8342ef8dabf35,6.8735,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,wav,,,2026-08-14T07:05:00+05:00
denis_1_0_mdc:4000000001_4000000300_CustomerService/4000000297,processed/50/5038dc75566be382ce0ecbd21f95fab2158d379c86b3b6dffee698337ea7d197.wav,160d7577a5f8267f29afa95564d7694262f2fae1005bcff4e10b2cef1d161753,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:dd3f8ea87921c843bd49a58871facc7bb6d9b04590df3ab57587c8b3c553180c,dd3f8ea87921c843bd49a58871facc7bb6d9b04590df3ab57587c8b3c553180c,6.2935,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,wav,,,2026-08-14T07:05:00+05:00
denis_1_0_mdc:3000000001_3000000300_Chat/3000000049,processed/e3/e36540b67d349d0e5780a94991e3304b32eaad9358704937f5377eaf0cef2f27.wav,face56f296dbda2b751bd3b02f877c90ac68f76ddfae2400a6e09bc98a926349,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:0afc6f39d53c8b9f4c6317366d375ae1bd2e664caf8e8d711ed4bc0ac1342b19,0afc6f39d53c8b9f4c6317366d375ae1bd2e664caf8e8d711ed4bc0ac1342b19,4.9535,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,wav,,,2026-08-14T07:05:00+05:00
denis_1_0_mdc:0000000001_0300000050_General/0200000075,processed/ab/abc34d06e1159373520a8566cc480a7c3064f66aa3bf664f541f815981f7e2b0.wav,d0f9a66778a6f58453f304bc65b711f5b32eb3760ae98d2bafea9dd6922c4d10,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:d91efa57bbde110592c1e6cf8b0f95c5a01e453949365bf3062b7ac95c849394,d91efa57bbde110592c1e6cf8b0f95c5a01e453949365bf3062b7ac95c849394,6.3335,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,wav,,,2026-08-14T07:05:00+05:00
denis_1_0_mdc:4000000001_4000000300_CustomerService/4000000076,processed/00/00547420a2e6045ee1a94e9ff0d3daee673d06a0774bc99097059b1284837249.wav,29df54377a671c23eeea774eb6835ae2f9e19fbaa1bfe13dc0f1d6feae1067f0,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:330c56cc47e9610670539b20a8d1639ac61d3dae9be07deab87a5c3588fdc0ab,330c56cc47e9610670539b20a8d1639ac61d3dae9be07deab87a5c3588fdc0ab,9.9535,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,wav,,,2026-08-14T07:05:00+05:00
denis_1_0_mdc:3000000001_3000000300_Chat/3000000189,processed/d8/d838934e1e0ab6cbada1b1a261a8791bc1fe5d9010f8104952d3a8daeaba112f.wav,66a760632a3276de671ddd0fb60d79693bec0a0e10e655775294e54a2a7fed9e,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:1dda816fd8a015e042cdfb15ae34511ffbb07f16b8a0861e220e8379fa6a6717,1dda816fd8a015e042cdfb15ae34511ffbb07f16b8a0861e220e8379fa6a6717,4.7535,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,wav,,,2026-08-14T07:05:00+05:00
denis_1_0_mdc:0000000001_0300000050_General/0000000270,processed/21/2162093bc5e9266cb83c5a57fd2eab72c247699f31e8ff57f344292b0b69778e.wav,d2bcefab002e5de6867700052897e538ab123ea6bc42161f758e29d38a06cdea,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:f27c06ad2b59e1576bf2b0f3159956f9ca31ecd8adb728f3a82c3d007e84e2e3,f27c06ad2b59e1576bf2b0f3159956f9ca31ecd8adb728f3a82c3d007e84e2e3,4.4335,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,wav,,,2026-08-14T07:05:00+05:00
denis_1_0_mdc:4000000001_4000000300_CustomerService/4000000001,processed/7b/7b15112cdfe0632b566d4acab953fbf07f3e12ef31908207d2352f2b000faa4c.wav,7bee3735e13bf211a27d1f8fb7ba5a7cd1857f26340a52b894206c4a07570fec,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:d682f608d4caa4244fd72033e565c02adf1d66a0a50604378aa75b971c1f2515,d682f608d4caa4244fd72033e565c02adf1d66a0a50604378aa75b971c1f2515,4.4735,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,wav,,,2026-08-14T07:05:00+05:00
denis_1_0_mdc:3000000001_3000000300_Chat/3000000257,processed/2e/2ec7c5b641638f03162194fb5aaae23e53c2114e10a292c7b52a855fc5539319.wav,bdaa1bb8e9a0381eeebc97305a8931fb9ea4e4d1a67fc40fea4a6a064e92434e,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:7758a3cb5b0f998640c67d348b648f1bbbf9e4324ffea5bef75b0cf97d475316,7758a3cb5b0f998640c67d348b648f1bbbf9e4324ffea5bef75b0cf97d475316,4.2335,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,wav,,,2026-08-14T07:05:00+05:00
denis_1_0_mdc:4000000001_4000000300_CustomerService/4000000285,processed/2c/2c70e2f3f27de17b3c3f445ec06761c6f25475c29a5dfd6e14b1754da1c43fa8.wav,7a81117c3f8fb63f5ef9909e6b7b145c2a16f30c9314468bbb512698b2c3117b,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:98b6ecb6afa19e2f74d9da000399a1d75b6e2919dacd5ce9aecf6bd865ac2270,98b6ecb6afa19e2f74d9da000399a1d75b6e2919dacd5ce9aecf6bd865ac2270,6.8735,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,wav,,,2026-08-14T07:05:00+05:00
denis_1_0_mdc:3000000001_3000000300_Chat/3000000147,processed/66/661c11c586419bb81007ace47ef61fb90262ee888ccd2eaab1e04de8d9068e31.wav,a14c16ac4d4d28966ca73cacba1c705a4e18364a9e93d66e2bacd120c1ea628d,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:4411630522f6f2042e0e2aaec03da7eb3a222f78359a16fbbcaff50759dc3a22,4411630522f6f2042e0e2aaec03da7eb3a222f78359a16fbbcaff50759dc3a22,3.9135,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,wav,,,2026-08-14T07:05:00+05:00
denis_1_0_mdc:0000000001_0300000050_General/0200000081,processed/51/51897d1a72b0f4a56c9afbeda93253b0fb2bab959cb36e6c5689fc2b515cd80f.wav,5abdfd71214e28d02545f5feb632773a3328d7e1107f33f147711adb76b137c5,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:e4c4630c2d2d042016755f93ca713be20bd15793f0e74c5d3dc9f80b543f1216,e4c4630c2d2d042016755f93ca713be20bd15793f0e74c5d3dc9f80b543f1216,6.3335,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,wav,,,2026-08-14T07:05:00+05:00
denis_1_0_mdc:4000000001_4000000300_CustomerService/4000000174,processed/b0/b0945cf1c0c8ecfaf53a9e43c6e3c31d57cc22b9926b19942f75f3b93f4d0777.wav,a33e595b0cf1e1a07d15f512926fbb88d8a9dd426e781d7a6b9db9d27953e4a6,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:f7ea9f051e2184528441d04e985f85d42b725a0f6e163229c0216f56067eb350,f7ea9f051e2184528441d04e985f85d42b725a0f6e163229c0216f56067eb350,7.3935,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,wav,,,2026-08-14T07:05:00+05:00
denis_1_0_mdc:0000000001_0300000050_General/0300000010,processed/b7/b759b460ce2e9690e815db9f4ec9dae8be7e459152a8aa9a0f117ded632dbe43.wav,5e9261d2d3bf42fe3700b796c0225a2ff79ab256f1b5f7878c86922d110e3d84,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:6e4a75bdfed161b91016e09324109534147b098817b640fdfa4bfa738aee7f46,6e4a75bdfed161b91016e09324109534147b098817b640fdfa4bfa738aee7f46,4.2335,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,wav,,,2026-08-14T07:05:00+05:00
denis_1_0_mdc:4000000001_4000000300_CustomerService/4000000125,processed/25/251fbe1e63d4e3523534b72642426bf4b32a151b7c2f113ef1d1c0e18fbbd218.wav,01b3930000f72dea8c55f354f34160ca151893687e84092a7653e3f0f79596c7,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:90daa45c3d6b79e263e4e9f4d369aad893f2ce42defa424d6dac7fe7970c1b54,90daa45c3d6b79e263e4e9f4d369aad893f2ce42defa424d6dac7fe7970c1b54,3.9335,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,wav,,,2026-08-14T07:05:00+05:00
