selection_rank,sample_id,member_stem,category,parent_group_id,speaker_pseudo_id,text_id,literal_text_sha256,whitespace_canonical_text_sha256,nfkc_whitespace_canonical_text_sha256,source_audio_sha256,source_audio_size_bytes
1,denis_1_0_mdc:0000000001_0300000050_General/0000000206,ru-RU/0000000001_0300000050_General/0000000206,0000000001_0300000050_General,denis_1_0_mdc:speaker:single,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:6c0ed1ba584a485229ba970aa98cbcb2167d0b53ea6ad938b9a8342ef8dabf35,6c0ed1ba584a485229ba970aa98cbcb2167d0b53ea6ad938b9a8342ef8dabf35,6c0ed1ba584a485229ba970aa98cbcb2167d0b53ea6ad938b9a8342ef8dabf35,6c0ed1ba584a485229ba970aa98cbcb2167d0b53ea6ad938b9a8342ef8dabf35,fee90af6ebf8b5b627b573f15cb2994c8d24c86de92a8261dc690b454092ab80,111945
2,denis_1_0_mdc:4000000001_4000000300_CustomerService/4000000297,ru-RU/4000000001_4000000300_CustomerService/4000000297,4000000001_4000000300_CustomerService,denis_1_0_mdc:speaker:single,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:dd3f8ea87921c843bd49a58871facc7bb6d9b04590df3ab57587c8b3c553180c,dd3f8ea87921c843bd49a58871facc7bb6d9b04590df3ab57587c8b3c553180c,dd3f8ea87921c843bd49a58871facc7bb6d9b04590df3ab57587c8b3c553180c,dd3f8ea87921c843bd49a58871facc7bb6d9b04590df3ab57587c8b3c553180c,5038dc75566be382ce0ecbd21f95fab2158d379c86b3b6dffee698337ea7d197,102521
3,denis_1_0_mdc:3000000001_3000000300_Chat/3000000049,ru-RU/3000000001_3000000300_Chat/3000000049,3000000001_3000000300_Chat,denis_1_0_mdc:speaker:single,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:0afc6f39d53c8b9f4c6317366d375ae1bd2e664caf8e8d711ed4bc0ac1342b19,0afc6f39d53c8b9f4c6317366d375ae1bd2e664caf8e8d711ed4bc0ac1342b19,0afc6f39d53c8b9f4c6317366d375ae1bd2e664caf8e8d711ed4bc0ac1342b19,0afc6f39d53c8b9f4c6317366d375ae1bd2e664caf8e8d711ed4bc0ac1342b19,e36540b67d349d0e5780a94991e3304b32eaad9358704937f5377eaf0cef2f27,80746
4,denis_1_0_mdc:0000000001_0300000050_General/0200000075,ru-RU/0000000001_0300000050_General/0200000075,0000000001_0300000050_General,denis_1_0_mdc:speaker:single,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:d91efa57bbde110592c1e6cf8b0f95c5a01e453949365bf3062b7ac95c849394,d91efa57bbde110592c1e6cf8b0f95c5a01e453949365bf3062b7ac95c849394,d91efa57bbde110592c1e6cf8b0f95c5a01e453949365bf3062b7ac95c849394,d91efa57bbde110592c1e6cf8b0f95c5a01e453949365bf3062b7ac95c849394,abc34d06e1159373520a8566cc480a7c3064f66aa3bf664f541f815981f7e2b0,103169
5,denis_1_0_mdc:4000000001_4000000300_CustomerService/4000000076,ru-RU/4000000001_4000000300_CustomerService/4000000076,4000000001_4000000300_CustomerService,denis_1_0_mdc:speaker:single,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:330c56cc47e9610670539b20a8d1639ac61d3dae9be07deab87a5c3588fdc0ab,330c56cc47e9610670539b20a8d1639ac61d3dae9be07deab87a5c3588fdc0ab,330c56cc47e9610670539b20a8d1639ac61d3dae9be07deab87a5c3588fdc0ab,330c56cc47e9610670539b20a8d1639ac61d3dae9be07deab87a5c3588fdc0ab,00547420a2e6045ee1a94e9ff0d3daee673d06a0774bc99097059b1284837249,162011
6,denis_1_0_mdc:3000000001_3000000300_Chat/3000000189,ru-RU/3000000001_3000000300_Chat/3000000189,3000000001_3000000300_Chat,denis_1_0_mdc:speaker:single,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:1dda816fd8a015e042cdfb15ae34511ffbb07f16b8a0861e220e8379fa6a6717,1dda816fd8a015e042cdfb15ae34511ffbb07f16b8a0861e220e8379fa6a6717,1dda816fd8a015e042cdfb15ae34511ffbb07f16b8a0861e220e8379fa6a6717,1dda816fd8a015e042cdfb15ae34511ffbb07f16b8a0861e220e8379fa6a6717,d838934e1e0ab6cbada1b1a261a8791bc1fe5d9010f8104952d3a8daeaba112f,77488
7,denis_1_0_mdc:0000000001_0300000050_General/0000000270,ru-RU/0000000001_0300000050_General/0000000270,0000000001_0300000050_General,denis_1_0_mdc:speaker:single,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:f27c06ad2b59e1576bf2b0f3159956f9ca31ecd8adb728f3a82c3d007e84e2e3,f27c06ad2b59e1576bf2b0f3159956f9ca31ecd8adb728f3a82c3d007e84e2e3,f27c06ad2b59e1576bf2b0f3159956f9ca31ecd8adb728f3a82c3d007e84e2e3,f27c06ad2b59e1576bf2b0f3159956f9ca31ecd8adb728f3a82c3d007e84e2e3,2162093bc5e9266cb83c5a57fd2eab72c247699f31e8ff57f344292b0b69778e,72295
8,denis_1_0_mdc:4000000001_4000000300_CustomerService/4000000001,ru-RU/4000000001_4000000300_CustomerService/4000000001,4000000001_4000000300_CustomerService,denis_1_0_mdc:speaker:single,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:d682f608d4caa4244fd72033e565c02adf1d66a0a50604378aa75b971c1f2515,d682f608d4caa4244fd72033e565c02adf1d66a0a50604378aa75b971c1f2515,d682f608d4caa4244fd72033e565c02adf1d66a0a50604378aa75b971c1f2515,d682f608d4caa4244fd72033e565c02adf1d66a0a50604378aa75b971c1f2515,7b15112cdfe0632b566d4acab953fbf07f3e12ef31908207d2352f2b000faa4c,72942
9,denis_1_0_mdc:3000000001_3000000300_Chat/3000000257,ru-RU/3000000001_3000000300_Chat/3000000257,3000000001_3000000300_Chat,denis_1_0_mdc:speaker:single,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:7758a3cb5b0f998640c67d348b648f1bbbf9e4324ffea5bef75b0cf97d475316,7758a3cb5b0f998640c67d348b648f1bbbf9e4324ffea5bef75b0cf97d475316,7758a3cb5b0f998640c67d348b648f1bbbf9e4324ffea5bef75b0cf97d475316,7758a3cb5b0f998640c67d348b648f1bbbf9e4324ffea5bef75b0cf97d475316,2ec7c5b641638f03162194fb5aaae23e53c2114e10a292c7b52a855fc5539319,69040
10,denis_1_0_mdc:0000000001_0300000050_General/0100000002,ru-RU/0000000001_0300000050_General/0100000002,0000000001_0300000050_General,denis_1_0_mdc:speaker:single,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:7acb1833e41b304566c36c72ec10bd006ccaf62922a6f53d61b8e4fe285f4897,7acb1833e41b304566c36c72ec10bd006ccaf62922a6f53d61b8e4fe285f4897,7acb1833e41b304566c36c72ec10bd006ccaf62922a6f53d61b8e4fe285f4897,7acb1833e41b304566c36c72ec10bd006ccaf62922a6f53d61b8e4fe285f4897,20c9e72f3a67daeb983ca48ca0ec287cd88f30659919da1f302a62c7d3b33ee8,55392
