sample_id,relative_path,sha256,split,label,language,code_switch,parent_group_id,source_name,source_license,rights_basis,speaker_pseudo_id,text_id,text_hash,duration_s,generator_family,generator_name,generator_version,voice_id,clone_consent_id,device,capture_route,original_sr,codec,augmentation_chain,augmentation_seed,created_at
voxcpm2_official_text_only_v1:07b12272b85807c66fff,processed/da/dab00ce5c720b1a549620b59f9ae1702d288b96b3a295fa3a42870b85bc069ec.wav,5464e2be840466aaa9876d42e7c655a15dcd8690e01dd1a919db2506d057d61c,ood,spoof,ru,false,voxcpm2_official_text_only_v1:fixed-profile:voxcpm2:default_voice_identity_unknown,voxcpm2_official_text_only_v1,Apache-2.0 published model/code; training-source overlap remains unverified; personal-research external holdout only,"Offline collapse-whitespace text-only derivative of CC0 Denis text denis_1_0_mdc:text:61d1873a57b1391bd2a825d352d0036ab020b79f0864c30b72905166abeae49b; Apache-2.0 published model/code; training-source overlap remains unverified; personal-research external holdout only; personal-research external generator-family holdout only; no reference/prompt audio, voice cloning, LoRA, denoiser, semantic normalizer, retry, replacement or network access; language provenance is intended input until independent acoustic review",voxcpm2_official_text_only_v1:synthetic-profile:voxcpm2:default_voice_identity_unknown,denis_1_0_mdc:text:61d1873a57b1391bd2a825d352d0036ab020b79f0864c30b72905166abeae49b,61d1873a57b1391bd2a825d352d0036ab020b79f0864c30b72905166abeae49b,5.6,openbmb_voxcpm2_official_text_only,Official OpenBMB VoxCPM2 text-only default voice,model-bffb3df5a29440629464e5e839f4d214c8714c3d; source-ee8161e9e1b7b082cb5721a3a9980da4204401e6; wrapper-3dcc290594a6af2670203b1dfd9ff500b96dbaf425b5ebe21011abfe57f12cbd,voxcpm2:default_voice_identity_unknown,not_applicable:fixed_pretrained_tts_no_reference_audio,cuda:0,offline_local_voxcpm2_official_text_only_default_voice,48000,wav,language_provenance=intended_input_text_only;literal_source_text_sha256=61d1873a57b1391bd2a825d352d0036ab020b79f0864c30b72905166abeae49b;collapse_whitespace_text_sha256=61d1873a57b1391bd2a825d352d0036ab020b79f0864c30b72905166abeae49b;rng_seed=20260814;reference_audio=forbidden;prompt_audio=forbidden;prompt_text=forbidden;lora=forbidden;normalize=false;denoise=false;retry=false,20260814,2026-08-14T11:50:00+05:00
voxcpm2_official_text_only_v1:0c90df90837a2ec2da9e,processed/0d/0d1d78988b280f84671ffc9047bdace2b1b404bb16ac6f4912e7297afb4622f1.wav,632c98ef27195aa93b74f215a908fb7174b42e5869246c5f14e196b423876c3f,ood,spoof,ru,false,voxcpm2_official_text_only_v1:fixed-profile:voxcpm2:default_voice_identity_unknown,voxcpm2_official_text_only_v1,Apache-2.0 published model/code; training-source overlap remains unverified; personal-research external holdout only,"Offline collapse-whitespace text-only derivative of CC0 Denis text denis_1_0_mdc:text:a72fca7afece5471370c587e349291d8a93636ce034daed52b39f8354b64d2f4; Apache-2.0 published model/code; training-source overlap remains unverified; personal-research external holdout only; personal-research external generator-family holdout only; no reference/prompt audio, voice cloning, LoRA, denoiser, semantic normalizer, retry, replacement or network access; language provenance is intended input until independent acoustic review",voxcpm2_official_text_only_v1:synthetic-profile:voxcpm2:default_voice_identity_unknown,denis_1_0_mdc:text:a72fca7afece5471370c587e349291d8a93636ce034daed52b39f8354b64d2f4,a72fca7afece5471370c587e349291d8a93636ce034daed52b39f8354b64d2f4,11.36,openbmb_voxcpm2_official_text_only,Official OpenBMB VoxCPM2 text-only default voice,model-bffb3df5a29440629464e5e839f4d214c8714c3d; source-ee8161e9e1b7b082cb5721a3a9980da4204401e6; wrapper-3dcc290594a6af2670203b1dfd9ff500b96dbaf425b5ebe21011abfe57f12cbd,voxcpm2:default_voice_identity_unknown,not_applicable:fixed_pretrained_tts_no_reference_audio,cuda:0,offline_local_voxcpm2_official_text_only_default_voice,48000,wav,language_provenance=intended_input_text_only;literal_source_text_sha256=a72fca7afece5471370c587e349291d8a93636ce034daed52b39f8354b64d2f4;collapse_whitespace_text_sha256=a72fca7afece5471370c587e349291d8a93636ce034daed52b39f8354b64d2f4;rng_seed=20260814;reference_audio=forbidden;prompt_audio=forbidden;prompt_text=forbidden;lora=forbidden;normalize=false;denoise=false;retry=false,20260814,2026-08-14T11:50:00+05:00
voxcpm2_official_text_only_v1:1356d86e905644bab461,processed/b3/b30dc9f1d7bf57b4163a1b81f45ba926c0dc98558d8bc322d31afe22db49668b.wav,1d5854991f52143814f59d1a5c700e20975b89611a2784496e817f538b1daa94,ood,spoof,ru,false,voxcpm2_official_text_only_v1:fixed-profile:voxcpm2:default_voice_identity_unknown,voxcpm2_official_text_only_v1,Apache-2.0 published model/code; training-source overlap remains unverified; personal-research external holdout only,"Offline collapse-whitespace text-only derivative of CC0 Denis text denis_1_0_mdc:text:330c56cc47e9610670539b20a8d1639ac61d3dae9be07deab87a5c3588fdc0ab; Apache-2.0 published model/code; training-source overlap remains unverified; personal-research external holdout only; personal-research external generator-family holdout only; no reference/prompt audio, voice cloning, LoRA, denoiser, semantic normalizer, retry, replacement or network access; language provenance is intended input until independent acoustic review",voxcpm2_official_text_only_v1:synthetic-profile:voxcpm2:default_voice_identity_unknown,denis_1_0_mdc:text:330c56cc47e9610670539b20a8d1639ac61d3dae9be07deab87a5c3588fdc0ab,330c56cc47e9610670539b20a8d1639ac61d3dae9be07deab87a5c3588fdc0ab,6.08,openbmb_voxcpm2_official_text_only,Official OpenBMB VoxCPM2 text-only default voice,model-bffb3df5a29440629464e5e839f4d214c8714c3d; source-ee8161e9e1b7b082cb5721a3a9980da4204401e6; wrapper-3dcc290594a6af2670203b1dfd9ff500b96dbaf425b5ebe21011abfe57f12cbd,voxcpm2:default_voice_identity_unknown,not_applicable:fixed_pretrained_tts_no_reference_audio,cuda:0,offline_local_voxcpm2_official_text_only_default_voice,48000,wav,language_provenance=intended_input_text_only;literal_source_text_sha256=330c56cc47e9610670539b20a8d1639ac61d3dae9be07deab87a5c3588fdc0ab;collapse_whitespace_text_sha256=330c56cc47e9610670539b20a8d1639ac61d3dae9be07deab87a5c3588fdc0ab;rng_seed=20260814;reference_audio=forbidden;prompt_audio=forbidden;prompt_text=forbidden;lora=forbidden;normalize=false;denoise=false;retry=false,20260814,2026-08-14T11:50:00+05:00
voxcpm2_official_text_only_v1:166fd40cb6c58a0d6bf6,processed/ec/ec1e463ac3173459260b273782f07ecf72d4c2f0b7a3b3faebb02cd446670907.wav,c373d11070d4e00a8dd648bb893218142eb0362711001bcc2684da211d54bd20,ood,spoof,ru,false,voxcpm2_official_text_only_v1:fixed-profile:voxcpm2:default_voice_identity_unknown,voxcpm2_official_text_only_v1,Apache-2.0 published model/code; training-source overlap remains unverified; personal-research external holdout only,"Offline collapse-whitespace text-only derivative of CC0 Denis text denis_1_0_mdc:text:4c57a0155668063ff1bbcb2cafed2bbfda18f2f289ffa8d840660aaf0e95c1e1; Apache-2.0 published model/code; training-source overlap remains unverified; personal-research external holdout only; personal-research external generator-family holdout only; no reference/prompt audio, voice cloning, LoRA, denoiser, semantic normalizer, retry, replacement or network access; language provenance is intended input until independent acoustic review",voxcpm2_official_text_only_v1:synthetic-profile:voxcpm2:default_voice_identity_unknown,denis_1_0_mdc:text:4c57a0155668063ff1bbcb2cafed2bbfda18f2f289ffa8d840660aaf0e95c1e1,4c57a0155668063ff1bbcb2cafed2bbfda18f2f289ffa8d840660aaf0e95c1e1,2.72,openbmb_voxcpm2_official_text_only,Official OpenBMB VoxCPM2 text-only default voice,model-bffb3df5a29440629464e5e839f4d214c8714c3d; source-ee8161e9e1b7b082cb5721a3a9980da4204401e6; wrapper-3dcc290594a6af2670203b1dfd9ff500b96dbaf425b5ebe21011abfe57f12cbd,voxcpm2:default_voice_identity_unknown,not_applicable:fixed_pretrained_tts_no_reference_audio,cuda:0,offline_local_voxcpm2_official_text_only_default_voice,48000,wav,language_provenance=intended_input_text_only;literal_source_text_sha256=4c57a0155668063ff1bbcb2cafed2bbfda18f2f289ffa8d840660aaf0e95c1e1;collapse_whitespace_text_sha256=4c57a0155668063ff1bbcb2cafed2bbfda18f2f289ffa8d840660aaf0e95c1e1;rng_seed=20260814;reference_audio=forbidden;prompt_audio=forbidden;prompt_text=forbidden;lora=forbidden;normalize=false;denoise=false;retry=false,20260814,2026-08-14T11:50:00+05:00
voxcpm2_official_text_only_v1:1a60813ea0230c7a38f9,processed/33/333458eb2534940432ee31325cbf707d23d286301442bcea0fc31646f51f3ff3.wav,8199be18e9d637bf4dfa42f55a7664a8914e3296eed5e17f478d20264055753f,ood,spoof,ru,false,voxcpm2_official_text_only_v1:fixed-profile:voxcpm2:default_voice_identity_unknown,voxcpm2_official_text_only_v1,Apache-2.0 published model/code; training-source overlap remains unverified; personal-research external holdout only,"Offline collapse-whitespace text-only derivative of CC0 Denis text denis_1_0_mdc:text:563a4dbde35789f96699cf4272b115a8026d151652736148c98acaee149ed9d9; Apache-2.0 published model/code; training-source overlap remains unverified; personal-research external holdout only; personal-research external generator-family holdout only; no reference/prompt audio, voice cloning, LoRA, denoiser, semantic normalizer, retry, replacement or network access; language provenance is intended input until independent acoustic review",voxcpm2_official_text_only_v1:synthetic-profile:voxcpm2:default_voice_identity_unknown,denis_1_0_mdc:text:563a4dbde35789f96699cf4272b115a8026d151652736148c98acaee149ed9d9,563a4dbde35789f96699cf4272b115a8026d151652736148c98acaee149ed9d9,7.52,openbmb_voxcpm2_official_text_only,Official OpenBMB VoxCPM2 text-only default voice,model-bffb3df5a29440629464e5e839f4d214c8714c3d; source-ee8161e9e1b7b082cb5721a3a9980da4204401e6; wrapper-3dcc290594a6af2670203b1dfd9ff500b96dbaf425b5ebe21011abfe57f12cbd,voxcpm2:default_voice_identity_unknown,not_applicable:fixed_pretrained_tts_no_reference_audio,cuda:0,offline_local_voxcpm2_official_text_only_default_voice,48000,wav,language_provenance=intended_input_text_only;literal_source_text_sha256=563a4dbde35789f96699cf4272b115a8026d151652736148c98acaee149ed9d9;collapse_whitespace_text_sha256=563a4dbde35789f96699cf4272b115a8026d151652736148c98acaee149ed9d9;rng_seed=20260814;reference_audio=forbidden;prompt_audio=forbidden;prompt_text=forbidden;lora=forbidden;normalize=false;denoise=false;retry=false,20260814,2026-08-14T11:50:00+05:00
voxcpm2_official_text_only_v1:2b2d1ee3b2a66b9fb40e,processed/17/174151953f4aa77cba3aeed4d21a96ef826eab19d22cae21e894d484e59fcaa6.wav,5e9cefc24ab8db0bf617b3b735448b58ec6e413923a133183846581093926f64,ood,spoof,ru,false,voxcpm2_official_text_only_v1:fixed-profile:voxcpm2:default_voice_identity_unknown,voxcpm2_official_text_only_v1,Apache-2.0 published model/code; training-source overlap remains unverified; personal-research external holdout only,"Offline collapse-whitespace text-only derivative of CC0 Denis text denis_1_0_mdc:text:d51f2d459c195e81f36fc7bbf79fb7831b30ad0afd4b751fca1c36a19bdb7ce5; Apache-2.0 published model/code; training-source overlap remains unverified; personal-research external holdout only; personal-research external generator-family holdout only; no reference/prompt audio, voice cloning, LoRA, denoiser, semantic normalizer, retry, replacement or network access; language provenance is intended input until independent acoustic review",voxcpm2_official_text_only_v1:synthetic-profile:voxcpm2:default_voice_identity_unknown,denis_1_0_mdc:text:d51f2d459c195e81f36fc7bbf79fb7831b30ad0afd4b751fca1c36a19bdb7ce5,d51f2d459c195e81f36fc7bbf79fb7831b30ad0afd4b751fca1c36a19bdb7ce5,4.8,openbmb_voxcpm2_official_text_only,Official OpenBMB VoxCPM2 text-only default voice,model-bffb3df5a29440629464e5e839f4d214c8714c3d; source-ee8161e9e1b7b082cb5721a3a9980da4204401e6; wrapper-3dcc290594a6af2670203b1dfd9ff500b96dbaf425b5ebe21011abfe57f12cbd,voxcpm2:default_voice_identity_unknown,not_applicable:fixed_pretrained_tts_no_reference_audio,cuda:0,offline_local_voxcpm2_official_text_only_default_voice,48000,wav,language_provenance=intended_input_text_only;literal_source_text_sha256=d51f2d459c195e81f36fc7bbf79fb7831b30ad0afd4b751fca1c36a19bdb7ce5;collapse_whitespace_text_sha256=d51f2d459c195e81f36fc7bbf79fb7831b30ad0afd4b751fca1c36a19bdb7ce5;rng_seed=20260814;reference_audio=forbidden;prompt_audio=forbidden;prompt_text=forbidden;lora=forbidden;normalize=false;denoise=false;retry=false,20260814,2026-08-14T11:50:00+05:00
voxcpm2_official_text_only_v1:2c4d92fa2b5ec9175cd9,processed/ae/ae621582bdadcb78bf01e71bd4737aaa830ade342907a0c6b3eb9566d215eb3c.wav,8d3f7137080bf52ac4a82ff69d57e3f0c2ea298f0fdefffc92d9923489a5f81b,ood,spoof,ru,false,voxcpm2_official_text_only_v1:fixed-profile:voxcpm2:default_voice_identity_unknown,voxcpm2_official_text_only_v1,Apache-2.0 published model/code; training-source overlap remains unverified; personal-research external holdout only,"Offline collapse-whitespace text-only derivative of CC0 Denis text denis_1_0_mdc:text:993394afde3e77a5e3e6a381ddc3d1799a13e6a1125d4ce167bc96445ddaddf2; Apache-2.0 published model/code; training-source overlap remains unverified; personal-research external holdout only; personal-research external generator-family holdout only; no reference/prompt audio, voice cloning, LoRA, denoiser, semantic normalizer, retry, replacement or network access; language provenance is intended input until independent acoustic review",voxcpm2_official_text_only_v1:synthetic-profile:voxcpm2:default_voice_identity_unknown,denis_1_0_mdc:text:993394afde3e77a5e3e6a381ddc3d1799a13e6a1125d4ce167bc96445ddaddf2,993394afde3e77a5e3e6a381ddc3d1799a13e6a1125d4ce167bc96445ddaddf2,4.32,openbmb_voxcpm2_official_text_only,Official OpenBMB VoxCPM2 text-only default voice,model-bffb3df5a29440629464e5e839f4d214c8714c3d; source-ee8161e9e1b7b082cb5721a3a9980da4204401e6; wrapper-3dcc290594a6af2670203b1dfd9ff500b96dbaf425b5ebe21011abfe57f12cbd,voxcpm2:default_voice_identity_unknown,not_applicable:fixed_pretrained_tts_no_reference_audio,cuda:0,offline_local_voxcpm2_official_text_only_default_voice,48000,wav,language_provenance=intended_input_text_only;literal_source_text_sha256=0886573dff41f82d49770e202d5bb66d2c6869b29fa8503780e7b34e6fef95d9;collapse_whitespace_text_sha256=993394afde3e77a5e3e6a381ddc3d1799a13e6a1125d4ce167bc96445ddaddf2;rng_seed=20260814;reference_audio=forbidden;prompt_audio=forbidden;prompt_text=forbidden;lora=forbidden;normalize=false;denoise=false;retry=false,20260814,2026-08-14T11:50:00+05:00
voxcpm2_official_text_only_v1:35fed3d5704e119a1346,processed/cf/cfdeb821bc24b39c6daa8a7c8dce0294cf72f072dac213f6af17488cf098aa12.wav,bfeb0a5e0e8167ce61c7e9dbb4d339412473238e11e962dc116a61457e17403c,ood,spoof,ru,false,voxcpm2_official_text_only_v1:fixed-profile:voxcpm2:default_voice_identity_unknown,voxcpm2_official_text_only_v1,Apache-2.0 published model/code; training-source overlap remains unverified; personal-research external holdout only,"Offline collapse-whitespace text-only derivative of CC0 Denis text denis_1_0_mdc:text:f7ea9f051e2184528441d04e985f85d42b725a0f6e163229c0216f56067eb350; Apache-2.0 published model/code; training-source overlap remains unverified; personal-research external holdout only; personal-research external generator-family holdout only; no reference/prompt audio, voice cloning, LoRA, denoiser, semantic normalizer, retry, replacement or network access; language provenance is intended input until independent acoustic review",voxcpm2_official_text_only_v1:synthetic-profile:voxcpm2:default_voice_identity_unknown,denis_1_0_mdc:text:f7ea9f051e2184528441d04e985f85d42b725a0f6e163229c0216f56067eb350,f7ea9f051e2184528441d04e985f85d42b725a0f6e163229c0216f56067eb350,5.6,openbmb_voxcpm2_official_text_only,Official OpenBMB VoxCPM2 text-only default voice,model-bffb3df5a29440629464e5e839f4d214c8714c3d; source-ee8161e9e1b7b082cb5721a3a9980da4204401e6; wrapper-3dcc290594a6af2670203b1dfd9ff500b96dbaf425b5ebe21011abfe57f12cbd,voxcpm2:default_voice_identity_unknown,not_applicable:fixed_pretrained_tts_no_reference_audio,cuda:0,offline_local_voxcpm2_official_text_only_default_voice,48000,wav,language_provenance=intended_input_text_only;literal_source_text_sha256=f7ea9f051e2184528441d04e985f85d42b725a0f6e163229c0216f56067eb350;collapse_whitespace_text_sha256=f7ea9f051e2184528441d04e985f85d42b725a0f6e163229c0216f56067eb350;rng_seed=20260814;reference_audio=forbidden;prompt_audio=forbidden;prompt_text=forbidden;lora=forbidden;normalize=false;denoise=false;retry=false,20260814,2026-08-14T11:50:00+05:00
voxcpm2_official_text_only_v1:378064ad0bae43d146a3,processed/fc/fcb0c26158cf8057f154e39f5cda4133a6b7d02a2b1281242f97775d9ab043a9.wav,79a5cb93c235ccc5684617c5638dd118a1a4ca0491954324d054258c7894fbca,ood,spoof,ru,false,voxcpm2_official_text_only_v1:fixed-profile:voxcpm2:default_voice_identity_unknown,voxcpm2_official_text_only_v1,Apache-2.0 published model/code; training-source overlap remains unverified; personal-research external holdout only,"Offline collapse-whitespace text-only derivative of CC0 Denis text denis_1_0_mdc:text:887e7a9a6aecb1295b15729038a6cc332e850dd2289adb2ed6bab8c1fe8fe00b; Apache-2.0 published model/code; training-source overlap remains unverified; personal-research external holdout only; personal-research external generator-family holdout only; no reference/prompt audio, voice cloning, LoRA, denoiser, semantic normalizer, retry, replacement or network access; language provenance is intended input until independent acoustic review",voxcpm2_official_text_only_v1:synthetic-profile:voxcpm2:default_voice_identity_unknown,denis_1_0_mdc:text:887e7a9a6aecb1295b15729038a6cc332e850dd2289adb2ed6bab8c1fe8fe00b,887e7a9a6aecb1295b15729038a6cc332e850dd2289adb2ed6bab8c1fe8fe00b,4.8,openbmb_voxcpm2_official_text_only,Official OpenBMB VoxCPM2 text-only default voice,model-bffb3df5a29440629464e5e839f4d214c8714c3d; source-ee8161e9e1b7b082cb5721a3a9980da4204401e6; wrapper-3dcc290594a6af2670203b1dfd9ff500b96dbaf425b5ebe21011abfe57f12cbd,voxcpm2:default_voice_identity_unknown,not_applicable:fixed_pretrained_tts_no_reference_audio,cuda:0,offline_local_voxcpm2_official_text_only_default_voice,48000,wav,language_provenance=intended_input_text_only;literal_source_text_sha256=887e7a9a6aecb1295b15729038a6cc332e850dd2289adb2ed6bab8c1fe8fe00b;collapse_whitespace_text_sha256=887e7a9a6aecb1295b15729038a6cc332e850dd2289adb2ed6bab8c1fe8fe00b;rng_seed=20260814;reference_audio=forbidden;prompt_audio=forbidden;prompt_text=forbidden;lora=forbidden;normalize=false;denoise=false;retry=false,20260814,2026-08-14T11:50:00+05:00
voxcpm2_official_text_only_v1:38a4601a3e462a24e91c,processed/2d/2d8a060c0c6e117f9c794bfc9cecaa2a998d0f438c1cf63e8df09ab85e8ac4bc.wav,f274461edf0324dbcd0e2936b99d92801bcf80284cb1816a3ec160e0581621d8,ood,spoof,ru,false,voxcpm2_official_text_only_v1:fixed-profile:voxcpm2:default_voice_identity_unknown,voxcpm2_official_text_only_v1,Apache-2.0 published model/code; training-source overlap remains unverified; personal-research external holdout only,"Offline collapse-whitespace text-only derivative of CC0 Denis text denis_1_0_mdc:text:b53707717f8635f46eb6e951bd07df1483224b4e37dac69ecd98fa7fb53ec4f9; Apache-2.0 published model/code; training-source overlap remains unverified; personal-research external holdout only; personal-research external generator-family holdout only; no reference/prompt audio, voice cloning, LoRA, denoiser, semantic normalizer, retry, replacement or network access; language provenance is intended input until independent acoustic review",voxcpm2_official_text_only_v1:synthetic-profile:voxcpm2:default_voice_identity_unknown,denis_1_0_mdc:text:b53707717f8635f46eb6e951bd07df1483224b4e37dac69ecd98fa7fb53ec4f9,b53707717f8635f46eb6e951bd07df1483224b4e37dac69ecd98fa7fb53ec4f9,4.64,openbmb_voxcpm2_official_text_only,Official OpenBMB VoxCPM2 text-only default voice,model-bffb3df5a29440629464e5e839f4d214c8714c3d; source-ee8161e9e1b7b082cb5721a3a9980da4204401e6; wrapper-3dcc290594a6af2670203b1dfd9ff500b96dbaf425b5ebe21011abfe57f12cbd,voxcpm2:default_voice_identity_unknown,not_applicable:fixed_pretrained_tts_no_reference_audio,cuda:0,offline_local_voxcpm2_official_text_only_default_voice,48000,wav,language_provenance=intended_input_text_only;literal_source_text_sha256=b53707717f8635f46eb6e951bd07df1483224b4e37dac69ecd98fa7fb53ec4f9;collapse_whitespace_text_sha256=b53707717f8635f46eb6e951bd07df1483224b4e37dac69ecd98fa7fb53ec4f9;rng_seed=20260814;reference_audio=forbidden;prompt_audio=forbidden;prompt_text=forbidden;lora=forbidden;normalize=false;denoise=false;retry=false,20260814,2026-08-14T11:50:00+05:00
