sample_id,relative_path,sha256,split,label,language,code_switch,parent_group_id,source_name,source_license,rights_basis,speaker_pseudo_id,text_id,text_hash,duration_s,generator_family,generator_name,generator_version,voice_id,clone_consent_id,device,capture_route,original_sr,codec,augmentation_chain,augmentation_seed,created_at
google_fleurs_ru_v1:10021068571959461962,processed/09/0917a419b13b5feb194181cd1cf2dc486cca80710a49a7147c12e3b1147bf36c.wav,5b4a6dc8d9de2f0a464ddc11181f9be9234446b05c8def19e07696061af248c9,test,bonafide,ru,false,google_fleurs_ru_v1:prompt:1704,google_fleurs_ru_v1,CC-BY-4.0,Google FLEURS pinned release 4683b04af03d2d9549064c7d72060a9a94bb6046; CC-BY-4.0 attribution retained,google_fleurs_ru_v1:unknown,google_fleurs_ru_v1:prompt:1704,be0e0561fb68365479490bbf5fc0bcaecc0e6ac47b0a57710c8e8290cfd5481b,10.44,,,,,,unknown,read_speech_corpus,16000,wav,,,2026-08-10T00:00:00Z
google_fleurs_ru_v1:10088495134879972122,processed/da/da4a2afd75bf1220ed1680677825dbb10f881ddfa7bc388019445dc40b8fa4ad.wav,a4a910f1c1dc500f6d6b1d446f042e53746471c548c7de9b5aba9ba519fe14ee,test,bonafide,ru,false,google_fleurs_ru_v1:prompt:1725,google_fleurs_ru_v1,CC-BY-4.0,Google FLEURS pinned release 4683b04af03d2d9549064c7d72060a9a94bb6046; CC-BY-4.0 attribution retained,google_fleurs_ru_v1:unknown,google_fleurs_ru_v1:prompt:1725,1ff31668e5fc2edb3a20844393a3ca1b4b0e81a6ed6cc802c9909ba018025e50,16.32,,,,,,unknown,read_speech_corpus,16000,wav,,,2026-08-10T00:00:00Z
google_fleurs_ru_v1:10128565049419377161,processed/db/db29c176a2c6c7b8973d30e123e6bb25dbfba3b274d204ebf2bdad182683ba3d.wav,adaef0958f8abbf335bb41b559e44c0981819a4e7a6a7467052d7570b60806c4,test,bonafide,ru,false,google_fleurs_ru_v1:prompt:1668,google_fleurs_ru_v1,CC-BY-4.0,Google FLEURS pinned release 4683b04af03d2d9549064c7d72060a9a94bb6046; CC-BY-4.0 attribution retained,google_fleurs_ru_v1:unknown,google_fleurs_ru_v1:prompt:1668,d3213b0374976735d16d0caf3392be2dc5f3ebef0f8aff8a164ae7b7acc80c9e,9.18,,,,,,unknown,read_speech_corpus,16000,wav,,,2026-08-10T00:00:00Z
google_fleurs_ru_v1:10388523902227354213,processed/2d/2df04111ddcb0d75e4fb7b3711dee3926c7a6de257e2432202c5b50b9705532e.wav,88262b9be4612508e44adab6476070c83aed4e3c6b242b23ea1c94ddf4138c0b,test,bonafide,ru,false,google_fleurs_ru_v1:prompt:1795,google_fleurs_ru_v1,CC-BY-4.0,Google FLEURS pinned release 4683b04af03d2d9549064c7d72060a9a94bb6046; CC-BY-4.0 attribution retained,google_fleurs_ru_v1:unknown,google_fleurs_ru_v1:prompt:1795,a3da40a8ac72f9197fdd35c515b710dc08249e97cfc88b3d9ff3529f56e40572,33.84,,,,,,unknown,read_speech_corpus,16000,wav,,,2026-08-10T00:00:00Z
google_fleurs_ru_v1:11039380901595741421,processed/e3/e30c001d5b4c95224cb2d2f7cafd67087d46a0d50b346b2591b515d6c70d662e.wav,4bdea25235fec620151920e7a89be8a1ee1d9ba2998957d5ae4e2a2a6eca5aa8,test,bonafide,ru,false,google_fleurs_ru_v1:prompt:1721,google_fleurs_ru_v1,CC-BY-4.0,Google FLEURS pinned release 4683b04af03d2d9549064c7d72060a9a94bb6046; CC-BY-4.0 attribution retained,google_fleurs_ru_v1:unknown,google_fleurs_ru_v1:prompt:1721,b69bfa6ca4f33abcf2474e12895900db164ea50dadcbdd0f9dce631452dd24ef,11.4,,,,,,unknown,read_speech_corpus,16000,wav,,,2026-08-10T00:00:00Z
google_fleurs_ru_v1:1118149719419376837,processed/df/df5e715698c21153db4d894b0b6b1efb11639eebc4ba41b97267bd132d0b584a.wav,d1dc95743549393a4a853951d8b1c88394543ca4b0858c16fc3b0f0ac415db41,test,bonafide,ru,false,google_fleurs_ru_v1:prompt:1748,google_fleurs_ru_v1,CC-BY-4.0,Google FLEURS pinned release 4683b04af03d2d9549064c7d72060a9a94bb6046; CC-BY-4.0 attribution retained,google_fleurs_ru_v1:unknown,google_fleurs_ru_v1:prompt:1748,d95da4b7557886e3311708aecc47fac6cca22fdf9f43552b60094295ed489c05,6.72,,,,,,unknown,read_speech_corpus,16000,wav,,,2026-08-10T00:00:00Z
google_fleurs_ru_v1:11285305154211545636,processed/9d/9d754c9d02125663fbfa26119020f0c8970374594f64faf79f9cd3dce5f0bbec.wav,049bcafee096c9db7d359855a0332b7c031798645ef3f0c22a7dd3da6f0a44fc,test,bonafide,ru,false,google_fleurs_ru_v1:prompt:1924,google_fleurs_ru_v1,CC-BY-4.0,Google FLEURS pinned release 4683b04af03d2d9549064c7d72060a9a94bb6046; CC-BY-4.0 attribution retained,google_fleurs_ru_v1:unknown,google_fleurs_ru_v1:prompt:1924,76bbdef3d62d645464318b996213890afe3e2d4c711f2263730062f019823126,14.76,,,,,,unknown,read_speech_corpus,16000,wav,,,2026-08-10T00:00:00Z
google_fleurs_ru_v1:12020562603455400739,processed/83/839a09f4caca6fcbbfba750a818e90714305b05083702383bf8a5b77240b83dc.wav,071dc5e1ce49cfdeb441ddc998302f132e3d163e8e50a5793a5f068d2ff58e7f,test,bonafide,ru,false,google_fleurs_ru_v1:prompt:1782,google_fleurs_ru_v1,CC-BY-4.0,Google FLEURS pinned release 4683b04af03d2d9549064c7d72060a9a94bb6046; CC-BY-4.0 attribution retained,google_fleurs_ru_v1:unknown,google_fleurs_ru_v1:prompt:1782,a91278c2f971dc3d94c610aec802336a299458a99b5eb825772fdd567f748b27,12.96,,,,,,unknown,read_speech_corpus,16000,wav,,,2026-08-10T00:00:00Z
google_fleurs_ru_v1:12704950043380299985,processed/95/9584d7b851c97c854bf6ec0277aba3e89c87bc49c4d391d7495e3ca09178d799.wav,11e7dd314c5eff9d868e53b1294a5cb069448bb4fd67295f3fa69de7c1ed23bb,test,bonafide,ru,false,google_fleurs_ru_v1:prompt:1848,google_fleurs_ru_v1,CC-BY-4.0,Google FLEURS pinned release 4683b04af03d2d9549064c7d72060a9a94bb6046; CC-BY-4.0 attribution retained,google_fleurs_ru_v1:unknown,google_fleurs_ru_v1:prompt:1848,7a1384045930b539cba669b87210a2593058025ccfc6b950f64194db9128c2e3,18.48,,,,,,unknown,read_speech_corpus,16000,wav,,,2026-08-10T00:00:00Z
google_fleurs_ru_v1:12763646417200298634,processed/f5/f5abb9bd1b4c9e3f02c8e6b44bee75b4e3e61de4fe2251411f65f18d422bfd9f.wav,25d8defde6e0ee3ef744e1ec9a1c713c844aa678594b56072d6acc9d188804df,test,bonafide,ru,false,google_fleurs_ru_v1:prompt:1872,google_fleurs_ru_v1,CC-BY-4.0,Google FLEURS pinned release 4683b04af03d2d9549064c7d72060a9a94bb6046; CC-BY-4.0 attribution retained,google_fleurs_ru_v1:unknown,google_fleurs_ru_v1:prompt:1872,ce38319a17340b5825eb4a0ecaa3a9d1efef518d9e1588f37c54c9db9f9c1aef,16.98,,,,,,unknown,read_speech_corpus,16000,wav,,,2026-08-10T00:00:00Z
