protocol_id,packet_sha256,sample_id,language,audio_sha256,reviewer_pseudo_id,review_status,speech_intelligible,lexical_content_preserved,language_preserved,severe_artifacts,notes
fresh-suite-stage-c-kazakhtts-full-acoustic-gate-v1,6b4ada9ffd10b3c1cb1c30f6b1794b483e4ec31017333b7401cff31d414f5d14,fresh_suite_v1_kazakhtts_tacotron2_pwg:d6615c804341a5c0ef84,kk,53a46e5ae9cd13562f2aa9ae03d611e8b539e9be2335f3a06fb967712c78ff3f,reviewer_1,pass,yes,yes,yes,no,
fresh-suite-stage-c-kazakhtts-full-acoustic-gate-v1,6b4ada9ffd10b3c1cb1c30f6b1794b483e4ec31017333b7401cff31d414f5d14,fresh_suite_v1_kazakhtts_tacotron2_pwg:a9f396ca186211594f4d,kk,d2985d7599eadb16bcfe3892e5a51831de9fa56db7446f43fa1f0cc421cbaeb5,reviewer_1,pass,yes,yes,yes,no,
fresh-suite-stage-c-kazakhtts-full-acoustic-gate-v1,6b4ada9ffd10b3c1cb1c30f6b1794b483e4ec31017333b7401cff31d414f5d14,fresh_suite_v1_kazakhtts_tacotron2_pwg:997f93d19331b94c6b1b,kk,1095d94414818c2cac9ab029892e7e665527cf09c0c56134b935c31e922ad04b,reviewer_1,pass,yes,yes,yes,no,
fresh-suite-stage-c-kazakhtts-full-acoustic-gate-v1,6b4ada9ffd10b3c1cb1c30f6b1794b483e4ec31017333b7401cff31d414f5d14,fresh_suite_v1_kazakhtts_tacotron2_pwg:8e6ef488157eda263782,kk,fec9a872a34da1ccd65d505a8dec43260b553b57e56f4bdf01aa9a8360c38a45,reviewer_1,pass,yes,yes,yes,no,
fresh-suite-stage-c-kazakhtts-full-acoustic-gate-v1,6b4ada9ffd10b3c1cb1c30f6b1794b483e4ec31017333b7401cff31d414f5d14,fresh_suite_v1_kazakhtts_tacotron2_pwg:5e5a514b7e23588f4f2a,kk,e0c5de2799dfa958c102ecb34fcd416eebd1fe7b6e7727d62063a2699d008197,reviewer_1,pass,yes,yes,yes,no,
fresh-suite-stage-c-kazakhtts-full-acoustic-gate-v1,6b4ada9ffd10b3c1cb1c30f6b1794b483e4ec31017333b7401cff31d414f5d14,fresh_suite_v1_kazakhtts_tacotron2_pwg:7df6b22603880a7200ef,kk,a74efba862e857197954dcfcdd5d17e75d8d600f4c947dc9c5e2477c8b8259c1,reviewer_1,pass,yes,yes,yes,no,
fresh-suite-stage-c-kazakhtts-full-acoustic-gate-v1,6b4ada9ffd10b3c1cb1c30f6b1794b483e4ec31017333b7401cff31d414f5d14,fresh_suite_v1_kazakhtts_tacotron2_pwg:c30bded4315ebce38676,kk,3dc4666b6cb982fc8f3512d18a11bbcc46e5b8980a729e5ac6cdd87e20572968,reviewer_1,pass,yes,yes,yes,no,
fresh-suite-stage-c-kazakhtts-full-acoustic-gate-v1,6b4ada9ffd10b3c1cb1c30f6b1794b483e4ec31017333b7401cff31d414f5d14,fresh_suite_v1_kazakhtts_tacotron2_pwg:4cfcfbd1c5c9b20e334b,kk,27bcfb8370200da000f8836aba4fd2902e8248e6c391dace0b13dbb480e074cd,reviewer_1,pass,yes,yes,yes,no,
fresh-suite-stage-c-kazakhtts-full-acoustic-gate-v1,6b4ada9ffd10b3c1cb1c30f6b1794b483e4ec31017333b7401cff31d414f5d14,fresh_suite_v1_kazakhtts_tacotron2_pwg:149f854a589b845ae9b4,kk,db8e2f4b68b2f5ef81db0273194c70e10b31f74a4e3e07752574c9246158dfce,reviewer_1,pass,yes,yes,yes,no,
fresh-suite-stage-c-kazakhtts-full-acoustic-gate-v1,6b4ada9ffd10b3c1cb1c30f6b1794b483e4ec31017333b7401cff31d414f5d14,fresh_suite_v1_kazakhtts_tacotron2_pwg:a6d73ad57500dffa351f,kk,676fa1d3d5f1022944fea5fb6ece39667e4dc526879df047259722ebbdb990b3,reviewer_1,pass,yes,yes,yes,no,
fresh-suite-stage-c-kazakhtts-full-acoustic-gate-v1,6b4ada9ffd10b3c1cb1c30f6b1794b483e4ec31017333b7401cff31d414f5d14,fresh_suite_v1_kazakhtts_tacotron2_pwg:6ac65b2f55adac97da94,kk,9849a2cbd89e4b7b2c22c952f9a1594a940607548cdd7e88a52d626492531697,reviewer_1,pass,yes,yes,yes,no,
fresh-suite-stage-c-kazakhtts-full-acoustic-gate-v1,6b4ada9ffd10b3c1cb1c30f6b1794b483e4ec31017333b7401cff31d414f5d14,fresh_suite_v1_kazakhtts_tacotron2_pwg:ec6ac7585fa0a8381122,kk,0af0ebb2825651a8e1cbbcda53e6c98abb0651adf3b47dddbbf890bfbed7d9ca,reviewer_1,pass,yes,yes,yes,no,
fresh-suite-stage-c-kazakhtts-full-acoustic-gate-v1,6b4ada9ffd10b3c1cb1c30f6b1794b483e4ec31017333b7401cff31d414f5d14,fresh_suite_v1_kazakhtts_tacotron2_pwg:39dfd41111be70123f5b,kk,b5b5e91780964fadb20948bc6351fd156863c33a8af320df7ceeac19eb960ee9,reviewer_1,pass,yes,yes,yes,no,
fresh-suite-stage-c-kazakhtts-full-acoustic-gate-v1,6b4ada9ffd10b3c1cb1c30f6b1794b483e4ec31017333b7401cff31d414f5d14,fresh_suite_v1_kazakhtts_tacotron2_pwg:720bf2c9549e4cc43a48,kk,e03e645a857646fc26fa1cedf388a66e17aef29890e8acb9f100bae521ffab61,reviewer_1,pass,yes,yes,yes,no,
