sample_id,relative_path,sha256,split,label,language,code_switch,parent_group_id,source_name,source_license,rights_basis,speaker_pseudo_id,text_id,text_hash,duration_s,generator_family,generator_name,generator_version,voice_id,clone_consent_id,device,capture_route,original_sr,codec,augmentation_chain,augmentation_seed,created_at
fresh_suite_v1_kazakhtts_tacotron2_pwg:ac7cb7fbe0322e0a82a6,raw/fresh_suite_v1_kazakhtts_tacotron2_pwg/slices/stage_c_normalized_v2/5ef7843f5da9b745c8d6-a8e1ad3955e0.wav,0f54c6236d38dd31ae9e993a5009744a6b814e774211283b948854a9266b1fc9,test,spoof,kk,false,fresh_suite_v1_kazakhtts_tacotron2_pwg:fixed-profile:issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,fresh_suite_v1_kazakhtts_tacotron2_pwg,FLEURS/KSC2 CC-BY-4.0; ISSAI Kazakh_TTS model CC-BY-4.0; ESPnet Apache-2.0; ParallelWaveGAN MIT,Offline text-only derivative of google_fleurs_kk_v1 text google_fleurs_kk_v1:prompt:1749; Kazakh_TTS repository and published pretrained model artifacts CC-BY-4.0; ESPnet Apache-2.0; ParallelWaveGAN MIT; fixed published voice; no reference audio or voice cloning; language provenance is intended input text until full acoustic review; normalizer=stage_c_kazakhtts_text_v1,fresh_suite_v1_kazakhtts_tacotron2_pwg:synthetic-profile:issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,google_fleurs_kk_v1:prompt:1749,a8e1ad3955e0765a63c808a06c4678e0525ebc8f0ccb4df076b8b1df060158c5,11.900226757369614,tacotron2_parallelwavegan_fixed_voice_tts,ISSAI KazakhTTS2 Male2 Tacotron2 + ParallelWaveGAN,source-fc906048ff5914a3528d1ae4ed6f7ccd94d71383; acoustic-deb9cb49703b012d8f1406d15f4fa182b39ecb320bc4e2be5a557ac58766ea75; vocoder-fb415182fdf84dbe6a0bbca72e5ed9ed39009b622cf39e20ba630cb830594329,issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,not_applicable:fixed_pretrained_tts_no_reference_audio,cuda,offline_text_only_tacotron2_parallelwavegan_tts,22050,wav,language_provenance=intended_input_text_only;text_normalizer=stage_c_kazakhtts_text_v1;synthesis_text_sha256=b93907bb9da38d912d2d954f55e8df94e3f135bc673d67f2fdfc28ba1489c2ed,,2026-08-12T21:18:24+05:00
fresh_suite_v1_kazakhtts_tacotron2_pwg:4cfcfbd1c5c9b20e334b,raw/fresh_suite_v1_kazakhtts_tacotron2_pwg/slices/stage_c_normalized_v2/ccc9734af7effdc4cdf7-8ff36537382e.wav,250437ad201ee1d4f2bef8689bcc51cc99290c7f3bbeba8a7f20ada3227ea8d4,test,spoof,kk,false,fresh_suite_v1_kazakhtts_tacotron2_pwg:fixed-profile:issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,fresh_suite_v1_kazakhtts_tacotron2_pwg,FLEURS/KSC2 CC-BY-4.0; ISSAI Kazakh_TTS model CC-BY-4.0; ESPnet Apache-2.0; ParallelWaveGAN MIT,Offline text-only derivative of google_fleurs_kk_v1 text google_fleurs_kk_v1:prompt:1701; Kazakh_TTS repository and published pretrained model artifacts CC-BY-4.0; ESPnet Apache-2.0; ParallelWaveGAN MIT; fixed published voice; no reference audio or voice cloning; language provenance is intended input text until full acoustic review; normalizer=stage_c_kazakhtts_text_v1,fresh_suite_v1_kazakhtts_tacotron2_pwg:synthetic-profile:issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,google_fleurs_kk_v1:prompt:1701,8ff36537382ec09671c7291b6cfae2ac4556581be6c1ea02b36802262dff2f4e,6.977596371882086,tacotron2_parallelwavegan_fixed_voice_tts,ISSAI KazakhTTS2 Male2 Tacotron2 + ParallelWaveGAN,source-fc906048ff5914a3528d1ae4ed6f7ccd94d71383; acoustic-deb9cb49703b012d8f1406d15f4fa182b39ecb320bc4e2be5a557ac58766ea75; vocoder-fb415182fdf84dbe6a0bbca72e5ed9ed39009b622cf39e20ba630cb830594329,issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,not_applicable:fixed_pretrained_tts_no_reference_audio,cuda,offline_text_only_tacotron2_parallelwavegan_tts,22050,wav,language_provenance=intended_input_text_only;text_normalizer=stage_c_kazakhtts_text_v1;synthesis_text_sha256=52129099225d8dc5a9ababe0e7f5c35940ca7aa976d316bc049ac1839df99865,,2026-08-12T21:18:24+05:00
fresh_suite_v1_kazakhtts_tacotron2_pwg:b5ff9d326cba0d68728f,raw/fresh_suite_v1_kazakhtts_tacotron2_pwg/slices/stage_c_normalized_v2/e901566e5eafd11e64f7-2c6311fb5ebe.wav,d9d806c79263f9d9f00c20bc626f6c34fe4ae4ecf387e26be94601f0a7188e7f,test,spoof,kk,false,fresh_suite_v1_kazakhtts_tacotron2_pwg:fixed-profile:issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,fresh_suite_v1_kazakhtts_tacotron2_pwg,FLEURS/KSC2 CC-BY-4.0; ISSAI Kazakh_TTS model CC-BY-4.0; ESPnet Apache-2.0; ParallelWaveGAN MIT,Offline text-only derivative of google_fleurs_kk_v1 text google_fleurs_kk_v1:prompt:1964; Kazakh_TTS repository and published pretrained model artifacts CC-BY-4.0; ESPnet Apache-2.0; ParallelWaveGAN MIT; fixed published voice; no reference audio or voice cloning; language provenance is intended input text until full acoustic review; normalizer=stage_c_kazakhtts_text_v1,fresh_suite_v1_kazakhtts_tacotron2_pwg:synthetic-profile:issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,google_fleurs_kk_v1:prompt:1964,2c6311fb5ebe434622e69addc2b0fc3a95b3ffff8e3fcaae883977b7f5945f4b,8.904852607709751,tacotron2_parallelwavegan_fixed_voice_tts,ISSAI KazakhTTS2 Male2 Tacotron2 + ParallelWaveGAN,source-fc906048ff5914a3528d1ae4ed6f7ccd94d71383; acoustic-deb9cb49703b012d8f1406d15f4fa182b39ecb320bc4e2be5a557ac58766ea75; vocoder-fb415182fdf84dbe6a0bbca72e5ed9ed39009b622cf39e20ba630cb830594329,issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,not_applicable:fixed_pretrained_tts_no_reference_audio,cuda,offline_text_only_tacotron2_parallelwavegan_tts,22050,wav,language_provenance=intended_input_text_only;text_normalizer=stage_c_kazakhtts_text_v1;synthesis_text_sha256=e23b2de0a8a51acabd767ec5e3d8c476cab705da905a15f6e69b63dee66f5be8,,2026-08-12T21:18:24+05:00
fresh_suite_v1_kazakhtts_tacotron2_pwg:ec6ac7585fa0a8381122,raw/fresh_suite_v1_kazakhtts_tacotron2_pwg/slices/stage_c_normalized_v2/c993c23f0766fdf5508b-1e0e5448e05c.wav,bfa2d1a755699891d8c020b494442ff111a6d0bbe5b6778d59e79e8fe36864af,test,spoof,kk,false,fresh_suite_v1_kazakhtts_tacotron2_pwg:fixed-profile:issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,fresh_suite_v1_kazakhtts_tacotron2_pwg,FLEURS/KSC2 CC-BY-4.0; ISSAI Kazakh_TTS model CC-BY-4.0; ESPnet Apache-2.0; ParallelWaveGAN MIT,Offline text-only derivative of google_fleurs_kk_v1 text google_fleurs_kk_v1:prompt:1716; Kazakh_TTS repository and published pretrained model artifacts CC-BY-4.0; ESPnet Apache-2.0; ParallelWaveGAN MIT; fixed published voice; no reference audio or voice cloning; language provenance is intended input text until full acoustic review; normalizer=stage_c_kazakhtts_text_v1,fresh_suite_v1_kazakhtts_tacotron2_pwg:synthetic-profile:issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,google_fleurs_kk_v1:prompt:1716,1e0e5448e05cd9a08ba5fde4b762a441a1738e872f9429ede8487f0ef5a0aad7,22.024126984126983,tacotron2_parallelwavegan_fixed_voice_tts,ISSAI KazakhTTS2 Male2 Tacotron2 + ParallelWaveGAN,source-fc906048ff5914a3528d1ae4ed6f7ccd94d71383; acoustic-deb9cb49703b012d8f1406d15f4fa182b39ecb320bc4e2be5a557ac58766ea75; vocoder-fb415182fdf84dbe6a0bbca72e5ed9ed39009b622cf39e20ba630cb830594329,issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,not_applicable:fixed_pretrained_tts_no_reference_audio,cuda,offline_text_only_tacotron2_parallelwavegan_tts,22050,wav,language_provenance=intended_input_text_only;text_normalizer=stage_c_kazakhtts_text_v1;synthesis_text_sha256=c9383270061b698ff0855eac7df187b7fb2fe30be5336b71fb84e9c3e7cce3b4,,2026-08-12T21:18:24+05:00
fresh_suite_v1_kazakhtts_tacotron2_pwg:1073cc16535b8350191a,raw/fresh_suite_v1_kazakhtts_tacotron2_pwg/slices/stage_c_normalized_v2/2e551de131fbc1dd2fbd-111adb070d51.wav,574e69dcdea347c6e09d21c88430d4649ab70e19eebbb39da44c9b8429cf4c2e,test,spoof,kk,false,fresh_suite_v1_kazakhtts_tacotron2_pwg:fixed-profile:issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,fresh_suite_v1_kazakhtts_tacotron2_pwg,FLEURS/KSC2 CC-BY-4.0; ISSAI Kazakh_TTS model CC-BY-4.0; ESPnet Apache-2.0; ParallelWaveGAN MIT,Offline text-only derivative of google_fleurs_kk_v1 text google_fleurs_kk_v1:prompt:1883; Kazakh_TTS repository and published pretrained model artifacts CC-BY-4.0; ESPnet Apache-2.0; ParallelWaveGAN MIT; fixed published voice; no reference audio or voice cloning; language provenance is intended input text until full acoustic review; normalizer=stage_c_kazakhtts_text_v1,fresh_suite_v1_kazakhtts_tacotron2_pwg:synthetic-profile:issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,google_fleurs_kk_v1:prompt:1883,111adb070d51df292557bf35ec3f7308a924654be4e3d430ce6033910f71c6df,10.356099773242631,tacotron2_parallelwavegan_fixed_voice_tts,ISSAI KazakhTTS2 Male2 Tacotron2 + ParallelWaveGAN,source-fc906048ff5914a3528d1ae4ed6f7ccd94d71383; acoustic-deb9cb49703b012d8f1406d15f4fa182b39ecb320bc4e2be5a557ac58766ea75; vocoder-fb415182fdf84dbe6a0bbca72e5ed9ed39009b622cf39e20ba630cb830594329,issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,not_applicable:fixed_pretrained_tts_no_reference_audio,cuda,offline_text_only_tacotron2_parallelwavegan_tts,22050,wav,language_provenance=intended_input_text_only;text_normalizer=stage_c_kazakhtts_text_v1;synthesis_text_sha256=b8416e635a23a43d146d5e346c0215654096e3f413982a8a32713b5772694f53,,2026-08-12T21:18:24+05:00
fresh_suite_v1_kazakhtts_tacotron2_pwg:6ac65b2f55adac97da94,raw/fresh_suite_v1_kazakhtts_tacotron2_pwg/slices/stage_c_normalized_v2/971a66729620e51c1282-67c6d533c1ba.wav,714d69c42c72a6a8c166740cab0daad57fdedcbb1ee987fb2b36008ef6f63de3,test,spoof,kk,false,fresh_suite_v1_kazakhtts_tacotron2_pwg:fixed-profile:issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,fresh_suite_v1_kazakhtts_tacotron2_pwg,FLEURS/KSC2 CC-BY-4.0; ISSAI Kazakh_TTS model CC-BY-4.0; ESPnet Apache-2.0; ParallelWaveGAN MIT,Offline text-only derivative of google_fleurs_kk_v1 text google_fleurs_kk_v1:prompt:1710; Kazakh_TTS repository and published pretrained model artifacts CC-BY-4.0; ESPnet Apache-2.0; ParallelWaveGAN MIT; fixed published voice; no reference audio or voice cloning; language provenance is intended input text until full acoustic review; normalizer=stage_c_kazakhtts_text_v1,fresh_suite_v1_kazakhtts_tacotron2_pwg:synthetic-profile:issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,google_fleurs_kk_v1:prompt:1710,67c6d533c1bac8c9abd8001ded9b7d426fb483604f5d4459c66ce6b0b4002c84,10.112290249433107,tacotron2_parallelwavegan_fixed_voice_tts,ISSAI KazakhTTS2 Male2 Tacotron2 + ParallelWaveGAN,source-fc906048ff5914a3528d1ae4ed6f7ccd94d71383; acoustic-deb9cb49703b012d8f1406d15f4fa182b39ecb320bc4e2be5a557ac58766ea75; vocoder-fb415182fdf84dbe6a0bbca72e5ed9ed39009b622cf39e20ba630cb830594329,issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,not_applicable:fixed_pretrained_tts_no_reference_audio,cuda,offline_text_only_tacotron2_parallelwavegan_tts,22050,wav,language_provenance=intended_input_text_only;text_normalizer=stage_c_kazakhtts_text_v1;synthesis_text_sha256=67173b7f4571bfd7213564e4d3b9ff500ff2aa49f00ab9f0d65b0b3cf05f6dcb,,2026-08-12T21:18:24+05:00
fresh_suite_v1_kazakhtts_tacotron2_pwg:95ca8c125184e6c55c32,raw/fresh_suite_v1_kazakhtts_tacotron2_pwg/slices/stage_c_normalized_v2/6c9c213bd36223717a38-c6fb826aaec2.wav,c5dc12dbf37218f6a04843aba208e3dccf6255e2c07056f085b999a2bf41e5f1,test,spoof,kk,false,fresh_suite_v1_kazakhtts_tacotron2_pwg:fixed-profile:issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,fresh_suite_v1_kazakhtts_tacotron2_pwg,FLEURS/KSC2 CC-BY-4.0; ISSAI Kazakh_TTS model CC-BY-4.0; ESPnet Apache-2.0; ParallelWaveGAN MIT,Offline text-only derivative of google_fleurs_kk_v1 text google_fleurs_kk_v1:prompt:1929; Kazakh_TTS repository and published pretrained model artifacts CC-BY-4.0; ESPnet Apache-2.0; ParallelWaveGAN MIT; fixed published voice; no reference audio or voice cloning; language provenance is intended input text until full acoustic review; normalizer=stage_c_kazakhtts_text_v1,fresh_suite_v1_kazakhtts_tacotron2_pwg:synthetic-profile:issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,google_fleurs_kk_v1:prompt:1929,c6fb826aaec20e671b0080a506aea96e69a03f3790ec89c83501191afd6b2396,9.195102040816327,tacotron2_parallelwavegan_fixed_voice_tts,ISSAI KazakhTTS2 Male2 Tacotron2 + ParallelWaveGAN,source-fc906048ff5914a3528d1ae4ed6f7ccd94d71383; acoustic-deb9cb49703b012d8f1406d15f4fa182b39ecb320bc4e2be5a557ac58766ea75; vocoder-fb415182fdf84dbe6a0bbca72e5ed9ed39009b622cf39e20ba630cb830594329,issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,not_applicable:fixed_pretrained_tts_no_reference_audio,cuda,offline_text_only_tacotron2_parallelwavegan_tts,22050,wav,language_provenance=intended_input_text_only;text_normalizer=stage_c_kazakhtts_text_v1;synthesis_text_sha256=637311a3c62f2350be68dc66f4e19c2481ca24eff71f022f16e82a6ad2a437b7,,2026-08-12T21:18:24+05:00
fresh_suite_v1_kazakhtts_tacotron2_pwg:7df6b22603880a7200ef,raw/fresh_suite_v1_kazakhtts_tacotron2_pwg/slices/stage_c_normalized_v2/ca6abdaa19ab4317fbdc-d2569eed417e.wav,a3be0f2cd1d85ad8a2190c30a0b1167334482ce10f22e402d8ed2939562b8d48,test,spoof,kk,false,fresh_suite_v1_kazakhtts_tacotron2_pwg:fixed-profile:issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,fresh_suite_v1_kazakhtts_tacotron2_pwg,FLEURS/KSC2 CC-BY-4.0; ISSAI Kazakh_TTS model CC-BY-4.0; ESPnet Apache-2.0; ParallelWaveGAN MIT,Offline text-only derivative of google_fleurs_kk_v1 text google_fleurs_kk_v1:prompt:1685; Kazakh_TTS repository and published pretrained model artifacts CC-BY-4.0; ESPnet Apache-2.0; ParallelWaveGAN MIT; fixed published voice; no reference audio or voice cloning; language provenance is intended input text until full acoustic review; normalizer=stage_c_kazakhtts_text_v1,fresh_suite_v1_kazakhtts_tacotron2_pwg:synthetic-profile:issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,google_fleurs_kk_v1:prompt:1685,d2569eed417e279938e9041e1ec7c1a1959929cba8193100acfd99728d8876da,11.42421768707483,tacotron2_parallelwavegan_fixed_voice_tts,ISSAI KazakhTTS2 Male2 Tacotron2 + ParallelWaveGAN,source-fc906048ff5914a3528d1ae4ed6f7ccd94d71383; acoustic-deb9cb49703b012d8f1406d15f4fa182b39ecb320bc4e2be5a557ac58766ea75; vocoder-fb415182fdf84dbe6a0bbca72e5ed9ed39009b622cf39e20ba630cb830594329,issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,not_applicable:fixed_pretrained_tts_no_reference_audio,cuda,offline_text_only_tacotron2_parallelwavegan_tts,22050,wav,language_provenance=intended_input_text_only;text_normalizer=stage_c_kazakhtts_text_v1;synthesis_text_sha256=a8e1bdd282c9836ce12b41a6f43039d70925adddc0164ffa17614c82a4bdb79d,,2026-08-12T21:18:24+05:00
fresh_suite_v1_kazakhtts_tacotron2_pwg:720bf2c9549e4cc43a48,raw/fresh_suite_v1_kazakhtts_tacotron2_pwg/slices/stage_c_normalized_v2/e6f1a636195b7a2157f0-7dac5ed8778a.wav,24395fa1b50991e6f2cf0d34d303214ff50d7e8047484c71e74793a627589c91,test,spoof,kk,false,fresh_suite_v1_kazakhtts_tacotron2_pwg:fixed-profile:issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,fresh_suite_v1_kazakhtts_tacotron2_pwg,FLEURS/KSC2 CC-BY-4.0; ISSAI Kazakh_TTS model CC-BY-4.0; ESPnet Apache-2.0; ParallelWaveGAN MIT,Offline text-only derivative of google_fleurs_kk_v1 text google_fleurs_kk_v1:prompt:1721; Kazakh_TTS repository and published pretrained model artifacts CC-BY-4.0; ESPnet Apache-2.0; ParallelWaveGAN MIT; fixed published voice; no reference audio or voice cloning; language provenance is intended input text until full acoustic review; normalizer=stage_c_kazakhtts_text_v1,fresh_suite_v1_kazakhtts_tacotron2_pwg:synthetic-profile:issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,google_fleurs_kk_v1:prompt:1721,7dac5ed8778a90bfd5c299670775739c92adeb7a3b1da29b871d7179ce4dcfea,7.3723356009070296,tacotron2_parallelwavegan_fixed_voice_tts,ISSAI KazakhTTS2 Male2 Tacotron2 + ParallelWaveGAN,source-fc906048ff5914a3528d1ae4ed6f7ccd94d71383; acoustic-deb9cb49703b012d8f1406d15f4fa182b39ecb320bc4e2be5a557ac58766ea75; vocoder-fb415182fdf84dbe6a0bbca72e5ed9ed39009b622cf39e20ba630cb830594329,issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,not_applicable:fixed_pretrained_tts_no_reference_audio,cuda,offline_text_only_tacotron2_parallelwavegan_tts,22050,wav,language_provenance=intended_input_text_only;text_normalizer=stage_c_kazakhtts_text_v1;synthesis_text_sha256=6264d8624a6e29736cf088df6fab6fa60999b0d3c08de22e66df7ac7a29f1f73,,2026-08-12T21:18:24+05:00
fresh_suite_v1_kazakhtts_tacotron2_pwg:17bbc8fcbbb32292154b,raw/fresh_suite_v1_kazakhtts_tacotron2_pwg/slices/stage_c_normalized_v2/ca9ab0415acff8b40604-18e44ce48fec.wav,96cf2d5f24a183631a1b39bf124d4179b9e8d6a1aa3ae3ccaa6792a86d6deade,test,spoof,kk,false,fresh_suite_v1_kazakhtts_tacotron2_pwg:fixed-profile:issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,fresh_suite_v1_kazakhtts_tacotron2_pwg,FLEURS/KSC2 CC-BY-4.0; ISSAI Kazakh_TTS model CC-BY-4.0; ESPnet Apache-2.0; ParallelWaveGAN MIT,Offline text-only derivative of google_fleurs_kk_v1 text google_fleurs_kk_v1:prompt:1732; Kazakh_TTS repository and published pretrained model artifacts CC-BY-4.0; ESPnet Apache-2.0; ParallelWaveGAN MIT; fixed published voice; no reference audio or voice cloning; language provenance is intended input text until full acoustic review; normalizer=stage_c_kazakhtts_text_v1,fresh_suite_v1_kazakhtts_tacotron2_pwg:synthetic-profile:issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,google_fleurs_kk_v1:prompt:1732,18e44ce48fec5bcf6cc5a8d747ce9b977fcc1c1d2f080e7f4af5c98bc810d94c,10.541859410430838,tacotron2_parallelwavegan_fixed_voice_tts,ISSAI KazakhTTS2 Male2 Tacotron2 + ParallelWaveGAN,source-fc906048ff5914a3528d1ae4ed6f7ccd94d71383; acoustic-deb9cb49703b012d8f1406d15f4fa182b39ecb320bc4e2be5a557ac58766ea75; vocoder-fb415182fdf84dbe6a0bbca72e5ed9ed39009b622cf39e20ba630cb830594329,issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,not_applicable:fixed_pretrained_tts_no_reference_audio,cuda,offline_text_only_tacotron2_parallelwavegan_tts,22050,wav,language_provenance=intended_input_text_only;text_normalizer=stage_c_kazakhtts_text_v1;synthesis_text_sha256=81a47284164b6697c3a69254b07a292bd496208fff3c3bd07d1da2e95ecf5bc2,,2026-08-12T21:18:24+05:00
fresh_suite_v1_kazakhtts_tacotron2_pwg:8e6ef488157eda263782,raw/fresh_suite_v1_kazakhtts_tacotron2_pwg/slices/stage_c_normalized_v2/5a13fec7fd3bcc759de4-8e2d59b56f2c.wav,906624f5f44065038abca7ddd9426b933938b4e267b16a1778c42019198ca7fa,test,spoof,kk,false,fresh_suite_v1_kazakhtts_tacotron2_pwg:fixed-profile:issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,fresh_suite_v1_kazakhtts_tacotron2_pwg,FLEURS/KSC2 CC-BY-4.0; ISSAI Kazakh_TTS model CC-BY-4.0; ESPnet Apache-2.0; ParallelWaveGAN MIT,Offline text-only derivative of google_fleurs_kk_v1 text google_fleurs_kk_v1:prompt:1679; Kazakh_TTS repository and published pretrained model artifacts CC-BY-4.0; ESPnet Apache-2.0; ParallelWaveGAN MIT; fixed published voice; no reference audio or voice cloning; language provenance is intended input text until full acoustic review; normalizer=stage_c_kazakhtts_text_v1,fresh_suite_v1_kazakhtts_tacotron2_pwg:synthetic-profile:issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,google_fleurs_kk_v1:prompt:1679,8e2d59b56f2c3af2a2cd0953507e0a9caf5f22bdf9309353cece967e11cc95f2,3.2275736961451247,tacotron2_parallelwavegan_fixed_voice_tts,ISSAI KazakhTTS2 Male2 Tacotron2 + ParallelWaveGAN,source-fc906048ff5914a3528d1ae4ed6f7ccd94d71383; acoustic-deb9cb49703b012d8f1406d15f4fa182b39ecb320bc4e2be5a557ac58766ea75; vocoder-fb415182fdf84dbe6a0bbca72e5ed9ed39009b622cf39e20ba630cb830594329,issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,not_applicable:fixed_pretrained_tts_no_reference_audio,cuda,offline_text_only_tacotron2_parallelwavegan_tts,22050,wav,language_provenance=intended_input_text_only;text_normalizer=stage_c_kazakhtts_text_v1;synthesis_text_sha256=924e22afd3ccae4bc8394f4ec56b56c38fd89a7a179049308e4f32a53228eacf,,2026-08-12T21:18:24+05:00
