sample_id,relative_path,sha256,split,label,language,code_switch,parent_group_id,source_name,source_license,rights_basis,speaker_pseudo_id,text_id,text_hash,duration_s,generator_family,generator_name,generator_version,voice_id,clone_consent_id,device,capture_route,original_sr,codec,augmentation_chain,augmentation_seed,created_at
google_fleurs_ru_v1:17608171913188414934,raw/google_fleurs_ru_v1/slices/fresh_suite_stage_c_v1/17608171913188414934.wav,c5f4c67e27c0f27f6ba2a933f9fe07c54013d8683cab5d378696c5e3c261e480,test,bonafide,ru,false,google_fleurs_ru_v1:prompt:1684,google_fleurs_ru_v1,CC-BY-4.0,Google FLEURS pinned release 4683b04af03d2d9549064c7d72060a9a94bb6046; CC-BY-4.0 attribution retained,google_fleurs_ru_v1:unknown,google_fleurs_ru_v1:prompt:1684,e4ee003262355e1ed8cfd0a7cf2eec682b975042ff57fc4b6e1526c5e2191981,7.98,,,,,,unknown,read_speech_corpus,16000,wav,,,2026-08-12T20:54:58+05:00
google_fleurs_ru_v1:14951112394941117605,raw/google_fleurs_ru_v1/slices/fresh_suite_stage_c_v1/14951112394941117605.wav,c5a133882ae9c1dae2f6e128208fb423840fca7219ddfaabcbbd6ac00088d2dd,test,bonafide,ru,false,google_fleurs_ru_v1:prompt:1768,google_fleurs_ru_v1,CC-BY-4.0,Google FLEURS pinned release 4683b04af03d2d9549064c7d72060a9a94bb6046; CC-BY-4.0 attribution retained,google_fleurs_ru_v1:unknown,google_fleurs_ru_v1:prompt:1768,c2cb92e79a81736e93a439617b69a088635122b15e74100d5e2a517637515244,13.32,,,,,,unknown,read_speech_corpus,16000,wav,,,2026-08-12T20:54:58+05:00
google_fleurs_ru_v1:10000611681338527501,raw/google_fleurs_ru_v1/slices/fresh_suite_stage_c_v1/10000611681338527501.wav,08d7f2cd51bb0de6d00655368d9926888930a8a2482ee48153c1b099dcc2a7e4,test,bonafide,ru,false,google_fleurs_ru_v1:prompt:1819,google_fleurs_ru_v1,CC-BY-4.0,Google FLEURS pinned release 4683b04af03d2d9549064c7d72060a9a94bb6046; CC-BY-4.0 attribution retained,google_fleurs_ru_v1:unknown,google_fleurs_ru_v1:prompt:1819,8ea2cc5114e213681522b3ba14d2c850381228f6abbcd749648d99f83247b6ad,16.92,,,,,,unknown,read_speech_corpus,16000,wav,,,2026-08-12T20:54:58+05:00
google_fleurs_ru_v1:1412778976181815644,raw/google_fleurs_ru_v1/slices/fresh_suite_stage_c_v1/1412778976181815644.wav,7fdda7eee8574112c1187c66e03ca4464109df461bc9fc3855e50ebf3c81cca0,test,bonafide,ru,false,google_fleurs_ru_v1:prompt:1810,google_fleurs_ru_v1,CC-BY-4.0,Google FLEURS pinned release 4683b04af03d2d9549064c7d72060a9a94bb6046; CC-BY-4.0 attribution retained,google_fleurs_ru_v1:unknown,google_fleurs_ru_v1:prompt:1810,a54152d6fca24420809088b7974853e8a43933a95958afa2c5b7b7a82f72dbae,14.4,,,,,,unknown,read_speech_corpus,16000,wav,,,2026-08-12T20:54:58+05:00
google_fleurs_ru_v1:12730560498691623105,raw/google_fleurs_ru_v1/slices/fresh_suite_stage_c_v1/12730560498691623105.wav,5f0d78a631fc44eb530891176ef4df5526e760ae4223ccac6ff35f489a10e156,test,bonafide,ru,false,google_fleurs_ru_v1:prompt:1677,google_fleurs_ru_v1,CC-BY-4.0,Google FLEURS pinned release 4683b04af03d2d9549064c7d72060a9a94bb6046; CC-BY-4.0 attribution retained,google_fleurs_ru_v1:unknown,google_fleurs_ru_v1:prompt:1677,dd3107708fe629e58cde872432d9e752875b56e044ad298f0265285d65bab7c6,7.44,,,,,,unknown,read_speech_corpus,16000,wav,,,2026-08-12T20:54:58+05:00
google_fleurs_ru_v1:3084534182653267135,raw/google_fleurs_ru_v1/slices/fresh_suite_stage_c_v1/3084534182653267135.wav,6d34ef04462e21c00c53b0fb752ddc3d52a75ff8c6cf8d6c4bf526baaf3a357a,test,bonafide,ru,false,google_fleurs_ru_v1:prompt:1988,google_fleurs_ru_v1,CC-BY-4.0,Google FLEURS pinned release 4683b04af03d2d9549064c7d72060a9a94bb6046; CC-BY-4.0 attribution retained,google_fleurs_ru_v1:unknown,google_fleurs_ru_v1:prompt:1988,d7624b56a475b60af8143d90d4ab2e8f4818a198c4406807eff3a8edecd74a6e,10.56,,,,,,unknown,read_speech_corpus,16000,wav,,,2026-08-12T20:54:58+05:00
google_fleurs_ru_v1:1939763355001006605,raw/google_fleurs_ru_v1/slices/fresh_suite_stage_c_v1/1939763355001006605.wav,a9edb242ab7211f13c1594d7569723e062cf167b7819f12495d42077b8265877,test,bonafide,ru,false,google_fleurs_ru_v1:prompt:1706,google_fleurs_ru_v1,CC-BY-4.0,Google FLEURS pinned release 4683b04af03d2d9549064c7d72060a9a94bb6046; CC-BY-4.0 attribution retained,google_fleurs_ru_v1:unknown,google_fleurs_ru_v1:prompt:1706,62b0a91d18a81f2a300f9cf5a907ca482e8106d4989bc3118c060c566321b787,13.62,,,,,,unknown,read_speech_corpus,16000,wav,,,2026-08-12T20:54:58+05:00
google_fleurs_ru_v1:14526443250508745164,raw/google_fleurs_ru_v1/slices/fresh_suite_stage_c_v1/14526443250508745164.wav,1f99c08c789c01a01eea6f1a5b2266ac3ace4abf0cf3c25c7d5a34c498834bf4,test,bonafide,ru,false,google_fleurs_ru_v1:prompt:1745,google_fleurs_ru_v1,CC-BY-4.0,Google FLEURS pinned release 4683b04af03d2d9549064c7d72060a9a94bb6046; CC-BY-4.0 attribution retained,google_fleurs_ru_v1:unknown,google_fleurs_ru_v1:prompt:1745,c24871b0b142320bdf890b5839b64e33407c492b9ee07c6b2df8cefe6e02dcdb,11.94,,,,,,unknown,read_speech_corpus,16000,wav,,,2026-08-12T20:54:58+05:00
google_fleurs_ru_v1:11867902585934336912,raw/google_fleurs_ru_v1/slices/fresh_suite_stage_c_v1/11867902585934336912.wav,1f3acd945a02b0cb2088ee2342a738002808c0e18d5705d8d87478103ace8f07,test,bonafide,ru,false,google_fleurs_ru_v1:prompt:1856,google_fleurs_ru_v1,CC-BY-4.0,Google FLEURS pinned release 4683b04af03d2d9549064c7d72060a9a94bb6046; CC-BY-4.0 attribution retained,google_fleurs_ru_v1:unknown,google_fleurs_ru_v1:prompt:1856,28fcd251eb7fe78ef4be57e95804d0bd8e6fd464eadfdfdfa4405cee15163f9f,12.78,,,,,,unknown,read_speech_corpus,16000,wav,,,2026-08-12T20:54:58+05:00
google_fleurs_ru_v1:6529277875289879487,raw/google_fleurs_ru_v1/slices/fresh_suite_stage_c_v1/6529277875289879487.wav,a3833dfe12c27538e261b1cb56595519ff0b0a44351cf0911b913636bb1093d0,test,bonafide,ru,false,google_fleurs_ru_v1:prompt:1836,google_fleurs_ru_v1,CC-BY-4.0,Google FLEURS pinned release 4683b04af03d2d9549064c7d72060a9a94bb6046; CC-BY-4.0 attribution retained,google_fleurs_ru_v1:unknown,google_fleurs_ru_v1:prompt:1836,08a30c06e85ab8542d3533825fe28392c89a1683f5d80bccdcd408e9d5443af4,18.12,,,,,,unknown,read_speech_corpus,16000,wav,,,2026-08-12T20:54:58+05:00
