sample_id,relative_path,sha256,split,label,language,code_switch,parent_group_id,source_name,source_license,rights_basis,speaker_pseudo_id,text_id,text_hash,duration_s,generator_family,generator_name,generator_version,voice_id,clone_consent_id,device,capture_route,original_sr,codec,augmentation_chain,augmentation_seed,created_at
google_fleurs_ru_v1:1663386367563524870,processed/f9/f9db6a4b80f4f6460302f3de5bfe042b145777454e92e7100bbe4a150ae0b5c6.wav,ce49ecb7019bbd3af53cd09b437fef438d791ac2d9eff95136f971008c5afc97,test,bonafide,ru,false,google_fleurs_ru_v1:prompt:1662,google_fleurs_ru_v1,CC-BY-4.0,Google FLEURS pinned release 4683b04af03d2d9549064c7d72060a9a94bb6046; CC-BY-4.0 attribution retained,google_fleurs_ru_v1:unknown,google_fleurs_ru_v1:prompt:1662,a32b507abbe97a60095f0ba64804c3abd98c6ace4539ebb24dd179346e7a4e1f,9.96,,,,,,unknown,read_speech_corpus,16000,wav,,,2026-08-12T20:54:58+05:00
fresh_suite_v1_kazakhtts_tacotron2_pwg:7b6c5638f0903f89941c,processed/37/3736f8e998ec7d726ee20827d107b4122706026fb9b425763fbcf69a7e4fcc8c.wav,e617c09e4833b4c2efbe513608376f56196f6242878feb4c8cc07f7f38df1aed,test,spoof,ru,false,fresh_suite_v1_kazakhtts_tacotron2_pwg:fixed-profile:issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,fresh_suite_v1_kazakhtts_tacotron2_pwg,FLEURS/KSC2 CC-BY-4.0; ISSAI Kazakh_TTS model CC-BY-4.0; ESPnet Apache-2.0; ParallelWaveGAN MIT,Offline text-only derivative of google_fleurs_ru_v1 text google_fleurs_ru_v1:prompt:1662; Kazakh_TTS repository and published pretrained model artifacts CC-BY-4.0; ESPnet Apache-2.0; ParallelWaveGAN MIT; fixed published voice; no reference audio or voice cloning; language provenance is intended input text until full acoustic review; normalizer=stage_c_kazakhtts_text_v1,fresh_suite_v1_kazakhtts_tacotron2_pwg:synthetic-profile:issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,google_fleurs_ru_v1:prompt:1662,a32b507abbe97a60095f0ba64804c3abd98c6ace4539ebb24dd179346e7a4e1f,14.5125,tacotron2_parallelwavegan_fixed_voice_tts,ISSAI KazakhTTS2 Male2 Tacotron2 + ParallelWaveGAN,source-fc906048ff5914a3528d1ae4ed6f7ccd94d71383; acoustic-deb9cb49703b012d8f1406d15f4fa182b39ecb320bc4e2be5a557ac58766ea75; vocoder-fb415182fdf84dbe6a0bbca72e5ed9ed39009b622cf39e20ba630cb830594329,issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,not_applicable:fixed_pretrained_tts_no_reference_audio,cuda,offline_text_only_tacotron2_parallelwavegan_tts,22050,wav,language_provenance=intended_input_text_only;text_normalizer=stage_c_kazakhtts_text_v1;synthesis_text_sha256=a32b507abbe97a60095f0ba64804c3abd98c6ace4539ebb24dd179346e7a4e1f,,2026-08-12T21:18:24+05:00
google_fleurs_ru_v1:9318975106874155284,processed/ef/ef3ffb5f207b07c9161ad0b15c090cdbb4c2f363d2ffc822c0c848c0d483c22a.wav,1792baa8e8fe8a1c9bcbae9e68262617dc238b9535cde3607e6f8ee0605180fa,test,bonafide,ru,false,google_fleurs_ru_v1:prompt:1663,google_fleurs_ru_v1,CC-BY-4.0,Google FLEURS pinned release 4683b04af03d2d9549064c7d72060a9a94bb6046; CC-BY-4.0 attribution retained,google_fleurs_ru_v1:unknown,google_fleurs_ru_v1:prompt:1663,f7388c9bb552ed184df59fbbc1a9fec2c6294daf985e0c4cc0efaf0bd5337e6d,13.32,,,,,,unknown,read_speech_corpus,16000,wav,,,2026-08-12T20:54:58+05:00
fresh_suite_v1_kazakhtts_tacotron2_pwg:0005d51cb145104b8b14,processed/4e/4e178a6bcfb90e57639880d840b877a48e4e51da4a18cdba2ea9f768fe57d463.wav,73803ee8fa84488dab716826f7a870974aa10d004d9c8f8dc7cb057de852fbaa,test,spoof,ru,false,fresh_suite_v1_kazakhtts_tacotron2_pwg:fixed-profile:issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,fresh_suite_v1_kazakhtts_tacotron2_pwg,FLEURS/KSC2 CC-BY-4.0; ISSAI Kazakh_TTS model CC-BY-4.0; ESPnet Apache-2.0; ParallelWaveGAN MIT,Offline text-only derivative of google_fleurs_ru_v1 text google_fleurs_ru_v1:prompt:1663; Kazakh_TTS repository and published pretrained model artifacts CC-BY-4.0; ESPnet Apache-2.0; ParallelWaveGAN MIT; fixed published voice; no reference audio or voice cloning; language provenance is intended input text until full acoustic review; normalizer=stage_c_kazakhtts_text_v1,fresh_suite_v1_kazakhtts_tacotron2_pwg:synthetic-profile:issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,google_fleurs_ru_v1:prompt:1663,f7388c9bb552ed184df59fbbc1a9fec2c6294daf985e0c4cc0efaf0bd5337e6d,14.1641875,tacotron2_parallelwavegan_fixed_voice_tts,ISSAI KazakhTTS2 Male2 Tacotron2 + ParallelWaveGAN,source-fc906048ff5914a3528d1ae4ed6f7ccd94d71383; acoustic-deb9cb49703b012d8f1406d15f4fa182b39ecb320bc4e2be5a557ac58766ea75; vocoder-fb415182fdf84dbe6a0bbca72e5ed9ed39009b622cf39e20ba630cb830594329,issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,not_applicable:fixed_pretrained_tts_no_reference_audio,cuda,offline_text_only_tacotron2_parallelwavegan_tts,22050,wav,language_provenance=intended_input_text_only;text_normalizer=stage_c_kazakhtts_text_v1;synthesis_text_sha256=f7388c9bb552ed184df59fbbc1a9fec2c6294daf985e0c4cc0efaf0bd5337e6d,,2026-08-12T21:18:24+05:00
google_fleurs_ru_v1:5824439252760863264,processed/42/42acbed663ccbe3be20903c917231d626d71aed92ee4ee48dc5299c9ee3e7f57.wav,209b88985755bc1d5202528dc5e9b051d123eba4f8365b9282fc8d038aef7047,test,bonafide,ru,false,google_fleurs_ru_v1:prompt:1673,google_fleurs_ru_v1,CC-BY-4.0,Google FLEURS pinned release 4683b04af03d2d9549064c7d72060a9a94bb6046; CC-BY-4.0 attribution retained,google_fleurs_ru_v1:unknown,google_fleurs_ru_v1:prompt:1673,4bafc07b7773c4ee1815674a60f0b71bacf66b8dd0d0ff8664ee2afbd19d42d5,14.52,,,,,,unknown,read_speech_corpus,16000,wav,,,2026-08-12T20:54:58+05:00
fresh_suite_v1_kazakhtts_tacotron2_pwg:d9bf1a41f61bb56a7072,processed/1e/1ef2d4ccad82ac6704baeacfc400b6c0fdac4648442027bf4cf44acc19809afa.wav,7b72f953592a479438c9283cfe2861cdc6712af1de8eac3abd6d3bd58e5ad868,test,spoof,ru,false,fresh_suite_v1_kazakhtts_tacotron2_pwg:fixed-profile:issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,fresh_suite_v1_kazakhtts_tacotron2_pwg,FLEURS/KSC2 CC-BY-4.0; ISSAI Kazakh_TTS model CC-BY-4.0; ESPnet Apache-2.0; ParallelWaveGAN MIT,Offline text-only derivative of google_fleurs_ru_v1 text google_fleurs_ru_v1:prompt:1673; Kazakh_TTS repository and published pretrained model artifacts CC-BY-4.0; ESPnet Apache-2.0; ParallelWaveGAN MIT; fixed published voice; no reference audio or voice cloning; language provenance is intended input text until full acoustic review; normalizer=stage_c_kazakhtts_text_v1,fresh_suite_v1_kazakhtts_tacotron2_pwg:synthetic-profile:issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,google_fleurs_ru_v1:prompt:1673,4bafc07b7773c4ee1815674a60f0b71bacf66b8dd0d0ff8664ee2afbd19d42d5,22.1750625,tacotron2_parallelwavegan_fixed_voice_tts,ISSAI KazakhTTS2 Male2 Tacotron2 + ParallelWaveGAN,source-fc906048ff5914a3528d1ae4ed6f7ccd94d71383; acoustic-deb9cb49703b012d8f1406d15f4fa182b39ecb320bc4e2be5a557ac58766ea75; vocoder-fb415182fdf84dbe6a0bbca72e5ed9ed39009b622cf39e20ba630cb830594329,issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,not_applicable:fixed_pretrained_tts_no_reference_audio,cuda,offline_text_only_tacotron2_parallelwavegan_tts,22050,wav,language_provenance=intended_input_text_only;text_normalizer=stage_c_kazakhtts_text_v1;synthesis_text_sha256=4bafc07b7773c4ee1815674a60f0b71bacf66b8dd0d0ff8664ee2afbd19d42d5,,2026-08-12T21:18:24+05:00
google_fleurs_ru_v1:12730560498691623105,processed/5f/5f0d78a631fc44eb530891176ef4df5526e760ae4223ccac6ff35f489a10e156.wav,e77e966bafdbeb6fd46a36d10fbf814a4519d1cad202e8217cd65b5e1a42ed68,test,bonafide,ru,false,google_fleurs_ru_v1:prompt:1677,google_fleurs_ru_v1,CC-BY-4.0,Google FLEURS pinned release 4683b04af03d2d9549064c7d72060a9a94bb6046; CC-BY-4.0 attribution retained,google_fleurs_ru_v1:unknown,google_fleurs_ru_v1:prompt:1677,dd3107708fe629e58cde872432d9e752875b56e044ad298f0265285d65bab7c6,7.44,,,,,,unknown,read_speech_corpus,16000,wav,,,2026-08-12T20:54:58+05:00
fresh_suite_v1_kazakhtts_tacotron2_pwg:120fa36fa7c36aa313d2,processed/96/962525c62882dbc474a601894def2f890d801f8f4a8067a3b156f112bcddba13.wav,bf9857f636aeaed419159052a10fed7f000fd6060da770da942dd1452285cfaa,test,spoof,ru,false,fresh_suite_v1_kazakhtts_tacotron2_pwg:fixed-profile:issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,fresh_suite_v1_kazakhtts_tacotron2_pwg,FLEURS/KSC2 CC-BY-4.0; ISSAI Kazakh_TTS model CC-BY-4.0; ESPnet Apache-2.0; ParallelWaveGAN MIT,Offline text-only derivative of google_fleurs_ru_v1 text google_fleurs_ru_v1:prompt:1677; Kazakh_TTS repository and published pretrained model artifacts CC-BY-4.0; ESPnet Apache-2.0; ParallelWaveGAN MIT; fixed published voice; no reference audio or voice cloning; language provenance is intended input text until full acoustic review; normalizer=stage_c_kazakhtts_text_v1,fresh_suite_v1_kazakhtts_tacotron2_pwg:synthetic-profile:issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,google_fleurs_ru_v1:prompt:1677,dd3107708fe629e58cde872432d9e752875b56e044ad298f0265285d65bab7c6,10.9134375,tacotron2_parallelwavegan_fixed_voice_tts,ISSAI KazakhTTS2 Male2 Tacotron2 + ParallelWaveGAN,source-fc906048ff5914a3528d1ae4ed6f7ccd94d71383; acoustic-deb9cb49703b012d8f1406d15f4fa182b39ecb320bc4e2be5a557ac58766ea75; vocoder-fb415182fdf84dbe6a0bbca72e5ed9ed39009b622cf39e20ba630cb830594329,issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,not_applicable:fixed_pretrained_tts_no_reference_audio,cuda,offline_text_only_tacotron2_parallelwavegan_tts,22050,wav,language_provenance=intended_input_text_only;text_normalizer=stage_c_kazakhtts_text_v1;synthesis_text_sha256=dd3107708fe629e58cde872432d9e752875b56e044ad298f0265285d65bab7c6,,2026-08-12T21:18:24+05:00
google_fleurs_ru_v1:17608171913188414934,processed/c5/c5f4c67e27c0f27f6ba2a933f9fe07c54013d8683cab5d378696c5e3c261e480.wav,109f2607f59633aeabfe8b1ac1ccdbbb18a39fb4846558f0f93f943694e1d407,test,bonafide,ru,false,google_fleurs_ru_v1:prompt:1684,google_fleurs_ru_v1,CC-BY-4.0,Google FLEURS pinned release 4683b04af03d2d9549064c7d72060a9a94bb6046; CC-BY-4.0 attribution retained,google_fleurs_ru_v1:unknown,google_fleurs_ru_v1:prompt:1684,e4ee003262355e1ed8cfd0a7cf2eec682b975042ff57fc4b6e1526c5e2191981,7.98,,,,,,unknown,read_speech_corpus,16000,wav,,,2026-08-12T20:54:58+05:00
fresh_suite_v1_kazakhtts_tacotron2_pwg:1b145729dc86cf91ba68,processed/b6/b6e19a9cc21d68e7e04cc6fe8abbff12a3b4212463ad5e3a0700ab1911ae78fe.wav,bec8052d086d83fd24686af80ae095babd5bebba3c9f0b4de75102d56ba6f2cc,test,spoof,ru,false,fresh_suite_v1_kazakhtts_tacotron2_pwg:fixed-profile:issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,fresh_suite_v1_kazakhtts_tacotron2_pwg,FLEURS/KSC2 CC-BY-4.0; ISSAI Kazakh_TTS model CC-BY-4.0; ESPnet Apache-2.0; ParallelWaveGAN MIT,Offline text-only derivative of google_fleurs_ru_v1 text google_fleurs_ru_v1:prompt:1684; Kazakh_TTS repository and published pretrained model artifacts CC-BY-4.0; ESPnet Apache-2.0; ParallelWaveGAN MIT; fixed published voice; no reference audio or voice cloning; language provenance is intended input text until full acoustic review; normalizer=stage_c_kazakhtts_text_v1,fresh_suite_v1_kazakhtts_tacotron2_pwg:synthetic-profile:issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,google_fleurs_ru_v1:prompt:1684,e4ee003262355e1ed8cfd0a7cf2eec682b975042ff57fc4b6e1526c5e2191981,8.5565625,tacotron2_parallelwavegan_fixed_voice_tts,ISSAI KazakhTTS2 Male2 Tacotron2 + ParallelWaveGAN,source-fc906048ff5914a3528d1ae4ed6f7ccd94d71383; acoustic-deb9cb49703b012d8f1406d15f4fa182b39ecb320bc4e2be5a557ac58766ea75; vocoder-fb415182fdf84dbe6a0bbca72e5ed9ed39009b622cf39e20ba630cb830594329,issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,not_applicable:fixed_pretrained_tts_no_reference_audio,cuda,offline_text_only_tacotron2_parallelwavegan_tts,22050,wav,language_provenance=intended_input_text_only;text_normalizer=stage_c_kazakhtts_text_v1;synthesis_text_sha256=c6d60c461e581d2b063b0454f1249b191961a1784df94c201db9adc4f41bba01,,2026-08-12T21:18:24+05:00
