protocol_id,packet_sha256,annotation_id,label,sample_id,audio_sha256,reviewer_pseudo_id,review_status,ru_evidence_audible,kk_evidence_audible,lexical_content_preserved,notes
mixed-acoustic-language-preservation-v1,225f5cfe70eb422ef4c5cf131c81537eefea3a4bc9eabd24ace4df87af620421,ksc2_v1:Test/podcasts/09_01_093,bonafide,ksc2_v1:Test/podcasts/09_01_093,8a8fe53d546d36dc8589e25690fa581924ffa2be7485f5f8b69c8f9b0dd2f1b3,reviewer_2,pass,yes,yes,yes,
mixed-acoustic-language-preservation-v1,225f5cfe70eb422ef4c5cf131c81537eefea3a4bc9eabd24ace4df87af620421,ksc2_v1:Test/podcasts/09_01_093,spoof,ksc2_mixed_v1_silero_v4:6c20a2b0440609d6,b2da6ef38fb3b2810c4bf8e1fe710f81ec819cb5fd3e8808211e9ec142e0e6d3,reviewer_2,pass,yes,yes,yes,
mixed-acoustic-language-preservation-v1,225f5cfe70eb422ef4c5cf131c81537eefea3a4bc9eabd24ace4df87af620421,ksc2_v1:Test/podcasts/09_01_095,bonafide,ksc2_v1:Test/podcasts/09_01_095,1ae993927599fe790ac90278c8ec08d6d3e10f24d3e03c31e849e94fd1a1f76c,reviewer_2,pass,yes,yes,yes,
mixed-acoustic-language-preservation-v1,225f5cfe70eb422ef4c5cf131c81537eefea3a4bc9eabd24ace4df87af620421,ksc2_v1:Test/podcasts/09_01_095,spoof,ksc2_mixed_v1_silero_v4:596d1b1c2a207537,c7fbf43432638b2960f52bc4119a6ca11833f4dfe68a49b0b0a3f456db7da918,reviewer_2,pass,yes,yes,yes,
mixed-acoustic-language-preservation-v1,225f5cfe70eb422ef4c5cf131c81537eefea3a4bc9eabd24ace4df87af620421,ksc2_v1:Test/podcasts/09_01_149,bonafide,ksc2_v1:Test/podcasts/09_01_149,4f0ef96815e1712f097f9947ef280fa87e6d0a97bd3386d5531dcd76f1485f5f,reviewer_2,pass,yes,yes,yes,
mixed-acoustic-language-preservation-v1,225f5cfe70eb422ef4c5cf131c81537eefea3a4bc9eabd24ace4df87af620421,ksc2_v1:Test/podcasts/09_01_149,spoof,ksc2_mixed_v1_silero_v4:f7de6002ae3f6070,9be00f898c0a31eb461e7447223fbd27b448bc29b182440a4b5da530ff737c85,reviewer_2,pass,yes,yes,yes,
mixed-acoustic-language-preservation-v1,225f5cfe70eb422ef4c5cf131c81537eefea3a4bc9eabd24ace4df87af620421,ksc2_v1:Test/podcasts/09_01_150,bonafide,ksc2_v1:Test/podcasts/09_01_150,382b248d696001369c3d97084627af838cb1d054fae92a922a62accdf3618d79,reviewer_2,pass,yes,yes,yes,
mixed-acoustic-language-preservation-v1,225f5cfe70eb422ef4c5cf131c81537eefea3a4bc9eabd24ace4df87af620421,ksc2_v1:Test/podcasts/09_01_150,spoof,ksc2_mixed_v1_silero_v4:0fb169ec198a2232,8cf66e3ca91b69f360f8ede0f6b65d994477e8700c78470a42f5857614163c5b,reviewer_2,pass,yes,yes,yes,
mixed-acoustic-language-preservation-v1,225f5cfe70eb422ef4c5cf131c81537eefea3a4bc9eabd24ace4df87af620421,ksc2_v1:Test/podcasts/09_01_151,bonafide,ksc2_v1:Test/podcasts/09_01_151,193a0d5858f0eb8042eba5a91668e979b73547d09ca7bfc386433b68259d8644,reviewer_2,pass,yes,yes,yes,
mixed-acoustic-language-preservation-v1,225f5cfe70eb422ef4c5cf131c81537eefea3a4bc9eabd24ace4df87af620421,ksc2_v1:Test/podcasts/09_01_151,spoof,ksc2_mixed_v1_silero_v4:59dd718434bee2f4,df570900b122d60b96120e4debb7c959b30b38120d6dd68b5ee3802a80e4949b,reviewer_2,pass,yes,yes,yes,
mixed-acoustic-language-preservation-v1,225f5cfe70eb422ef4c5cf131c81537eefea3a4bc9eabd24ace4df87af620421,ksc2_v1:Test/podcasts/09_01_216,bonafide,ksc2_v1:Test/podcasts/09_01_216,8a09de8c9d591f88bf9d74d69ac895c961e32e32f4b11848ff92e1a1f6a6fcea,reviewer_2,pass,yes,yes,yes,
mixed-acoustic-language-preservation-v1,225f5cfe70eb422ef4c5cf131c81537eefea3a4bc9eabd24ace4df87af620421,ksc2_v1:Test/podcasts/09_01_216,spoof,ksc2_mixed_v1_silero_v4:31b6f5ff4310e1d0,44e546f8a559f2b370d4f5f8a1347b00f9fbec98e373dd6e4c0d421e7ca06717,reviewer_2,pass,yes,yes,yes,
mixed-acoustic-language-preservation-v1,225f5cfe70eb422ef4c5cf131c81537eefea3a4bc9eabd24ace4df87af620421,ksc2_v1:Test/podcasts/09_01_251,bonafide,ksc2_v1:Test/podcasts/09_01_251,ec2b6c027732aa58cce3d17d8c74da6dbfe941770c61de2b4934bed254b84719,reviewer_2,pass,yes,yes,yes,
