sample_id,relative_path,sha256,split,label,language,code_switch,parent_group_id,source_name,source_license,rights_basis,speaker_pseudo_id,text_id,text_hash,duration_s,generator_family,generator_name,generator_version,voice_id,clone_consent_id,device,capture_route,original_sr,codec,augmentation_chain,augmentation_seed,created_at
ksc2_mixed_v1_silero_v4:6c20a2b0440609d6,processed/98/986c8f06e85dd247e7da0d937cac9613b75ca53e9ea2d4f0d374f0ca16b2d0f5.wav,b2da6ef38fb3b2810c4bf8e1fe710f81ec819cb5fd3e8808211e9ec142e0e6d3,test,spoof,mixed,true,ksc2_mixed_v1_silero_v4:profile:silero_v4_cyrillic:kz_M1,ksc2_mixed_v1_silero_v4,KSC2 CC-BY-4.0; Silero V4 model CC-BY-NC-SA-4.0,Offline text-only personal-research derivative from explicit KSC2 mixed transcript ksc2_v1:transcript:a024495e85c999c7fe558534ae165d20c15391d9ca6d8c819c3f3227af1463bc; Silero V4 model CC-BY-NC-SA-4.0; source archive CC-BY-NC-SA-4.0; fixed pretrained profile; no reference audio or voice cloning; language provenance is intended input text only,ksc2_mixed_v1_silero_v4:synthetic-profile:silero_v4_cyrillic:kz_M1,ksc2_v1:transcript:a024495e85c999c7fe558534ae165d20c15391d9ca6d8c819c3f3227af1463bc,a024495e85c999c7fe558534ae165d20c15391d9ca6d8c819c3f3227af1463bc,11.675,fastpitch_hifigan_torchscript_tts,Silero V4 Cyrillic FastPitch + HiFi-GAN fixed-profile TTS,Silero v4_cyrillic hosted model SHA-256 5e3862319e13883ea105cd4db835273c7febde62ff82d98d1ccf596607f8673f; source d9355348e2781dc8fa25a135d1602c530afae24c,silero_v4_cyrillic:kz_M1,not_applicable:fixed-pretrained-tts-no-reference-audio,local_cuda_silero_v4_fastpitch_hifigan,offline_text_only_fastpitch_hifigan_tts,48000,wav,text_normalization=silero_v4_cyrillic_safe_v1;language_provenance=intended_input_text_only,,2026-08-11T00:00:00Z
ksc2_mixed_v1_silero_v4:596d1b1c2a207537,processed/d4/d4e4bc256d57ba08b65ba035529d8441f3e608ef21d617ab35ae3b5f26d238e2.wav,c7fbf43432638b2960f52bc4119a6ca11833f4dfe68a49b0b0a3f456db7da918,test,spoof,mixed,true,ksc2_mixed_v1_silero_v4:profile:silero_v4_cyrillic:kz_M1,ksc2_mixed_v1_silero_v4,KSC2 CC-BY-4.0; Silero V4 model CC-BY-NC-SA-4.0,Offline text-only personal-research derivative from explicit KSC2 mixed transcript ksc2_v1:transcript:60ec5319d2b3812f168d5b6bf897e92d68b914c751c57f759f186dfb7cd26a5b; Silero V4 model CC-BY-NC-SA-4.0; source archive CC-BY-NC-SA-4.0; fixed pretrained profile; no reference audio or voice cloning; language provenance is intended input text only,ksc2_mixed_v1_silero_v4:synthetic-profile:silero_v4_cyrillic:kz_M1,ksc2_v1:transcript:60ec5319d2b3812f168d5b6bf897e92d68b914c751c57f759f186dfb7cd26a5b,60ec5319d2b3812f168d5b6bf897e92d68b914c751c57f759f186dfb7cd26a5b,7.325,fastpitch_hifigan_torchscript_tts,Silero V4 Cyrillic FastPitch + HiFi-GAN fixed-profile TTS,Silero v4_cyrillic hosted model SHA-256 5e3862319e13883ea105cd4db835273c7febde62ff82d98d1ccf596607f8673f; source d9355348e2781dc8fa25a135d1602c530afae24c,silero_v4_cyrillic:kz_M1,not_applicable:fixed-pretrained-tts-no-reference-audio,local_cuda_silero_v4_fastpitch_hifigan,offline_text_only_fastpitch_hifigan_tts,48000,wav,text_normalization=silero_v4_cyrillic_safe_v1;language_provenance=intended_input_text_only,,2026-08-11T00:00:00Z
ksc2_mixed_v1_silero_v4:f7de6002ae3f6070,processed/3f/3fb6525d67c81339f9334106e2fbdecc7cce80b2fede63a54ff51b90b903daa3.wav,9be00f898c0a31eb461e7447223fbd27b448bc29b182440a4b5da530ff737c85,test,spoof,mixed,true,ksc2_mixed_v1_silero_v4:profile:silero_v4_cyrillic:kz_M1,ksc2_mixed_v1_silero_v4,KSC2 CC-BY-4.0; Silero V4 model CC-BY-NC-SA-4.0,Offline text-only personal-research derivative from explicit KSC2 mixed transcript ksc2_v1:transcript:d7ef6ff8fe63364decbc158d382d3e92d69a089e3f978c30c1cb5e20a4b28059; Silero V4 model CC-BY-NC-SA-4.0; source archive CC-BY-NC-SA-4.0; fixed pretrained profile; no reference audio or voice cloning; language provenance is intended input text only,ksc2_mixed_v1_silero_v4:synthetic-profile:silero_v4_cyrillic:kz_M1,ksc2_v1:transcript:d7ef6ff8fe63364decbc158d382d3e92d69a089e3f978c30c1cb5e20a4b28059,d7ef6ff8fe63364decbc158d382d3e92d69a089e3f978c30c1cb5e20a4b28059,9.3,fastpitch_hifigan_torchscript_tts,Silero V4 Cyrillic FastPitch + HiFi-GAN fixed-profile TTS,Silero v4_cyrillic hosted model SHA-256 5e3862319e13883ea105cd4db835273c7febde62ff82d98d1ccf596607f8673f; source d9355348e2781dc8fa25a135d1602c530afae24c,silero_v4_cyrillic:kz_M1,not_applicable:fixed-pretrained-tts-no-reference-audio,local_cuda_silero_v4_fastpitch_hifigan,offline_text_only_fastpitch_hifigan_tts,48000,wav,text_normalization=silero_v4_cyrillic_safe_v1;language_provenance=intended_input_text_only,,2026-08-11T00:00:00Z
ksc2_mixed_v1_silero_v4:0fb169ec198a2232,processed/b1/b14e20b45ea0b432a06a6774350881be82ee8972e9225edeb2973b0a127df4de.wav,8cf66e3ca91b69f360f8ede0f6b65d994477e8700c78470a42f5857614163c5b,test,spoof,mixed,true,ksc2_mixed_v1_silero_v4:profile:silero_v4_cyrillic:kz_M1,ksc2_mixed_v1_silero_v4,KSC2 CC-BY-4.0; Silero V4 model CC-BY-NC-SA-4.0,Offline text-only personal-research derivative from explicit KSC2 mixed transcript ksc2_v1:transcript:f923cb1861032fcf7a4f9784072a678c577c58259f4550aa7ccab0899ea42299; Silero V4 model CC-BY-NC-SA-4.0; source archive CC-BY-NC-SA-4.0; fixed pretrained profile; no reference audio or voice cloning; language provenance is intended input text only,ksc2_mixed_v1_silero_v4:synthetic-profile:silero_v4_cyrillic:kz_M1,ksc2_v1:transcript:f923cb1861032fcf7a4f9784072a678c577c58259f4550aa7ccab0899ea42299,f923cb1861032fcf7a4f9784072a678c577c58259f4550aa7ccab0899ea42299,10.2875,fastpitch_hifigan_torchscript_tts,Silero V4 Cyrillic FastPitch + HiFi-GAN fixed-profile TTS,Silero v4_cyrillic hosted model SHA-256 5e3862319e13883ea105cd4db835273c7febde62ff82d98d1ccf596607f8673f; source d9355348e2781dc8fa25a135d1602c530afae24c,silero_v4_cyrillic:kz_M1,not_applicable:fixed-pretrained-tts-no-reference-audio,local_cuda_silero_v4_fastpitch_hifigan,offline_text_only_fastpitch_hifigan_tts,48000,wav,text_normalization=silero_v4_cyrillic_safe_v1;language_provenance=intended_input_text_only,,2026-08-11T00:00:00Z
ksc2_mixed_v1_silero_v4:59dd718434bee2f4,processed/75/752918b9af6e4dc054493dca1062e50c2ae159bb16f70e3b97ac0f5178089c71.wav,df570900b122d60b96120e4debb7c959b30b38120d6dd68b5ee3802a80e4949b,test,spoof,mixed,true,ksc2_mixed_v1_silero_v4:profile:silero_v4_cyrillic:kz_M1,ksc2_mixed_v1_silero_v4,KSC2 CC-BY-4.0; Silero V4 model CC-BY-NC-SA-4.0,Offline text-only personal-research derivative from explicit KSC2 mixed transcript ksc2_v1:transcript:f71f5876fd57398d8ab20744838f851241e81898600620582e404d0cfbe8bbdf; Silero V4 model CC-BY-NC-SA-4.0; source archive CC-BY-NC-SA-4.0; fixed pretrained profile; no reference audio or voice cloning; language provenance is intended input text only,ksc2_mixed_v1_silero_v4:synthetic-profile:silero_v4_cyrillic:kz_M1,ksc2_v1:transcript:f71f5876fd57398d8ab20744838f851241e81898600620582e404d0cfbe8bbdf,f71f5876fd57398d8ab20744838f851241e81898600620582e404d0cfbe8bbdf,8.6125,fastpitch_hifigan_torchscript_tts,Silero V4 Cyrillic FastPitch + HiFi-GAN fixed-profile TTS,Silero v4_cyrillic hosted model SHA-256 5e3862319e13883ea105cd4db835273c7febde62ff82d98d1ccf596607f8673f; source d9355348e2781dc8fa25a135d1602c530afae24c,silero_v4_cyrillic:kz_M1,not_applicable:fixed-pretrained-tts-no-reference-audio,local_cuda_silero_v4_fastpitch_hifigan,offline_text_only_fastpitch_hifigan_tts,48000,wav,text_normalization=silero_v4_cyrillic_safe_v1;language_provenance=intended_input_text_only,,2026-08-11T00:00:00Z
ksc2_mixed_v1_silero_v4:31b6f5ff4310e1d0,processed/3d/3d4a6e6a3c680c9f95f1ab51ac0f42484a9547adc0163926f91c8d224eaaca49.wav,44e546f8a559f2b370d4f5f8a1347b00f9fbec98e373dd6e4c0d421e7ca06717,test,spoof,mixed,true,ksc2_mixed_v1_silero_v4:profile:silero_v4_cyrillic:kz_M1,ksc2_mixed_v1_silero_v4,KSC2 CC-BY-4.0; Silero V4 model CC-BY-NC-SA-4.0,Offline text-only personal-research derivative from explicit KSC2 mixed transcript ksc2_v1:transcript:5c75e17c651534e1da62a07bf2f40f04bec35c104eeb1da96ad9eaf086df2d97; Silero V4 model CC-BY-NC-SA-4.0; source archive CC-BY-NC-SA-4.0; fixed pretrained profile; no reference audio or voice cloning; language provenance is intended input text only,ksc2_mixed_v1_silero_v4:synthetic-profile:silero_v4_cyrillic:kz_M1,ksc2_v1:transcript:5c75e17c651534e1da62a07bf2f40f04bec35c104eeb1da96ad9eaf086df2d97,5c75e17c651534e1da62a07bf2f40f04bec35c104eeb1da96ad9eaf086df2d97,10.1625,fastpitch_hifigan_torchscript_tts,Silero V4 Cyrillic FastPitch + HiFi-GAN fixed-profile TTS,Silero v4_cyrillic hosted model SHA-256 5e3862319e13883ea105cd4db835273c7febde62ff82d98d1ccf596607f8673f; source d9355348e2781dc8fa25a135d1602c530afae24c,silero_v4_cyrillic:kz_M1,not_applicable:fixed-pretrained-tts-no-reference-audio,local_cuda_silero_v4_fastpitch_hifigan,offline_text_only_fastpitch_hifigan_tts,48000,wav,text_normalization=silero_v4_cyrillic_safe_v1;language_provenance=intended_input_text_only,,2026-08-11T00:00:00Z
ksc2_mixed_v1_silero_v4:9cfebac4de8c5f7c,processed/82/8278e5adc4247520bb4eb8923a82292f500ab7a0999c6e6bc74f3cd129c3463d.wav,e97d3333ed2486b0dc31a8fede30b0a62f14be70997bc263d62ad17bffcacbd7,test,spoof,mixed,true,ksc2_mixed_v1_silero_v4:profile:silero_v4_cyrillic:kz_M1,ksc2_mixed_v1_silero_v4,KSC2 CC-BY-4.0; Silero V4 model CC-BY-NC-SA-4.0,Offline text-only personal-research derivative from explicit KSC2 mixed transcript ksc2_v1:transcript:b1d8e36f177c522226992e98e124df656bf8565d519be3ddd7c876d23b5cb61a; Silero V4 model CC-BY-NC-SA-4.0; source archive CC-BY-NC-SA-4.0; fixed pretrained profile; no reference audio or voice cloning; language provenance is intended input text only,ksc2_mixed_v1_silero_v4:synthetic-profile:silero_v4_cyrillic:kz_M1,ksc2_v1:transcript:b1d8e36f177c522226992e98e124df656bf8565d519be3ddd7c876d23b5cb61a,b1d8e36f177c522226992e98e124df656bf8565d519be3ddd7c876d23b5cb61a,10.7625,fastpitch_hifigan_torchscript_tts,Silero V4 Cyrillic FastPitch + HiFi-GAN fixed-profile TTS,Silero v4_cyrillic hosted model SHA-256 5e3862319e13883ea105cd4db835273c7febde62ff82d98d1ccf596607f8673f; source d9355348e2781dc8fa25a135d1602c530afae24c,silero_v4_cyrillic:kz_M1,not_applicable:fixed-pretrained-tts-no-reference-audio,local_cuda_silero_v4_fastpitch_hifigan,offline_text_only_fastpitch_hifigan_tts,48000,wav,text_normalization=silero_v4_cyrillic_safe_v1;language_provenance=intended_input_text_only,,2026-08-11T00:00:00Z
ksc2_mixed_v1_silero_v4:e9cf1780e984d30f,processed/14/1428f71fd968696e5c6a0510dcf2e2ce4a4aadc82636fa2db0e18d73c159f0f7.wav,30a9033a0699e0d23fe7a02118c59ec8ff897a088748810ab3b66a55e73db36c,test,spoof,mixed,true,ksc2_mixed_v1_silero_v4:profile:silero_v4_cyrillic:kz_M1,ksc2_mixed_v1_silero_v4,KSC2 CC-BY-4.0; Silero V4 model CC-BY-NC-SA-4.0,Offline text-only personal-research derivative from explicit KSC2 mixed transcript ksc2_v1:transcript:4d86712fae389ba4e65fd23f9b3b6d0ffaf8e38fca6fd98047730c40d078bb4b; Silero V4 model CC-BY-NC-SA-4.0; source archive CC-BY-NC-SA-4.0; fixed pretrained profile; no reference audio or voice cloning; language provenance is intended input text only,ksc2_mixed_v1_silero_v4:synthetic-profile:silero_v4_cyrillic:kz_M1,ksc2_v1:transcript:4d86712fae389ba4e65fd23f9b3b6d0ffaf8e38fca6fd98047730c40d078bb4b,4d86712fae389ba4e65fd23f9b3b6d0ffaf8e38fca6fd98047730c40d078bb4b,9.375,fastpitch_hifigan_torchscript_tts,Silero V4 Cyrillic FastPitch + HiFi-GAN fixed-profile TTS,Silero v4_cyrillic hosted model SHA-256 5e3862319e13883ea105cd4db835273c7febde62ff82d98d1ccf596607f8673f; source d9355348e2781dc8fa25a135d1602c530afae24c,silero_v4_cyrillic:kz_M1,not_applicable:fixed-pretrained-tts-no-reference-audio,local_cuda_silero_v4_fastpitch_hifigan,offline_text_only_fastpitch_hifigan_tts,48000,wav,text_normalization=silero_v4_cyrillic_safe_v1;language_provenance=intended_input_text_only,,2026-08-11T00:00:00Z
ksc2_mixed_v1_silero_v4:1781a4db58b94804,processed/e4/e4412d0a17f20b57d2a346e541bbad32434a6425bb84d69aabfda0e477cf3e7c.wav,0fb8e6411421591817fda56be618b3fd1d07a60c39c2987bf8193bef072a7671,test,spoof,mixed,true,ksc2_mixed_v1_silero_v4:profile:silero_v4_cyrillic:kz_M1,ksc2_mixed_v1_silero_v4,KSC2 CC-BY-4.0; Silero V4 model CC-BY-NC-SA-4.0,Offline text-only personal-research derivative from explicit KSC2 mixed transcript ksc2_v1:transcript:51c14a69b75909184b0da2c64a9a6d05e77c6ef9f0101dc3f40fda928c4d82d0; Silero V4 model CC-BY-NC-SA-4.0; source archive CC-BY-NC-SA-4.0; fixed pretrained profile; no reference audio or voice cloning; language provenance is intended input text only,ksc2_mixed_v1_silero_v4:synthetic-profile:silero_v4_cyrillic:kz_M1,ksc2_v1:transcript:51c14a69b75909184b0da2c64a9a6d05e77c6ef9f0101dc3f40fda928c4d82d0,51c14a69b75909184b0da2c64a9a6d05e77c6ef9f0101dc3f40fda928c4d82d0,9.175,fastpitch_hifigan_torchscript_tts,Silero V4 Cyrillic FastPitch + HiFi-GAN fixed-profile TTS,Silero v4_cyrillic hosted model SHA-256 5e3862319e13883ea105cd4db835273c7febde62ff82d98d1ccf596607f8673f; source d9355348e2781dc8fa25a135d1602c530afae24c,silero_v4_cyrillic:kz_M1,not_applicable:fixed-pretrained-tts-no-reference-audio,local_cuda_silero_v4_fastpitch_hifigan,offline_text_only_fastpitch_hifigan_tts,48000,wav,text_normalization=silero_v4_cyrillic_safe_v1;language_provenance=intended_input_text_only,,2026-08-11T00:00:00Z
ksc2_mixed_v1_silero_v4:daba94ba32b28d64,processed/dd/dd6d389d6483e1d41fe55255a168877e37774c28d8864985118b1c458337f99a.wav,d7a71a26ce0e2c7a55cab48eb512638669bf559b5b648df023d0354a81bff520,test,spoof,mixed,true,ksc2_mixed_v1_silero_v4:profile:silero_v4_cyrillic:kz_M1,ksc2_mixed_v1_silero_v4,KSC2 CC-BY-4.0; Silero V4 model CC-BY-NC-SA-4.0,Offline text-only personal-research derivative from explicit KSC2 mixed transcript ksc2_v1:transcript:aa50bf7aa874f669a92edfb5b0427adc7a2a2fdd0b7099845427f5710db59358; Silero V4 model CC-BY-NC-SA-4.0; source archive CC-BY-NC-SA-4.0; fixed pretrained profile; no reference audio or voice cloning; language provenance is intended input text only,ksc2_mixed_v1_silero_v4:synthetic-profile:silero_v4_cyrillic:kz_M1,ksc2_v1:transcript:aa50bf7aa874f669a92edfb5b0427adc7a2a2fdd0b7099845427f5710db59358,aa50bf7aa874f669a92edfb5b0427adc7a2a2fdd0b7099845427f5710db59358,9.525,fastpitch_hifigan_torchscript_tts,Silero V4 Cyrillic FastPitch + HiFi-GAN fixed-profile TTS,Silero v4_cyrillic hosted model SHA-256 5e3862319e13883ea105cd4db835273c7febde62ff82d98d1ccf596607f8673f; source d9355348e2781dc8fa25a135d1602c530afae24c,silero_v4_cyrillic:kz_M1,not_applicable:fixed-pretrained-tts-no-reference-audio,local_cuda_silero_v4_fastpitch_hifigan,offline_text_only_fastpitch_hifigan_tts,48000,wav,text_normalization=silero_v4_cyrillic_safe_v1;language_provenance=intended_input_text_only,,2026-08-11T00:00:00Z
ksc2_mixed_v1_silero_v4:7592bd924cf0b9bb,processed/fe/feddc065c414814db05ffeadc05c33f1d8575a75a848a7167da870a8983a9c5d.wav,c511c505cf4652f3f9b38d4da87484a266f068c7bfb044779bf938c6f7df44cd,test,spoof,mixed,true,ksc2_mixed_v1_silero_v4:profile:silero_v4_cyrillic:kz_M1,ksc2_mixed_v1_silero_v4,KSC2 CC-BY-4.0; Silero V4 model CC-BY-NC-SA-4.0,Offline text-only personal-research derivative from explicit KSC2 mixed transcript ksc2_v1:transcript:599083758d267507d50574b510270cb4c5e525373e0c256ff1068875f42c3a91; Silero V4 model CC-BY-NC-SA-4.0; source archive CC-BY-NC-SA-4.0; fixed pretrained profile; no reference audio or voice cloning; language provenance is intended input text only,ksc2_mixed_v1_silero_v4:synthetic-profile:silero_v4_cyrillic:kz_M1,ksc2_v1:transcript:599083758d267507d50574b510270cb4c5e525373e0c256ff1068875f42c3a91,599083758d267507d50574b510270cb4c5e525373e0c256ff1068875f42c3a91,7.4125,fastpitch_hifigan_torchscript_tts,Silero V4 Cyrillic FastPitch + HiFi-GAN fixed-profile TTS,Silero v4_cyrillic hosted model SHA-256 5e3862319e13883ea105cd4db835273c7febde62ff82d98d1ccf596607f8673f; source d9355348e2781dc8fa25a135d1602c530afae24c,silero_v4_cyrillic:kz_M1,not_applicable:fixed-pretrained-tts-no-reference-audio,local_cuda_silero_v4_fastpitch_hifigan,offline_text_only_fastpitch_hifigan_tts,48000,wav,text_normalization=silero_v4_cyrillic_safe_v1;language_provenance=intended_input_text_only,,2026-08-11T00:00:00Z
