sample_id,relative_path,sha256,split,label,language,code_switch,parent_group_id,source_name,source_license,rights_basis,speaker_pseudo_id,text_id,text_hash,duration_s,generator_family,generator_name,generator_version,voice_id,clone_consent_id,device,capture_route,original_sr,codec,augmentation_chain,augmentation_seed,created_at
ksc_derived_kk_v1:13c1e5b27b880658,raw/ksc_derived_kk_v1/slices/smoke-14/mms_tts_kaz/5f5f477900332.wav,346490b50c0c76ce88903f37e051ff36d19e77a1fb072f796fc4aba8d992943d,test,spoof,kk,unknown,ksc_derived_kk_v1:profile:mms_tts_kaz:mms_tts_kaz_default,ksc_derived_kk_v1,KSC text CC-BY-4.0; Piper voice CC-BY-4.0; MMS-TTS model CC-BY-NC-4.0,Offline derivative for personal research from KSC transcript ksc_slr102:5f5f477900332; MMS-TTS model CC-BY-NC-4.0; no voice cloning,ksc_derived_kk_v1:synthetic-voice:mms_tts_kaz:mms_tts_kaz_default,ksc_slr102:5f5f477900332,5d643d8d061798701d5d19642c8d3bc32545a637461a61cf0bccdb7402ba7173,5.456,mms_vits_tts,Meta MMS-TTS Kazakh,transformers-5.14.1; mms-revision-5c8a1d86e6a952f78f9c5b0f5d3090c19d00ad63,mms_tts_kaz:mms_tts_kaz_default,not_applicable:pretrained-tts-no-local-voice-cloning,local_cuda_mms,offline_neural_tts,16000,wav,none,tts_seed=519719105,2026-08-10T00:00:00Z
ksc_derived_kk_v1:1baddbb44c9ee382,raw/ksc_derived_kk_v1/slices/smoke-14/piper_kk_issai_high/5f6096aede778.wav,366f91464dd09d3ca4b1c4da0a89a954fb4ceae71820fd8b24be2bd49d251fef,test,spoof,kk,unknown,ksc_derived_kk_v1:profile:piper_kk_issai_high:ISSAI_KazakhTTS2_M2,ksc_derived_kk_v1,KSC text CC-BY-4.0; Piper voice CC-BY-4.0; MMS-TTS model CC-BY-NC-4.0,Offline derivative for personal research from KSC transcript ksc_slr102:5f6096aede778; Piper voice model CC-BY-4.0; runtime piper-tts GPL-3.0-or-later; no voice cloning,ksc_derived_kk_v1:synthetic-voice:piper_kk_issai_high:ISSAI_KazakhTTS2_M2,ksc_slr102:5f6096aede778,4c11e53c588a46fae02469cfc583699d8fdd0a54e43842946f699abb9afda033,3.7616326530612243,piper_neural_tts,Piper kk_KZ-issai-high,piper-tts-1.6.0; voices-revision-ea046e8458f6acd997706d6e6066a022b42f6fb1,piper_kk_issai_high:ISSAI_KazakhTTS2_M2,not_applicable:pretrained-tts-no-local-voice-cloning,local_cpu_piper,offline_neural_tts,22050,wav,none,,2026-08-10T00:00:00Z
ksc_derived_kk_v1:f7c05814dffb8cd9,raw/ksc_derived_kk_v1/slices/smoke-14/mms_tts_kaz/5f60c6a15da6c.wav,0b528f732e6c25fc58f77c051bbd9a66256ff093ea87d04f27b1f1a258246ab8,test,spoof,kk,unknown,ksc_derived_kk_v1:profile:mms_tts_kaz:mms_tts_kaz_default,ksc_derived_kk_v1,KSC text CC-BY-4.0; Piper voice CC-BY-4.0; MMS-TTS model CC-BY-NC-4.0,Offline derivative for personal research from KSC transcript ksc_slr102:5f60c6a15da6c; MMS-TTS model CC-BY-NC-4.0; no voice cloning,ksc_derived_kk_v1:synthetic-voice:mms_tts_kaz:mms_tts_kaz_default,ksc_slr102:5f60c6a15da6c,0875b0a7c49cda94ba10639dec0c7469a2f3b3776e6dafb344f7de7d3c2cf0e3,7.408,mms_vits_tts,Meta MMS-TTS Kazakh,transformers-5.14.1; mms-revision-5c8a1d86e6a952f78f9c5b0f5d3090c19d00ad63,mms_tts_kaz:mms_tts_kaz_default,not_applicable:pretrained-tts-no-local-voice-cloning,local_cuda_mms,offline_neural_tts,16000,wav,none,tts_seed=1540529758,2026-08-10T00:00:00Z
ksc_derived_kk_v1:73cef828801758da,raw/ksc_derived_kk_v1/slices/smoke-14/piper_kk_issai_high/5f5c33d21ec3b.wav,697fdd30b7e84a61947d224718189c2839ab821f54fea4879737f073cb04cdd1,test,spoof,kk,unknown,ksc_derived_kk_v1:profile:piper_kk_issai_high:ISSAI_KazakhTTS_M1_Iseke,ksc_derived_kk_v1,KSC text CC-BY-4.0; Piper voice CC-BY-4.0; MMS-TTS model CC-BY-NC-4.0,Offline derivative for personal research from KSC transcript ksc_slr102:5f5c33d21ec3b; Piper voice model CC-BY-4.0; runtime piper-tts GPL-3.0-or-later; no voice cloning,ksc_derived_kk_v1:synthetic-voice:piper_kk_issai_high:ISSAI_KazakhTTS_M1_Iseke,ksc_slr102:5f5c33d21ec3b,760ff91c61b7e478dfd1c96555bb7a7a13936211500ee68374963e0effef83e5,3.4481632653061225,piper_neural_tts,Piper kk_KZ-issai-high,piper-tts-1.6.0; voices-revision-ea046e8458f6acd997706d6e6066a022b42f6fb1,piper_kk_issai_high:ISSAI_KazakhTTS_M1_Iseke,not_applicable:pretrained-tts-no-local-voice-cloning,local_cpu_piper,offline_neural_tts,22050,wav,none,,2026-08-10T00:00:00Z
ksc_derived_kk_v1:f1bd27eef13a5461,raw/ksc_derived_kk_v1/slices/smoke-14/mms_tts_kaz/5f6183b450458.wav,4a361e8e144c07250981319c49821505b928dbfca5fd08b3071ba965884f77c2,test,spoof,kk,unknown,ksc_derived_kk_v1:profile:mms_tts_kaz:mms_tts_kaz_default,ksc_derived_kk_v1,KSC text CC-BY-4.0; Piper voice CC-BY-4.0; MMS-TTS model CC-BY-NC-4.0,Offline derivative for personal research from KSC transcript ksc_slr102:5f6183b450458; MMS-TTS model CC-BY-NC-4.0; no voice cloning,ksc_derived_kk_v1:synthetic-voice:mms_tts_kaz:mms_tts_kaz_default,ksc_slr102:5f6183b450458,6cae4ade09fef6c6b8bad7f6141f65937873f9259fe59cfd07cda7dd9e629e91,9.952,mms_vits_tts,Meta MMS-TTS Kazakh,transformers-5.14.1; mms-revision-5c8a1d86e6a952f78f9c5b0f5d3090c19d00ad63,mms_tts_kaz:mms_tts_kaz_default,not_applicable:pretrained-tts-no-local-voice-cloning,local_cuda_mms,offline_neural_tts,16000,wav,none,tts_seed=1018688724,2026-08-10T00:00:00Z
ksc_derived_kk_v1:9440dbcc8411a4a4,raw/ksc_derived_kk_v1/slices/smoke-14/piper_kk_issai_high/5f5eebbcd1977.wav,9b970ee8a10bff94c84978d2147737b653c8ebacfe29a1fb8d82b2413cac6b2f,test,spoof,kk,unknown,ksc_derived_kk_v1:profile:piper_kk_issai_high:ISSAI_KazakhTTS2_F3,ksc_derived_kk_v1,KSC text CC-BY-4.0; Piper voice CC-BY-4.0; MMS-TTS model CC-BY-NC-4.0,Offline derivative for personal research from KSC transcript ksc_slr102:5f5eebbcd1977; Piper voice model CC-BY-4.0; runtime piper-tts GPL-3.0-or-later; no voice cloning,ksc_derived_kk_v1:synthetic-voice:piper_kk_issai_high:ISSAI_KazakhTTS2_F3,ksc_slr102:5f5eebbcd1977,713b489bf07ea2594654222c42ac06785b94d4fc184c0d6a152d94d80f511497,3.8312925170068026,piper_neural_tts,Piper kk_KZ-issai-high,piper-tts-1.6.0; voices-revision-ea046e8458f6acd997706d6e6066a022b42f6fb1,piper_kk_issai_high:ISSAI_KazakhTTS2_F3,not_applicable:pretrained-tts-no-local-voice-cloning,local_cpu_piper,offline_neural_tts,22050,wav,none,,2026-08-10T00:00:00Z
ksc_derived_kk_v1:e3a4f0be51ecddef,raw/ksc_derived_kk_v1/slices/smoke-14/mms_tts_kaz/5f618d482ae52.wav,8bbb8041426f633e3d57174f326fecd2729a78fccc3055115218c3db211c6ded,test,spoof,kk,unknown,ksc_derived_kk_v1:profile:mms_tts_kaz:mms_tts_kaz_default,ksc_derived_kk_v1,KSC text CC-BY-4.0; Piper voice CC-BY-4.0; MMS-TTS model CC-BY-NC-4.0,Offline derivative for personal research from KSC transcript ksc_slr102:5f618d482ae52; MMS-TTS model CC-BY-NC-4.0; no voice cloning,ksc_derived_kk_v1:synthetic-voice:mms_tts_kaz:mms_tts_kaz_default,ksc_slr102:5f618d482ae52,68a5ecf5cb6a169832ac88bc97bb287f856294c1fc575d5ff2c77e22588b7296,11.088,mms_vits_tts,Meta MMS-TTS Kazakh,transformers-5.14.1; mms-revision-5c8a1d86e6a952f78f9c5b0f5d3090c19d00ad63,mms_tts_kaz:mms_tts_kaz_default,not_applicable:pretrained-tts-no-local-voice-cloning,local_cuda_mms,offline_neural_tts,16000,wav,none,tts_seed=660274967,2026-08-10T00:00:00Z
ksc_derived_kk_v1:c20db5ba1b901327,raw/ksc_derived_kk_v1/slices/smoke-14/piper_kk_issai_high/5f579517ecf20.wav,150a35029174d4ee6efaa3967d7ead906860ba960ce69270152e6a8626f8550e,test,spoof,kk,unknown,ksc_derived_kk_v1:profile:piper_kk_issai_high:ISSAI_KazakhTTS_F1_Raya,ksc_derived_kk_v1,KSC text CC-BY-4.0; Piper voice CC-BY-4.0; MMS-TTS model CC-BY-NC-4.0,Offline derivative for personal research from KSC transcript ksc_slr102:5f579517ecf20; Piper voice model CC-BY-4.0; runtime piper-tts GPL-3.0-or-later; no voice cloning,ksc_derived_kk_v1:synthetic-voice:piper_kk_issai_high:ISSAI_KazakhTTS_F1_Raya,ksc_slr102:5f579517ecf20,25e4f56a6a9d2adb49ba3dd8496f202f4b4c2853584b790c91dad4eac88dd3dd,3.8545124716553287,piper_neural_tts,Piper kk_KZ-issai-high,piper-tts-1.6.0; voices-revision-ea046e8458f6acd997706d6e6066a022b42f6fb1,piper_kk_issai_high:ISSAI_KazakhTTS_F1_Raya,not_applicable:pretrained-tts-no-local-voice-cloning,local_cpu_piper,offline_neural_tts,22050,wav,none,,2026-08-10T00:00:00Z
ksc_derived_kk_v1:a97dccdf7e897948,raw/ksc_derived_kk_v1/slices/smoke-14/mms_tts_kaz/5f6333e7862d0.wav,9d68ecdcf3d8bf24e61c14397ff2a182d85bb03cdd9af7f07e982890dcb48348,test,spoof,kk,unknown,ksc_derived_kk_v1:profile:mms_tts_kaz:mms_tts_kaz_default,ksc_derived_kk_v1,KSC text CC-BY-4.0; Piper voice CC-BY-4.0; MMS-TTS model CC-BY-NC-4.0,Offline derivative for personal research from KSC transcript ksc_slr102:5f6333e7862d0; MMS-TTS model CC-BY-NC-4.0; no voice cloning,ksc_derived_kk_v1:synthetic-voice:mms_tts_kaz:mms_tts_kaz_default,ksc_slr102:5f6333e7862d0,677cfa087a7796d74206fdd6d56d9f4efbfdd0ec4b13d835aa7e3cc4295a5d6a,8.624,mms_vits_tts,Meta MMS-TTS Kazakh,transformers-5.14.1; mms-revision-5c8a1d86e6a952f78f9c5b0f5d3090c19d00ad63,mms_tts_kaz:mms_tts_kaz_default,not_applicable:pretrained-tts-no-local-voice-cloning,local_cuda_mms,offline_neural_tts,16000,wav,none,tts_seed=1327487291,2026-08-10T00:00:00Z
ksc_derived_kk_v1:20c335adeed192bb,raw/ksc_derived_kk_v1/slices/smoke-14/piper_kk_issai_high/5f5a399b7fc5b.wav,a340042b7a3a3f9110bd46506a53fe62519c6eb66e4c26898cd0d11648130259,test,spoof,kk,unknown,ksc_derived_kk_v1:profile:piper_kk_issai_high:ISSAI_KazakhTTS2_F1,ksc_derived_kk_v1,KSC text CC-BY-4.0; Piper voice CC-BY-4.0; MMS-TTS model CC-BY-NC-4.0,Offline derivative for personal research from KSC transcript ksc_slr102:5f5a399b7fc5b; Piper voice model CC-BY-4.0; runtime piper-tts GPL-3.0-or-later; no voice cloning,ksc_derived_kk_v1:synthetic-voice:piper_kk_issai_high:ISSAI_KazakhTTS2_F1,ksc_slr102:5f5a399b7fc5b,78137de4febab1a4839b7ecc7376f5f3de9d953ce0fb18c88ff64f57023dc60e,5.688888888888889,piper_neural_tts,Piper kk_KZ-issai-high,piper-tts-1.6.0; voices-revision-ea046e8458f6acd997706d6e6066a022b42f6fb1,piper_kk_issai_high:ISSAI_KazakhTTS2_F1,not_applicable:pretrained-tts-no-local-voice-cloning,local_cpu_piper,offline_neural_tts,22050,wav,none,,2026-08-10T00:00:00Z
