sample_id,relative_path,sha256,split,label,language,code_switch,parent_group_id,source_name,source_license,rights_basis,speaker_pseudo_id,text_id,text_hash,duration_s,generator_family,generator_name,generator_version,voice_id,clone_consent_id,device,capture_route,original_sr,codec,augmentation_chain,augmentation_seed,created_at
ksc_derived_kk_v1:9e523c89c120aa54,processed/c4/c444041d5546bd83046213580e91168311049d664e19b2c94e452c7812ab1aeb.wav,865357cadc8c7af884898c4e499f979203c4b1f2b878b67ecd193d735fd2f5c7,test,spoof,kk,unknown,ksc_derived_kk_v1:profile:mms_tts_kaz:mms_tts_kaz_default,ksc_derived_kk_v1,KSC text CC-BY-4.0; Piper voice CC-BY-4.0; MMS-TTS model CC-BY-NC-4.0,Offline derivative for personal research from KSC transcript ksc_slr102:5f5f3b5ec4999; MMS-TTS model CC-BY-NC-4.0; no voice cloning,ksc_derived_kk_v1:synthetic-voice:mms_tts_kaz:mms_tts_kaz_default,ksc_slr102:5f5f3b5ec4999,a1eabb26dd066e8fc75a1e4a71bce53ca88f0c56e2b5e94d49b3dd0503a5a64f,3.808,mms_vits_tts,Meta MMS-TTS Kazakh,transformers-5.14.1; mms-revision-5c8a1d86e6a952f78f9c5b0f5d3090c19d00ad63,mms_tts_kaz:mms_tts_kaz_default,not_applicable:pretrained-tts-no-local-voice-cloning,local_cuda_mms,offline_neural_tts,16000,wav,none,tts_seed=1673410614,2026-08-10T00:00:00Z
ksc_derived_kk_v1:f031495afef494ef,processed/72/7273b3f469716d94bc560771f04ea627d0e365b785bddb3c4249c98d30c115e2.wav,927f0ad94db6b334397018b50d08899a77a29ea48e757e0977e1ea94cc6764b5,test,spoof,kk,unknown,ksc_derived_kk_v1:profile:piper_kk_issai_high:ISSAI_KazakhTTS2_M2,ksc_derived_kk_v1,KSC text CC-BY-4.0; Piper voice CC-BY-4.0; MMS-TTS model CC-BY-NC-4.0,Offline derivative for personal research from KSC transcript ksc_slr102:5f5f24b3c3e8f; Piper voice model CC-BY-4.0; runtime piper-tts GPL-3.0-or-later; no voice cloning,ksc_derived_kk_v1:synthetic-voice:piper_kk_issai_high:ISSAI_KazakhTTS2_M2,ksc_slr102:5f5f24b3c3e8f,a21b9d8a7809e3d1d85eacc35b3aba34c9126671a00cea978250725b142d4692,2.6586875,piper_neural_tts,Piper kk_KZ-issai-high,piper-tts-1.6.0; voices-revision-ea046e8458f6acd997706d6e6066a022b42f6fb1,piper_kk_issai_high:ISSAI_KazakhTTS2_M2,not_applicable:pretrained-tts-no-local-voice-cloning,local_cpu_piper,offline_neural_tts,22050,wav,none,,2026-08-10T00:00:00Z
ksc_derived_kk_v1:8a413d4a50ac12cd,processed/c4/c4ef1e0af81fa58a811d0c0ad127b1c8af2dddb74bdb9c073623c56c322b601d.wav,c5260ff2745bfb64c47310e6535f3acea80bd4967b6954ad1115785fee10e5f5,test,spoof,kk,unknown,ksc_derived_kk_v1:profile:mms_tts_kaz:mms_tts_kaz_default,ksc_derived_kk_v1,KSC text CC-BY-4.0; Piper voice CC-BY-4.0; MMS-TTS model CC-BY-NC-4.0,Offline derivative for personal research from KSC transcript ksc_slr102:5f60e571344eb; MMS-TTS model CC-BY-NC-4.0; no voice cloning,ksc_derived_kk_v1:synthetic-voice:mms_tts_kaz:mms_tts_kaz_default,ksc_slr102:5f60e571344eb,a614b7638960bd0ed4225b2012bb510b03b0d5d1e085da8aa4ca590d2ca6ffa9,7.008,mms_vits_tts,Meta MMS-TTS Kazakh,transformers-5.14.1; mms-revision-5c8a1d86e6a952f78f9c5b0f5d3090c19d00ad63,mms_tts_kaz:mms_tts_kaz_default,not_applicable:pretrained-tts-no-local-voice-cloning,local_cuda_mms,offline_neural_tts,16000,wav,none,tts_seed=2135564284,2026-08-10T00:00:00Z
ksc_derived_kk_v1:d453b213e9adc3ef,processed/52/52698a798ee1fece11f62b701f122cd65991858b5fda2cb1ba75c1d877c0dd93.wav,1b062fbb6263caee428ec754eb0033dd80e8ffc6633ecb9964d18db7b792096d,test,spoof,kk,unknown,ksc_derived_kk_v1:profile:piper_kk_issai_high:ISSAI_KazakhTTS_M1_Iseke,ksc_derived_kk_v1,KSC text CC-BY-4.0; Piper voice CC-BY-4.0; MMS-TTS model CC-BY-NC-4.0,Offline derivative for personal research from KSC transcript ksc_slr102:5f61ec0be8d10; Piper voice model CC-BY-4.0; runtime piper-tts GPL-3.0-or-later; no voice cloning,ksc_derived_kk_v1:synthetic-voice:piper_kk_issai_high:ISSAI_KazakhTTS_M1_Iseke,ksc_slr102:5f61ec0be8d10,0bcfbe1fadb11722742bdc3a63ccc23b7a616d3b35de62ab391da84243cc594e,4.655625,piper_neural_tts,Piper kk_KZ-issai-high,piper-tts-1.6.0; voices-revision-ea046e8458f6acd997706d6e6066a022b42f6fb1,piper_kk_issai_high:ISSAI_KazakhTTS_M1_Iseke,not_applicable:pretrained-tts-no-local-voice-cloning,local_cpu_piper,offline_neural_tts,22050,wav,none,,2026-08-10T00:00:00Z
ksc_derived_kk_v1:fe6a542fa9389c00,processed/d7/d77f56116af1556a4ca80c1d4bd194ada947f2325b2b51cc16583368b4a590af.wav,e33f1ceb2c87be43c4dc4144609f5c56abc67fb12997253414742cdd3ea95231,test,spoof,kk,unknown,ksc_derived_kk_v1:profile:mms_tts_kaz:mms_tts_kaz_default,ksc_derived_kk_v1,KSC text CC-BY-4.0; Piper voice CC-BY-4.0; MMS-TTS model CC-BY-NC-4.0,Offline derivative for personal research from KSC transcript ksc_slr102:5f5fa032e88c7; MMS-TTS model CC-BY-NC-4.0; no voice cloning,ksc_derived_kk_v1:synthetic-voice:mms_tts_kaz:mms_tts_kaz_default,ksc_slr102:5f5fa032e88c7,23eb4c8dca93fe77f43423c84df2ac9492c22bd023c0a62b23fd3b175a889da6,3.952,mms_vits_tts,Meta MMS-TTS Kazakh,transformers-5.14.1; mms-revision-5c8a1d86e6a952f78f9c5b0f5d3090c19d00ad63,mms_tts_kaz:mms_tts_kaz_default,not_applicable:pretrained-tts-no-local-voice-cloning,local_cuda_mms,offline_neural_tts,16000,wav,none,tts_seed=76358745,2026-08-10T00:00:00Z
ksc_derived_kk_v1:ac959b4d48551a62,processed/b6/b69a0bcb4688bab280ed54e2176bde81e134c16f2737d1e054f792975809c0d3.wav,8db20690eabf4fcee4b273058bab159732beeeff1fc19c2bd119ffd7adb56d75,test,spoof,kk,unknown,ksc_derived_kk_v1:profile:piper_kk_issai_high:ISSAI_KazakhTTS2_F3,ksc_derived_kk_v1,KSC text CC-BY-4.0; Piper voice CC-BY-4.0; MMS-TTS model CC-BY-NC-4.0,Offline derivative for personal research from KSC transcript ksc_slr102:5f60556814796; Piper voice model CC-BY-4.0; runtime piper-tts GPL-3.0-or-later; no voice cloning,ksc_derived_kk_v1:synthetic-voice:piper_kk_issai_high:ISSAI_KazakhTTS2_F3,ksc_slr102:5f60556814796,6e01817b08d3dfcf4b5669fa0ab27cd6a8cbb9990a77a186bcc14ec89e4d564f,5.712125,piper_neural_tts,Piper kk_KZ-issai-high,piper-tts-1.6.0; voices-revision-ea046e8458f6acd997706d6e6066a022b42f6fb1,piper_kk_issai_high:ISSAI_KazakhTTS2_F3,not_applicable:pretrained-tts-no-local-voice-cloning,local_cpu_piper,offline_neural_tts,22050,wav,none,,2026-08-10T00:00:00Z
ksc_derived_kk_v1:f6d969854937b2c1,processed/5d/5de0253270267c79e7a7f5eb92a9093c1b83edb7fd71d895a08443b4da58434f.wav,5ddb3f619a4aa70ce06a05ca4f32b8e5862cf8d5b1baeb22ee6ca497b4368905,test,spoof,kk,unknown,ksc_derived_kk_v1:profile:mms_tts_kaz:mms_tts_kaz_default,ksc_derived_kk_v1,KSC text CC-BY-4.0; Piper voice CC-BY-4.0; MMS-TTS model CC-BY-NC-4.0,Offline derivative for personal research from KSC transcript ksc_slr102:5f60e801828d9; MMS-TTS model CC-BY-NC-4.0; no voice cloning,ksc_derived_kk_v1:synthetic-voice:mms_tts_kaz:mms_tts_kaz_default,ksc_slr102:5f60e801828d9,788eb012c569ee204b85dabfbaa161f2545cb79f6b83ed709a1e1befa24c9a67,6.0,mms_vits_tts,Meta MMS-TTS Kazakh,transformers-5.14.1; mms-revision-5c8a1d86e6a952f78f9c5b0f5d3090c19d00ad63,mms_tts_kaz:mms_tts_kaz_default,not_applicable:pretrained-tts-no-local-voice-cloning,local_cuda_mms,offline_neural_tts,16000,wav,none,tts_seed=333781178,2026-08-10T00:00:00Z
ksc_derived_kk_v1:4983be7318d72f9c,processed/fd/fd2183282ab5e71fe9145e9aaccc7d9d84cdf5fb2a2530aeed0696de9d787a6d.wav,e5dc93645b8844f6a6708652cf015e0e3b0fa55bd411a457e64577eca0182574,test,spoof,kk,unknown,ksc_derived_kk_v1:profile:piper_kk_issai_high:ISSAI_KazakhTTS_F1_Raya,ksc_derived_kk_v1,KSC text CC-BY-4.0; Piper voice CC-BY-4.0; MMS-TTS model CC-BY-NC-4.0,Offline derivative for personal research from KSC transcript ksc_slr102:5f62c1aa7abea; Piper voice model CC-BY-4.0; runtime piper-tts GPL-3.0-or-later; no voice cloning,ksc_derived_kk_v1:synthetic-voice:piper_kk_issai_high:ISSAI_KazakhTTS_F1_Raya,ksc_slr102:5f62c1aa7abea,552a89ada46ca96f850114b92dbb5033a3da4e2322c955b799329ec3ff4e5c48,5.050375,piper_neural_tts,Piper kk_KZ-issai-high,piper-tts-1.6.0; voices-revision-ea046e8458f6acd997706d6e6066a022b42f6fb1,piper_kk_issai_high:ISSAI_KazakhTTS_F1_Raya,not_applicable:pretrained-tts-no-local-voice-cloning,local_cpu_piper,offline_neural_tts,22050,wav,none,,2026-08-10T00:00:00Z
ksc_derived_kk_v1:9abecd0d055e731f,processed/0f/0f7d3cf7a1497116e7e33ddcb64d81fd920f0e4e58684c2a066817b6645e357c.wav,10edf637d0ff19e0f00dbe218624e0c5e58e20dc82f2ee10d6d5d3cfdbaebf6c,test,spoof,kk,unknown,ksc_derived_kk_v1:profile:mms_tts_kaz:mms_tts_kaz_default,ksc_derived_kk_v1,KSC text CC-BY-4.0; Piper voice CC-BY-4.0; MMS-TTS model CC-BY-NC-4.0,Offline derivative for personal research from KSC transcript ksc_slr102:5f60ae7415620; MMS-TTS model CC-BY-NC-4.0; no voice cloning,ksc_derived_kk_v1:synthetic-voice:mms_tts_kaz:mms_tts_kaz_default,ksc_slr102:5f60ae7415620,f5d2448872a0822dcfcfb9526c9a7b7976f229963c05ee6ce3973ddde2ef2541,8.048,mms_vits_tts,Meta MMS-TTS Kazakh,transformers-5.14.1; mms-revision-5c8a1d86e6a952f78f9c5b0f5d3090c19d00ad63,mms_tts_kaz:mms_tts_kaz_default,not_applicable:pretrained-tts-no-local-voice-cloning,local_cuda_mms,offline_neural_tts,16000,wav,none,tts_seed=867530583,2026-08-10T00:00:00Z
ksc_derived_kk_v1:e6d8b6001a9c059e,processed/33/332008c053448fa8bd6219363df621b5d74f1820690b50b7507d8f60a8f5e5cc.wav,4e6ca4b6a6f687818087bc257087b86d6af4f1f9ee9758e22873e8c8d127bdc9,test,spoof,kk,unknown,ksc_derived_kk_v1:profile:piper_kk_issai_high:ISSAI_KazakhTTS2_F1,ksc_derived_kk_v1,KSC text CC-BY-4.0; Piper voice CC-BY-4.0; MMS-TTS model CC-BY-NC-4.0,Offline derivative for personal research from KSC transcript ksc_slr102:5f60b02766d87; Piper voice model CC-BY-4.0; runtime piper-tts GPL-3.0-or-later; no voice cloning,ksc_derived_kk_v1:synthetic-voice:piper_kk_issai_high:ISSAI_KazakhTTS2_F1,ksc_slr102:5f60b02766d87,2bff039dd3a49f43f0c596c8ae7efe84b9efb09dbf031d49a6e5964ceafe9576,9.497,piper_neural_tts,Piper kk_KZ-issai-high,piper-tts-1.6.0; voices-revision-ea046e8458f6acd997706d6e6066a022b42f6fb1,piper_kk_issai_high:ISSAI_KazakhTTS2_F1,not_applicable:pretrained-tts-no-local-voice-cloning,local_cpu_piper,offline_neural_tts,22050,wav,none,,2026-08-10T00:00:00Z
