sample_id,relative_path,sha256,split,label,language,code_switch,parent_group_id,source_name,source_license,rights_basis,speaker_pseudo_id,text_id,text_hash,duration_s,generator_family,generator_name,generator_version,voice_id,clone_consent_id,device,capture_route,original_sr,codec,augmentation_chain,augmentation_seed,created_at
ksc_slr102:5f60c25d2f92f,raw/ksc_slr102/slices/derived-v3-base-450/Audios_flac/5f60c25d2f92f.flac,3bc3316468c867bd1651f09e5b687081564761e5d038eb4f0e825d5878332a93,test,bonafide,kk,unknown,ksc_slr102:source-split:test,ksc_slr102,https://creativecommons.org/licenses/by/4.0/,"OpenSLR SLR102 / KSC, CC-BY-4.0; attribution retained",ksc_slr102:source-split:test:speaker-unknown,ksc_slr102:5f60c25d2f92f,474e4f069409d8a22ea7c3dd5d4ef4b015eba2b642a88d2858824d825093c06c,9.1306875,,,,,,unknown,crowdsourced_web_recording,16000,flac,,,2026-08-10T00:00:00Z
ksc_slr102:5f60bb7fb8a57,raw/ksc_slr102/slices/derived-v3-base-450/Audios_flac/5f60bb7fb8a57.flac,ec3838b44d3baf559b14f4bc4e58c13f09953cab1b5a7965934ef093a8fb3a54,test,bonafide,kk,unknown,ksc_slr102:source-split:test,ksc_slr102,https://creativecommons.org/licenses/by/4.0/,"OpenSLR SLR102 / KSC, CC-BY-4.0; attribution retained",ksc_slr102:source-split:test:speaker-unknown,ksc_slr102:5f60bb7fb8a57,91610bfc0df5517a5086a6eaa5ad942a856ce24337c7a4ae103f87a928945e5b,9.8133125,,,,,,unknown,crowdsourced_web_recording,16000,flac,,,2026-08-10T00:00:00Z
ksc_slr102:5f5794f4e66f7,raw/ksc_slr102/slices/derived-v3-base-450/Audios_flac/5f5794f4e66f7.flac,fd1ca281e405d9b3bf55bb1f0bfc15d5780d9a686132e3e53814d4f101c0e8b3,test,bonafide,kk,unknown,ksc_slr102:source-split:test,ksc_slr102,https://creativecommons.org/licenses/by/4.0/,"OpenSLR SLR102 / KSC, CC-BY-4.0; attribution retained",ksc_slr102:source-split:test:speaker-unknown,ksc_slr102:5f5794f4e66f7,9d4d8bb4220c329d068fa94d69a9c90fc90e298a995e865205a37e58817d6f78,4.5226875,,,,,,unknown,crowdsourced_web_recording,16000,flac,,,2026-08-10T00:00:00Z
ksc_slr102:5f5f91fe772b4,raw/ksc_slr102/slices/derived-v3-base-450/Audios_flac/5f5f91fe772b4.flac,ebaa40d284c12727d21994f5c07c62ca6b3570dda460e4ef95d02fea76bf3b5b,test,bonafide,kk,unknown,ksc_slr102:source-split:test,ksc_slr102,https://creativecommons.org/licenses/by/4.0/,"OpenSLR SLR102 / KSC, CC-BY-4.0; attribution retained",ksc_slr102:source-split:test:speaker-unknown,ksc_slr102:5f5f91fe772b4,4c65af4be3267f2a8f8a8e55806b928d4547a6c1969b021714069978f408bde7,8.59,,,,,,unknown,crowdsourced_web_recording,16000,flac,,,2026-08-10T00:00:00Z
ksc_slr102:5f5a5dc811ad2,raw/ksc_slr102/slices/derived-v3-base-450/Audios_flac/5f5a5dc811ad2.flac,0d5de5fae9cadfea921b320fad779c2afb6801a994c86ba0670701bb1e731f8b,test,bonafide,kk,unknown,ksc_slr102:source-split:test,ksc_slr102,https://creativecommons.org/licenses/by/4.0/,"OpenSLR SLR102 / KSC, CC-BY-4.0; attribution retained",ksc_slr102:source-split:test:speaker-unknown,ksc_slr102:5f5a5dc811ad2,69637d9d34ced7043eff3344de6f0cfa2aa16ad3fc4add6fdde6ac983657bc59,5.8026875,,,,,,unknown,crowdsourced_web_recording,16000,flac,,,2026-08-10T00:00:00Z
ksc_slr102:5f59b704e85d1,raw/ksc_slr102/slices/derived-v3-base-450/Audios_flac/5f59b704e85d1.flac,ed0ab89c1ad2b4bd0b71fabc29f75acc9bc17379b9c0ad4d94e2ab8513369ae4,test,bonafide,kk,unknown,ksc_slr102:source-split:test,ksc_slr102,https://creativecommons.org/licenses/by/4.0/,"OpenSLR SLR102 / KSC, CC-BY-4.0; attribution retained",ksc_slr102:source-split:test:speaker-unknown,ksc_slr102:5f59b704e85d1,75dfd4467f5d87ca0bb5d22857423e7f9061cc988bfa98badd8fec0c54cf9bb1,8.96,,,,,,unknown,crowdsourced_web_recording,16000,flac,,,2026-08-10T00:00:00Z
ksc_slr102:5f60c0c572565,raw/ksc_slr102/slices/derived-v3-base-450/Audios_flac/5f60c0c572565.flac,d1c9c4d8b1d01e4c6df64beec302a753bceaf3ecae1800ff2c20b6dc93742280,test,bonafide,kk,unknown,ksc_slr102:source-split:test,ksc_slr102,https://creativecommons.org/licenses/by/4.0/,"OpenSLR SLR102 / KSC, CC-BY-4.0; attribution retained",ksc_slr102:source-split:test:speaker-unknown,ksc_slr102:5f60c0c572565,e25c67d16546320ac6ed96d1fec80e2585dc265f85abfe5593560328b54fe093,5.888,,,,,,unknown,crowdsourced_web_recording,16000,flac,,,2026-08-10T00:00:00Z
ksc_slr102:5f5a524aaa7ab,raw/ksc_slr102/slices/derived-v3-base-450/Audios_flac/5f5a524aaa7ab.flac,7d481e9aadcdbd2e1d2c446ea156fba8d9c92d9ea668dae3a98d8c20ca0ecf90,test,bonafide,kk,unknown,ksc_slr102:source-split:test,ksc_slr102,https://creativecommons.org/licenses/by/4.0/,"OpenSLR SLR102 / KSC, CC-BY-4.0; attribution retained",ksc_slr102:source-split:test:speaker-unknown,ksc_slr102:5f5a524aaa7ab,1b060d91744035d3f7c2310ef94e187c3cd658452e85dbe63619c2a0d2b43f7f,14.2506875,,,,,,unknown,crowdsourced_web_recording,16000,flac,,,2026-08-10T00:00:00Z
ksc_slr102:5f60e740c098f,raw/ksc_slr102/slices/derived-v3-base-450/Audios_flac/5f60e740c098f.flac,7bc62c2048d44f70339dd6c5a0cbf0f5c5320ff9d00724cc357738c8287f3b4f,test,bonafide,kk,unknown,ksc_slr102:source-split:test,ksc_slr102,https://creativecommons.org/licenses/by/4.0/,"OpenSLR SLR102 / KSC, CC-BY-4.0; attribution retained",ksc_slr102:source-split:test:speaker-unknown,ksc_slr102:5f60e740c098f,cf3965d6e88c62a4c44ff2829295e1adb32474727b83103d8e6b50e9726ab881,5.4613125,,,,,,unknown,crowdsourced_web_recording,16000,flac,,,2026-08-10T00:00:00Z
ksc_slr102:5f5f3ea8269d9,raw/ksc_slr102/slices/derived-v3-base-450/Audios_flac/5f5f3ea8269d9.flac,1aa6732597015f59c91280fd672b1566eee48a456bc6b0939d64c9753e793e1c,test,bonafide,kk,unknown,ksc_slr102:source-split:test,ksc_slr102,https://creativecommons.org/licenses/by/4.0/,"OpenSLR SLR102 / KSC, CC-BY-4.0; attribution retained",ksc_slr102:source-split:test:speaker-unknown,ksc_slr102:5f5f3ea8269d9,4771f798a87a2c2d4ef24a4cbffd304917bae5038a6b16d28e09ad761028e736,6.08,,,,,,unknown,crowdsourced_web_recording,16000,flac,,,2026-08-10T00:00:00Z
ksc_slr102:5f5a35f8d8760,raw/ksc_slr102/slices/derived-v3-base-450/Audios_flac/5f5a35f8d8760.flac,3674da7755f873d3cc33e0c1fd0e84eec0c388f769d3e0269c8c0055748ecf3f,test,bonafide,kk,unknown,ksc_slr102:source-split:test,ksc_slr102,https://creativecommons.org/licenses/by/4.0/,"OpenSLR SLR102 / KSC, CC-BY-4.0; attribution retained",ksc_slr102:source-split:test:speaker-unknown,ksc_slr102:5f5a35f8d8760,192cd515f244fe8abb85057d5cd76fe0caf9ac9ae5b88eaea229ab0c4888314c,14.848,,,,,,unknown,crowdsourced_web_recording,16000,flac,,,2026-08-10T00:00:00Z
ksc_slr102:5f60fda7bfd5a,raw/ksc_slr102/slices/derived-v3-base-450/Audios_flac/5f60fda7bfd5a.flac,e2806ed2ec7f9ea8ceec4e1ea86b0e4c67ff94e40046d026ddb5ca9743f0dab0,test,bonafide,kk,unknown,ksc_slr102:source-split:test,ksc_slr102,https://creativecommons.org/licenses/by/4.0/,"OpenSLR SLR102 / KSC, CC-BY-4.0; attribution retained",ksc_slr102:source-split:test:speaker-unknown,ksc_slr102:5f60fda7bfd5a,230fd6adf5d4f7c7c841d81c0c0bf87d2644189ab7e7a07f36703ec67b291b55,3.9253125,,,,,,unknown,crowdsourced_web_recording,16000,flac,,,2026-08-10T00:00:00Z
ksc_slr102:5f60fdfd94eae,raw/ksc_slr102/slices/derived-v3-base-450/Audios_flac/5f60fdfd94eae.flac,4d07461070aea1419c372b5db2b173294fda92dc6bb159001cd6e1d2ef7559c0,test,bonafide,kk,unknown,ksc_slr102:source-split:test,ksc_slr102,https://creativecommons.org/licenses/by/4.0/,"OpenSLR SLR102 / KSC, CC-BY-4.0; attribution retained",ksc_slr102:source-split:test:speaker-unknown,ksc_slr102:5f60fdfd94eae,ca06f1249cee6195e78f998efd523247b75edb18680ebfc604a48bbd22e9e207,6.2293125,,,,,,unknown,crowdsourced_web_recording,16000,flac,,,2026-08-10T00:00:00Z
ksc_slr102:5f58e1b2a058c,raw/ksc_slr102/slices/derived-v3-base-450/Audios_flac/5f58e1b2a058c.flac,b0fa6ca16ee63081d8c6a495932ecb2fe47669987eba74d6b52d5a330600130e,test,bonafide,kk,unknown,ksc_slr102:source-split:test,ksc_slr102,https://creativecommons.org/licenses/by/4.0/,"OpenSLR SLR102 / KSC, CC-BY-4.0; attribution retained",ksc_slr102:source-split:test:speaker-unknown,ksc_slr102:5f58e1b2a058c,e6cd2a2cd728dc083bf1923cf43e2a44da9a4b75d4420f753fdea7d67b3e312b,7.8506875,,,,,,unknown,crowdsourced_web_recording,16000,flac,,,2026-08-10T00:00:00Z
ksc_slr102:5f5c34702772c,raw/ksc_slr102/slices/derived-v3-base-450/Audios_flac/5f5c34702772c.flac,0c8e47b334b130ec7f87401df51cb4069db3af0739488b0bf79e81ead56ea2dc,test,bonafide,kk,unknown,ksc_slr102:source-split:test,ksc_slr102,https://creativecommons.org/licenses/by/4.0/,"OpenSLR SLR102 / KSC, CC-BY-4.0; attribution retained",ksc_slr102:source-split:test:speaker-unknown,ksc_slr102:5f5c34702772c,640286cd6604ae9af357f9651a92fb4d8a9b8eff3c210b082f823445bae753d3,1.5633125,,,,,,unknown,crowdsourced_web_recording,16000,flac,,,2026-08-10T00:00:00Z
ksc_slr102:5f6189ea4955a,raw/ksc_slr102/slices/derived-v3-base-450/Audios_flac/5f6189ea4955a.flac,319f61f183818f1415c90074cb89a04586cb6794f9b6494c88cdc1f3c817d2c4,test,bonafide,kk,unknown,ksc_slr102:source-split:test,ksc_slr102,https://creativecommons.org/licenses/by/4.0/,"OpenSLR SLR102 / KSC, CC-BY-4.0; attribution retained",ksc_slr102:source-split:test:speaker-unknown,ksc_slr102:5f6189ea4955a,aa184bea4a28a0e1ee51a0e9abc4d3e86a8e6592687714922f44a952c0dc2ec8,11.4346875,,,,,,unknown,crowdsourced_web_recording,16000,flac,,,2026-08-10T00:00:00Z
ksc_slr102:5f5c350071245,raw/ksc_slr102/slices/derived-v3-base-450/Audios_flac/5f5c350071245.flac,19b6fbbe6e75889c9bf90ced566322d0526b6fdeb96aae124f604e916ac8366f,test,bonafide,kk,unknown,ksc_slr102:source-split:test,ksc_slr102,https://creativecommons.org/licenses/by/4.0/,"OpenSLR SLR102 / KSC, CC-BY-4.0; attribution retained",ksc_slr102:source-split:test:speaker-unknown,ksc_slr102:5f5c350071245,5d9de0980d8fe5f7b345703f2de833b32c73a73b92967b34416d5e594da4f835,2.8986875,,,,,,unknown,crowdsourced_web_recording,16000,flac,,,2026-08-10T00:00:00Z
ksc_slr102:5f579545dd4dc,raw/ksc_slr102/slices/derived-v3-base-450/Audios_flac/5f579545dd4dc.flac,56351d7602a97424c6dc742fdbae774e500cd6dd8f580e5b87e54d75fc125bb7,test,bonafide,kk,unknown,ksc_slr102:source-split:test,ksc_slr102,https://creativecommons.org/licenses/by/4.0/,"OpenSLR SLR102 / KSC, CC-BY-4.0; attribution retained",ksc_slr102:source-split:test:speaker-unknown,ksc_slr102:5f579545dd4dc,108b0b42b9e9bf3eb143f3dca7b4275222c06643dffee5bf431b3cb728bec4ce,5.4613125,,,,,,unknown,crowdsourced_web_recording,16000,flac,,,2026-08-10T00:00:00Z
ksc_slr102:5f59ec3c86064,raw/ksc_slr102/slices/derived-v3-base-450/Audios_flac/5f59ec3c86064.flac,979c1b0dfa9b468d2f4653b9a1d0a426e48ec6b805827fa10175279c70de3d7c,test,bonafide,kk,unknown,ksc_slr102:source-split:test,ksc_slr102,https://creativecommons.org/licenses/by/4.0/,"OpenSLR SLR102 / KSC, CC-BY-4.0; attribution retained",ksc_slr102:source-split:test:speaker-unknown,ksc_slr102:5f59ec3c86064,8d7b7916e1d43a968225253b272a3fa0db02458bd1c7ad26e90747579a105931,5.9733125,,,,,,unknown,crowdsourced_web_recording,16000,flac,,,2026-08-10T00:00:00Z
ksc_slr102:5f5c4d8096994,raw/ksc_slr102/slices/derived-v3-base-450/Audios_flac/5f5c4d8096994.flac,8bc918d8a4c6106d8d15f29d2d23837fc80fbeef68a74f213b12e9a8c9b91cde,test,bonafide,kk,unknown,ksc_slr102:source-split:test,ksc_slr102,https://creativecommons.org/licenses/by/4.0/,"OpenSLR SLR102 / KSC, CC-BY-4.0; attribution retained",ksc_slr102:source-split:test:speaker-unknown,ksc_slr102:5f5c4d8096994,9b6ce1eea386d635ac26a1ea6ee1ac888239c9e512461efa101de9bf0234d9b9,2.56,,,,,,unknown,crowdsourced_web_recording,16000,flac,,,2026-08-10T00:00:00Z
ksc_slr102:5f60bf8726a0f,raw/ksc_slr102/slices/derived-v3-base-450/Audios_flac/5f60bf8726a0f.flac,64bfe4fd02443e8366e48111f258a3090035401b36f2f6401efb9e6e7a65a096,test,bonafide,kk,unknown,ksc_slr102:source-split:test,ksc_slr102,https://creativecommons.org/licenses/by/4.0/,"OpenSLR SLR102 / KSC, CC-BY-4.0; attribution retained",ksc_slr102:source-split:test:speaker-unknown,ksc_slr102:5f60bf8726a0f,9b6730f53c284c4f2d48feb6886598a60ccf20058608ca6603c5fa0aad5f1ffd,11.0933125,,,,,,unknown,crowdsourced_web_recording,16000,flac,,,2026-08-10T00:00:00Z
ksc_slr102:5f5a396015ebb,raw/ksc_slr102/slices/derived-v3-base-450/Audios_flac/5f5a396015ebb.flac,b958b506a56bfc0ff9e5f6953a59b723d8a08f95e8572ce3b06ac1b142cb7d0c,test,bonafide,kk,unknown,ksc_slr102:source-split:test,ksc_slr102,https://creativecommons.org/licenses/by/4.0/,"OpenSLR SLR102 / KSC, CC-BY-4.0; attribution retained",ksc_slr102:source-split:test:speaker-unknown,ksc_slr102:5f5a396015ebb,7c6c4420652cd2da615ca256a920d9ddb8fb2f2b1776b3c68aaac57a234bf264,3.2426875,,,,,,unknown,crowdsourced_web_recording,16000,flac,,,2026-08-10T00:00:00Z
