sample_id,relative_path,sha256,split,label,language,code_switch,parent_group_id,source_name,source_license,rights_basis,speaker_pseudo_id,text_id,text_hash,duration_s,generator_family,generator_name,generator_version,voice_id,clone_consent_id,device,capture_route,original_sr,codec,augmentation_chain,augmentation_seed,created_at
ksc_slr102:5f60c25d2f92f,processed/3b/3bc3316468c867bd1651f09e5b687081564761e5d038eb4f0e825d5878332a93.wav,d19938aad496d336fe63ccee12bf1e754a6bef7077156f9f1c06336c66d13b83,test,bonafide,kk,unknown,ksc_slr102:source-split:test,ksc_slr102,https://creativecommons.org/licenses/by/4.0/,"OpenSLR SLR102 / KSC, CC-BY-4.0; attribution retained",ksc_slr102:source-split:test:speaker-unknown,ksc_slr102:5f60c25d2f92f,474e4f069409d8a22ea7c3dd5d4ef4b015eba2b642a88d2858824d825093c06c,9.1306875,,,,,,unknown,crowdsourced_web_recording,16000,wav,,,2026-08-10T00:00:00Z
ksc_slr102:5f60bb7fb8a57,processed/ec/ec3838b44d3baf559b14f4bc4e58c13f09953cab1b5a7965934ef093a8fb3a54.wav,3e5a7bd2d1dbb41554b80c2bf3a62106ad552bc34268e570e7199be15dfb2fc3,test,bonafide,kk,unknown,ksc_slr102:source-split:test,ksc_slr102,https://creativecommons.org/licenses/by/4.0/,"OpenSLR SLR102 / KSC, CC-BY-4.0; attribution retained",ksc_slr102:source-split:test:speaker-unknown,ksc_slr102:5f60bb7fb8a57,91610bfc0df5517a5086a6eaa5ad942a856ce24337c7a4ae103f87a928945e5b,9.8133125,,,,,,unknown,crowdsourced_web_recording,16000,wav,,,2026-08-10T00:00:00Z
ksc_slr102:5f5794f4e66f7,processed/fd/fd1ca281e405d9b3bf55bb1f0bfc15d5780d9a686132e3e53814d4f101c0e8b3.wav,10e84892c1f034b76425ae3759159c1a47cf8ed398371f655d9f725994ea6464,test,bonafide,kk,unknown,ksc_slr102:source-split:test,ksc_slr102,https://creativecommons.org/licenses/by/4.0/,"OpenSLR SLR102 / KSC, CC-BY-4.0; attribution retained",ksc_slr102:source-split:test:speaker-unknown,ksc_slr102:5f5794f4e66f7,9d4d8bb4220c329d068fa94d69a9c90fc90e298a995e865205a37e58817d6f78,4.5226875,,,,,,unknown,crowdsourced_web_recording,16000,wav,,,2026-08-10T00:00:00Z
ksc_slr102:5f5f91fe772b4,processed/eb/ebaa40d284c12727d21994f5c07c62ca6b3570dda460e4ef95d02fea76bf3b5b.wav,fb1078d4ae2137679499a48d24a5240273ace72b9620e8ff58f5f64cae649df3,test,bonafide,kk,unknown,ksc_slr102:source-split:test,ksc_slr102,https://creativecommons.org/licenses/by/4.0/,"OpenSLR SLR102 / KSC, CC-BY-4.0; attribution retained",ksc_slr102:source-split:test:speaker-unknown,ksc_slr102:5f5f91fe772b4,4c65af4be3267f2a8f8a8e55806b928d4547a6c1969b021714069978f408bde7,8.59,,,,,,unknown,crowdsourced_web_recording,16000,wav,,,2026-08-10T00:00:00Z
ksc_slr102:5f5a5dc811ad2,processed/0d/0d5de5fae9cadfea921b320fad779c2afb6801a994c86ba0670701bb1e731f8b.wav,bead0a16edd511d8e2fbf776d749d81c432fe13e4a50cdd90f6444f4dd005742,test,bonafide,kk,unknown,ksc_slr102:source-split:test,ksc_slr102,https://creativecommons.org/licenses/by/4.0/,"OpenSLR SLR102 / KSC, CC-BY-4.0; attribution retained",ksc_slr102:source-split:test:speaker-unknown,ksc_slr102:5f5a5dc811ad2,69637d9d34ced7043eff3344de6f0cfa2aa16ad3fc4add6fdde6ac983657bc59,5.8026875,,,,,,unknown,crowdsourced_web_recording,16000,wav,,,2026-08-10T00:00:00Z
ksc_slr102:5f59b704e85d1,processed/ed/ed0ab89c1ad2b4bd0b71fabc29f75acc9bc17379b9c0ad4d94e2ab8513369ae4.wav,4eb58b8ded811e9e4bcd99c332181eb2ad2cdb724d426603c5f75de5620f302a,test,bonafide,kk,unknown,ksc_slr102:source-split:test,ksc_slr102,https://creativecommons.org/licenses/by/4.0/,"OpenSLR SLR102 / KSC, CC-BY-4.0; attribution retained",ksc_slr102:source-split:test:speaker-unknown,ksc_slr102:5f59b704e85d1,75dfd4467f5d87ca0bb5d22857423e7f9061cc988bfa98badd8fec0c54cf9bb1,8.96,,,,,,unknown,crowdsourced_web_recording,16000,wav,,,2026-08-10T00:00:00Z
ksc_slr102:5f60c0c572565,processed/d1/d1c9c4d8b1d01e4c6df64beec302a753bceaf3ecae1800ff2c20b6dc93742280.wav,daf8bf20e42068dc55c91dc327e4d69552e302a96a78ccff0782b0bc5a4ee24a,test,bonafide,kk,unknown,ksc_slr102:source-split:test,ksc_slr102,https://creativecommons.org/licenses/by/4.0/,"OpenSLR SLR102 / KSC, CC-BY-4.0; attribution retained",ksc_slr102:source-split:test:speaker-unknown,ksc_slr102:5f60c0c572565,e25c67d16546320ac6ed96d1fec80e2585dc265f85abfe5593560328b54fe093,5.888,,,,,,unknown,crowdsourced_web_recording,16000,wav,,,2026-08-10T00:00:00Z
ksc_slr102:5f5a524aaa7ab,processed/7d/7d481e9aadcdbd2e1d2c446ea156fba8d9c92d9ea668dae3a98d8c20ca0ecf90.wav,6d06da83f89cf60650e9f6cd472980354507bc8f575e9efbd74215f70b7bdb19,test,bonafide,kk,unknown,ksc_slr102:source-split:test,ksc_slr102,https://creativecommons.org/licenses/by/4.0/,"OpenSLR SLR102 / KSC, CC-BY-4.0; attribution retained",ksc_slr102:source-split:test:speaker-unknown,ksc_slr102:5f5a524aaa7ab,1b060d91744035d3f7c2310ef94e187c3cd658452e85dbe63619c2a0d2b43f7f,14.2506875,,,,,,unknown,crowdsourced_web_recording,16000,wav,,,2026-08-10T00:00:00Z
ksc_slr102:5f60e740c098f,processed/7b/7bc62c2048d44f70339dd6c5a0cbf0f5c5320ff9d00724cc357738c8287f3b4f.wav,266c0b4905022ff27634ae4e4dcebc85f0324505bcbee8f27e367a18d145f865,test,bonafide,kk,unknown,ksc_slr102:source-split:test,ksc_slr102,https://creativecommons.org/licenses/by/4.0/,"OpenSLR SLR102 / KSC, CC-BY-4.0; attribution retained",ksc_slr102:source-split:test:speaker-unknown,ksc_slr102:5f60e740c098f,cf3965d6e88c62a4c44ff2829295e1adb32474727b83103d8e6b50e9726ab881,5.4613125,,,,,,unknown,crowdsourced_web_recording,16000,wav,,,2026-08-10T00:00:00Z
ksc_slr102:5f5a35f8d8760,processed/36/3674da7755f873d3cc33e0c1fd0e84eec0c388f769d3e0269c8c0055748ecf3f.wav,a4db6c5279cef745d4139fbc47cd1a247983cfc58c87e6a5f1357f9d2888d7cf,test,bonafide,kk,unknown,ksc_slr102:source-split:test,ksc_slr102,https://creativecommons.org/licenses/by/4.0/,"OpenSLR SLR102 / KSC, CC-BY-4.0; attribution retained",ksc_slr102:source-split:test:speaker-unknown,ksc_slr102:5f5a35f8d8760,192cd515f244fe8abb85057d5cd76fe0caf9ac9ae5b88eaea229ab0c4888314c,14.848,,,,,,unknown,crowdsourced_web_recording,16000,wav,,,2026-08-10T00:00:00Z
