sample_id,relative_path,sha256,split,label,language,code_switch,parent_group_id,source_name,source_license,rights_basis,speaker_pseudo_id,text_id,text_hash,duration_s,generator_family,generator_name,generator_version,voice_id,clone_consent_id,device,capture_route,original_sr,codec,augmentation_chain,augmentation_seed,created_at
ksc_slr102:5f60a61e3866c,processed/f2/f2bad412393409c666f5588c90ac9d50bf11166f9481ac2f10523549a94f8bb7.wav,d3a4daf95a4b7b103dc550a991000981d5ff104166fcbfc350d1c5cfeae335ef,dev,bonafide,kk,unknown,ksc_slr102:source-split:dev,ksc_slr102,https://creativecommons.org/licenses/by/4.0/,"OpenSLR SLR102 / KSC, CC-BY-4.0; attribution retained",ksc_slr102:source-split:dev:speaker-unknown,ksc_slr102:5f60a61e3866c,8ef2a105dd06d6cdc651fdd261aeec7ff0e59cd2d932fc7dea1db48a29d061dd,10.496,,,,,,unknown,crowdsourced_web_recording,16000,wav,,,2026-08-09T00:00:00Z
ksc_slr102:5f6070d392626,processed/8d/8d9b056b2754ec052da4870212dee23ab5e09f9b8ab426c361ccf3304ce27731.wav,77ffeca40138864e6d7d33f6c5562ed528940f70eb5fc087494f94e54edab1de,dev,bonafide,kk,unknown,ksc_slr102:source-split:dev,ksc_slr102,https://creativecommons.org/licenses/by/4.0/,"OpenSLR SLR102 / KSC, CC-BY-4.0; attribution retained",ksc_slr102:source-split:dev:speaker-unknown,ksc_slr102:5f6070d392626,997be7b3ab2752bc1066fffead2c54e85cda8dfa6c236465cac3579762ebd47a,6.3146875,,,,,,unknown,crowdsourced_web_recording,16000,wav,,,2026-08-09T00:00:00Z
ksc_slr102:5f5c2b2ea942e,processed/cb/cb3940799a10cc36241581c09e0c1ec96bcfdcd355c2488972282da0775fc221.wav,0508b55872ce301beac2bb4502f5c667b26fefe556d5e5e1ad2b7485d3dad2a6,dev,bonafide,kk,unknown,ksc_slr102:source-split:dev,ksc_slr102,https://creativecommons.org/licenses/by/4.0/,"OpenSLR SLR102 / KSC, CC-BY-4.0; attribution retained",ksc_slr102:source-split:dev:speaker-unknown,ksc_slr102:5f5c2b2ea942e,8b7c07fd21edc0c7d9aa5d80cf1ee034e21a4d5d3b96ccfa5b565c0133f55104,9.27,,,,,,unknown,crowdsourced_web_recording,16000,wav,,,2026-08-09T00:00:00Z
ksc_slr102:5f572f0567b32,processed/44/44f45e2d528dd5196d651ff877cca296cfef963859b86942ec0b02eb8a788633.wav,2a2e078f23ba8009a2802301ac782702b8e84b879d427549520181239cee6d47,dev,bonafide,kk,unknown,ksc_slr102:source-split:dev,ksc_slr102,https://creativecommons.org/licenses/by/4.0/,"OpenSLR SLR102 / KSC, CC-BY-4.0; attribution retained",ksc_slr102:source-split:dev:speaker-unknown,ksc_slr102:5f572f0567b32,465c1988ad9fae9b8a546f2535e2b9141188c3b8c9d69fe0a3e72aa970db7e92,5.7173125,,,,,,unknown,crowdsourced_web_recording,16000,wav,,,2026-08-09T00:00:00Z
ksc_slr102:5f9111a3ae7a0,processed/52/52aff980a69fbd3e7a625d6cffdfea1731e0a7f021b3e81e0cd878e08ceb8000.wav,1e19001ff716f634b92158ee2c1acdb12b92407c0514a51f219dffa2b91a26cd,dev,bonafide,kk,unknown,ksc_slr102:source-split:dev,ksc_slr102,https://creativecommons.org/licenses/by/4.0/,"OpenSLR SLR102 / KSC, CC-BY-4.0; attribution retained",ksc_slr102:source-split:dev:speaker-unknown,ksc_slr102:5f9111a3ae7a0,d5a48ec0b00b585b6e59062c2a6c2f5dcc9eb6cfeb514e194ffcce041672e0fa,7.58,,,,,,unknown,crowdsourced_web_recording,16000,wav,,,2026-08-09T00:00:00Z
ksc_slr102:5f5a60a8a6621,processed/83/83b0231da8edcf400a6c1c40f85519e03523838be09989c44ecef97bf9f29b32.wav,c08a3efba257a6cfc506e9615bbdab1ce7011f824b6d3634e2a04414a7dbe6f0,dev,bonafide,kk,unknown,ksc_slr102:source-split:dev,ksc_slr102,https://creativecommons.org/licenses/by/4.0/,"OpenSLR SLR102 / KSC, CC-BY-4.0; attribution retained",ksc_slr102:source-split:dev:speaker-unknown,ksc_slr102:5f5a60a8a6621,5f9ea73c8541b7cc2a73dd06180eeb430eb3d5f92c0b9be9d2936463344c94b7,6.23,,,,,,unknown,crowdsourced_web_recording,16000,wav,,,2026-08-09T00:00:00Z
ksc_slr102:5f5f5dc00532f,processed/89/897990bf31ffdbd6de6b8559eb92180cce8347ed3f83acee7012c258e872a51b.wav,53c290c654fd4f2811169a3163467971d9406ef9456d853a7465ca05c14a5c68,dev,bonafide,kk,unknown,ksc_slr102:source-split:dev,ksc_slr102,https://creativecommons.org/licenses/by/4.0/,"OpenSLR SLR102 / KSC, CC-BY-4.0; attribution retained",ksc_slr102:source-split:dev:speaker-unknown,ksc_slr102:5f5f5dc00532f,ccc53faaf04e21b382a49f9140e8e8ee6b823ec8f3c25c7c20f2ac87445da41a,9.9186875,,,,,,unknown,crowdsourced_web_recording,16000,wav,,,2026-08-09T00:00:00Z
ksc_slr102:5f9148d822fa6,processed/19/19f374cf4e1231567651426580f5475f366898ba8bc2d2c17e7ae1604fba667d.wav,14f31f87689474eca4fef961ae72b84006e6f2bfe7334d38ef019e812d002a25,dev,bonafide,kk,unknown,ksc_slr102:source-split:dev,ksc_slr102,https://creativecommons.org/licenses/by/4.0/,"OpenSLR SLR102 / KSC, CC-BY-4.0; attribution retained",ksc_slr102:source-split:dev:speaker-unknown,ksc_slr102:5f9148d822fa6,d827e7b21c054d7aa418fc0f39c9c3ae5fbd9fe5c5c7d391c8743cfb8736ce6e,7.19,,,,,,unknown,crowdsourced_web_recording,16000,wav,,,2026-08-09T00:00:00Z
ksc_slr102:5f55c02497e46,processed/56/56e1b86032f0a376844f1ba3e15160da6fd34ae53ac5ab23e28b006d6786954c.wav,fea206672d4a3dd76553a9649613676a5930993d91771ce8476d85c37d6cebd3,dev,bonafide,kk,unknown,ksc_slr102:source-split:dev,ksc_slr102,https://creativecommons.org/licenses/by/4.0/,"OpenSLR SLR102 / KSC, CC-BY-4.0; attribution retained",ksc_slr102:source-split:dev:speaker-unknown,ksc_slr102:5f55c02497e46,2156c1ea1dd30cf376623361367ee8e52977515ecd82d5bbf2bd0aa00fecde2f,8.8746875,,,,,,unknown,crowdsourced_web_recording,16000,wav,,,2026-08-09T00:00:00Z
ksc_slr102:5f608ba48756c,processed/c8/c8e07d38d5659ed9f641a1c11314b49c01c1fbfec5d4192b24b29fe31f255be7.wav,bda368d03813cc7282de8001772bbfb51501090370c9c602ecec2632a19a4eda,dev,bonafide,kk,unknown,ksc_slr102:source-split:dev,ksc_slr102,https://creativecommons.org/licenses/by/4.0/,"OpenSLR SLR102 / KSC, CC-BY-4.0; attribution retained",ksc_slr102:source-split:dev:speaker-unknown,ksc_slr102:5f608ba48756c,1bed8f8658fe196ffa41ef9a8c99b6236a5d901679757e4b2b998d1f42e4dcce,4.6933125,,,,,,unknown,crowdsourced_web_recording,16000,wav,,,2026-08-09T00:00:00Z
