sample_id,relative_path,sha256,split,label,language,code_switch,parent_group_id,source_name,source_license,rights_basis,speaker_pseudo_id,text_id,text_hash,duration_s,generator_family,generator_name,generator_version,voice_id,clone_consent_id,device,capture_route,original_sr,codec,augmentation_chain,augmentation_seed,created_at
pyara_ru_v7:alg_1_18782,raw/pyara_ru_v7/slices/research-500/Fake/alg_1_18782.wav,e778d24e2ed9e975700c3105ce2dbd79abe74fb3831b746f2d28caacb1adea37,train,spoof,ru,unknown,pyara_ru_v7:source-record:alg_1_18782,pyara_ru_v7,CC-BY-NC-SA-4.0,"PyAra v7 CC-BY-NC-SA-4.0; owner-authorized personal research; text-leakage-safe only, no verified speaker identifiers",pyara_ru_v7:source-record:alg_1_18782,pyara_ru_v7:text:8fdf697c55982b07fae341d931c27c87034664818dc09881ce7d11d5e024da65,8fdf697c55982b07fae341d931c27c87034664818dc09881ce7d11d5e024da65,4.825,unspecified_synthesis,alg_1,PyAra-v7,pyara_ru_v7:voice:unknown,,unknown,pyara_source_audio,16000,wav,,,2026-08-09T16:54:22.274364Z
pyara_ru_v7:alg_1_12711,raw/pyara_ru_v7/slices/research-500/Fake/alg_1_12711.wav,01f575d2db7c6d9aaec7fd381cd1e56e58d1621f4f823bed5937d6099f777495,train,spoof,ru,unknown,pyara_ru_v7:source-record:alg_1_12711,pyara_ru_v7,CC-BY-NC-SA-4.0,"PyAra v7 CC-BY-NC-SA-4.0; owner-authorized personal research; text-leakage-safe only, no verified speaker identifiers",pyara_ru_v7:source-record:alg_1_12711,pyara_ru_v7:text:68efe9c9fd6961e04d86030ac03bf4a947bb649a7faaeb725fd3298b36c2dcdc,68efe9c9fd6961e04d86030ac03bf4a947bb649a7faaeb725fd3298b36c2dcdc,6.4375,unspecified_synthesis,alg_1,PyAra-v7,pyara_ru_v7:voice:unknown,,unknown,pyara_source_audio,16000,wav,,,2026-08-09T16:54:22.274364Z
pyara_ru_v7:alg_1_24095,raw/pyara_ru_v7/slices/research-500/Fake/alg_1_24095.wav,ffa8f6122fb862dc59dadfd0572a4fa4d93e6dff49efcef86016f247d0561e4c,train,spoof,ru,unknown,pyara_ru_v7:source-record:alg_1_24095,pyara_ru_v7,CC-BY-NC-SA-4.0,"PyAra v7 CC-BY-NC-SA-4.0; owner-authorized personal research; text-leakage-safe only, no verified speaker identifiers",pyara_ru_v7:source-record:alg_1_24095,pyara_ru_v7:text:a4ae26e9cd7eee13bdc24a84826d77cf739e6aa49a11bdfaadc7547f7278f233,a4ae26e9cd7eee13bdc24a84826d77cf739e6aa49a11bdfaadc7547f7278f233,5.625,unspecified_synthesis,alg_1,PyAra-v7,pyara_ru_v7:voice:unknown,,unknown,pyara_source_audio,16000,wav,,,2026-08-09T16:54:22.274364Z
pyara_ru_v7:alg_1_9192,raw/pyara_ru_v7/slices/research-500/Fake/alg_1_9192.wav,da400fc39c256f2bb2ad6871c7ba313d064cd5275b0eb9da865aefe9ac9c4fbc,train,spoof,ru,unknown,pyara_ru_v7:source-record:alg_1_9192,pyara_ru_v7,CC-BY-NC-SA-4.0,"PyAra v7 CC-BY-NC-SA-4.0; owner-authorized personal research; text-leakage-safe only, no verified speaker identifiers",pyara_ru_v7:source-record:alg_1_9192,pyara_ru_v7:text:cba92f23dddebeee477bbd1ca3ae4d4c64d1882ddb4476483e40fec7aa6eb2a2,cba92f23dddebeee477bbd1ca3ae4d4c64d1882ddb4476483e40fec7aa6eb2a2,5.525,unspecified_synthesis,alg_1,PyAra-v7,pyara_ru_v7:voice:unknown,,unknown,pyara_source_audio,16000,wav,,,2026-08-09T16:54:22.274364Z
pyara_ru_v7:alg_1_40217,raw/pyara_ru_v7/slices/research-500/Fake/alg_1_40217.wav,1786ff35f31b074d9d4e6bc0144b4ef706b29e3e245a56eb8c60a9e2d29de0ef,dev,spoof,ru,unknown,pyara_ru_v7:source-record:alg_1_40217,pyara_ru_v7,CC-BY-NC-SA-4.0,"PyAra v7 CC-BY-NC-SA-4.0; owner-authorized personal research; text-leakage-safe only, no verified speaker identifiers",pyara_ru_v7:source-record:alg_1_40217,pyara_ru_v7:text:a4c4812177adaa1be08092ee4da7d182e6cdceda2a06a46306af95479e581c36,a4c4812177adaa1be08092ee4da7d182e6cdceda2a06a46306af95479e581c36,5.6,unspecified_synthesis,alg_1,PyAra-v7,pyara_ru_v7:voice:unknown,,unknown,pyara_source_audio,16000,wav,,,2026-08-09T16:54:22.274364Z
pyara_ru_v7:alg_1_1124,raw/pyara_ru_v7/slices/research-500/Fake/alg_1_1124.wav,81227644c9e432689cd847cb9106a1f39d09078b27c1fccd9d6a2af88a1b3f98,train,spoof,ru,unknown,pyara_ru_v7:source-record:alg_1_1124,pyara_ru_v7,CC-BY-NC-SA-4.0,"PyAra v7 CC-BY-NC-SA-4.0; owner-authorized personal research; text-leakage-safe only, no verified speaker identifiers",pyara_ru_v7:source-record:alg_1_1124,pyara_ru_v7:text:1852b605efc907fbcf1e198e2cca4a0dcfe0d148ad8a2e58a5a37ffe49914984,1852b605efc907fbcf1e198e2cca4a0dcfe0d148ad8a2e58a5a37ffe49914984,7.725,unspecified_synthesis,alg_1,PyAra-v7,pyara_ru_v7:voice:unknown,,unknown,pyara_source_audio,16000,wav,,,2026-08-09T16:54:22.274364Z
pyara_ru_v7:alg_1_20934,raw/pyara_ru_v7/slices/research-500/Fake/alg_1_20934.wav,f90d86f07e08ee54df676bb38f119510d3b048f6f09b39e9e1bfda2dd5df577c,train,spoof,ru,unknown,pyara_ru_v7:source-record:alg_1_20934,pyara_ru_v7,CC-BY-NC-SA-4.0,"PyAra v7 CC-BY-NC-SA-4.0; owner-authorized personal research; text-leakage-safe only, no verified speaker identifiers",pyara_ru_v7:source-record:alg_1_20934,pyara_ru_v7:text:9e3bfbd4e07ec849d0f7130ac574bad9716d562ef47ca2fea408f008d242982f,9e3bfbd4e07ec849d0f7130ac574bad9716d562ef47ca2fea408f008d242982f,5.7125,unspecified_synthesis,alg_1,PyAra-v7,pyara_ru_v7:voice:unknown,,unknown,pyara_source_audio,16000,wav,,,2026-08-09T16:54:22.274364Z
pyara_ru_v7:alg_1_25142,raw/pyara_ru_v7/slices/research-500/Fake/alg_1_25142.wav,925bce659a2c23a83ba1d9d096003c8f072358d8d84183abf8841690eaf8752a,train,spoof,ru,unknown,pyara_ru_v7:source-record:alg_1_25142,pyara_ru_v7,CC-BY-NC-SA-4.0,"PyAra v7 CC-BY-NC-SA-4.0; owner-authorized personal research; text-leakage-safe only, no verified speaker identifiers",pyara_ru_v7:source-record:alg_1_25142,pyara_ru_v7:text:ab2c251eb61bc12d61a9037adaf3aa1d1a5b6e7ce0d3610e9a00e9d05ff0af69,ab2c251eb61bc12d61a9037adaf3aa1d1a5b6e7ce0d3610e9a00e9d05ff0af69,5.625,unspecified_synthesis,alg_1,PyAra-v7,pyara_ru_v7:voice:unknown,,unknown,pyara_source_audio,16000,wav,,,2026-08-09T16:54:22.274364Z
pyara_ru_v7:alg_1_20173,raw/pyara_ru_v7/slices/research-500/Fake/alg_1_20173.wav,12061bcda705ee2defe897f751805dce332725d45642e04f1ea19660763fe447,train,spoof,ru,unknown,pyara_ru_v7:source-record:alg_1_20173,pyara_ru_v7,CC-BY-NC-SA-4.0,"PyAra v7 CC-BY-NC-SA-4.0; owner-authorized personal research; text-leakage-safe only, no verified speaker identifiers",pyara_ru_v7:source-record:alg_1_20173,pyara_ru_v7:text:d82fabc5ae5eced8611b3d6e0ff25000199979c0213020dc25263bdccae820b3,d82fabc5ae5eced8611b3d6e0ff25000199979c0213020dc25263bdccae820b3,4.8,unspecified_synthesis,alg_1,PyAra-v7,pyara_ru_v7:voice:unknown,,unknown,pyara_source_audio,16000,wav,,,2026-08-09T16:54:22.274364Z
pyara_ru_v7:alg_1_46433,raw/pyara_ru_v7/slices/research-500/Fake/alg_1_46433.wav,f5b01ccbae965e703489e5678ae8abc0a94c42d824b43d7d8a55a885a32bcf8a,train,spoof,ru,unknown,pyara_ru_v7:source-record:alg_1_46433,pyara_ru_v7,CC-BY-NC-SA-4.0,"PyAra v7 CC-BY-NC-SA-4.0; owner-authorized personal research; text-leakage-safe only, no verified speaker identifiers",pyara_ru_v7:source-record:alg_1_46433,pyara_ru_v7:text:211725bec02f557f40f45a1f76acecf7e9417f08aa72d8324d5ccd39427061a7,211725bec02f557f40f45a1f76acecf7e9417f08aa72d8324d5ccd39427061a7,5.1375,unspecified_synthesis,alg_1,PyAra-v7,pyara_ru_v7:voice:unknown,,unknown,pyara_source_audio,16000,wav,,,2026-08-09T16:54:22.274364Z
