sample_id,relative_path,sha256,split,label,language,code_switch,parent_group_id,source_name,source_license,rights_basis,speaker_pseudo_id,text_id,text_hash,duration_s,generator_family,generator_name,generator_version,voice_id,clone_consent_id,device,capture_route,original_sr,codec,augmentation_chain,augmentation_seed,created_at
pyara_ru_v7:alg_1_18782,processed/e7/e778d24e2ed9e975700c3105ce2dbd79abe74fb3831b746f2d28caacb1adea37.wav,a5c03c679ed54979da699a75e720ecbe0475dbd1f8a714dae06e88e5c4d2d785,train,spoof,ru,unknown,pyara_ru_v7:source-record:alg_1_18782,pyara_ru_v7,CC-BY-NC-SA-4.0,"PyAra v7 CC-BY-NC-SA-4.0; owner-authorized personal research; text-leakage-safe only, no verified speaker identifiers",pyara_ru_v7:source-record:alg_1_18782,pyara_ru_v7:text:8fdf697c55982b07fae341d931c27c87034664818dc09881ce7d11d5e024da65,8fdf697c55982b07fae341d931c27c87034664818dc09881ce7d11d5e024da65,4.825,unspecified_synthesis,alg_1,PyAra-v7,pyara_ru_v7:voice:unknown,,unknown,pyara_source_audio,16000,wav,,,2026-08-09T16:54:22.274364Z
pyara_ru_v7:alg_1_12711,processed/01/01f575d2db7c6d9aaec7fd381cd1e56e58d1621f4f823bed5937d6099f777495.wav,8205d0e624e8d6922d80a79c5cee27a7c691a1983838759d5c4e489067627541,train,spoof,ru,unknown,pyara_ru_v7:source-record:alg_1_12711,pyara_ru_v7,CC-BY-NC-SA-4.0,"PyAra v7 CC-BY-NC-SA-4.0; owner-authorized personal research; text-leakage-safe only, no verified speaker identifiers",pyara_ru_v7:source-record:alg_1_12711,pyara_ru_v7:text:68efe9c9fd6961e04d86030ac03bf4a947bb649a7faaeb725fd3298b36c2dcdc,68efe9c9fd6961e04d86030ac03bf4a947bb649a7faaeb725fd3298b36c2dcdc,6.4375,unspecified_synthesis,alg_1,PyAra-v7,pyara_ru_v7:voice:unknown,,unknown,pyara_source_audio,16000,wav,,,2026-08-09T16:54:22.274364Z
pyara_ru_v7:alg_1_24095,processed/ff/ffa8f6122fb862dc59dadfd0572a4fa4d93e6dff49efcef86016f247d0561e4c.wav,08a1fa36e24bb58e8d227a3e339bccf4d03895a71d955613a75c79e3209d459e,train,spoof,ru,unknown,pyara_ru_v7:source-record:alg_1_24095,pyara_ru_v7,CC-BY-NC-SA-4.0,"PyAra v7 CC-BY-NC-SA-4.0; owner-authorized personal research; text-leakage-safe only, no verified speaker identifiers",pyara_ru_v7:source-record:alg_1_24095,pyara_ru_v7:text:a4ae26e9cd7eee13bdc24a84826d77cf739e6aa49a11bdfaadc7547f7278f233,a4ae26e9cd7eee13bdc24a84826d77cf739e6aa49a11bdfaadc7547f7278f233,5.625,unspecified_synthesis,alg_1,PyAra-v7,pyara_ru_v7:voice:unknown,,unknown,pyara_source_audio,16000,wav,,,2026-08-09T16:54:22.274364Z
pyara_ru_v7:alg_1_9192,processed/da/da400fc39c256f2bb2ad6871c7ba313d064cd5275b0eb9da865aefe9ac9c4fbc.wav,61717cf471b7659439b60773c87844bd93090df96689bbcba877ef1e21ad1bdb,train,spoof,ru,unknown,pyara_ru_v7:source-record:alg_1_9192,pyara_ru_v7,CC-BY-NC-SA-4.0,"PyAra v7 CC-BY-NC-SA-4.0; owner-authorized personal research; text-leakage-safe only, no verified speaker identifiers",pyara_ru_v7:source-record:alg_1_9192,pyara_ru_v7:text:cba92f23dddebeee477bbd1ca3ae4d4c64d1882ddb4476483e40fec7aa6eb2a2,cba92f23dddebeee477bbd1ca3ae4d4c64d1882ddb4476483e40fec7aa6eb2a2,5.525,unspecified_synthesis,alg_1,PyAra-v7,pyara_ru_v7:voice:unknown,,unknown,pyara_source_audio,16000,wav,,,2026-08-09T16:54:22.274364Z
pyara_ru_v7:alg_1_40217,processed/17/1786ff35f31b074d9d4e6bc0144b4ef706b29e3e245a56eb8c60a9e2d29de0ef.wav,251c5269836f1570fa6c6b14766f4c14a62b42f47789981b0accc58acc4ffbd7,dev,spoof,ru,unknown,pyara_ru_v7:source-record:alg_1_40217,pyara_ru_v7,CC-BY-NC-SA-4.0,"PyAra v7 CC-BY-NC-SA-4.0; owner-authorized personal research; text-leakage-safe only, no verified speaker identifiers",pyara_ru_v7:source-record:alg_1_40217,pyara_ru_v7:text:a4c4812177adaa1be08092ee4da7d182e6cdceda2a06a46306af95479e581c36,a4c4812177adaa1be08092ee4da7d182e6cdceda2a06a46306af95479e581c36,5.6,unspecified_synthesis,alg_1,PyAra-v7,pyara_ru_v7:voice:unknown,,unknown,pyara_source_audio,16000,wav,,,2026-08-09T16:54:22.274364Z
pyara_ru_v7:alg_1_1124,processed/81/81227644c9e432689cd847cb9106a1f39d09078b27c1fccd9d6a2af88a1b3f98.wav,449816c2938144ba7c93cf941aa19dbf99e74330f3a9fa559bc2ec54dd93345e,train,spoof,ru,unknown,pyara_ru_v7:source-record:alg_1_1124,pyara_ru_v7,CC-BY-NC-SA-4.0,"PyAra v7 CC-BY-NC-SA-4.0; owner-authorized personal research; text-leakage-safe only, no verified speaker identifiers",pyara_ru_v7:source-record:alg_1_1124,pyara_ru_v7:text:1852b605efc907fbcf1e198e2cca4a0dcfe0d148ad8a2e58a5a37ffe49914984,1852b605efc907fbcf1e198e2cca4a0dcfe0d148ad8a2e58a5a37ffe49914984,7.725,unspecified_synthesis,alg_1,PyAra-v7,pyara_ru_v7:voice:unknown,,unknown,pyara_source_audio,16000,wav,,,2026-08-09T16:54:22.274364Z
pyara_ru_v7:alg_1_20934,processed/f9/f90d86f07e08ee54df676bb38f119510d3b048f6f09b39e9e1bfda2dd5df577c.wav,28bff6b8fa701e7b1b62edc38e87c8f708d7c968f76e4f2c9e3356572d23674f,train,spoof,ru,unknown,pyara_ru_v7:source-record:alg_1_20934,pyara_ru_v7,CC-BY-NC-SA-4.0,"PyAra v7 CC-BY-NC-SA-4.0; owner-authorized personal research; text-leakage-safe only, no verified speaker identifiers",pyara_ru_v7:source-record:alg_1_20934,pyara_ru_v7:text:9e3bfbd4e07ec849d0f7130ac574bad9716d562ef47ca2fea408f008d242982f,9e3bfbd4e07ec849d0f7130ac574bad9716d562ef47ca2fea408f008d242982f,5.7125,unspecified_synthesis,alg_1,PyAra-v7,pyara_ru_v7:voice:unknown,,unknown,pyara_source_audio,16000,wav,,,2026-08-09T16:54:22.274364Z
pyara_ru_v7:alg_1_25142,processed/92/925bce659a2c23a83ba1d9d096003c8f072358d8d84183abf8841690eaf8752a.wav,482d139dc373563bb7c753ea425aaa11fda3f1faa21090edfcea6c50e7a177da,train,spoof,ru,unknown,pyara_ru_v7:source-record:alg_1_25142,pyara_ru_v7,CC-BY-NC-SA-4.0,"PyAra v7 CC-BY-NC-SA-4.0; owner-authorized personal research; text-leakage-safe only, no verified speaker identifiers",pyara_ru_v7:source-record:alg_1_25142,pyara_ru_v7:text:ab2c251eb61bc12d61a9037adaf3aa1d1a5b6e7ce0d3610e9a00e9d05ff0af69,ab2c251eb61bc12d61a9037adaf3aa1d1a5b6e7ce0d3610e9a00e9d05ff0af69,5.625,unspecified_synthesis,alg_1,PyAra-v7,pyara_ru_v7:voice:unknown,,unknown,pyara_source_audio,16000,wav,,,2026-08-09T16:54:22.274364Z
pyara_ru_v7:alg_1_20173,processed/12/12061bcda705ee2defe897f751805dce332725d45642e04f1ea19660763fe447.wav,34400dffe1183c439b4ae351c2794d9c9bbfb50a7588bf80f6ba29dad47c0c8d,train,spoof,ru,unknown,pyara_ru_v7:source-record:alg_1_20173,pyara_ru_v7,CC-BY-NC-SA-4.0,"PyAra v7 CC-BY-NC-SA-4.0; owner-authorized personal research; text-leakage-safe only, no verified speaker identifiers",pyara_ru_v7:source-record:alg_1_20173,pyara_ru_v7:text:d82fabc5ae5eced8611b3d6e0ff25000199979c0213020dc25263bdccae820b3,d82fabc5ae5eced8611b3d6e0ff25000199979c0213020dc25263bdccae820b3,4.8,unspecified_synthesis,alg_1,PyAra-v7,pyara_ru_v7:voice:unknown,,unknown,pyara_source_audio,16000,wav,,,2026-08-09T16:54:22.274364Z
pyara_ru_v7:alg_1_46433,processed/f5/f5b01ccbae965e703489e5678ae8abc0a94c42d824b43d7d8a55a885a32bcf8a.wav,74c7bc7a432c731c0cf22bea07bd9360dd25d0e3f34bae7daaf9da1abd8dd3e2,train,spoof,ru,unknown,pyara_ru_v7:source-record:alg_1_46433,pyara_ru_v7,CC-BY-NC-SA-4.0,"PyAra v7 CC-BY-NC-SA-4.0; owner-authorized personal research; text-leakage-safe only, no verified speaker identifiers",pyara_ru_v7:source-record:alg_1_46433,pyara_ru_v7:text:211725bec02f557f40f45a1f76acecf7e9417f08aa72d8324d5ccd39427061a7,211725bec02f557f40f45a1f76acecf7e9417f08aa72d8324d5ccd39427061a7,5.1375,unspecified_synthesis,alg_1,PyAra-v7,pyara_ru_v7:voice:unknown,,unknown,pyara_source_audio,16000,wav,,,2026-08-09T16:54:22.274364Z
pyara_ru_v7:alg_1_39540,processed/6b/6bf3fa89012710e6e2d79da79b5b3243b029407eb91c2b7c2e231fd8edd2c7ee.wav,dcd783fd20318138ea6d3535cde94939dfb11750d56c1314faca99f117de8fe7,train,spoof,ru,unknown,pyara_ru_v7:source-record:alg_1_39540,pyara_ru_v7,CC-BY-NC-SA-4.0,"PyAra v7 CC-BY-NC-SA-4.0; owner-authorized personal research; text-leakage-safe only, no verified speaker identifiers",pyara_ru_v7:source-record:alg_1_39540,pyara_ru_v7:text:e3eaf89fdfa242b2f6430cfde8a917277ebd94cd5a3ae585ecf2c6bcb37d9b40,e3eaf89fdfa242b2f6430cfde8a917277ebd94cd5a3ae585ecf2c6bcb37d9b40,5.6,unspecified_synthesis,alg_1,PyAra-v7,pyara_ru_v7:voice:unknown,,unknown,pyara_source_audio,16000,wav,,,2026-08-09T16:54:22.274364Z
pyara_ru_v7:alg_1_31297,processed/ae/aee6dde48db20a06c42d39c91093d840c2646284583565fbe08e527554073f6a.wav,256f76c033e997df87ad9fed6e9f388e79756a8ba2f1d249a95c43c4a2753b5b,train,spoof,ru,unknown,pyara_ru_v7:source-record:alg_1_31297,pyara_ru_v7,CC-BY-NC-SA-4.0,"PyAra v7 CC-BY-NC-SA-4.0; owner-authorized personal research; text-leakage-safe only, no verified speaker identifiers",pyara_ru_v7:source-record:alg_1_31297,pyara_ru_v7:text:843f91c1f1b7cfbe9d2fdefea9d9d40c9e364779f82cdef305016bb29964c78d,843f91c1f1b7cfbe9d2fdefea9d9d40c9e364779f82cdef305016bb29964c78d,5.625,unspecified_synthesis,alg_1,PyAra-v7,pyara_ru_v7:voice:unknown,,unknown,pyara_source_audio,16000,wav,,,2026-08-09T16:54:22.274364Z
pyara_ru_v7:alg_1_34025,processed/a4/a4dfdb2db13622b8b1daac4abcc7d01df88ba2b91fcb975da39ef1dc40dbcba9.wav,a9ef2e5d17ed34ebc13b6e9a2c6064820ae1c4232155a75240c31049d93d6c3e,train,spoof,ru,unknown,pyara_ru_v7:source-record:alg_1_34025,pyara_ru_v7,CC-BY-NC-SA-4.0,"PyAra v7 CC-BY-NC-SA-4.0; owner-authorized personal research; text-leakage-safe only, no verified speaker identifiers",pyara_ru_v7:source-record:alg_1_34025,pyara_ru_v7:text:3d7794db323e8ee7bf5a4dc4c6127f505c3f3286d60f0a64135e95d1a2cc8c00,3d7794db323e8ee7bf5a4dc4c6127f505c3f3286d60f0a64135e95d1a2cc8c00,5.9125,unspecified_synthesis,alg_1,PyAra-v7,pyara_ru_v7:voice:unknown,,unknown,pyara_source_audio,16000,wav,,,2026-08-09T16:54:22.274364Z
pyara_ru_v7:alg_1_44404,processed/86/86d8a9ee6775976d24bf7eab26bbb67e867b381caad1b31bf6d51940f4d470f4.wav,9c04b4deab7079f7a6953c71f5404d7648968fd72397b451ca5d9929072d737c,train,spoof,ru,unknown,pyara_ru_v7:source-record:alg_1_44404,pyara_ru_v7,CC-BY-NC-SA-4.0,"PyAra v7 CC-BY-NC-SA-4.0; owner-authorized personal research; text-leakage-safe only, no verified speaker identifiers",pyara_ru_v7:source-record:alg_1_44404,pyara_ru_v7:text:1a1a3f4ef3640e00725d0f56094cb84566fdc0553719d9090c8747c4ba1d374f,1a1a3f4ef3640e00725d0f56094cb84566fdc0553719d9090c8747c4ba1d374f,5.7375,unspecified_synthesis,alg_1,PyAra-v7,pyara_ru_v7:voice:unknown,,unknown,pyara_source_audio,16000,wav,,,2026-08-09T16:54:22.274364Z
pyara_ru_v7:alg_1_4389,processed/41/417a1a871af6fc198987981d718adf56cf82b75161535801d7c1cd8f2bc78fb6.wav,3e52f7e61b05eb2f61aadb0efeccd21e4983a14578203d4b5631d861a0c62212,train,spoof,ru,unknown,pyara_ru_v7:source-record:alg_1_4389,pyara_ru_v7,CC-BY-NC-SA-4.0,"PyAra v7 CC-BY-NC-SA-4.0; owner-authorized personal research; text-leakage-safe only, no verified speaker identifiers",pyara_ru_v7:source-record:alg_1_4389,pyara_ru_v7:text:f27555e619ba336bf6c2c2d4933a1fff57acf984ec317c3510a878f18a3f031c,f27555e619ba336bf6c2c2d4933a1fff57acf984ec317c3510a878f18a3f031c,5.1125,unspecified_synthesis,alg_1,PyAra-v7,pyara_ru_v7:voice:unknown,,unknown,pyara_source_audio,16000,wav,,,2026-08-09T16:54:22.274364Z
pyara_ru_v7:alg_1_23599,processed/83/836697b45c458d9e6db89b2c91e5df137fa763b66f060454ca2a10a2489412c8.wav,a7aa302ca129b4b943595cc9c38a108707b0cf1d5d1ea2123483f565154e66c4,dev,spoof,ru,unknown,pyara_ru_v7:source-record:alg_1_23599,pyara_ru_v7,CC-BY-NC-SA-4.0,"PyAra v7 CC-BY-NC-SA-4.0; owner-authorized personal research; text-leakage-safe only, no verified speaker identifiers",pyara_ru_v7:source-record:alg_1_23599,pyara_ru_v7:text:9351d5efbf66c97f87b71d8c930a845661daea82526a22f7cd7fd9cdae278051,9351d5efbf66c97f87b71d8c930a845661daea82526a22f7cd7fd9cdae278051,6.0375,unspecified_synthesis,alg_1,PyAra-v7,pyara_ru_v7:voice:unknown,,unknown,pyara_source_audio,16000,wav,,,2026-08-09T16:54:22.274364Z
pyara_ru_v7:alg_1_5605,processed/7c/7c0dee070d690872c3ca4384522f884a26a25d14e3d91eab8d08f05c55866f9e.wav,75f97214aa3cbad762c6c2c69733213db1bcf4f533be50dabbb15cda22fbdd43,train,spoof,ru,unknown,pyara_ru_v7:source-record:alg_1_5605,pyara_ru_v7,CC-BY-NC-SA-4.0,"PyAra v7 CC-BY-NC-SA-4.0; owner-authorized personal research; text-leakage-safe only, no verified speaker identifiers",pyara_ru_v7:source-record:alg_1_5605,pyara_ru_v7:text:d86598f3701a87f96e3fa3782eef4f2118602d9b08788bfd02efa318b7a0af77,d86598f3701a87f96e3fa3782eef4f2118602d9b08788bfd02efa318b7a0af77,5.05,unspecified_synthesis,alg_1,PyAra-v7,pyara_ru_v7:voice:unknown,,unknown,pyara_source_audio,16000,wav,,,2026-08-09T16:54:22.274364Z
pyara_ru_v7:alg_1_31016,processed/c2/c2c54f07751c620e24f0ca803437f2f6437f04bc6f57f403ec281fb6efcb02f4.wav,f075d9283829767a4cb5275870e4f02b47e449115f71cb62563948f6bcfb4740,train,spoof,ru,unknown,pyara_ru_v7:source-record:alg_1_31016,pyara_ru_v7,CC-BY-NC-SA-4.0,"PyAra v7 CC-BY-NC-SA-4.0; owner-authorized personal research; text-leakage-safe only, no verified speaker identifiers",pyara_ru_v7:source-record:alg_1_31016,pyara_ru_v7:text:ed40553a8acdb11e234c3d80e51ab6c4e3ed1f1f74f81450a9a032b0d2a916db,ed40553a8acdb11e234c3d80e51ab6c4e3ed1f1f74f81450a9a032b0d2a916db,5.375,unspecified_synthesis,alg_1,PyAra-v7,pyara_ru_v7:voice:unknown,,unknown,pyara_source_audio,16000,wav,,,2026-08-09T16:54:22.274364Z
pyara_ru_v7:alg_1_42678,processed/b4/b4ee2b1071dd885b05fb3eb32dabead1331c105e63659bbd178f13fc68bb7751.wav,468b96046154c2c759c33a2c3d27d02665d8db3d5019d27999a199ce1e3d9215,train,spoof,ru,unknown,pyara_ru_v7:source-record:alg_1_42678,pyara_ru_v7,CC-BY-NC-SA-4.0,"PyAra v7 CC-BY-NC-SA-4.0; owner-authorized personal research; text-leakage-safe only, no verified speaker identifiers",pyara_ru_v7:source-record:alg_1_42678,pyara_ru_v7:text:abd83c3f35c864003d4562026ee490d4570cd14b13f827d63ef174a8a8099aa0,abd83c3f35c864003d4562026ee490d4570cd14b13f827d63ef174a8a8099aa0,5.8125,unspecified_synthesis,alg_1,PyAra-v7,pyara_ru_v7:voice:unknown,,unknown,pyara_source_audio,16000,wav,,,2026-08-09T16:54:22.274364Z
pyara_ru_v7:alg_1_42583,processed/11/1179f0be3ca7500c4c9c0e9ab3cd6bd508bf52ac735f3508b43e274d1f1e2b83.wav,1aae2ed52080d1eb2063a8d40dcb72fedb1c9d6d47b7436d7bfc5a8c3fb3ff72,dev,spoof,ru,unknown,pyara_ru_v7:source-record:alg_1_42583,pyara_ru_v7,CC-BY-NC-SA-4.0,"PyAra v7 CC-BY-NC-SA-4.0; owner-authorized personal research; text-leakage-safe only, no verified speaker identifiers",pyara_ru_v7:source-record:alg_1_42583,pyara_ru_v7:text:cb9da8cd5f173969e16faecb9e45398d2edd1bfa58fe5cda72d5f7cc8e12d61c,cb9da8cd5f173969e16faecb9e45398d2edd1bfa58fe5cda72d5f7cc8e12d61c,5.625,unspecified_synthesis,alg_1,PyAra-v7,pyara_ru_v7:voice:unknown,,unknown,pyara_source_audio,16000,wav,,,2026-08-09T16:54:22.274364Z
pyara_ru_v7:alg_1_15317,processed/23/23d4f00d4ea6ff6bdf63470497d9f6e5bd36a3a6dee1526491a0e86f849e0fe5.wav,6e435e4b8f9bbd846eb139c98022666c338bad1ffdbccb7de797ff06c79016b1,train,spoof,ru,unknown,pyara_ru_v7:source-record:alg_1_15317,pyara_ru_v7,CC-BY-NC-SA-4.0,"PyAra v7 CC-BY-NC-SA-4.0; owner-authorized personal research; text-leakage-safe only, no verified speaker identifiers",pyara_ru_v7:source-record:alg_1_15317,pyara_ru_v7:text:5b606bac7bfbaa91fb40919cd5bec6a99ea4ae3c73eeb84eeaf0006b152b76d4,5b606bac7bfbaa91fb40919cd5bec6a99ea4ae3c73eeb84eeaf0006b152b76d4,5.5125,unspecified_synthesis,alg_1,PyAra-v7,pyara_ru_v7:voice:unknown,,unknown,pyara_source_audio,16000,wav,,,2026-08-09T16:54:22.274364Z
pyara_ru_v7:alg_1_23183,processed/b8/b8de50a32c2133cd23b222c10d3755a625170c6df25ddc63c03efd703bc25149.wav,b0de034279dd74405e1facfcd6e500b7b2cddd4fb912147bb1a9b511fd31fdbe,train,spoof,ru,unknown,pyara_ru_v7:source-record:alg_1_23183,pyara_ru_v7,CC-BY-NC-SA-4.0,"PyAra v7 CC-BY-NC-SA-4.0; owner-authorized personal research; text-leakage-safe only, no verified speaker identifiers",pyara_ru_v7:source-record:alg_1_23183,pyara_ru_v7:text:fadae79d46277e6ac7f9574f4918ab0e6003636605ca5759209369f36da5bf49,fadae79d46277e6ac7f9574f4918ab0e6003636605ca5759209369f36da5bf49,5.6875,unspecified_synthesis,alg_1,PyAra-v7,pyara_ru_v7:voice:unknown,,unknown,pyara_source_audio,16000,wav,,,2026-08-09T16:54:22.274364Z
