sample_id,relative_path,sha256,split,label,language,code_switch,parent_group_id,source_name,source_license,rights_basis,speaker_pseudo_id,text_id,text_hash,duration_s,generator_family,generator_name,generator_version,voice_id,clone_consent_id,device,capture_route,original_sr,codec,augmentation_chain,augmentation_seed,created_at
ruasd_ru_v1_full:ruasd-000000:raw_fake_11labs_46eedf220e4f816a5f163fa3b465ed69,processed/c2/c2bd649f676d1b0881fb390c2f60c363fcf8a6e6fc619b039795ed68b39c2fe7.wav,1b6e736e1e4ada9535297773b6e5a006ba6baddf9cee6a2cd14e24c32a1a1b19,train,spoof,ru,unknown,ruasd_ru_v1_full:source-record:ruasd-000000:raw_fake_11labs_46eedf220e4f816a5f163fa3b465ed69,ruasd_ru_v1_full,CC-BY-NC-SA-4.0,RuASD full pinned release; CC-BY-NC-SA-4.0; personal research; raw binary subset; no verified speaker or spoof-voice groups,ruasd_ru_v1_full:source-record:ruasd-000000:raw_fake_11labs_46eedf220e4f816a5f163fa3b465ed69,ruasd_ru_v1_full:content:ruasd-000000:raw_fake_11labs_46eedf220e4f816a5f163fa3b465ed69,8c606ba1f004de3a6a3a08287bdb35e345d469246e9a919b5d99a331d2b33aae,5.146125,tts,11labs,unspecified_by_source,ruasd_ru_v1_full:voice:unknown,,unknown,ruasd_source_audio,44100,wav,,,2026-08-12T00:00:00Z
ruasd_ru_v1_full:ruasd-000000:raw_fake_11labs_aafdd20b0cfbc4f0c1726e84f34e14a5,processed/07/07bcb40e00dfc5ee90110cd2ca07ea3aea64a0d464c8983b1c48ecca6514a6fa.wav,1799f6ff3e5365d64338fe3da35d208df4bd4885f218940678458a9a484e5903,train,spoof,ru,unknown,ruasd_ru_v1_full:source-record:ruasd-000000:raw_fake_11labs_aafdd20b0cfbc4f0c1726e84f34e14a5,ruasd_ru_v1_full,CC-BY-NC-SA-4.0,RuASD full pinned release; CC-BY-NC-SA-4.0; personal research; raw binary subset; no verified speaker or spoof-voice groups,ruasd_ru_v1_full:source-record:ruasd-000000:raw_fake_11labs_aafdd20b0cfbc4f0c1726e84f34e14a5,ruasd_ru_v1_full:content:ruasd-000000:raw_fake_11labs_aafdd20b0cfbc4f0c1726e84f34e14a5,bbc0c8029a0ea79f7fb8bc9cc63068d1eb8d35035f46479002c98b0d24e64182,20.0881875,tts,11labs,unspecified_by_source,ruasd_ru_v1_full:voice:unknown,,unknown,ruasd_source_audio,44100,wav,,,2026-08-12T00:00:00Z
ruasd_ru_v1_full:ruasd-000000:raw_fake_11labs_e7c0ad2b6125ea3152c96733674d7c52,processed/55/55f4be98af4e94a27a85bdc81b0e4a4b3a6d98866dc53883d6c5791a9bcb3bc9.wav,acccdd7c5d1e59254a8d69856df530df3c52698253201d90b926a10c12567f38,train,spoof,ru,unknown,ruasd_ru_v1_full:source-record:ruasd-000000:raw_fake_11labs_e7c0ad2b6125ea3152c96733674d7c52,ruasd_ru_v1_full,CC-BY-NC-SA-4.0,RuASD full pinned release; CC-BY-NC-SA-4.0; personal research; raw binary subset; no verified speaker or spoof-voice groups,ruasd_ru_v1_full:source-record:ruasd-000000:raw_fake_11labs_e7c0ad2b6125ea3152c96733674d7c52,ruasd_ru_v1_full:content:ruasd-000000:raw_fake_11labs_e7c0ad2b6125ea3152c96733674d7c52,165d8aee0911997a56083f7a9d7e2a09e81ac5ff32293a2f10cd23b4b1c589b0,4.8588125,tts,11labs,unspecified_by_source,ruasd_ru_v1_full:voice:unknown,,unknown,ruasd_source_audio,44100,wav,,,2026-08-12T00:00:00Z
ruasd_ru_v1_full:ruasd-000000:raw_fake_TeraTTS_02714b7ef5ff12862d29542bd4bbbc6d,processed/8c/8c1d203bb90c590c08295ab5f784ccd9c2ebcf1cf0a700122b3873c744a23da6.wav,4f121d2bbfe269a3b3da00dd3a9cceeeb0a8c7f866125a4269cb3b2bd6e740df,train,spoof,ru,unknown,ruasd_ru_v1_full:source-record:ruasd-000000:raw_fake_TeraTTS_02714b7ef5ff12862d29542bd4bbbc6d,ruasd_ru_v1_full,CC-BY-NC-SA-4.0,RuASD full pinned release; CC-BY-NC-SA-4.0; personal research; raw binary subset; no verified speaker or spoof-voice groups,ruasd_ru_v1_full:source-record:ruasd-000000:raw_fake_TeraTTS_02714b7ef5ff12862d29542bd4bbbc6d,ruasd_ru_v1_full:text:3c32dcf1cdbfaf0ec3806f53baae83f21076860c48ff25a88000893d1a77f180,3c32dcf1cdbfaf0ec3806f53baae83f21076860c48ff25a88000893d1a77f180,9.5565625,tts,TeraTTS,TeraTTS,ruasd_ru_v1_full:voice:unknown,,unknown,ruasd_source_audio,22050,wav,,,2026-08-12T00:00:00Z
ruasd_ru_v1_full:ruasd-000000:raw_fake_TeraTTS_0b26dd64a7be4e17d37125b32ac1ef1e,processed/74/744b5b0f4c18e3060e7d5b3f5eb45c0fb41fa30959667ca92a929aca69c1439f.wav,13bb1a9c34c4b8668b46486e6be8d73621fb2e405e1dc4f8a1d7c024c24d9f31,test,spoof,ru,unknown,ruasd_ru_v1_full:source-record:ruasd-000000:raw_fake_TeraTTS_0b26dd64a7be4e17d37125b32ac1ef1e,ruasd_ru_v1_full,CC-BY-NC-SA-4.0,RuASD full pinned release; CC-BY-NC-SA-4.0; personal research; raw binary subset; no verified speaker or spoof-voice groups,ruasd_ru_v1_full:source-record:ruasd-000000:raw_fake_TeraTTS_0b26dd64a7be4e17d37125b32ac1ef1e,ruasd_ru_v1_full:text:a95805ba958243723884fb6d3e26e4e100d1fc54ac65d776f8b8154f7eb17fb4,a95805ba958243723884fb6d3e26e4e100d1fc54ac65d776f8b8154f7eb17fb4,8.3259375,tts,TeraTTS,TeraTTS,ruasd_ru_v1_full:voice:unknown,,unknown,ruasd_source_audio,22050,wav,,,2026-08-12T00:00:00Z
ruasd_ru_v1_full:ruasd-000000:raw_fake_TeraTTS_131580db30795ccf2dd4615e1dd52ddc,processed/f0/f0c3224d4e88a1620719d2f20904613b9d28853c3942a3c31f15279acde0cf3a.wav,11d5d92a473d892fe89c34951c6213268aabf40c726c28b02cdc57140d615400,train,spoof,ru,unknown,ruasd_ru_v1_full:source-record:ruasd-000000:raw_fake_TeraTTS_131580db30795ccf2dd4615e1dd52ddc,ruasd_ru_v1_full,CC-BY-NC-SA-4.0,RuASD full pinned release; CC-BY-NC-SA-4.0; personal research; raw binary subset; no verified speaker or spoof-voice groups,ruasd_ru_v1_full:source-record:ruasd-000000:raw_fake_TeraTTS_131580db30795ccf2dd4615e1dd52ddc,ruasd_ru_v1_full:text:eaa3b018c8990d644ee2f6fa4811ae64bcae49aa447802b4037046f7f0c74bce,eaa3b018c8990d644ee2f6fa4811ae64bcae49aa447802b4037046f7f0c74bce,9.04575,tts,TeraTTS,TeraTTS,ruasd_ru_v1_full:voice:unknown,,unknown,ruasd_source_audio,22050,wav,,,2026-08-12T00:00:00Z
ruasd_ru_v1_full:ruasd-000000:raw_fake_TeraTTS_22e670061d67f0f8e9b9cd965b746ba4,processed/99/996b6884fb8aa9947fb6d321e42b1db9be7ef18e59db2564a6b5725e0fcb1415.wav,c1224bde7d745b2c9a760bfde6637467781055823f92d360a9a170f34a080e10,train,spoof,ru,unknown,ruasd_ru_v1_full:source-record:ruasd-000000:raw_fake_TeraTTS_22e670061d67f0f8e9b9cd965b746ba4,ruasd_ru_v1_full,CC-BY-NC-SA-4.0,RuASD full pinned release; CC-BY-NC-SA-4.0; personal research; raw binary subset; no verified speaker or spoof-voice groups,ruasd_ru_v1_full:source-record:ruasd-000000:raw_fake_TeraTTS_22e670061d67f0f8e9b9cd965b746ba4,ruasd_ru_v1_full:text:a9d4d5c8d150682c1d98b474b920c2c07c3d1c90a7f70ce16adea9d5aaa4930d,a9d4d5c8d150682c1d98b474b920c2c07c3d1c90a7f70ce16adea9d5aaa4930d,12.9699375,tts,TeraTTS,TeraTTS,ruasd_ru_v1_full:voice:unknown,,unknown,ruasd_source_audio,22050,wav,,,2026-08-12T00:00:00Z
ruasd_ru_v1_full:ruasd-000001:raw_fake_TeraTTS_258d371c0ea5547b15abe9e0d896534a,processed/4b/4bf68f85941fa9d84087bb6638170ca471f2d58c26db813366a7a7fb3a3a719a.wav,3b530f603941580c6a54cde8031aa01b8aabaf1fbfd984d9a2b88467eed44bfe,train,spoof,ru,unknown,ruasd_ru_v1_full:source-record:ruasd-000001:raw_fake_TeraTTS_258d371c0ea5547b15abe9e0d896534a,ruasd_ru_v1_full,CC-BY-NC-SA-4.0,RuASD full pinned release; CC-BY-NC-SA-4.0; personal research; raw binary subset; no verified speaker or spoof-voice groups,ruasd_ru_v1_full:source-record:ruasd-000001:raw_fake_TeraTTS_258d371c0ea5547b15abe9e0d896534a,ruasd_ru_v1_full:text:fe678ad7fe76692279e4231efb220850d077c060fb7f286de3cb3e2d41a62d8d,fe678ad7fe76692279e4231efb220850d077c060fb7f286de3cb3e2d41a62d8d,9.034125,tts,TeraTTS,TeraTTS,ruasd_ru_v1_full:voice:unknown,,unknown,ruasd_source_audio,22050,wav,,,2026-08-12T00:00:00Z
ruasd_ru_v1_full:ruasd-000001:raw_fake_TeraTTS_35b2e4f46248ec01822e4efcea84a23f,processed/bc/bc9dd4ba0579162ce94f99d910c2866f25ff6a0c6c3083cf95ce03406125942b.wav,c2fd312a3b3c8d59eefd1d7a4dfa2ddaf48b70fbc8fe0a65f2ed9f944cf35048,train,spoof,ru,unknown,ruasd_ru_v1_full:source-record:ruasd-000001:raw_fake_TeraTTS_35b2e4f46248ec01822e4efcea84a23f,ruasd_ru_v1_full,CC-BY-NC-SA-4.0,RuASD full pinned release; CC-BY-NC-SA-4.0; personal research; raw binary subset; no verified speaker or spoof-voice groups,ruasd_ru_v1_full:source-record:ruasd-000001:raw_fake_TeraTTS_35b2e4f46248ec01822e4efcea84a23f,ruasd_ru_v1_full:text:e15920c9dbd36baee1e3efc2e3a612e47c834c44f3de67b1e20d08eb32a31f66,e15920c9dbd36baee1e3efc2e3a612e47c834c44f3de67b1e20d08eb32a31f66,6.2709375,tts,TeraTTS,TeraTTS,ruasd_ru_v1_full:voice:unknown,,unknown,ruasd_source_audio,22050,wav,,,2026-08-12T00:00:00Z
ruasd_ru_v1_full:ruasd-000001:raw_fake_TeraTTS_383c38e9b15bfec424a910040edc44c6,processed/a9/a9199a8fd8c7134b24bb4cd3eb9ea66eea68d7c3b9b311feeb4b98b6f5cb3945.wav,1c204ccd7cd7c95ba8c54114e3f4a1a21a78ee45225b27ee2bf9d4c7fe935d51,dev,spoof,ru,unknown,ruasd_ru_v1_full:source-record:ruasd-000001:raw_fake_TeraTTS_383c38e9b15bfec424a910040edc44c6,ruasd_ru_v1_full,CC-BY-NC-SA-4.0,RuASD full pinned release; CC-BY-NC-SA-4.0; personal research; raw binary subset; no verified speaker or spoof-voice groups,ruasd_ru_v1_full:source-record:ruasd-000001:raw_fake_TeraTTS_383c38e9b15bfec424a910040edc44c6,ruasd_ru_v1_full:text:9256b1fd80d2ac96867e801445e1649bcb0731f9b0913db5c84748f0092d45cc,9256b1fd80d2ac96867e801445e1649bcb0731f9b0913db5c84748f0092d45cc,12.075875,tts,TeraTTS,TeraTTS,ruasd_ru_v1_full:voice:unknown,,unknown,ruasd_source_audio,22050,wav,,,2026-08-12T00:00:00Z
ruasd_ru_v1_full:ruasd-000001:raw_fake_TeraTTS_521a41ad1769f2044a2210192ea9fe3c,processed/d0/d024da253689ae08d5c8aa1f7e68a537ba2b2e710bc4fc7997f1677cc0dc6b50.wav,6ba84e948b5bc6a3e8377fca360248d9fd2d77095c1a44e2ec506a2b0643ac5c,train,spoof,ru,unknown,ruasd_ru_v1_full:source-record:ruasd-000001:raw_fake_TeraTTS_521a41ad1769f2044a2210192ea9fe3c,ruasd_ru_v1_full,CC-BY-NC-SA-4.0,RuASD full pinned release; CC-BY-NC-SA-4.0; personal research; raw binary subset; no verified speaker or spoof-voice groups,ruasd_ru_v1_full:source-record:ruasd-000001:raw_fake_TeraTTS_521a41ad1769f2044a2210192ea9fe3c,ruasd_ru_v1_full:text:a09396c4d982d0d7bbac727c01f4466cb82785975b0fdcc29b2f4b38a9bfdbfd,a09396c4d982d0d7bbac727c01f4466cb82785975b0fdcc29b2f4b38a9bfdbfd,12.075875,tts,TeraTTS,TeraTTS,ruasd_ru_v1_full:voice:unknown,,unknown,ruasd_source_audio,22050,wav,,,2026-08-12T00:00:00Z
