sample_id,relative_path,sha256,split,label,language,code_switch,parent_group_id,source_name,source_license,rights_basis,speaker_pseudo_id,text_id,text_hash,duration_s,generator_family,generator_name,generator_version,voice_id,clone_consent_id,device,capture_route,original_sr,codec,augmentation_chain,augmentation_seed,created_at
ruasd_ru_v1_shard000000:raw_fake_11labs_76b5eed054fe9883a51d2655c0a0c127,processed/db/dbc7018072920f8b462038847421841ee5f83e7fa9d110be0f328dc5b5d5e064.wav,5034df38a29cf7a1d53ba0e1d21e7d2fefb57e8bd6ebedf9011b394ac10c7c6d,ood,spoof,ru,unknown,ruasd_ru_v1_shard000000:content:raw_fake_11labs_76b5eed054fe9883a51d2655c0a0c127,ruasd_ru_v1_shard000000,CC-BY-NC-SA-4.0,RuASD CC-BY-NC-SA-4.0; personal research; OOD only,ruasd_ru_v1_shard000000:speaker:unknown,ruasd_ru_v1_shard000000:content:raw_fake_11labs_76b5eed054fe9883a51d2655c0a0c127,671d3eb55eaebfeb2a8723f9107c892f83f5715ead03153386f60b9689281058,6.8701875,tts,11labs,unspecified_by_source,ruasd_ru_v1_shard000000:voice:unknown,,unknown,synthetic_tts_ruasd,44100,wav,,,2026-08-09T04:28:05.188480Z
ruasd_ru_v1_shard000000:raw_fake_11labs_b2660312bc33a04bd16bd02660724456,processed/60/609b6a28e1904c9307026767e49a74819dcd364d0ad6e4a13b1d9ad89ca23c9a.wav,34694228735d12e5d7ea7f85049885f9f11555ca0e890de563ceaa556ab55c64,ood,spoof,ru,unknown,ruasd_ru_v1_shard000000:content:raw_fake_11labs_b2660312bc33a04bd16bd02660724456,ruasd_ru_v1_shard000000,CC-BY-NC-SA-4.0,RuASD CC-BY-NC-SA-4.0; personal research; OOD only,ruasd_ru_v1_shard000000:speaker:unknown,ruasd_ru_v1_shard000000:content:raw_fake_11labs_b2660312bc33a04bd16bd02660724456,eebb5d0738953b4013fc6d053ece92fac2ae0af3a8ecc775fda0c07aae5e892b,5.329,tts,11labs,unspecified_by_source,ruasd_ru_v1_shard000000:voice:unknown,,unknown,synthetic_tts_ruasd,44100,wav,,,2026-08-09T04:28:05.188480Z
ruasd_ru_v1_shard000000:raw_fake_11labs_650e4496ca75207f295d3f992a99bead,processed/09/09c9544d54fe218fc11d4c8350671e0d4bc7f90e4ba911935093e84e32e849c2.wav,f8abf0eee1f24f3d3c3ca162ef45ac527c20e91ee2e05c84c7cb69aab45ae487,ood,spoof,ru,unknown,ruasd_ru_v1_shard000000:content:raw_fake_11labs_650e4496ca75207f295d3f992a99bead,ruasd_ru_v1_shard000000,CC-BY-NC-SA-4.0,RuASD CC-BY-NC-SA-4.0; personal research; OOD only,ruasd_ru_v1_shard000000:speaker:unknown,ruasd_ru_v1_shard000000:content:raw_fake_11labs_650e4496ca75207f295d3f992a99bead,8490fd3091977b92c72cc44ee5535035b622e438276fc2a76cc93f12db1f968a,19.8269375,tts,11labs,unspecified_by_source,ruasd_ru_v1_shard000000:voice:unknown,,unknown,synthetic_tts_ruasd,44100,wav,,,2026-08-09T04:28:05.188480Z
ruasd_ru_v1_shard000000:raw_fake_11labs_0e406667d54e16b5ef71b097f1b2b63a,processed/bd/bdea6a1289e2f07ed20004f9877cef6eb5cd5e461b6e8260082013e8efadea82.wav,437edc3b80304b5530761f79f55a1883cd69a106ccd58fe2727683c0cd4a0e6e,ood,spoof,ru,unknown,ruasd_ru_v1_shard000000:content:raw_fake_11labs_0e406667d54e16b5ef71b097f1b2b63a,ruasd_ru_v1_shard000000,CC-BY-NC-SA-4.0,RuASD CC-BY-NC-SA-4.0; personal research; OOD only,ruasd_ru_v1_shard000000:speaker:unknown,ruasd_ru_v1_shard000000:content:raw_fake_11labs_0e406667d54e16b5ef71b097f1b2b63a,d8cec80f3baf2047c0c492929f17e4c928fdfb8b5a4242c8b4839ad321190c32,4.4930625,tts,11labs,unspecified_by_source,ruasd_ru_v1_shard000000:voice:unknown,,unknown,synthetic_tts_ruasd,44100,wav,,,2026-08-09T04:28:05.188480Z
ruasd_ru_v1_shard000000:raw_fake_11labs_653c9da8f940dc2701bb268001b37f51,processed/17/1775458bcc899ccdf574a8a5a2a25946439c02ef1a1b6f8d577a35aaddc3bdf4.wav,642a616bd2d68302bf391eaa847643aa1a3ceb893ab329020deb3394272cf615,ood,spoof,ru,unknown,ruasd_ru_v1_shard000000:content:raw_fake_11labs_653c9da8f940dc2701bb268001b37f51,ruasd_ru_v1_shard000000,CC-BY-NC-SA-4.0,RuASD CC-BY-NC-SA-4.0; personal research; OOD only,ruasd_ru_v1_shard000000:speaker:unknown,ruasd_ru_v1_shard000000:content:raw_fake_11labs_653c9da8f940dc2701bb268001b37f51,7a4c6c61073d4b5aedf9242cb065c56c0c31c32356d6cdfb6e34016f0b4ced8e,17.737125,tts,11labs,unspecified_by_source,ruasd_ru_v1_shard000000:voice:unknown,,unknown,synthetic_tts_ruasd,44100,wav,,,2026-08-09T04:28:05.188480Z
ruasd_ru_v1_shard000000:raw_fake_11labs_810f076e151a420ad2144771d7ce424c,processed/82/82181f898afab10ea8341365c2a1c4e04d9bec0ac9ead75871821d17d5b653fe.wav,9525e897755473e6006e255f7b59eeae174303cbb5a7ffbda8692827a644f008,ood,spoof,ru,unknown,ruasd_ru_v1_shard000000:content:raw_fake_11labs_810f076e151a420ad2144771d7ce424c,ruasd_ru_v1_shard000000,CC-BY-NC-SA-4.0,RuASD CC-BY-NC-SA-4.0; personal research; OOD only,ruasd_ru_v1_shard000000:speaker:unknown,ruasd_ru_v1_shard000000:content:raw_fake_11labs_810f076e151a420ad2144771d7ce424c,1e010f49d829054c1bca95b6577298612d18c37f0c44db0d25aa982b6d8009ba,43.2326875,tts,11labs,unspecified_by_source,ruasd_ru_v1_shard000000:voice:unknown,,unknown,synthetic_tts_ruasd,44100,wav,,,2026-08-09T04:28:05.188480Z
ruasd_ru_v1_shard000000:raw_fake_11labs_94dff78323698c842a7822da7c6857b8,processed/b5/b552a3a00c31622617ef51c5283f336de9f8525e26ed784acfed201eccb15932.wav,7d754117373f2bf243b45e41d89000e4b27083bb5cebd2296840bbeb7f2782c2,ood,spoof,ru,unknown,ruasd_ru_v1_shard000000:content:raw_fake_11labs_94dff78323698c842a7822da7c6857b8,ruasd_ru_v1_shard000000,CC-BY-NC-SA-4.0,RuASD CC-BY-NC-SA-4.0; personal research; OOD only,ruasd_ru_v1_shard000000:speaker:unknown,ruasd_ru_v1_shard000000:content:raw_fake_11labs_94dff78323698c842a7822da7c6857b8,3f6994bf1f41fd0f8ee5033a898be1d860ca39307348fd32a346d0acca9e3697,23.30125,tts,11labs,unspecified_by_source,ruasd_ru_v1_shard000000:voice:unknown,,unknown,synthetic_tts_ruasd,44100,wav,,,2026-08-09T04:28:05.188480Z
ruasd_ru_v1_shard000000:raw_fake_11labs_7b4a1cbe78157a08a02b75130bda0830,processed/bd/bdd98e92573ff74bed4c5a9dc7deb2529afbe89d145689610560028ea6eb42c5.wav,9c33d30239ef75427f5a3bc8aed050cf496e3f8eb2cf2a3b607f90f20bf307d3,ood,spoof,ru,unknown,ruasd_ru_v1_shard000000:content:raw_fake_11labs_7b4a1cbe78157a08a02b75130bda0830,ruasd_ru_v1_shard000000,CC-BY-NC-SA-4.0,RuASD CC-BY-NC-SA-4.0; personal research; OOD only,ruasd_ru_v1_shard000000:speaker:unknown,ruasd_ru_v1_shard000000:content:raw_fake_11labs_7b4a1cbe78157a08a02b75130bda0830,b6c2dcd371dfd7cb91eeeadaaeac7860848c304b6740cbcfc2e8f3b4ddf6fb76,35.78775,tts,11labs,unspecified_by_source,ruasd_ru_v1_shard000000:voice:unknown,,unknown,synthetic_tts_ruasd,44100,wav,,,2026-08-09T04:28:05.188480Z
ruasd_ru_v1_shard000000:raw_fake_11labs_7b38a6bd902d5748991ec1df084130b0,processed/de/de6aa6d04d22f731559b53fc73094a09463c7ea5eb0e511668e166f06c2045be.wav,c4bb126861687974a8aa3b7d668b2e0e31f0a289474bfd7f7427bdefba184512,ood,spoof,ru,unknown,ruasd_ru_v1_shard000000:content:raw_fake_11labs_7b38a6bd902d5748991ec1df084130b0,ruasd_ru_v1_shard000000,CC-BY-NC-SA-4.0,RuASD CC-BY-NC-SA-4.0; personal research; OOD only,ruasd_ru_v1_shard000000:speaker:unknown,ruasd_ru_v1_shard000000:content:raw_fake_11labs_7b38a6bd902d5748991ec1df084130b0,d568b8f7553e3fbf4ed6b485fb50f684ea8cf678bf368a8ded987b8bdb868aea,5.9298125,tts,11labs,unspecified_by_source,ruasd_ru_v1_shard000000:voice:unknown,,unknown,synthetic_tts_ruasd,44100,wav,,,2026-08-09T04:28:05.188480Z
ruasd_ru_v1_shard000000:raw_fake_11labs_2131bb3d74a78e31c9df3d8ec33409e8,processed/12/124f86d98863c24bbdc1bda26433fad1342e008102d3a1bb07c968772d901ce3.wav,b052662f9c21dfca3c00e26a8eeb3e69cf116222e5803a46a74a3fd89a7664db,ood,spoof,ru,unknown,ruasd_ru_v1_shard000000:content:raw_fake_11labs_2131bb3d74a78e31c9df3d8ec33409e8,ruasd_ru_v1_shard000000,CC-BY-NC-SA-4.0,RuASD CC-BY-NC-SA-4.0; personal research; OOD only,ruasd_ru_v1_shard000000:speaker:unknown,ruasd_ru_v1_shard000000:content:raw_fake_11labs_2131bb3d74a78e31c9df3d8ec33409e8,cd7f467a026f28cf4d4d848584af6cd1b7936166eebc2ec171eb1fce25b34473,5.329,tts,11labs,unspecified_by_source,ruasd_ru_v1_shard000000:voice:unknown,,unknown,synthetic_tts_ruasd,44100,wav,,,2026-08-09T04:28:05.188480Z
ruasd_ru_v1_shard000000:raw_fake_11labs_1ffd1a3f936dba4a64692f293ff46117,processed/cc/cc4a49989d4e7a78805515e8ffab01efdc53342c16c450461c07d60cd531056b.wav,186dc55ba62099f6c12ee6ee90a47c50c5ead01252631f6cc3e568df82ae5138,ood,spoof,ru,unknown,ruasd_ru_v1_shard000000:content:raw_fake_11labs_1ffd1a3f936dba4a64692f293ff46117,ruasd_ru_v1_shard000000,CC-BY-NC-SA-4.0,RuASD CC-BY-NC-SA-4.0; personal research; OOD only,ruasd_ru_v1_shard000000:speaker:unknown,ruasd_ru_v1_shard000000:content:raw_fake_11labs_1ffd1a3f936dba4a64692f293ff46117,593f799ae56fd561eec0d009d463a74211439cfa50bf432a8ae9f798e003832a,4.911,tts,11labs,unspecified_by_source,ruasd_ru_v1_shard000000:voice:unknown,,unknown,synthetic_tts_ruasd,44100,wav,,,2026-08-09T04:28:05.188480Z
