sample_id,relative_path,sha256,split,label,language,code_switch,parent_group_id,source_name,source_license,rights_basis,speaker_pseudo_id,text_id,text_hash,duration_s,generator_family,generator_name,generator_version,voice_id,clone_consent_id,device,capture_route,original_sr,codec,augmentation_chain,augmentation_seed,created_at
silero_v5_5_ru_eugene_v1:c288eef68f4c3577,raw/silero_v5_5_ru_eugene_v1/slices/common_voice_ru_v24_pre_qa_v1/d3f81d036c81286c4d2e-44739cd9712f.wav,4218b92bd1c5c8c31f2b939ab5cdf22f45a46d70927e6e4b05899eaf4b097903,test,spoof,ru,unknown,silero_v5_5_ru_eugene_v1:profile:silero_v5_5_ru_eugene:eugene,silero_v5_5_ru_eugene_v1,Silero V5.5 RU model CC-BY-NC-SA-4.0,Offline derivative for personal research from source transcript a0c022dbbda6a91f3aaaa9517815d81bb7b1f8ac080706ca3f907ddc21939386; Silero repository and V5.5 RU package CC-BY-NC-SA-4.0; only the project's personal-research scope is permitted; fixed eugene profile; no reference audio or voice cloning,silero_v5_5_ru_eugene_v1:synthetic-profile:silero_v5_5_ru_eugene:eugene,a0c022dbbda6a91f3aaaa9517815d81bb7b1f8ac080706ca3f907ddc21939386,44739cd9712f2dac3d071ba6e50a06edd5787cfd9cdec7a40d2f4874033b52eb,2.875,silero_v5_5_ru_torchpackage_tts,Silero V5.5 RU fixed eugene text-only TTS,Silero v5_5_ru package SHA-256 50081637b602126ee06cb3bc8a744d25651d2da149ee8864b9a379bfdd934437; source d9355348e2781dc8fa25a135d1602c530afae24c; wrapper SHA-256 9841a7361d9d8c07e81778cbb2609ccd2195a9e53af9e58d021318c0828560f1,silero_v5_5_ru_eugene:eugene,not_applicable:fixed-pretrained-tts-no-reference-audio,local_cpu_silero_v5_5_ru_eugene,offline_text_only_silero_v5_5_ru_fixed_eugene,48000,wav,text_normalization=silero_v5_5_ru_literal_whitespace_only_v1,,2026-08-13T17:41:27+05:00
silero_v5_5_ru_eugene_v1:163cd74a1d22e8bc,raw/silero_v5_5_ru_eugene_v1/slices/common_voice_ru_v24_pre_qa_v1/080c1044834782d7806a-6dd2fcc725dd.wav,e36c2571a51ac9806c06bbb4e318ce0371fcb9a7f8778111a6ef3afd19688d74,test,spoof,ru,unknown,silero_v5_5_ru_eugene_v1:profile:silero_v5_5_ru_eugene:eugene,silero_v5_5_ru_eugene_v1,Silero V5.5 RU model CC-BY-NC-SA-4.0,Offline derivative for personal research from source transcript b0148ed23a23ea193212d5a40f3ef49894a69f242ac0dfb2869d55a4eb3f5999; Silero repository and V5.5 RU package CC-BY-NC-SA-4.0; only the project's personal-research scope is permitted; fixed eugene profile; no reference audio or voice cloning,silero_v5_5_ru_eugene_v1:synthetic-profile:silero_v5_5_ru_eugene:eugene,b0148ed23a23ea193212d5a40f3ef49894a69f242ac0dfb2869d55a4eb3f5999,6dd2fcc725dddd09bff7fb671f06a0c7f7d5ea10ad861e9d7df066d606bc3b73,2.4,silero_v5_5_ru_torchpackage_tts,Silero V5.5 RU fixed eugene text-only TTS,Silero v5_5_ru package SHA-256 50081637b602126ee06cb3bc8a744d25651d2da149ee8864b9a379bfdd934437; source d9355348e2781dc8fa25a135d1602c530afae24c; wrapper SHA-256 9841a7361d9d8c07e81778cbb2609ccd2195a9e53af9e58d021318c0828560f1,silero_v5_5_ru_eugene:eugene,not_applicable:fixed-pretrained-tts-no-reference-audio,local_cpu_silero_v5_5_ru_eugene,offline_text_only_silero_v5_5_ru_fixed_eugene,48000,wav,text_normalization=silero_v5_5_ru_literal_whitespace_only_v1,,2026-08-13T17:41:27+05:00
silero_v5_5_ru_eugene_v1:9ae474d32089b4cd,raw/silero_v5_5_ru_eugene_v1/slices/common_voice_ru_v24_pre_qa_v1/619348d17c4c53c6470e-c2581acc11e8.wav,f927c5a0c2c195e364822ef4950946a7ba3bde774c8d09261c0f84af81a6124f,test,spoof,ru,unknown,silero_v5_5_ru_eugene_v1:profile:silero_v5_5_ru_eugene:eugene,silero_v5_5_ru_eugene_v1,Silero V5.5 RU model CC-BY-NC-SA-4.0,Offline derivative for personal research from source transcript 4383fcd6ebce305be38b0b578d89bff6a6ff5e60a0bc3f22b74a0671806d13ce; Silero repository and V5.5 RU package CC-BY-NC-SA-4.0; only the project's personal-research scope is permitted; fixed eugene profile; no reference audio or voice cloning,silero_v5_5_ru_eugene_v1:synthetic-profile:silero_v5_5_ru_eugene:eugene,4383fcd6ebce305be38b0b578d89bff6a6ff5e60a0bc3f22b74a0671806d13ce,c2581acc11e8e46d7ab885f8482aa51503458b6ad54a4784f007dc4fee88924e,2.95,silero_v5_5_ru_torchpackage_tts,Silero V5.5 RU fixed eugene text-only TTS,Silero v5_5_ru package SHA-256 50081637b602126ee06cb3bc8a744d25651d2da149ee8864b9a379bfdd934437; source d9355348e2781dc8fa25a135d1602c530afae24c; wrapper SHA-256 9841a7361d9d8c07e81778cbb2609ccd2195a9e53af9e58d021318c0828560f1,silero_v5_5_ru_eugene:eugene,not_applicable:fixed-pretrained-tts-no-reference-audio,local_cpu_silero_v5_5_ru_eugene,offline_text_only_silero_v5_5_ru_fixed_eugene,48000,wav,text_normalization=silero_v5_5_ru_literal_whitespace_only_v1,,2026-08-13T17:41:27+05:00
silero_v5_5_ru_eugene_v1:4bf29af483ec75a0,raw/silero_v5_5_ru_eugene_v1/slices/common_voice_ru_v24_pre_qa_v1/5807de3077c011e8e29e-bfaba2d2e61d.wav,fe2fcc6247ae7117152e371593add2d3e94cb0e0fb0a9b5d136a7e6f13dcc535,test,spoof,ru,unknown,silero_v5_5_ru_eugene_v1:profile:silero_v5_5_ru_eugene:eugene,silero_v5_5_ru_eugene_v1,Silero V5.5 RU model CC-BY-NC-SA-4.0,Offline derivative for personal research from source transcript bfe8ffa2b3197f704ea5303f83cfd9e9f8e8605697bd37f170ce1219a91269bc; Silero repository and V5.5 RU package CC-BY-NC-SA-4.0; only the project's personal-research scope is permitted; fixed eugene profile; no reference audio or voice cloning,silero_v5_5_ru_eugene_v1:synthetic-profile:silero_v5_5_ru_eugene:eugene,bfe8ffa2b3197f704ea5303f83cfd9e9f8e8605697bd37f170ce1219a91269bc,bfaba2d2e61d6cf283b29f724c7370979fcc4824c77d7040c673b7f66e6b1fa3,6.575,silero_v5_5_ru_torchpackage_tts,Silero V5.5 RU fixed eugene text-only TTS,Silero v5_5_ru package SHA-256 50081637b602126ee06cb3bc8a744d25651d2da149ee8864b9a379bfdd934437; source d9355348e2781dc8fa25a135d1602c530afae24c; wrapper SHA-256 9841a7361d9d8c07e81778cbb2609ccd2195a9e53af9e58d021318c0828560f1,silero_v5_5_ru_eugene:eugene,not_applicable:fixed-pretrained-tts-no-reference-audio,local_cpu_silero_v5_5_ru_eugene,offline_text_only_silero_v5_5_ru_fixed_eugene,48000,wav,text_normalization=silero_v5_5_ru_literal_whitespace_only_v1,,2026-08-13T17:41:27+05:00
silero_v5_5_ru_eugene_v1:b24857b57b72c457,raw/silero_v5_5_ru_eugene_v1/slices/common_voice_ru_v24_pre_qa_v1/02774ec4ff33d2422022-b0900f82e859.wav,91c7b995752cbd116b513a99bd02ec82c6fc5a6e97d22dc058034a9e6ea9ea3c,test,spoof,ru,unknown,silero_v5_5_ru_eugene_v1:profile:silero_v5_5_ru_eugene:eugene,silero_v5_5_ru_eugene_v1,Silero V5.5 RU model CC-BY-NC-SA-4.0,Offline derivative for personal research from source transcript 5925d2767e2bbefdc077c2797e8f1cbb12e0a9b6b2a023dca7059791be861360; Silero repository and V5.5 RU package CC-BY-NC-SA-4.0; only the project's personal-research scope is permitted; fixed eugene profile; no reference audio or voice cloning,silero_v5_5_ru_eugene_v1:synthetic-profile:silero_v5_5_ru_eugene:eugene,5925d2767e2bbefdc077c2797e8f1cbb12e0a9b6b2a023dca7059791be861360,b0900f82e8591926aecef5e2fccdfa00c7f024262014d979cb99f2c84aa13e47,3.425,silero_v5_5_ru_torchpackage_tts,Silero V5.5 RU fixed eugene text-only TTS,Silero v5_5_ru package SHA-256 50081637b602126ee06cb3bc8a744d25651d2da149ee8864b9a379bfdd934437; source d9355348e2781dc8fa25a135d1602c530afae24c; wrapper SHA-256 9841a7361d9d8c07e81778cbb2609ccd2195a9e53af9e58d021318c0828560f1,silero_v5_5_ru_eugene:eugene,not_applicable:fixed-pretrained-tts-no-reference-audio,local_cpu_silero_v5_5_ru_eugene,offline_text_only_silero_v5_5_ru_fixed_eugene,48000,wav,text_normalization=silero_v5_5_ru_literal_whitespace_only_v1,,2026-08-13T17:41:27+05:00
silero_v5_5_ru_eugene_v1:8a5639c93f543527,raw/silero_v5_5_ru_eugene_v1/slices/common_voice_ru_v24_pre_qa_v1/98ed5fa73bcdf684bd5c-416b5a61cca2.wav,e6c23f92106978da7f5c54b5447afc0681836d8c19bc70949da16fb221ba6cfd,test,spoof,ru,unknown,silero_v5_5_ru_eugene_v1:profile:silero_v5_5_ru_eugene:eugene,silero_v5_5_ru_eugene_v1,Silero V5.5 RU model CC-BY-NC-SA-4.0,Offline derivative for personal research from source transcript 6f38e752af78a15ff303873e30d6e4dc84dfbc3381860a72a43697da6ee2292d; Silero repository and V5.5 RU package CC-BY-NC-SA-4.0; only the project's personal-research scope is permitted; fixed eugene profile; no reference audio or voice cloning,silero_v5_5_ru_eugene_v1:synthetic-profile:silero_v5_5_ru_eugene:eugene,6f38e752af78a15ff303873e30d6e4dc84dfbc3381860a72a43697da6ee2292d,416b5a61cca2e6e9122cde276d1d3c974594c3fa78bbd048e0be21cf3a984a01,4.125,silero_v5_5_ru_torchpackage_tts,Silero V5.5 RU fixed eugene text-only TTS,Silero v5_5_ru package SHA-256 50081637b602126ee06cb3bc8a744d25651d2da149ee8864b9a379bfdd934437; source d9355348e2781dc8fa25a135d1602c530afae24c; wrapper SHA-256 9841a7361d9d8c07e81778cbb2609ccd2195a9e53af9e58d021318c0828560f1,silero_v5_5_ru_eugene:eugene,not_applicable:fixed-pretrained-tts-no-reference-audio,local_cpu_silero_v5_5_ru_eugene,offline_text_only_silero_v5_5_ru_fixed_eugene,48000,wav,text_normalization=silero_v5_5_ru_literal_whitespace_only_v1,,2026-08-13T17:41:27+05:00
silero_v5_5_ru_eugene_v1:7ae8f268f427b3ce,raw/silero_v5_5_ru_eugene_v1/slices/common_voice_ru_v24_pre_qa_v1/d86fdb4bf7db172c6abc-98ef45de8d92.wav,2bbddee6b55498110b115cdce08e12a2ace48422e5618cf17ee0bd67074d0de2,test,spoof,ru,unknown,silero_v5_5_ru_eugene_v1:profile:silero_v5_5_ru_eugene:eugene,silero_v5_5_ru_eugene_v1,Silero V5.5 RU model CC-BY-NC-SA-4.0,Offline derivative for personal research from source transcript 6fb8e5e3793d060cf9135ebd66a7c19c1d117c950ed50619c36c42f1f3f6a70b; Silero repository and V5.5 RU package CC-BY-NC-SA-4.0; only the project's personal-research scope is permitted; fixed eugene profile; no reference audio or voice cloning,silero_v5_5_ru_eugene_v1:synthetic-profile:silero_v5_5_ru_eugene:eugene,6fb8e5e3793d060cf9135ebd66a7c19c1d117c950ed50619c36c42f1f3f6a70b,98ef45de8d9205c53589bdc35c376639d9e9e4fa0761481cd9bb9572b0404c4d,2.425,silero_v5_5_ru_torchpackage_tts,Silero V5.5 RU fixed eugene text-only TTS,Silero v5_5_ru package SHA-256 50081637b602126ee06cb3bc8a744d25651d2da149ee8864b9a379bfdd934437; source d9355348e2781dc8fa25a135d1602c530afae24c; wrapper SHA-256 9841a7361d9d8c07e81778cbb2609ccd2195a9e53af9e58d021318c0828560f1,silero_v5_5_ru_eugene:eugene,not_applicable:fixed-pretrained-tts-no-reference-audio,local_cpu_silero_v5_5_ru_eugene,offline_text_only_silero_v5_5_ru_fixed_eugene,48000,wav,text_normalization=silero_v5_5_ru_literal_whitespace_only_v1,,2026-08-13T17:41:27+05:00
silero_v5_5_ru_eugene_v1:523b974391c3d056,raw/silero_v5_5_ru_eugene_v1/slices/common_voice_ru_v24_pre_qa_v1/216c59d2f9102bcdf658-a46e959565d6.wav,fb32eda51c4c53dc1faff68c422cc847a2f784061faae952be1aef372fca7436,test,spoof,ru,unknown,silero_v5_5_ru_eugene_v1:profile:silero_v5_5_ru_eugene:eugene,silero_v5_5_ru_eugene_v1,Silero V5.5 RU model CC-BY-NC-SA-4.0,Offline derivative for personal research from source transcript e8bdd29c0f4744d09737f17b29573016d6bab0bfd8389dc4bb8bba896ffcf648; Silero repository and V5.5 RU package CC-BY-NC-SA-4.0; only the project's personal-research scope is permitted; fixed eugene profile; no reference audio or voice cloning,silero_v5_5_ru_eugene_v1:synthetic-profile:silero_v5_5_ru_eugene:eugene,e8bdd29c0f4744d09737f17b29573016d6bab0bfd8389dc4bb8bba896ffcf648,a46e959565d6bdf8ab9742207845dc8281dee7c89a3c1896112a2af61c86e1dd,3.9,silero_v5_5_ru_torchpackage_tts,Silero V5.5 RU fixed eugene text-only TTS,Silero v5_5_ru package SHA-256 50081637b602126ee06cb3bc8a744d25651d2da149ee8864b9a379bfdd934437; source d9355348e2781dc8fa25a135d1602c530afae24c; wrapper SHA-256 9841a7361d9d8c07e81778cbb2609ccd2195a9e53af9e58d021318c0828560f1,silero_v5_5_ru_eugene:eugene,not_applicable:fixed-pretrained-tts-no-reference-audio,local_cpu_silero_v5_5_ru_eugene,offline_text_only_silero_v5_5_ru_fixed_eugene,48000,wav,text_normalization=silero_v5_5_ru_literal_whitespace_only_v1,,2026-08-13T17:41:27+05:00
silero_v5_5_ru_eugene_v1:698402a3545f1bf7,raw/silero_v5_5_ru_eugene_v1/slices/common_voice_ru_v24_pre_qa_v1/c6d69e239643a460359e-407dd4e01aaa.wav,c220e9740900451d3714045a3f76cd0fd1a064e71b3835a21884f8ddf58826b1,test,spoof,ru,unknown,silero_v5_5_ru_eugene_v1:profile:silero_v5_5_ru_eugene:eugene,silero_v5_5_ru_eugene_v1,Silero V5.5 RU model CC-BY-NC-SA-4.0,Offline derivative for personal research from source transcript ef2fdf34ce899b25409c9a7ab088fca27243573be85ce2107475d75708c40cc4; Silero repository and V5.5 RU package CC-BY-NC-SA-4.0; only the project's personal-research scope is permitted; fixed eugene profile; no reference audio or voice cloning,silero_v5_5_ru_eugene_v1:synthetic-profile:silero_v5_5_ru_eugene:eugene,ef2fdf34ce899b25409c9a7ab088fca27243573be85ce2107475d75708c40cc4,407dd4e01aaaafbb3473c37d1d288370828409bcc72e38c3d22eb526ba3fc097,5.7625,silero_v5_5_ru_torchpackage_tts,Silero V5.5 RU fixed eugene text-only TTS,Silero v5_5_ru package SHA-256 50081637b602126ee06cb3bc8a744d25651d2da149ee8864b9a379bfdd934437; source d9355348e2781dc8fa25a135d1602c530afae24c; wrapper SHA-256 9841a7361d9d8c07e81778cbb2609ccd2195a9e53af9e58d021318c0828560f1,silero_v5_5_ru_eugene:eugene,not_applicable:fixed-pretrained-tts-no-reference-audio,local_cpu_silero_v5_5_ru_eugene,offline_text_only_silero_v5_5_ru_fixed_eugene,48000,wav,text_normalization=silero_v5_5_ru_literal_whitespace_only_v1,,2026-08-13T17:41:27+05:00
silero_v5_5_ru_eugene_v1:3dc50acc48aaa48c,raw/silero_v5_5_ru_eugene_v1/slices/common_voice_ru_v24_pre_qa_v1/2d64a0ec8e66090b2306-05ba954f2ec2.wav,fe338718cbc81a8594b9b00eda4547f5694861e468cfbfdabd8c0bb01abbada4,test,spoof,ru,unknown,silero_v5_5_ru_eugene_v1:profile:silero_v5_5_ru_eugene:eugene,silero_v5_5_ru_eugene_v1,Silero V5.5 RU model CC-BY-NC-SA-4.0,Offline derivative for personal research from source transcript 250dc7857cec71203668420aa0a8e7ebda440d52d872ba48b3235078f3b58e80; Silero repository and V5.5 RU package CC-BY-NC-SA-4.0; only the project's personal-research scope is permitted; fixed eugene profile; no reference audio or voice cloning,silero_v5_5_ru_eugene_v1:synthetic-profile:silero_v5_5_ru_eugene:eugene,250dc7857cec71203668420aa0a8e7ebda440d52d872ba48b3235078f3b58e80,05ba954f2ec2d4005b9de4bea7aca19daa695bf1177f484d00708ae32a8e233f,3.325,silero_v5_5_ru_torchpackage_tts,Silero V5.5 RU fixed eugene text-only TTS,Silero v5_5_ru package SHA-256 50081637b602126ee06cb3bc8a744d25651d2da149ee8864b9a379bfdd934437; source d9355348e2781dc8fa25a135d1602c530afae24c; wrapper SHA-256 9841a7361d9d8c07e81778cbb2609ccd2195a9e53af9e58d021318c0828560f1,silero_v5_5_ru_eugene:eugene,not_applicable:fixed-pretrained-tts-no-reference-audio,local_cpu_silero_v5_5_ru_eugene,offline_text_only_silero_v5_5_ru_fixed_eugene,48000,wav,text_normalization=silero_v5_5_ru_literal_whitespace_only_v1,,2026-08-13T17:41:27+05:00
silero_v5_5_ru_eugene_v1:87327adebff8dee4,raw/silero_v5_5_ru_eugene_v1/slices/common_voice_ru_v24_pre_qa_v1/c9d9bf4541c0805c9a24-c48f45694dca.wav,ecff9495014b6d429d1c733bf10306601cc6196169697b13a30c0eb2491816cc,test,spoof,ru,unknown,silero_v5_5_ru_eugene_v1:profile:silero_v5_5_ru_eugene:eugene,silero_v5_5_ru_eugene_v1,Silero V5.5 RU model CC-BY-NC-SA-4.0,Offline derivative for personal research from source transcript 4b7aa7db86e5253efa3d6e1c40b02e2795030ccfc3fde737ffa5e7f97415f685; Silero repository and V5.5 RU package CC-BY-NC-SA-4.0; only the project's personal-research scope is permitted; fixed eugene profile; no reference audio or voice cloning,silero_v5_5_ru_eugene_v1:synthetic-profile:silero_v5_5_ru_eugene:eugene,4b7aa7db86e5253efa3d6e1c40b02e2795030ccfc3fde737ffa5e7f97415f685,c48f45694dcaac00738eadd145d2fa8e21f39f216c723248ea8203a84ce68437,3.975,silero_v5_5_ru_torchpackage_tts,Silero V5.5 RU fixed eugene text-only TTS,Silero v5_5_ru package SHA-256 50081637b602126ee06cb3bc8a744d25651d2da149ee8864b9a379bfdd934437; source d9355348e2781dc8fa25a135d1602c530afae24c; wrapper SHA-256 9841a7361d9d8c07e81778cbb2609ccd2195a9e53af9e58d021318c0828560f1,silero_v5_5_ru_eugene:eugene,not_applicable:fixed-pretrained-tts-no-reference-audio,local_cpu_silero_v5_5_ru_eugene,offline_text_only_silero_v5_5_ru_fixed_eugene,48000,wav,text_normalization=silero_v5_5_ru_literal_whitespace_only_v1,,2026-08-13T17:41:27+05:00
