sample_id,relative_path,sha256,split,label,language,code_switch,parent_group_id,source_name,source_license,rights_basis,speaker_pseudo_id,text_id,text_hash,duration_s,generator_family,generator_name,generator_version,voice_id,clone_consent_id,device,capture_route,original_sr,codec,augmentation_chain,augmentation_seed,created_at
stage_d_ru_dialogs_vits2_masha_neutral_v1:aa83c53b28911aac1f5e,raw/stage_d_ru_dialogs_vits2_masha_neutral_v1/slices/frozen_common_voice_73/d162e9bbfd8268488985-c13ae26515cb.wav,69b56c8ec3568792a2d802fc124dfa26c2eef7d8cb06b744f8ef47fcb63db340,test,spoof,ru,false,stage_d_ru_dialogs_vits2_masha_neutral_v1:fixed-profile:dialogs_ru_vits2:Masha:neutral,stage_d_ru_dialogs_vits2_masha_neutral_v1,Common Voice RU CC0-1.0; Dialogs-RU model card OpenRAIL declaration; Dialogs dataset OpenRAIL license,Offline literal-text-only derivative of common_voice_ru_v24 text f64b572244a30feff385e6dd53ae76081257cccdc2d984aa6388efd8dc08eea7; Dialogs-RU model card OpenRAIL declaration; Dialogs dataset OpenRAIL license revision e25ba617b2b56bd1dbf255d3905c51bd8da3d31f explicitly covers models trained on the dataset and their outputs; permitted for the project's personal-research scope subject to its use restrictions; fixed Masha/neutral profile; no reference audio or voice cloning; upstream basic cleaner only; language provenance is intended input text until acoustic review; tokenizer_dropped_characters=none,stage_d_ru_dialogs_vits2_masha_neutral_v1:synthetic-profile:dialogs_ru_vits2:Masha:neutral,f64b572244a30feff385e6dd53ae76081257cccdc2d984aa6388efd8dc08eea7,c13ae26515cb5e39d55d3bee77ca95064a971a6e86cd80cfe90bcce5250f589b,2.6238548752834467,vits2_emotion_conditioned_tts,Dialogs-RU Expressive Russian TTS,hf-af7eabc15d087fce701de7261190ccb747c3bc7a; checkpoint-b565b7b5311bd29102f15d2700c69ea71569605bc756fb5bb49d98afdc5e1e43; weights-only-wrapper-188ed0e0d2a8db916160b75f51462cf59fe24bce60a919e88fedd7fa76846c71,dialogs_ru_vits2_masha_neutral:dialogs_ru_vits2:Masha:neutral,not_applicable:fixed_pretrained_tts_no_reference_audio,cpu,offline_text_only_vits2_weights_only_fixed_profile,22050,wav,language_provenance=intended_input_text_only;literal_source_text_sha256=c13ae26515cb5e39d55d3bee77ca95064a971a6e86cd80cfe90bcce5250f589b;upstream_tokenizer_dropped_characters=none;rng_seed=sha256_literal_source_text,c13ae26515cb5e39,2026-08-13T13:30:00+05:00
stage_d_ru_dialogs_vits2_masha_neutral_v1:c22c9c8d9f057648ecf8,raw/stage_d_ru_dialogs_vits2_masha_neutral_v1/slices/frozen_common_voice_73/3440c8b7f8c69ccd1528-f6cb7fa79d09.wav,9a32c63e6813650d95b4bbddd3095ba913249acac4728bb0e4efb07b2e70325a,test,spoof,ru,false,stage_d_ru_dialogs_vits2_masha_neutral_v1:fixed-profile:dialogs_ru_vits2:Masha:neutral,stage_d_ru_dialogs_vits2_masha_neutral_v1,Common Voice RU CC0-1.0; Dialogs-RU model card OpenRAIL declaration; Dialogs dataset OpenRAIL license,Offline literal-text-only derivative of common_voice_ru_v24 text 033be5af636c66bac9cd81130fc19a7e7bb344d02a32c27afa27cddcc4748652; Dialogs-RU model card OpenRAIL declaration; Dialogs dataset OpenRAIL license revision e25ba617b2b56bd1dbf255d3905c51bd8da3d31f explicitly covers models trained on the dataset and their outputs; permitted for the project's personal-research scope subject to its use restrictions; fixed Masha/neutral profile; no reference audio or voice cloning; upstream basic cleaner only; language provenance is intended input text until acoustic review; tokenizer_dropped_characters=none,stage_d_ru_dialogs_vits2_masha_neutral_v1:synthetic-profile:dialogs_ru_vits2:Masha:neutral,033be5af636c66bac9cd81130fc19a7e7bb344d02a32c27afa27cddcc4748652,f6cb7fa79d09b0d8227c52a2b391c85736c1b4c93e73b4eaa0583d85b2f39f3a,4.85297052154195,vits2_emotion_conditioned_tts,Dialogs-RU Expressive Russian TTS,hf-af7eabc15d087fce701de7261190ccb747c3bc7a; checkpoint-b565b7b5311bd29102f15d2700c69ea71569605bc756fb5bb49d98afdc5e1e43; weights-only-wrapper-188ed0e0d2a8db916160b75f51462cf59fe24bce60a919e88fedd7fa76846c71,dialogs_ru_vits2_masha_neutral:dialogs_ru_vits2:Masha:neutral,not_applicable:fixed_pretrained_tts_no_reference_audio,cpu,offline_text_only_vits2_weights_only_fixed_profile,22050,wav,language_provenance=intended_input_text_only;literal_source_text_sha256=f6cb7fa79d09b0d8227c52a2b391c85736c1b4c93e73b4eaa0583d85b2f39f3a;upstream_tokenizer_dropped_characters=none;rng_seed=sha256_literal_source_text,f6cb7fa79d09b0d8,2026-08-13T13:30:00+05:00
stage_d_ru_dialogs_vits2_masha_neutral_v1:7abadb7f58fe5eefe407,raw/stage_d_ru_dialogs_vits2_masha_neutral_v1/slices/frozen_common_voice_73/d1fae443e988787c0820-e1a2272d2bd0.wav,09f11e7a2557162507f08b190fc197b966623d167463856e39bdfc6f62a36494,test,spoof,ru,false,stage_d_ru_dialogs_vits2_masha_neutral_v1:fixed-profile:dialogs_ru_vits2:Masha:neutral,stage_d_ru_dialogs_vits2_masha_neutral_v1,Common Voice RU CC0-1.0; Dialogs-RU model card OpenRAIL declaration; Dialogs dataset OpenRAIL license,Offline literal-text-only derivative of common_voice_ru_v24 text fe1243ce234619b12897f07a6e7a92b265b5c674d823f377af3b094418f5dfc9; Dialogs-RU model card OpenRAIL declaration; Dialogs dataset OpenRAIL license revision e25ba617b2b56bd1dbf255d3905c51bd8da3d31f explicitly covers models trained on the dataset and their outputs; permitted for the project's personal-research scope subject to its use restrictions; fixed Masha/neutral profile; no reference audio or voice cloning; upstream basic cleaner only; language provenance is intended input text until acoustic review; tokenizer_dropped_characters=–,stage_d_ru_dialogs_vits2_masha_neutral_v1:synthetic-profile:dialogs_ru_vits2:Masha:neutral,fe1243ce234619b12897f07a6e7a92b265b5c674d823f377af3b094418f5dfc9,e1a2272d2bd048e153923b87e1c21ac37415e1e457a5e7091b7984757ba450b3,3.378503401360544,vits2_emotion_conditioned_tts,Dialogs-RU Expressive Russian TTS,hf-af7eabc15d087fce701de7261190ccb747c3bc7a; checkpoint-b565b7b5311bd29102f15d2700c69ea71569605bc756fb5bb49d98afdc5e1e43; weights-only-wrapper-188ed0e0d2a8db916160b75f51462cf59fe24bce60a919e88fedd7fa76846c71,dialogs_ru_vits2_masha_neutral:dialogs_ru_vits2:Masha:neutral,not_applicable:fixed_pretrained_tts_no_reference_audio,cpu,offline_text_only_vits2_weights_only_fixed_profile,22050,wav,language_provenance=intended_input_text_only;literal_source_text_sha256=e1a2272d2bd048e153923b87e1c21ac37415e1e457a5e7091b7984757ba450b3;upstream_tokenizer_dropped_characters=–;rng_seed=sha256_literal_source_text,e1a2272d2bd048e1,2026-08-13T13:30:00+05:00
stage_d_ru_dialogs_vits2_masha_neutral_v1:f95aeb47cc3545263ce1,raw/stage_d_ru_dialogs_vits2_masha_neutral_v1/slices/frozen_common_voice_73/96a5458dc63a9fe30c95-b9cbd1d4fda7.wav,f232d5534d34e7cf620f73a7b276956ff0c62808355c58b9e3f212dcb41a79c5,test,spoof,ru,false,stage_d_ru_dialogs_vits2_masha_neutral_v1:fixed-profile:dialogs_ru_vits2:Masha:neutral,stage_d_ru_dialogs_vits2_masha_neutral_v1,Common Voice RU CC0-1.0; Dialogs-RU model card OpenRAIL declaration; Dialogs dataset OpenRAIL license,Offline literal-text-only derivative of common_voice_ru_v24 text 230513a612aa363d0cc22b1035214c72e5c2534abdf214517e3130e76ddab1ed; Dialogs-RU model card OpenRAIL declaration; Dialogs dataset OpenRAIL license revision e25ba617b2b56bd1dbf255d3905c51bd8da3d31f explicitly covers models trained on the dataset and their outputs; permitted for the project's personal-research scope subject to its use restrictions; fixed Masha/neutral profile; no reference audio or voice cloning; upstream basic cleaner only; language provenance is intended input text until acoustic review; tokenizer_dropped_characters=none,stage_d_ru_dialogs_vits2_masha_neutral_v1:synthetic-profile:dialogs_ru_vits2:Masha:neutral,230513a612aa363d0cc22b1035214c72e5c2534abdf214517e3130e76ddab1ed,b9cbd1d4fda7c85c5e93b5ad1fc8c03fe709f7ed624b09b2637f3d290671bdbf,2.1710657596371883,vits2_emotion_conditioned_tts,Dialogs-RU Expressive Russian TTS,hf-af7eabc15d087fce701de7261190ccb747c3bc7a; checkpoint-b565b7b5311bd29102f15d2700c69ea71569605bc756fb5bb49d98afdc5e1e43; weights-only-wrapper-188ed0e0d2a8db916160b75f51462cf59fe24bce60a919e88fedd7fa76846c71,dialogs_ru_vits2_masha_neutral:dialogs_ru_vits2:Masha:neutral,not_applicable:fixed_pretrained_tts_no_reference_audio,cpu,offline_text_only_vits2_weights_only_fixed_profile,22050,wav,language_provenance=intended_input_text_only;literal_source_text_sha256=b9cbd1d4fda7c85c5e93b5ad1fc8c03fe709f7ed624b09b2637f3d290671bdbf;upstream_tokenizer_dropped_characters=none;rng_seed=sha256_literal_source_text,b9cbd1d4fda7c85c,2026-08-13T13:30:00+05:00
stage_d_ru_dialogs_vits2_masha_neutral_v1:b793905faff4a7481f18,raw/stage_d_ru_dialogs_vits2_masha_neutral_v1/slices/frozen_common_voice_73/b25a9fdf4ba0a91ecc63-27229e0b815e.wav,50b20e7a72e9cba35de73f272e1ee75afebb364c33ae76a5bd0e343c95076599,test,spoof,ru,false,stage_d_ru_dialogs_vits2_masha_neutral_v1:fixed-profile:dialogs_ru_vits2:Masha:neutral,stage_d_ru_dialogs_vits2_masha_neutral_v1,Common Voice RU CC0-1.0; Dialogs-RU model card OpenRAIL declaration; Dialogs dataset OpenRAIL license,Offline literal-text-only derivative of common_voice_ru_v24 text 073810cd4c249b9ea251b9a4bbcb7694d01ae07d749d596ace2f966733b0d933; Dialogs-RU model card OpenRAIL declaration; Dialogs dataset OpenRAIL license revision e25ba617b2b56bd1dbf255d3905c51bd8da3d31f explicitly covers models trained on the dataset and their outputs; permitted for the project's personal-research scope subject to its use restrictions; fixed Masha/neutral profile; no reference audio or voice cloning; upstream basic cleaner only; language provenance is intended input text until acoustic review; tokenizer_dropped_characters=none,stage_d_ru_dialogs_vits2_masha_neutral_v1:synthetic-profile:dialogs_ru_vits2:Masha:neutral,073810cd4c249b9ea251b9a4bbcb7694d01ae07d749d596ace2f966733b0d933,27229e0b815e466a0408de2b4a03953b636554254987aa121087416658bd75c4,1.6950566893424037,vits2_emotion_conditioned_tts,Dialogs-RU Expressive Russian TTS,hf-af7eabc15d087fce701de7261190ccb747c3bc7a; checkpoint-b565b7b5311bd29102f15d2700c69ea71569605bc756fb5bb49d98afdc5e1e43; weights-only-wrapper-188ed0e0d2a8db916160b75f51462cf59fe24bce60a919e88fedd7fa76846c71,dialogs_ru_vits2_masha_neutral:dialogs_ru_vits2:Masha:neutral,not_applicable:fixed_pretrained_tts_no_reference_audio,cpu,offline_text_only_vits2_weights_only_fixed_profile,22050,wav,language_provenance=intended_input_text_only;literal_source_text_sha256=27229e0b815e466a0408de2b4a03953b636554254987aa121087416658bd75c4;upstream_tokenizer_dropped_characters=none;rng_seed=sha256_literal_source_text,27229e0b815e466a,2026-08-13T13:30:00+05:00
stage_d_ru_dialogs_vits2_masha_neutral_v1:c4d9769623ea63fd3c25,raw/stage_d_ru_dialogs_vits2_masha_neutral_v1/slices/frozen_common_voice_73/de606e51feb24f7ece8f-d1503abaed4f.wav,7d27ede3696d8a17567fb250ac05126fce2cc3abec5760268b1087b22dd293ed,test,spoof,ru,false,stage_d_ru_dialogs_vits2_masha_neutral_v1:fixed-profile:dialogs_ru_vits2:Masha:neutral,stage_d_ru_dialogs_vits2_masha_neutral_v1,Common Voice RU CC0-1.0; Dialogs-RU model card OpenRAIL declaration; Dialogs dataset OpenRAIL license,Offline literal-text-only derivative of common_voice_ru_v24 text 958d5ae7e20e6054d1d997d0d92851c7305bb345f695a19e5cb3c0d0bdb6cf4f; Dialogs-RU model card OpenRAIL declaration; Dialogs dataset OpenRAIL license revision e25ba617b2b56bd1dbf255d3905c51bd8da3d31f explicitly covers models trained on the dataset and their outputs; permitted for the project's personal-research scope subject to its use restrictions; fixed Masha/neutral profile; no reference audio or voice cloning; upstream basic cleaner only; language provenance is intended input text until acoustic review; tokenizer_dropped_characters=none,stage_d_ru_dialogs_vits2_masha_neutral_v1:synthetic-profile:dialogs_ru_vits2:Masha:neutral,958d5ae7e20e6054d1d997d0d92851c7305bb345f695a19e5cb3c0d0bdb6cf4f,d1503abaed4f18f5a948d23eac20ddb26b32d949ad28b72cc9482627d1226aed,4.08671201814059,vits2_emotion_conditioned_tts,Dialogs-RU Expressive Russian TTS,hf-af7eabc15d087fce701de7261190ccb747c3bc7a; checkpoint-b565b7b5311bd29102f15d2700c69ea71569605bc756fb5bb49d98afdc5e1e43; weights-only-wrapper-188ed0e0d2a8db916160b75f51462cf59fe24bce60a919e88fedd7fa76846c71,dialogs_ru_vits2_masha_neutral:dialogs_ru_vits2:Masha:neutral,not_applicable:fixed_pretrained_tts_no_reference_audio,cpu,offline_text_only_vits2_weights_only_fixed_profile,22050,wav,language_provenance=intended_input_text_only;literal_source_text_sha256=d1503abaed4f18f5a948d23eac20ddb26b32d949ad28b72cc9482627d1226aed;upstream_tokenizer_dropped_characters=none;rng_seed=sha256_literal_source_text,d1503abaed4f18f5,2026-08-13T13:30:00+05:00
stage_d_ru_dialogs_vits2_masha_neutral_v1:9b3e8c3e844bdee511e4,raw/stage_d_ru_dialogs_vits2_masha_neutral_v1/slices/frozen_common_voice_73/3b0030d1f596aca1d2fd-86ea6e26aa9e.wav,8bfd31a6f0214eb9f52421e81ea8eadf032ce4f77c25b4fd8761f42c510d32c8,test,spoof,ru,false,stage_d_ru_dialogs_vits2_masha_neutral_v1:fixed-profile:dialogs_ru_vits2:Masha:neutral,stage_d_ru_dialogs_vits2_masha_neutral_v1,Common Voice RU CC0-1.0; Dialogs-RU model card OpenRAIL declaration; Dialogs dataset OpenRAIL license,Offline literal-text-only derivative of common_voice_ru_v24 text 5aa197aa9ae92b4aca8ac2e907f995f6ebdee45c450169a717ea23c5b78d7713; Dialogs-RU model card OpenRAIL declaration; Dialogs dataset OpenRAIL license revision e25ba617b2b56bd1dbf255d3905c51bd8da3d31f explicitly covers models trained on the dataset and their outputs; permitted for the project's personal-research scope subject to its use restrictions; fixed Masha/neutral profile; no reference audio or voice cloning; upstream basic cleaner only; language provenance is intended input text until acoustic review; tokenizer_dropped_characters=none,stage_d_ru_dialogs_vits2_masha_neutral_v1:synthetic-profile:dialogs_ru_vits2:Masha:neutral,5aa197aa9ae92b4aca8ac2e907f995f6ebdee45c450169a717ea23c5b78d7713,86ea6e26aa9e0696851eab164257a37a3f1b44ceebf1a6fa84c18beb1c32e2ad,3.633922902494331,vits2_emotion_conditioned_tts,Dialogs-RU Expressive Russian TTS,hf-af7eabc15d087fce701de7261190ccb747c3bc7a; checkpoint-b565b7b5311bd29102f15d2700c69ea71569605bc756fb5bb49d98afdc5e1e43; weights-only-wrapper-188ed0e0d2a8db916160b75f51462cf59fe24bce60a919e88fedd7fa76846c71,dialogs_ru_vits2_masha_neutral:dialogs_ru_vits2:Masha:neutral,not_applicable:fixed_pretrained_tts_no_reference_audio,cpu,offline_text_only_vits2_weights_only_fixed_profile,22050,wav,language_provenance=intended_input_text_only;literal_source_text_sha256=86ea6e26aa9e0696851eab164257a37a3f1b44ceebf1a6fa84c18beb1c32e2ad;upstream_tokenizer_dropped_characters=none;rng_seed=sha256_literal_source_text,86ea6e26aa9e0696,2026-08-13T13:30:00+05:00
stage_d_ru_dialogs_vits2_masha_neutral_v1:e28ff07c13687af6e29e,raw/stage_d_ru_dialogs_vits2_masha_neutral_v1/slices/frozen_common_voice_73/bdf889fc8dec4f71c3fc-5a8f8c4b564b.wav,35dd8644dbd144cfaf7d769f4b29c00df3595d23e8010d080808a354403bd173,test,spoof,ru,false,stage_d_ru_dialogs_vits2_masha_neutral_v1:fixed-profile:dialogs_ru_vits2:Masha:neutral,stage_d_ru_dialogs_vits2_masha_neutral_v1,Common Voice RU CC0-1.0; Dialogs-RU model card OpenRAIL declaration; Dialogs dataset OpenRAIL license,Offline literal-text-only derivative of common_voice_ru_v24 text 72ef5f52739f5982641a85f9bbf43230903dd45e698a6061b53a4bca0982b187; Dialogs-RU model card OpenRAIL declaration; Dialogs dataset OpenRAIL license revision e25ba617b2b56bd1dbf255d3905c51bd8da3d31f explicitly covers models trained on the dataset and their outputs; permitted for the project's personal-research scope subject to its use restrictions; fixed Masha/neutral profile; no reference audio or voice cloning; upstream basic cleaner only; language provenance is intended input text until acoustic review; tokenizer_dropped_characters=none,stage_d_ru_dialogs_vits2_masha_neutral_v1:synthetic-profile:dialogs_ru_vits2:Masha:neutral,72ef5f52739f5982641a85f9bbf43230903dd45e698a6061b53a4bca0982b187,5a8f8c4b564bf10242ce9e074ce01b367e8e791ebe20f49a3932688c13f16791,4.96907029478458,vits2_emotion_conditioned_tts,Dialogs-RU Expressive Russian TTS,hf-af7eabc15d087fce701de7261190ccb747c3bc7a; checkpoint-b565b7b5311bd29102f15d2700c69ea71569605bc756fb5bb49d98afdc5e1e43; weights-only-wrapper-188ed0e0d2a8db916160b75f51462cf59fe24bce60a919e88fedd7fa76846c71,dialogs_ru_vits2_masha_neutral:dialogs_ru_vits2:Masha:neutral,not_applicable:fixed_pretrained_tts_no_reference_audio,cpu,offline_text_only_vits2_weights_only_fixed_profile,22050,wav,language_provenance=intended_input_text_only;literal_source_text_sha256=5a8f8c4b564bf10242ce9e074ce01b367e8e791ebe20f49a3932688c13f16791;upstream_tokenizer_dropped_characters=none;rng_seed=sha256_literal_source_text,5a8f8c4b564bf102,2026-08-13T13:30:00+05:00
stage_d_ru_dialogs_vits2_masha_neutral_v1:9da6cb06a8e3c196c035,raw/stage_d_ru_dialogs_vits2_masha_neutral_v1/slices/frozen_common_voice_73/262ff9a6d6f539a08dc1-9b5dfa1bce9a.wav,50bf9b73e9b0f318948a495f986f31ef3065cf59253df943428fca9ac031a90e,test,spoof,ru,false,stage_d_ru_dialogs_vits2_masha_neutral_v1:fixed-profile:dialogs_ru_vits2:Masha:neutral,stage_d_ru_dialogs_vits2_masha_neutral_v1,Common Voice RU CC0-1.0; Dialogs-RU model card OpenRAIL declaration; Dialogs dataset OpenRAIL license,Offline literal-text-only derivative of common_voice_ru_v24 text 70d8cc8d3409b6676699fc000a53097de7ffa0b66b6d4918e5cc73ccf796de97; Dialogs-RU model card OpenRAIL declaration; Dialogs dataset OpenRAIL license revision e25ba617b2b56bd1dbf255d3905c51bd8da3d31f explicitly covers models trained on the dataset and their outputs; permitted for the project's personal-research scope subject to its use restrictions; fixed Masha/neutral profile; no reference audio or voice cloning; upstream basic cleaner only; language provenance is intended input text until acoustic review; tokenizer_dropped_characters=none,stage_d_ru_dialogs_vits2_masha_neutral_v1:synthetic-profile:dialogs_ru_vits2:Masha:neutral,70d8cc8d3409b6676699fc000a53097de7ffa0b66b6d4918e5cc73ccf796de97,9b5dfa1bce9ab1a4ba611b75e13a4c5ff56135d36b8161f90fefa94b8246c805,4.760090702947846,vits2_emotion_conditioned_tts,Dialogs-RU Expressive Russian TTS,hf-af7eabc15d087fce701de7261190ccb747c3bc7a; checkpoint-b565b7b5311bd29102f15d2700c69ea71569605bc756fb5bb49d98afdc5e1e43; weights-only-wrapper-188ed0e0d2a8db916160b75f51462cf59fe24bce60a919e88fedd7fa76846c71,dialogs_ru_vits2_masha_neutral:dialogs_ru_vits2:Masha:neutral,not_applicable:fixed_pretrained_tts_no_reference_audio,cpu,offline_text_only_vits2_weights_only_fixed_profile,22050,wav,language_provenance=intended_input_text_only;literal_source_text_sha256=9b5dfa1bce9ab1a4ba611b75e13a4c5ff56135d36b8161f90fefa94b8246c805;upstream_tokenizer_dropped_characters=none;rng_seed=sha256_literal_source_text,9b5dfa1bce9ab1a4,2026-08-13T13:30:00+05:00
stage_d_ru_dialogs_vits2_masha_neutral_v1:cf80a78a05df6fbbdc58,raw/stage_d_ru_dialogs_vits2_masha_neutral_v1/slices/frozen_common_voice_73/cd644a01aac745eabafc-b9631065ba2d.wav,218cc201a3bf6444874e3571f8edd5a0d79a963affcc3371e4650e5d16f34c9a,test,spoof,ru,false,stage_d_ru_dialogs_vits2_masha_neutral_v1:fixed-profile:dialogs_ru_vits2:Masha:neutral,stage_d_ru_dialogs_vits2_masha_neutral_v1,Common Voice RU CC0-1.0; Dialogs-RU model card OpenRAIL declaration; Dialogs dataset OpenRAIL license,Offline literal-text-only derivative of common_voice_ru_v24 text 0290b8bd6442be0ff912089e518109330ae3f014593610ab69a2bf8d88ab8f3a; Dialogs-RU model card OpenRAIL declaration; Dialogs dataset OpenRAIL license revision e25ba617b2b56bd1dbf255d3905c51bd8da3d31f explicitly covers models trained on the dataset and their outputs; permitted for the project's personal-research scope subject to its use restrictions; fixed Masha/neutral profile; no reference audio or voice cloning; upstream basic cleaner only; language provenance is intended input text until acoustic review; tokenizer_dropped_characters=none,stage_d_ru_dialogs_vits2_masha_neutral_v1:synthetic-profile:dialogs_ru_vits2:Masha:neutral,0290b8bd6442be0ff912089e518109330ae3f014593610ab69a2bf8d88ab8f3a,b9631065ba2de14c6df01031b0dd9b24b203aa75283d0b19ee1685b149e5ce37,2.136235827664399,vits2_emotion_conditioned_tts,Dialogs-RU Expressive Russian TTS,hf-af7eabc15d087fce701de7261190ccb747c3bc7a; checkpoint-b565b7b5311bd29102f15d2700c69ea71569605bc756fb5bb49d98afdc5e1e43; weights-only-wrapper-188ed0e0d2a8db916160b75f51462cf59fe24bce60a919e88fedd7fa76846c71,dialogs_ru_vits2_masha_neutral:dialogs_ru_vits2:Masha:neutral,not_applicable:fixed_pretrained_tts_no_reference_audio,cpu,offline_text_only_vits2_weights_only_fixed_profile,22050,wav,language_provenance=intended_input_text_only;literal_source_text_sha256=b9631065ba2de14c6df01031b0dd9b24b203aa75283d0b19ee1685b149e5ce37;upstream_tokenizer_dropped_characters=none;rng_seed=sha256_literal_source_text,b9631065ba2de14c,2026-08-13T13:30:00+05:00
stage_d_ru_dialogs_vits2_masha_neutral_v1:0f5b1ede2eeec1e6bf8c,raw/stage_d_ru_dialogs_vits2_masha_neutral_v1/slices/frozen_common_voice_73/cda50eb7eaedd0eb45ec-a92bde67cb73.wav,c477740ee76eb69ffa95249137eea2263285360e926f278e95058decf0bd5f2f,test,spoof,ru,false,stage_d_ru_dialogs_vits2_masha_neutral_v1:fixed-profile:dialogs_ru_vits2:Masha:neutral,stage_d_ru_dialogs_vits2_masha_neutral_v1,Common Voice RU CC0-1.0; Dialogs-RU model card OpenRAIL declaration; Dialogs dataset OpenRAIL license,Offline literal-text-only derivative of common_voice_ru_v24 text 562f562cd712618f9248bf6c1844417baa5506e46363e42812bd2176e3ba8003; Dialogs-RU model card OpenRAIL declaration; Dialogs dataset OpenRAIL license revision e25ba617b2b56bd1dbf255d3905c51bd8da3d31f explicitly covers models trained on the dataset and their outputs; permitted for the project's personal-research scope subject to its use restrictions; fixed Masha/neutral profile; no reference audio or voice cloning; upstream basic cleaner only; language provenance is intended input text until acoustic review; tokenizer_dropped_characters=none,stage_d_ru_dialogs_vits2_masha_neutral_v1:synthetic-profile:dialogs_ru_vits2:Masha:neutral,562f562cd712618f9248bf6c1844417baa5506e46363e42812bd2176e3ba8003,a92bde67cb73b3973ed6247ff1c22ca0cca213b878915c9308707a8a8e042dd9,6.013968253968254,vits2_emotion_conditioned_tts,Dialogs-RU Expressive Russian TTS,hf-af7eabc15d087fce701de7261190ccb747c3bc7a; checkpoint-b565b7b5311bd29102f15d2700c69ea71569605bc756fb5bb49d98afdc5e1e43; weights-only-wrapper-188ed0e0d2a8db916160b75f51462cf59fe24bce60a919e88fedd7fa76846c71,dialogs_ru_vits2_masha_neutral:dialogs_ru_vits2:Masha:neutral,not_applicable:fixed_pretrained_tts_no_reference_audio,cpu,offline_text_only_vits2_weights_only_fixed_profile,22050,wav,language_provenance=intended_input_text_only;literal_source_text_sha256=a92bde67cb73b3973ed6247ff1c22ca0cca213b878915c9308707a8a8e042dd9;upstream_tokenizer_dropped_characters=none;rng_seed=sha256_literal_source_text,a92bde67cb73b397,2026-08-13T13:30:00+05:00
