sample_id,relative_path,sha256,split,label,language,code_switch,parent_group_id,source_name,source_license,rights_basis,speaker_pseudo_id,text_id,text_hash,duration_s,generator_family,generator_name,generator_version,voice_id,clone_consent_id,device,capture_route,original_sr,codec,augmentation_chain,augmentation_seed,created_at
stage_d_ru_dialogs_vits2_masha_neutral_v1:0553381304deb422fc7d,processed/af/af7566382644ebfd686d07131e8a0b90037f654c9bb8373296f9c01dcc31c5f0.wav,77ac14f72858097272848d407df370050fd2a8fbb2ab96f88e5ac5920fd11c2e,test,spoof,ru,false,stage_d_ru_dialogs_vits2_masha_neutral_v1:fixed-profile:dialogs_ru_vits2:Masha:neutral,stage_d_ru_dialogs_vits2_masha_neutral_v1,Common Voice RU CC0-1.0; Dialogs-RU model card OpenRAIL declaration; Dialogs dataset OpenRAIL license,Offline literal-text-only derivative of common_voice_ru_v24 text 3ba1350f73805d16689855c77b738aede2d2c6989df8fb4af595557b1d852f93; Dialogs-RU model card OpenRAIL declaration; Dialogs dataset OpenRAIL license revision e25ba617b2b56bd1dbf255d3905c51bd8da3d31f explicitly covers models trained on the dataset and their outputs; permitted for the project's personal-research scope subject to its use restrictions; fixed Masha/neutral profile; no reference audio or voice cloning; upstream basic cleaner only; language provenance is intended input text until acoustic review; tokenizer_dropped_characters=none,stage_d_ru_dialogs_vits2_masha_neutral_v1:synthetic-profile:dialogs_ru_vits2:Masha:neutral,3ba1350f73805d16689855c77b738aede2d2c6989df8fb4af595557b1d852f93,7eb35cbe860f3b50a99dcc2f2a83f35c14c8ca236d9326f7c448ff9dbdb344b9,3.7616875,vits2_emotion_conditioned_tts,Dialogs-RU Expressive Russian TTS,hf-af7eabc15d087fce701de7261190ccb747c3bc7a; checkpoint-b565b7b5311bd29102f15d2700c69ea71569605bc756fb5bb49d98afdc5e1e43; weights-only-wrapper-188ed0e0d2a8db916160b75f51462cf59fe24bce60a919e88fedd7fa76846c71,dialogs_ru_vits2_masha_neutral:dialogs_ru_vits2:Masha:neutral,not_applicable:fixed_pretrained_tts_no_reference_audio,cpu,offline_text_only_vits2_weights_only_fixed_profile,22050,wav,language_provenance=intended_input_text_only;literal_source_text_sha256=7eb35cbe860f3b50a99dcc2f2a83f35c14c8ca236d9326f7c448ff9dbdb344b9;upstream_tokenizer_dropped_characters=none;rng_seed=sha256_literal_source_text,7eb35cbe860f3b50,2026-08-13T13:30:00+05:00
stage_d_ru_dialogs_vits2_masha_neutral_v1:06821bfbf8bb12be8514,processed/4c/4cdabe4a4bff0bca36e2d36a4af79c809f77c8e5a9f01d75c36125b5acff9e67.wav,e0b60ef57436093affecb06c6174c2e7ac8d68ae1da98a979c309e1423eb7c2b,test,spoof,ru,false,stage_d_ru_dialogs_vits2_masha_neutral_v1:fixed-profile:dialogs_ru_vits2:Masha:neutral,stage_d_ru_dialogs_vits2_masha_neutral_v1,Common Voice RU CC0-1.0; Dialogs-RU model card OpenRAIL declaration; Dialogs dataset OpenRAIL license,Offline literal-text-only derivative of common_voice_ru_v24 text e462fa1b1c66260c653e1d1f037577d90c4ccc7c5ac7926a8a25fedae954add4; Dialogs-RU model card OpenRAIL declaration; Dialogs dataset OpenRAIL license revision e25ba617b2b56bd1dbf255d3905c51bd8da3d31f explicitly covers models trained on the dataset and their outputs; permitted for the project's personal-research scope subject to its use restrictions; fixed Masha/neutral profile; no reference audio or voice cloning; upstream basic cleaner only; language provenance is intended input text until acoustic review; tokenizer_dropped_characters=none,stage_d_ru_dialogs_vits2_masha_neutral_v1:synthetic-profile:dialogs_ru_vits2:Masha:neutral,e462fa1b1c66260c653e1d1f037577d90c4ccc7c5ac7926a8a25fedae954add4,93a312cfce9443af4835ab43a578603de37c3542655c9fdeb64e260176663875,4.179625,vits2_emotion_conditioned_tts,Dialogs-RU Expressive Russian TTS,hf-af7eabc15d087fce701de7261190ccb747c3bc7a; checkpoint-b565b7b5311bd29102f15d2700c69ea71569605bc756fb5bb49d98afdc5e1e43; weights-only-wrapper-188ed0e0d2a8db916160b75f51462cf59fe24bce60a919e88fedd7fa76846c71,dialogs_ru_vits2_masha_neutral:dialogs_ru_vits2:Masha:neutral,not_applicable:fixed_pretrained_tts_no_reference_audio,cpu,offline_text_only_vits2_weights_only_fixed_profile,22050,wav,language_provenance=intended_input_text_only;literal_source_text_sha256=93a312cfce9443af4835ab43a578603de37c3542655c9fdeb64e260176663875;upstream_tokenizer_dropped_characters=none;rng_seed=sha256_literal_source_text,93a312cfce9443af,2026-08-13T13:30:00+05:00
stage_d_ru_dialogs_vits2_masha_neutral_v1:0861ac28b540f36c6a39,processed/38/38e8e5175f3af2559d9e761d9b4683c5471dcc93a5220f211cab52faf51e8cb9.wav,40cccd2df5f6c2926bc9eb11f45829d85b224b74a416792f676f3ed9ad6a3300,test,spoof,ru,false,stage_d_ru_dialogs_vits2_masha_neutral_v1:fixed-profile:dialogs_ru_vits2:Masha:neutral,stage_d_ru_dialogs_vits2_masha_neutral_v1,Common Voice RU CC0-1.0; Dialogs-RU model card OpenRAIL declaration; Dialogs dataset OpenRAIL license,Offline literal-text-only derivative of common_voice_ru_v24 text 5a8f80b40b3303ba4ecd002228769c36cebbf0c45d5820ea02fad42e10a8d2cf; Dialogs-RU model card OpenRAIL declaration; Dialogs dataset OpenRAIL license revision e25ba617b2b56bd1dbf255d3905c51bd8da3d31f explicitly covers models trained on the dataset and their outputs; permitted for the project's personal-research scope subject to its use restrictions; fixed Masha/neutral profile; no reference audio or voice cloning; upstream basic cleaner only; language provenance is intended input text until acoustic review; tokenizer_dropped_characters=none,stage_d_ru_dialogs_vits2_masha_neutral_v1:synthetic-profile:dialogs_ru_vits2:Masha:neutral,5a8f80b40b3303ba4ecd002228769c36cebbf0c45d5820ea02fad42e10a8d2cf,a1f0b07e747712de8f7b7482fae7b62926fba49db7e9641ebf630865ab1c1584,4.678875,vits2_emotion_conditioned_tts,Dialogs-RU Expressive Russian TTS,hf-af7eabc15d087fce701de7261190ccb747c3bc7a; checkpoint-b565b7b5311bd29102f15d2700c69ea71569605bc756fb5bb49d98afdc5e1e43; weights-only-wrapper-188ed0e0d2a8db916160b75f51462cf59fe24bce60a919e88fedd7fa76846c71,dialogs_ru_vits2_masha_neutral:dialogs_ru_vits2:Masha:neutral,not_applicable:fixed_pretrained_tts_no_reference_audio,cpu,offline_text_only_vits2_weights_only_fixed_profile,22050,wav,language_provenance=intended_input_text_only;literal_source_text_sha256=a1f0b07e747712de8f7b7482fae7b62926fba49db7e9641ebf630865ab1c1584;upstream_tokenizer_dropped_characters=none;rng_seed=sha256_literal_source_text,a1f0b07e747712de,2026-08-13T13:30:00+05:00
stage_d_ru_dialogs_vits2_masha_neutral_v1:0f5b1ede2eeec1e6bf8c,processed/c4/c477740ee76eb69ffa95249137eea2263285360e926f278e95058decf0bd5f2f.wav,7cc181f8ebe93f8ed9b4fd7bb4ab52e0cfb38d11509a7e9043a8fd6927904a1c,test,spoof,ru,false,stage_d_ru_dialogs_vits2_masha_neutral_v1:fixed-profile:dialogs_ru_vits2:Masha:neutral,stage_d_ru_dialogs_vits2_masha_neutral_v1,Common Voice RU CC0-1.0; Dialogs-RU model card OpenRAIL declaration; Dialogs dataset OpenRAIL license,Offline literal-text-only derivative of common_voice_ru_v24 text 562f562cd712618f9248bf6c1844417baa5506e46363e42812bd2176e3ba8003; Dialogs-RU model card OpenRAIL declaration; Dialogs dataset OpenRAIL license revision e25ba617b2b56bd1dbf255d3905c51bd8da3d31f explicitly covers models trained on the dataset and their outputs; permitted for the project's personal-research scope subject to its use restrictions; fixed Masha/neutral profile; no reference audio or voice cloning; upstream basic cleaner only; language provenance is intended input text until acoustic review; tokenizer_dropped_characters=none,stage_d_ru_dialogs_vits2_masha_neutral_v1:synthetic-profile:dialogs_ru_vits2:Masha:neutral,562f562cd712618f9248bf6c1844417baa5506e46363e42812bd2176e3ba8003,a92bde67cb73b3973ed6247ff1c22ca0cca213b878915c9308707a8a8e042dd9,6.014,vits2_emotion_conditioned_tts,Dialogs-RU Expressive Russian TTS,hf-af7eabc15d087fce701de7261190ccb747c3bc7a; checkpoint-b565b7b5311bd29102f15d2700c69ea71569605bc756fb5bb49d98afdc5e1e43; weights-only-wrapper-188ed0e0d2a8db916160b75f51462cf59fe24bce60a919e88fedd7fa76846c71,dialogs_ru_vits2_masha_neutral:dialogs_ru_vits2:Masha:neutral,not_applicable:fixed_pretrained_tts_no_reference_audio,cpu,offline_text_only_vits2_weights_only_fixed_profile,22050,wav,language_provenance=intended_input_text_only;literal_source_text_sha256=a92bde67cb73b3973ed6247ff1c22ca0cca213b878915c9308707a8a8e042dd9;upstream_tokenizer_dropped_characters=none;rng_seed=sha256_literal_source_text,a92bde67cb73b397,2026-08-13T13:30:00+05:00
stage_d_ru_dialogs_vits2_masha_neutral_v1:14d2a78b1fb0aa2f885e,processed/f6/f6b5213d27321790d2c589ff6b10bc4696271a6c5241b7e7cfa9eab972cd4d92.wav,7687a2f81ebf668abfa87f59792f848df50675ea63b93313a1fe70633942a6fb,test,spoof,ru,false,stage_d_ru_dialogs_vits2_masha_neutral_v1:fixed-profile:dialogs_ru_vits2:Masha:neutral,stage_d_ru_dialogs_vits2_masha_neutral_v1,Common Voice RU CC0-1.0; Dialogs-RU model card OpenRAIL declaration; Dialogs dataset OpenRAIL license,Offline literal-text-only derivative of common_voice_ru_v24 text 20e91f7f7cb524765c500e56d8716e57404d145bf61c821d1436881676d3394b; Dialogs-RU model card OpenRAIL declaration; Dialogs dataset OpenRAIL license revision e25ba617b2b56bd1dbf255d3905c51bd8da3d31f explicitly covers models trained on the dataset and their outputs; permitted for the project's personal-research scope subject to its use restrictions; fixed Masha/neutral profile; no reference audio or voice cloning; upstream basic cleaner only; language provenance is intended input text until acoustic review; tokenizer_dropped_characters=none,stage_d_ru_dialogs_vits2_masha_neutral_v1:synthetic-profile:dialogs_ru_vits2:Masha:neutral,20e91f7f7cb524765c500e56d8716e57404d145bf61c821d1436881676d3394b,177d223cd941f61ed2aab646619c86bf2fb35cdc3b25b9a62bcaf5301e865012,3.5875,vits2_emotion_conditioned_tts,Dialogs-RU Expressive Russian TTS,hf-af7eabc15d087fce701de7261190ccb747c3bc7a; checkpoint-b565b7b5311bd29102f15d2700c69ea71569605bc756fb5bb49d98afdc5e1e43; weights-only-wrapper-188ed0e0d2a8db916160b75f51462cf59fe24bce60a919e88fedd7fa76846c71,dialogs_ru_vits2_masha_neutral:dialogs_ru_vits2:Masha:neutral,not_applicable:fixed_pretrained_tts_no_reference_audio,cpu,offline_text_only_vits2_weights_only_fixed_profile,22050,wav,language_provenance=intended_input_text_only;literal_source_text_sha256=177d223cd941f61ed2aab646619c86bf2fb35cdc3b25b9a62bcaf5301e865012;upstream_tokenizer_dropped_characters=none;rng_seed=sha256_literal_source_text,177d223cd941f61e,2026-08-13T13:30:00+05:00
stage_d_ru_dialogs_vits2_masha_neutral_v1:1603983ab86a3248e468,processed/f9/f9d31e64ae198ee8a03d5c765dbaef61551ec601454addb5d65340c826644378.wav,2551fab1f04d3310dc012cd48814856acbf1527a33cc87550b16dd3e9e27b832,test,spoof,ru,false,stage_d_ru_dialogs_vits2_masha_neutral_v1:fixed-profile:dialogs_ru_vits2:Masha:neutral,stage_d_ru_dialogs_vits2_masha_neutral_v1,Common Voice RU CC0-1.0; Dialogs-RU model card OpenRAIL declaration; Dialogs dataset OpenRAIL license,Offline literal-text-only derivative of common_voice_ru_v24 text a1923a3114681b6d29b4fb68c58e1a827cd7f75cf7149abb1dbaa61f889c026f; Dialogs-RU model card OpenRAIL declaration; Dialogs dataset OpenRAIL license revision e25ba617b2b56bd1dbf255d3905c51bd8da3d31f explicitly covers models trained on the dataset and their outputs; permitted for the project's personal-research scope subject to its use restrictions; fixed Masha/neutral profile; no reference audio or voice cloning; upstream basic cleaner only; language provenance is intended input text until acoustic review; tokenizer_dropped_characters=none,stage_d_ru_dialogs_vits2_masha_neutral_v1:synthetic-profile:dialogs_ru_vits2:Masha:neutral,a1923a3114681b6d29b4fb68c58e1a827cd7f75cf7149abb1dbaa61f889c026f,3b2fa566fc3661a1137114b76dae1437913c58211174f800c05bbb97c6941d6f,3.5526875,vits2_emotion_conditioned_tts,Dialogs-RU Expressive Russian TTS,hf-af7eabc15d087fce701de7261190ccb747c3bc7a; checkpoint-b565b7b5311bd29102f15d2700c69ea71569605bc756fb5bb49d98afdc5e1e43; weights-only-wrapper-188ed0e0d2a8db916160b75f51462cf59fe24bce60a919e88fedd7fa76846c71,dialogs_ru_vits2_masha_neutral:dialogs_ru_vits2:Masha:neutral,not_applicable:fixed_pretrained_tts_no_reference_audio,cpu,offline_text_only_vits2_weights_only_fixed_profile,22050,wav,language_provenance=intended_input_text_only;literal_source_text_sha256=3b2fa566fc3661a1137114b76dae1437913c58211174f800c05bbb97c6941d6f;upstream_tokenizer_dropped_characters=none;rng_seed=sha256_literal_source_text,3b2fa566fc3661a1,2026-08-13T13:30:00+05:00
stage_d_ru_dialogs_vits2_masha_neutral_v1:179d343ae2978b56a391,processed/09/098ab6acfb3446fdafbd5f19746e0558c47fd25781cd0ebf988b2029ef7f03c9.wav,ac248f43dcd9f467349b5bfe71bdf7497825e58c3c06393ba6a1a977f5ed73a8,test,spoof,ru,false,stage_d_ru_dialogs_vits2_masha_neutral_v1:fixed-profile:dialogs_ru_vits2:Masha:neutral,stage_d_ru_dialogs_vits2_masha_neutral_v1,Common Voice RU CC0-1.0; Dialogs-RU model card OpenRAIL declaration; Dialogs dataset OpenRAIL license,Offline literal-text-only derivative of common_voice_ru_v24 text 09f40b92ef42fdfa2c3fbf372bca3f6beea521bc141512b9e00f8bfe53ad4047; Dialogs-RU model card OpenRAIL declaration; Dialogs dataset OpenRAIL license revision e25ba617b2b56bd1dbf255d3905c51bd8da3d31f explicitly covers models trained on the dataset and their outputs; permitted for the project's personal-research scope subject to its use restrictions; fixed Masha/neutral profile; no reference audio or voice cloning; upstream basic cleaner only; language provenance is intended input text until acoustic review; tokenizer_dropped_characters=none,stage_d_ru_dialogs_vits2_masha_neutral_v1:synthetic-profile:dialogs_ru_vits2:Masha:neutral,09f40b92ef42fdfa2c3fbf372bca3f6beea521bc141512b9e00f8bfe53ad4047,39e748873f2549c81ef5ecb88c685f5e664397b5a59ea02edcd2dbee1ff47605,4.655625,vits2_emotion_conditioned_tts,Dialogs-RU Expressive Russian TTS,hf-af7eabc15d087fce701de7261190ccb747c3bc7a; checkpoint-b565b7b5311bd29102f15d2700c69ea71569605bc756fb5bb49d98afdc5e1e43; weights-only-wrapper-188ed0e0d2a8db916160b75f51462cf59fe24bce60a919e88fedd7fa76846c71,dialogs_ru_vits2_masha_neutral:dialogs_ru_vits2:Masha:neutral,not_applicable:fixed_pretrained_tts_no_reference_audio,cpu,offline_text_only_vits2_weights_only_fixed_profile,22050,wav,language_provenance=intended_input_text_only;literal_source_text_sha256=39e748873f2549c81ef5ecb88c685f5e664397b5a59ea02edcd2dbee1ff47605;upstream_tokenizer_dropped_characters=none;rng_seed=sha256_literal_source_text,39e748873f2549c8,2026-08-13T13:30:00+05:00
stage_d_ru_dialogs_vits2_masha_neutral_v1:18576780e00da2f8f1c7,processed/c7/c7f6a03964f4e91f5f060c30394c2acfdc9e4c4d63d9161447c27c8bb2dd82e3.wav,d4cc1f150d8622d054b9e6fd28d7342677ea0efe29b15b41310fe8d75d51d9ce,test,spoof,ru,false,stage_d_ru_dialogs_vits2_masha_neutral_v1:fixed-profile:dialogs_ru_vits2:Masha:neutral,stage_d_ru_dialogs_vits2_masha_neutral_v1,Common Voice RU CC0-1.0; Dialogs-RU model card OpenRAIL declaration; Dialogs dataset OpenRAIL license,Offline literal-text-only derivative of common_voice_ru_v24 text f15428c57f642d4bd20e7996d0ea0a1b2bb2719f9b2eb7bb47df1580da225466; Dialogs-RU model card OpenRAIL declaration; Dialogs dataset OpenRAIL license revision e25ba617b2b56bd1dbf255d3905c51bd8da3d31f explicitly covers models trained on the dataset and their outputs; permitted for the project's personal-research scope subject to its use restrictions; fixed Masha/neutral profile; no reference audio or voice cloning; upstream basic cleaner only; language provenance is intended input text until acoustic review; tokenizer_dropped_characters=none,stage_d_ru_dialogs_vits2_masha_neutral_v1:synthetic-profile:dialogs_ru_vits2:Masha:neutral,f15428c57f642d4bd20e7996d0ea0a1b2bb2719f9b2eb7bb47df1580da225466,02465160549355a4e80dad614ca7745a9df014484658df7ba9692bc3e7073311,4.388625,vits2_emotion_conditioned_tts,Dialogs-RU Expressive Russian TTS,hf-af7eabc15d087fce701de7261190ccb747c3bc7a; checkpoint-b565b7b5311bd29102f15d2700c69ea71569605bc756fb5bb49d98afdc5e1e43; weights-only-wrapper-188ed0e0d2a8db916160b75f51462cf59fe24bce60a919e88fedd7fa76846c71,dialogs_ru_vits2_masha_neutral:dialogs_ru_vits2:Masha:neutral,not_applicable:fixed_pretrained_tts_no_reference_audio,cpu,offline_text_only_vits2_weights_only_fixed_profile,22050,wav,language_provenance=intended_input_text_only;literal_source_text_sha256=02465160549355a4e80dad614ca7745a9df014484658df7ba9692bc3e7073311;upstream_tokenizer_dropped_characters=none;rng_seed=sha256_literal_source_text,02465160549355a4,2026-08-13T13:30:00+05:00
stage_d_ru_dialogs_vits2_masha_neutral_v1:253d9cb4cefbda8629e5,processed/1b/1bac52c6e7f28e0993a9bdde28dcef6f924822d424215f852338a62ac2e46219.wav,f8b301c3d5a6aae001c3d92b6ff074b74cf908fb4df19f36058eb339f8237e0c,test,spoof,ru,false,stage_d_ru_dialogs_vits2_masha_neutral_v1:fixed-profile:dialogs_ru_vits2:Masha:neutral,stage_d_ru_dialogs_vits2_masha_neutral_v1,Common Voice RU CC0-1.0; Dialogs-RU model card OpenRAIL declaration; Dialogs dataset OpenRAIL license,Offline literal-text-only derivative of common_voice_ru_v24 text 0c85c557dbdbaca63a60f362bbeb171e791fa212f217d22e4d2f5ad22a392516; Dialogs-RU model card OpenRAIL declaration; Dialogs dataset OpenRAIL license revision e25ba617b2b56bd1dbf255d3905c51bd8da3d31f explicitly covers models trained on the dataset and their outputs; permitted for the project's personal-research scope subject to its use restrictions; fixed Masha/neutral profile; no reference audio or voice cloning; upstream basic cleaner only; language provenance is intended input text until acoustic review; tokenizer_dropped_characters=none,stage_d_ru_dialogs_vits2_masha_neutral_v1:synthetic-profile:dialogs_ru_vits2:Masha:neutral,0c85c557dbdbaca63a60f362bbeb171e791fa212f217d22e4d2f5ad22a392516,63df66fdf9580c7a22e2472c5f4fb71f75a2b03d003a23ab46cd39d82dc6cd29,2.5890625,vits2_emotion_conditioned_tts,Dialogs-RU Expressive Russian TTS,hf-af7eabc15d087fce701de7261190ccb747c3bc7a; checkpoint-b565b7b5311bd29102f15d2700c69ea71569605bc756fb5bb49d98afdc5e1e43; weights-only-wrapper-188ed0e0d2a8db916160b75f51462cf59fe24bce60a919e88fedd7fa76846c71,dialogs_ru_vits2_masha_neutral:dialogs_ru_vits2:Masha:neutral,not_applicable:fixed_pretrained_tts_no_reference_audio,cpu,offline_text_only_vits2_weights_only_fixed_profile,22050,wav,language_provenance=intended_input_text_only;literal_source_text_sha256=63df66fdf9580c7a22e2472c5f4fb71f75a2b03d003a23ab46cd39d82dc6cd29;upstream_tokenizer_dropped_characters=none;rng_seed=sha256_literal_source_text,63df66fdf9580c7a,2026-08-13T13:30:00+05:00
stage_d_ru_dialogs_vits2_masha_neutral_v1:30346997613c0ede11cb,processed/3d/3d1583f42127d4f6ce9fa989dfcee48905a16ae252d891f3873512a9664b71ca.wav,38314d51eb9ad346156441d4659d948e6e96bc2a29b4d9a93c4333c55996c987,test,spoof,ru,false,stage_d_ru_dialogs_vits2_masha_neutral_v1:fixed-profile:dialogs_ru_vits2:Masha:neutral,stage_d_ru_dialogs_vits2_masha_neutral_v1,Common Voice RU CC0-1.0; Dialogs-RU model card OpenRAIL declaration; Dialogs dataset OpenRAIL license,Offline literal-text-only derivative of common_voice_ru_v24 text 3ec41ce86bb56603ff42898cdead4c3e0ab912b6391e115c51f7ba8bbc1e1fb5; Dialogs-RU model card OpenRAIL declaration; Dialogs dataset OpenRAIL license revision e25ba617b2b56bd1dbf255d3905c51bd8da3d31f explicitly covers models trained on the dataset and their outputs; permitted for the project's personal-research scope subject to its use restrictions; fixed Masha/neutral profile; no reference audio or voice cloning; upstream basic cleaner only; language provenance is intended input text until acoustic review; tokenizer_dropped_characters=none,stage_d_ru_dialogs_vits2_masha_neutral_v1:synthetic-profile:dialogs_ru_vits2:Masha:neutral,3ec41ce86bb56603ff42898cdead4c3e0ab912b6391e115c51f7ba8bbc1e1fb5,832b453cc2b4ff1e8f86f20a86899c52801b3624c064dedd1308ebad4b62523e,5.085125,vits2_emotion_conditioned_tts,Dialogs-RU Expressive Russian TTS,hf-af7eabc15d087fce701de7261190ccb747c3bc7a; checkpoint-b565b7b5311bd29102f15d2700c69ea71569605bc756fb5bb49d98afdc5e1e43; weights-only-wrapper-188ed0e0d2a8db916160b75f51462cf59fe24bce60a919e88fedd7fa76846c71,dialogs_ru_vits2_masha_neutral:dialogs_ru_vits2:Masha:neutral,not_applicable:fixed_pretrained_tts_no_reference_audio,cpu,offline_text_only_vits2_weights_only_fixed_profile,22050,wav,language_provenance=intended_input_text_only;literal_source_text_sha256=832b453cc2b4ff1e8f86f20a86899c52801b3624c064dedd1308ebad4b62523e;upstream_tokenizer_dropped_characters=none;rng_seed=sha256_literal_source_text,832b453cc2b4ff1e,2026-08-13T13:30:00+05:00
