protocol_id,packet_sha256,text_hash,sample_id,audio_sha256,reviewer_pseudo_id,review_status,russian_audible,lexical_content_preserved,notes
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,9e5b6c4dc1dbb4bff1fd52ffca6e722a0a85287040ad00f53537ef4a92717f37,tone_speak_ru_v1:00013_coral,7580f3600fe9228b75764b3429abb51a17208bd6e11ef6faa3652a9b8a59d3ac,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,a6cc36dae04204a2a6743ca886bead356d0b5070c79d329d2fd1e0bae1d9bb7d,tone_speak_ru_v1:00063_alloy,a88258e3e50f80e177bc745540362ea7ba95cd65aeaefe63139a7fdb7daa7ad2,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,094ea65a4e36dcd57d6a99ad73afb15a08be075234863d37ccb43d4088bd8ea5,tone_speak_ru_v1:00070_echo,b6017d3c90f44cdd3b178daf7d5e8b48b9183ed15a6f848c42837134f0b7b5cd,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,c05cf967530fb0ea4ef396304133bd836eb48b513539913eb94cbff4a19decb3,tone_speak_ru_v1:00074_ash,f89b6aa8a937958d00e44888138fd51105e57d6452981188713e9a4299832890,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,b7d9304571004b3937fc4daf3fa1fba7446a1674f235074d71652479a9b1b40f,tone_speak_ru_v1:00086_ash,708ab9d326bd11472e18043fcc13ea0e5b6a618ccc0a1b9d32a0806fc4b06576,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,6d805b81fd7e2687ae820969aab6c4fac4c859b7fdcd740bc475504e621f0c0d,tone_speak_ru_v1:00146_shimmer,65f1a41e7ab7d004bf8e3015dd1e30388e7f1dee9981dc592861ba1c2ebe894c,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,accff33c0f6ffefd9ee9afc5d2d86224481d84c1cdcccbecf56cf186e9f82247,tone_speak_ru_v1:00508_fable,587983cac13abdc262f6d04effba11cb6d71724dfc2c50315d9089068a5b3c3b,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,da989dedc7f124df4e1f331304686c6ac6aaa3c6d8ebef2a07de6d0fca728f17,tone_speak_ru_v1:00511_fable,0b0093ac0c48ab3a95f3daaa6a71117e1c63a9aaf50e50c0e3f27d8293b774d2,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,b6b9b9da03087739935721479d1ac95caec8b7c9680c9d30a5607c4b8a96dad4,tone_speak_ru_v1:00570_nova,5616f5b2047ed690c7e9e7b8d79c4713b17dda8e627a40c14b44a9c6be41011e,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,b74eb380485817f4cda691d1b0fca7e567be00db2bd9a7ece7579c7462c627d4,tone_speak_ru_v1:00648_alloy,368ae88bc39f366aa0c262a9e78c2164ee11d67f10aa0976c54377db0fda4f25,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,a571982f47dbc69ef0bd57f558ce12a0485a6c699908a2c7ddcd630b3f70f2ee,tone_speak_ru_v1:00705_shimmer,690bca5e4329e185c845222012b791c677d32e0c192722a65a9f9b56bc46e372,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,adbe7412935b828e0d93db6ab1930c790e7775bf9b0cdf2e990d8034665e78ec,tone_speak_ru_v1:00718_sage,d07a2ae27b4d71d113cc655a417734a2ffea44d52fb8c14b00056ab1b7ca809a,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,c389b3fc0c6d85e1637dc926a2ccec928161c09600c5e6f77597bb4a012d1ca2,tone_speak_ru_v1:00770_echo,3c28d20c5afa191893b9e72cdac1e9a7cd83c549838e0591f4bc786931221b65,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,55571f6faba97c07fd0cbb8bfd0076ae9072a9a9b857578f720ebb2d20f8a811,tone_speak_ru_v1:00800_shimmer,9c4b77cd1a8e400d70817aef43d033093c4fbfa611520aef5c59b9ba18719465,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,4bc185abd3159bde512af49f4d36d047323cfb2b99527a46d2e69c0f75ee4030,tone_speak_ru_v1:00867_echo,6fd384980a2e22f2b927eb45896d423a4804e0ab494746ea61b5b78923aa81a2,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,12ca75666eda8e149e09bd4fafdfa6437915038f8c13a9edbd1e990925c81f06,tone_speak_ru_v1:00938_onyx,11a6a14690639572af4940e6b89bc1a4a9f719bcc9408187354ceb7069ba440c,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,dc2eb7f6662d4cd35cdeb3a723c47c6f764d2f3a490de3d0d95c58d0101b431c,tone_speak_ru_v1:01000_ballad,057cc6b4191ef534623483f345764068de3d8ba8b7378860a6602277b8eb0c3a,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,e9906a6bed85bf8b659af40c00568d004328a1affb26d7f2b887b5f78d0b41f9,tone_speak_ru_v1:01012_coral,00df8026b0c6d6a3a6215c1b5a075d52a99097cf9c44f3e6461f0572276099d5,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,e0984640153eda434aa3f1fe8269801bc7ff75b96779930282b8d5ff4320fc57,tone_speak_ru_v1:01032_ballad,3562cb5e2dba631f11f8db4c5dcd3ceb8676dc11bb8d1888bc3405db7f67c073,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,0e36673096b387813184b67918b608f6c6634911cea7ceb5c1eae784e9ce3841,tone_speak_ru_v1:01069_nova,7218782a4235ffd8f34b35be40b7614d7dc068989e52584a886b916ee1ae0a03,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,7a3743030e2bdc6b5ac622ea823b06ccdf534b3fef51d1ce65503b36ba3dda67,tone_speak_ru_v1:01094_shimmer,467dfe9dd8ade6874daa3a816099960d3e9d6d43e41e45284f766e6322956426,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,0b42e1b1565f6cc5021ace8ba94fbf047dc8e756a780258b712ffd543412a6ca,tone_speak_ru_v1:01200_onyx,168cfce28bb4337ea15768bc995a5fe2e3b16e42a7ae1c1aed9bd65687dd9036,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,0742518a9744820c0a8b7329130edca956ca97107be855ac10abde2e3ffdfaa8,tone_speak_ru_v1:01213_nova,e88b6c64fed1c4224594936a669dabd6bbd62856a4bc1875b714209f406cb2b9,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,354d8d6c1fb566709737098192c446f42744c1edfb7fdb7c6507131c328790f5,tone_speak_ru_v1:01362_coral,edad5ec076fc0a434cef164d5b0a55eca9372a0afa7ed6d41b3462320fad20e6,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,b88b7d0a61929c0522666ef3964620d791098a98c6bcb2dcbefa30866a320220,tone_speak_ru_v1:01388_sage,1a64b0b6cc1d8eba662e63acc5e6964b6bc961d4618f5361255954ac654f0390,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,4f2bd2e90c99bc41ce35ee5d51d11e6b76b1c07f4c95c40087ed4e2b0d99e8bd,tone_speak_ru_v1:01441_onyx,2c153ac9d4477a1510606075df81fdfd8d0fe118465079486af522638b817cd3,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,f1d01a37557cf8d6a14f7bd910d723f8beeefe4fd9ef3c63e86084fadd356086,tone_speak_ru_v1:01463_ash,fb9724eb05e37e3f9dccbc97823764af585f27dcdca52e6b59ac782f4cf8e593,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,9cfe7b449fc08384421defefcb441b44a0c31a475a688bed7cfc97e504013633,tone_speak_ru_v1:01467_ash,88e67a3ddf7b9e2d9210c28954d3c814cec2050792be05c6121990aebebc8ca5,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,2deb6e00d1cd76b3ef3178fa8a6215d83711608c49e8094f5937f3d0de2d0891,tone_speak_ru_v1:01640_echo,c8904ecac20920c18c3f7573e8dcea6b98a57212b418d542d745d893891a4c70,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,bf574592cb23c7ca992192662362bfc0608430c511c763ef0b98083a565ff00e,tone_speak_ru_v1:01695_alloy,a4b7373fb53f82b77950edbaf856c01cdf13456080b46c87b56407b20edbb958,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,9dea38b2aa01f305eff89d1641fdfe280c734773086d3d93775725745fd69a70,tone_speak_ru_v1:01702_coral,d9c1b03f0b530ce5e23ac396df1d8c2f9a8a1cdd7821c585e280a47d56c72d0c,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,4676146d5acd79c6871f6c526a8b3685c25a6b5b215a527f2a06d33ef1b992ae,tone_speak_ru_v1:01743_nova,94e4895f2b14b8e7d933e4bc60523fbbf15b902722ec175f4886dbd518f618ee,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,7a1f700dc14403676e201aae03306a3e185c6c84c27dfedc3b843fa7aa41ef5d,tone_speak_ru_v1:01765_ballad,14b954fedaf536d87375f4060b07400d4960c3563e6997cea87e436bef2dcd7b,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,dbd19532035dbe9c5cabe59e730c06b39704decbf30580095e05f99eef3d1940,tone_speak_ru_v1:01779_shimmer,37a419336fcfa43ebae33b5933546a200e7e4b55ae85d40c8f2b2699eddc2c1a,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,618cd621311338dabce7d93ebac0e6464c4db299c6d3fb93669bf799fd716e7b,tone_speak_ru_v1:01838_sage,c118e48452cbe3a3856ad45797be17be19ad11ca8155b999663c6af9702259ef,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,806010e49cb8453727d0d43cee433306359e3503e2b33cd558d3cd10e254261e,tone_speak_ru_v1:01985_coral,c98b1d16ef6baee1146c1ff6cd01d6483f0276f581bc4640b3480e1ccf7548d5,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,7e957974f5ff347c1c9649632305f85bfaab330af3912d67f3c13724a4b2fec5,tone_speak_ru_v1:02408_onyx,dd20fe42346f17eb1f0b945f20aae0d09d515ec857d754f0061d2479d9269ea8,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,c799bbad3af3ad56555561a7ead1f435746f66165fa1b9c0759f39b9a4202369,tone_speak_ru_v1:02434_onyx,79a0a5c84ca7891e2d5cd9a23ee04ce895ed8a929df8225cf4627751b655a7ba,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,7df19c50cb08f1585b06e79d7056480a8575169b8d8299a12e8722cf43c64757,tone_speak_ru_v1:02564_fable,0c464db1ed8254eb30bfb0c57504f1d6e85d3c4e27429648734a66a168a57dcb,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,daad31163af72492eaab4ad0b31f9f603856c52c0731dcdd7d4a347e862f2378,tone_speak_ru_v1:02621_sage,5a86eef1c0539087ac3f97d9663a61d430f583489d711565d1dd3cfbba6c4234,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,42bc6d72bf83b74b06db7c78b43257047cc5b70ae0523dc1ac849a320239071a,tone_speak_ru_v1:02650_echo,aec94ae824e902c286287b6a9e79812ab69991cda8897c1039bc6b4fb1a666a9,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,ea6edda0c7b53c28fbc93414cca46c70b5af05231e8a9c71e6a17a6ca91880fe,tone_speak_ru_v1:02657_fable,6bd606cb726d0598e262a1afccff0e430fa0f602de2ddc94f416fa5d65fc5d43,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,0121e229e381c277edafde2b9e2933e7c660bac5225860e39d48fd2adfcdd747,tone_speak_ru_v1:02691_nova,02196c2f711f525a85feddf287633fadc2ee6cb4457f49062d7e0a4101a48851,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,e1fbd3bcb18c781017193fb87776d2ef25355df74fe2883ef31bc562941a557a,tone_speak_ru_v1:02702_onyx,130a10da5a7c1987be9a4135955e345909fdc77f80e1e15dfa685fb27fb8dcdd,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,d275e8d571c29e0cdf002dfacb3593ba952423c5995c9baff71c1256e6533400,tone_speak_ru_v1:02728_ballad,24626cbfd6aacf47f63c9c568035c18758b67faca5d97ead755b9d3b5747a0d9,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,116bc389c5176a1ea1785e9d9c8017756454e0fcce1066e6a23fbaa46f9c5b57,tone_speak_ru_v1:02750_alloy,bcc3c425ee44736bf06db35aa34c0d9698b1e0b511ac67ee578ccfa5cc74beef,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,7e2b1d0bdb15510688723edaee68f478101d12eb59d125cf5478199481e161e6,tone_speak_ru_v1:02903_sage,348f976e0f270acebc6f318efce386761fafaad77a587f1ac9b82e1e749d748e,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,01becca4196c687127203998cb75c2672fe20e44f66fc2767a4b005612b286c5,tone_speak_ru_v1:02993_sage,000ffb39cdf4daaa74249c67833d48931c9412acb31e6cbe949b842fb2c30f89,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,eb81e24e80ac90c4ae1e103be65646556f60b5b7a51e46a609798475269e93e7,tone_speak_ru_v1:03159_shimmer,3efa1808f900d16a3dbb819e15e217f592c48187ef6a9a2010fa22f4271aed6d,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,fc37cb0b44a5c6778bb316dea7396ff1aae252dc841183aa5aafbd2040303724,tone_speak_ru_v1:03559_echo,490a1df2cc3467f9047eee738a882868494a526ec432bc7eb14991c1ceda1a52,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,ade9f8604d9222d1e9546145744555a47895f8be5ae3789b0ad9752f9ce42579,tone_speak_ru_v1:03653_ash,bcdaaf953ec09b245f7eecce91c99ef3e3fe13957ef6ace157e3b7fabf9cfeec,reviewer_1,pass,yes,yes,
tone-speak-ru-acoustic-language-preservation-v1,f69fe1a3d082c9d8bfac3ba1ce1f10011fa844b07e9608f840d8c4b59fbfed41,bedcba73e0e549e405da454b422fd73072bd9c675e5dfeddba9e2a56beb096cf,tone_speak_ru_v1:03839_fable,6a7d546a5dfce25a5ae5b826c7d06f6f3d3ac6309fe1a3e3f86619b15ce0b8c3,reviewer_1,pass,yes,yes,
