sample_id,relative_path,sha256,split,label,language,code_switch,parent_group_id,source_name,source_license,rights_basis,speaker_pseudo_id,text_id,text_hash,duration_s,generator_family,generator_name,generator_version,voice_id,clone_consent_id,device,capture_route,original_sr,codec,augmentation_chain,augmentation_seed,created_at
tone_speak_ru_v1:00063_alloy,processed/fb/fb3075177c5906f5fc83f1dd0d8f3e1b24e2d4ac76219c324446091c163ff615.wav,a88258e3e50f80e177bc745540362ea7ba95cd65aeaefe63139a7fdb7daa7ad2,ood,spoof,ru,false,tone_speak_ru_v1:text:a6cc36dae04204a2a6743ca886bead356d0b5070c79d329d2fd1e0bae1d9bb7d,tone_speak_ru_v1,Apache-2.0,ToneSpeak pinned revision d40f94cd5c7dcf756a8c59a1c465b834220bec56; dataset card declares GPT-4.1 mini text generation and GPT-4o mini TTS,tone_speak_ru_v1:voice:alloy,tone_speak_ru_v1:text:a6cc36dae04204a2a6743ca886bead356d0b5070c79d329d2fd1e0bae1d9bb7d,a6cc36dae04204a2a6743ca886bead356d0b5070c79d329d2fd1e0bae1d9bb7d,18.36,neural_tts,openai_gpt_4o_mini_tts,source_card_unpinned,tone_speak_ru_v1:voice:alloy,,unknown,openai_tts_source_release,24000,wav,,,2026-08-11T00:00:00Z
tone_speak_ru_v1:00648_alloy,processed/f3/f356f0eb730b200f3db7ea44e3c2c9ac5059c8e741c81fa6b31036cf31561a14.wav,368ae88bc39f366aa0c262a9e78c2164ee11d67f10aa0976c54377db0fda4f25,ood,spoof,ru,false,tone_speak_ru_v1:text:b74eb380485817f4cda691d1b0fca7e567be00db2bd9a7ece7579c7462c627d4,tone_speak_ru_v1,Apache-2.0,ToneSpeak pinned revision d40f94cd5c7dcf756a8c59a1c465b834220bec56; dataset card declares GPT-4.1 mini text generation and GPT-4o mini TTS,tone_speak_ru_v1:voice:alloy,tone_speak_ru_v1:text:b74eb380485817f4cda691d1b0fca7e567be00db2bd9a7ece7579c7462c627d4,b74eb380485817f4cda691d1b0fca7e567be00db2bd9a7ece7579c7462c627d4,15.72,neural_tts,openai_gpt_4o_mini_tts,source_card_unpinned,tone_speak_ru_v1:voice:alloy,,unknown,openai_tts_source_release,24000,wav,,,2026-08-11T00:00:00Z
tone_speak_ru_v1:01695_alloy,processed/c0/c085f3491d22a69cbad13540cd0a6f71ebfdf51e3c5f11e92394b4c4fa3952d6.wav,a4b7373fb53f82b77950edbaf856c01cdf13456080b46c87b56407b20edbb958,ood,spoof,ru,false,tone_speak_ru_v1:text:bf574592cb23c7ca992192662362bfc0608430c511c763ef0b98083a565ff00e,tone_speak_ru_v1,Apache-2.0,ToneSpeak pinned revision d40f94cd5c7dcf756a8c59a1c465b834220bec56; dataset card declares GPT-4.1 mini text generation and GPT-4o mini TTS,tone_speak_ru_v1:voice:alloy,tone_speak_ru_v1:text:bf574592cb23c7ca992192662362bfc0608430c511c763ef0b98083a565ff00e,bf574592cb23c7ca992192662362bfc0608430c511c763ef0b98083a565ff00e,15.864,neural_tts,openai_gpt_4o_mini_tts,source_card_unpinned,tone_speak_ru_v1:voice:alloy,,unknown,openai_tts_source_release,24000,wav,,,2026-08-11T00:00:00Z
tone_speak_ru_v1:02750_alloy,processed/98/983dfd881119982f656fe3069ea68c45a32648f288dd3e075267ec401d0e0e7a.wav,bcc3c425ee44736bf06db35aa34c0d9698b1e0b511ac67ee578ccfa5cc74beef,ood,spoof,ru,false,tone_speak_ru_v1:text:116bc389c5176a1ea1785e9d9c8017756454e0fcce1066e6a23fbaa46f9c5b57,tone_speak_ru_v1,Apache-2.0,ToneSpeak pinned revision d40f94cd5c7dcf756a8c59a1c465b834220bec56; dataset card declares GPT-4.1 mini text generation and GPT-4o mini TTS,tone_speak_ru_v1:voice:alloy,tone_speak_ru_v1:text:116bc389c5176a1ea1785e9d9c8017756454e0fcce1066e6a23fbaa46f9c5b57,116bc389c5176a1ea1785e9d9c8017756454e0fcce1066e6a23fbaa46f9c5b57,16.512,neural_tts,openai_gpt_4o_mini_tts,source_card_unpinned,tone_speak_ru_v1:voice:alloy,,unknown,openai_tts_source_release,24000,wav,,,2026-08-11T00:00:00Z
tone_speak_ru_v1:05057_alloy,processed/5d/5d3566cad740f04ebe60e34c895afbe9996a362602704304176394c9b4a80f9e.wav,59767f26f892b3bf3cb2329488638bbda532d7a164603bc4c27d6c75efe83d47,ood,spoof,ru,false,tone_speak_ru_v1:text:5f13d7cb9819a3b3fc8e537232afd5cd6e33d7615aa311c9af00844749248e02,tone_speak_ru_v1,Apache-2.0,ToneSpeak pinned revision d40f94cd5c7dcf756a8c59a1c465b834220bec56; dataset card declares GPT-4.1 mini text generation and GPT-4o mini TTS,tone_speak_ru_v1:voice:alloy,tone_speak_ru_v1:text:5f13d7cb9819a3b3fc8e537232afd5cd6e33d7615aa311c9af00844749248e02,5f13d7cb9819a3b3fc8e537232afd5cd6e33d7615aa311c9af00844749248e02,15.312,neural_tts,openai_gpt_4o_mini_tts,source_card_unpinned,tone_speak_ru_v1:voice:alloy,,unknown,openai_tts_source_release,24000,wav,,,2026-08-11T00:00:00Z
tone_speak_ru_v1:05213_alloy,processed/38/381a5495e5905873cb94fff41e955bd8f4b4ac9de852dcc24e25da64d81c86fa.wav,ea8071c414736e1c6c40743e99414108e1f9fa552052d5d03b75b7bfe898e605,ood,spoof,ru,false,tone_speak_ru_v1:text:5759ebf75d8409a52ea00c49b8241dba68a831ceaa130ac386ea9489b48fc736,tone_speak_ru_v1,Apache-2.0,ToneSpeak pinned revision d40f94cd5c7dcf756a8c59a1c465b834220bec56; dataset card declares GPT-4.1 mini text generation and GPT-4o mini TTS,tone_speak_ru_v1:voice:alloy,tone_speak_ru_v1:text:5759ebf75d8409a52ea00c49b8241dba68a831ceaa130ac386ea9489b48fc736,5759ebf75d8409a52ea00c49b8241dba68a831ceaa130ac386ea9489b48fc736,16.056,neural_tts,openai_gpt_4o_mini_tts,source_card_unpinned,tone_speak_ru_v1:voice:alloy,,unknown,openai_tts_source_release,24000,wav,,,2026-08-11T00:00:00Z
tone_speak_ru_v1:05897_alloy,processed/3b/3bb2c15649d14031718f64f35561e0ada0d2269a2d3ee6bcaf84c4c4ba9d0dc8.wav,eb9cf2083f2c76c28096bd883ea523dca8385ace35f1c5846d9207b0091a022f,ood,spoof,ru,false,tone_speak_ru_v1:text:7410287f66ec9201de87d673a52f4669e059010b71a0eecb8f9a772bf682b3f6,tone_speak_ru_v1,Apache-2.0,ToneSpeak pinned revision d40f94cd5c7dcf756a8c59a1c465b834220bec56; dataset card declares GPT-4.1 mini text generation and GPT-4o mini TTS,tone_speak_ru_v1:voice:alloy,tone_speak_ru_v1:text:7410287f66ec9201de87d673a52f4669e059010b71a0eecb8f9a772bf682b3f6,7410287f66ec9201de87d673a52f4669e059010b71a0eecb8f9a772bf682b3f6,12.552,neural_tts,openai_gpt_4o_mini_tts,source_card_unpinned,tone_speak_ru_v1:voice:alloy,,unknown,openai_tts_source_release,24000,wav,,,2026-08-11T00:00:00Z
tone_speak_ru_v1:05960_alloy,processed/46/461257a248374939f02ee723507f81772064bddd16f8c51eb6579cb73c225986.wav,39272686ccb5a3755fab56e7b4a92c985d27feba37cf4b1528e6c3c7f27f5850,ood,spoof,ru,false,tone_speak_ru_v1:text:03bd71f8c168618ff1e4096c55cb8dee3b40e2a070b8c277f277effa94a1828d,tone_speak_ru_v1,Apache-2.0,ToneSpeak pinned revision d40f94cd5c7dcf756a8c59a1c465b834220bec56; dataset card declares GPT-4.1 mini text generation and GPT-4o mini TTS,tone_speak_ru_v1:voice:alloy,tone_speak_ru_v1:text:03bd71f8c168618ff1e4096c55cb8dee3b40e2a070b8c277f277effa94a1828d,03bd71f8c168618ff1e4096c55cb8dee3b40e2a070b8c277f277effa94a1828d,11.4,neural_tts,openai_gpt_4o_mini_tts,source_card_unpinned,tone_speak_ru_v1:voice:alloy,,unknown,openai_tts_source_release,24000,wav,,,2026-08-11T00:00:00Z
tone_speak_ru_v1:06394_alloy,processed/6e/6e03bb5d3603918270b77c1314b42dc8300e01db912489666084e58976153c59.wav,407824e870b968eedf6a05b53a786ab1a9dbd529fe6f3496858e95e22bb654e4,ood,spoof,ru,false,tone_speak_ru_v1:text:4d49bb42fd319731b1aab1236ce0affd164ae4d16379b93f9928ed0b171d27aa,tone_speak_ru_v1,Apache-2.0,ToneSpeak pinned revision d40f94cd5c7dcf756a8c59a1c465b834220bec56; dataset card declares GPT-4.1 mini text generation and GPT-4o mini TTS,tone_speak_ru_v1:voice:alloy,tone_speak_ru_v1:text:4d49bb42fd319731b1aab1236ce0affd164ae4d16379b93f9928ed0b171d27aa,4d49bb42fd319731b1aab1236ce0affd164ae4d16379b93f9928ed0b171d27aa,14.952,neural_tts,openai_gpt_4o_mini_tts,source_card_unpinned,tone_speak_ru_v1:voice:alloy,,unknown,openai_tts_source_release,24000,wav,,,2026-08-11T00:00:00Z
tone_speak_ru_v1:06607_alloy,processed/75/752bf042ffdacf51d13ee0c13cdee300ecdf8f8c5f90c1ca060b681fab2630a1.wav,6712981548ab12acbc3738d8c6ece27c26914f253976ed45c653c6b5b731e094,ood,spoof,ru,false,tone_speak_ru_v1:text:515fdacdfaf581359c845f6c8fb171ffeec47e268b6adb95134bd5448b914952,tone_speak_ru_v1,Apache-2.0,ToneSpeak pinned revision d40f94cd5c7dcf756a8c59a1c465b834220bec56; dataset card declares GPT-4.1 mini text generation and GPT-4o mini TTS,tone_speak_ru_v1:voice:alloy,tone_speak_ru_v1:text:515fdacdfaf581359c845f6c8fb171ffeec47e268b6adb95134bd5448b914952,515fdacdfaf581359c845f6c8fb171ffeec47e268b6adb95134bd5448b914952,14.712,neural_tts,openai_gpt_4o_mini_tts,source_card_unpinned,tone_speak_ru_v1:voice:alloy,,unknown,openai_tts_source_release,24000,wav,,,2026-08-11T00:00:00Z
