sample_id,relative_path,sha256,split,label,language,code_switch,parent_group_id,source_name,source_license,rights_basis,speaker_pseudo_id,text_id,text_hash,duration_s,generator_family,generator_name,generator_version,voice_id,clone_consent_id,device,capture_route,original_sr,codec,augmentation_chain,augmentation_seed,created_at
voxforge_ru_mdc_2026_05_v4_calibration_espeakng:31f994610c8d6580,raw/v4/xlsr_sls_model_v4_calibration_materialization_v1/espeak_spoof/espeak_ru_001_31f994610c8d65808cf2.wav,165113a2ab074622f24afd82723d1b4193289323d6cf87c1cd7bd7425ae84efa,test,spoof,ru,unknown,voxforge_ru_mdc_2026_05_v4_calibration_espeakng:text-only:espeakng_russian_formant:ru:w150:p35:a100,voxforge_ru_mdc_2026_05_v4_calibration_espeakng,VoxForge GPL-3.0-or-later text; eSpeak NG GPL-3.0-or-later; bundled Ubuntu runtime packages retain their declared package licenses,"One-shot offline text-only derivative of frozen VoxForge prompt ru_0080; no reference audio, cloning, resynthesis or replacement",voxforge_ru_mdc_2026_05_v4_calibration_espeakng:synthetic-control:espeakng_russian_formant:ru:w150:p35:a100,ru_0080,9927b4d18c75e34f81fcee14802dbe116e6612854e9555c06441beaf3dda9034,8.129795918367346,formant_rule_based_tts,eSpeak NG Russian formant synthesizer,eSpeak NG 1.52.0 source-4870adfa25b1a32b4361592f1be8a40337c58d6c; Ubuntu 1.52.0+dfsg-5build1 runtime packages,espeakng_russian_formant:ru:w150:p35:a100,not_applicable:text_only_formant_tts_no_reference_audio,local_cpu_espeakng_formant,offline_text_only_formant_tts,22050,wav,none,,2026-08-15T14:00:00+06:00
voxforge_ru_mdc_2026_05_v4_calibration_espeakng:ad265e523a1f3da9,raw/v4/xlsr_sls_model_v4_calibration_materialization_v1/espeak_spoof/espeak_ru_002_ad265e523a1f3da93cc8.wav,9c3c2131264bec6b7a7705665d3b2885dcd07b2191d70b6a3fbb3a7d1acfe7fc,test,spoof,ru,unknown,voxforge_ru_mdc_2026_05_v4_calibration_espeakng:text-only:espeakng_russian_formant:ru:w150:p50:a100,voxforge_ru_mdc_2026_05_v4_calibration_espeakng,VoxForge GPL-3.0-or-later text; eSpeak NG GPL-3.0-or-later; bundled Ubuntu runtime packages retain their declared package licenses,"One-shot offline text-only derivative of frozen VoxForge prompt ru_0034; no reference audio, cloning, resynthesis or replacement",voxforge_ru_mdc_2026_05_v4_calibration_espeakng:synthetic-control:espeakng_russian_formant:ru:w150:p50:a100,ru_0034,9f67f74f3952768ae15d904ddb769dfa398f0e1ac789f9b6408b1f4bcda65ddf,5.4393197278911565,formant_rule_based_tts,eSpeak NG Russian formant synthesizer,eSpeak NG 1.52.0 source-4870adfa25b1a32b4361592f1be8a40337c58d6c; Ubuntu 1.52.0+dfsg-5build1 runtime packages,espeakng_russian_formant:ru:w150:p50:a100,not_applicable:text_only_formant_tts_no_reference_audio,local_cpu_espeakng_formant,offline_text_only_formant_tts,22050,wav,none,,2026-08-15T14:00:00+06:00
voxforge_ru_mdc_2026_05_v4_calibration_espeakng:3ec38dfb9d7a07b4,raw/v4/xlsr_sls_model_v4_calibration_materialization_v1/espeak_spoof/espeak_ru_003_3ec38dfb9d7a07b455c4.wav,452f2c4d305a04affd221ee982bf898403719d7c19f72d6403bf5a80fe792c67,test,spoof,ru,unknown,voxforge_ru_mdc_2026_05_v4_calibration_espeakng:text-only:espeakng_russian_formant:ru:w150:p65:a100,voxforge_ru_mdc_2026_05_v4_calibration_espeakng,VoxForge GPL-3.0-or-later text; eSpeak NG GPL-3.0-or-later; bundled Ubuntu runtime packages retain their declared package licenses,"One-shot offline text-only derivative of frozen VoxForge prompt ru_0093; no reference audio, cloning, resynthesis or replacement",voxforge_ru_mdc_2026_05_v4_calibration_espeakng:synthetic-control:espeakng_russian_formant:ru:w150:p65:a100,ru_0093,2fb07fa78b8cc40b49e23990400f9613ab10d99f8c864a9c2122d3f31dfdc6b1,6.189569160997732,formant_rule_based_tts,eSpeak NG Russian formant synthesizer,eSpeak NG 1.52.0 source-4870adfa25b1a32b4361592f1be8a40337c58d6c; Ubuntu 1.52.0+dfsg-5build1 runtime packages,espeakng_russian_formant:ru:w150:p65:a100,not_applicable:text_only_formant_tts_no_reference_audio,local_cpu_espeakng_formant,offline_text_only_formant_tts,22050,wav,none,,2026-08-15T14:00:00+06:00
voxforge_ru_mdc_2026_05_v4_calibration_espeakng:93eb26ec2ade0482,raw/v4/xlsr_sls_model_v4_calibration_materialization_v1/espeak_spoof/espeak_ru_004_93eb26ec2ade04822e24.wav,46817146a6f2d3404ba580e525a88ae9576076f66ee64f5051de37ccf0891cb1,test,spoof,ru,unknown,voxforge_ru_mdc_2026_05_v4_calibration_espeakng:text-only:espeakng_russian_formant:ru:w175:p35:a100,voxforge_ru_mdc_2026_05_v4_calibration_espeakng,VoxForge GPL-3.0-or-later text; eSpeak NG GPL-3.0-or-later; bundled Ubuntu runtime packages retain their declared package licenses,"One-shot offline text-only derivative of frozen VoxForge prompt ru_0084; no reference audio, cloning, resynthesis or replacement",voxforge_ru_mdc_2026_05_v4_calibration_espeakng:synthetic-control:espeakng_russian_formant:ru:w175:p35:a100,ru_0084,27b87e5ff53041cef952435b211bc61ecfd6a5c91e7fb542e4e1bda0196a4f68,4.412789115646259,formant_rule_based_tts,eSpeak NG Russian formant synthesizer,eSpeak NG 1.52.0 source-4870adfa25b1a32b4361592f1be8a40337c58d6c; Ubuntu 1.52.0+dfsg-5build1 runtime packages,espeakng_russian_formant:ru:w175:p35:a100,not_applicable:text_only_formant_tts_no_reference_audio,local_cpu_espeakng_formant,offline_text_only_formant_tts,22050,wav,none,,2026-08-15T14:00:00+06:00
voxforge_ru_mdc_2026_05_v4_calibration_espeakng:f30491509035adb9,raw/v4/xlsr_sls_model_v4_calibration_materialization_v1/espeak_spoof/espeak_ru_005_f30491509035adb9ea00.wav,933eef675c455e7abe819bc1665721db677b121a2e2f2b9ab23e1f5ee147a7e4,test,spoof,ru,unknown,voxforge_ru_mdc_2026_05_v4_calibration_espeakng:text-only:espeakng_russian_formant:ru:w175:p50:a100,voxforge_ru_mdc_2026_05_v4_calibration_espeakng,VoxForge GPL-3.0-or-later text; eSpeak NG GPL-3.0-or-later; bundled Ubuntu runtime packages retain their declared package licenses,"One-shot offline text-only derivative of frozen VoxForge prompt ru_0095; no reference audio, cloning, resynthesis or replacement",voxforge_ru_mdc_2026_05_v4_calibration_espeakng:synthetic-control:espeakng_russian_formant:ru:w175:p50:a100,ru_0095,ad9886d653ff552c0c88cd48f4b3b65d03650f845a21b346dc7a07953a3dd4be,3.209750566893424,formant_rule_based_tts,eSpeak NG Russian formant synthesizer,eSpeak NG 1.52.0 source-4870adfa25b1a32b4361592f1be8a40337c58d6c; Ubuntu 1.52.0+dfsg-5build1 runtime packages,espeakng_russian_formant:ru:w175:p50:a100,not_applicable:text_only_formant_tts_no_reference_audio,local_cpu_espeakng_formant,offline_text_only_formant_tts,22050,wav,none,,2026-08-15T14:00:00+06:00
voxforge_ru_mdc_2026_05_v4_calibration_espeakng:f64b01ec95f72e56,raw/v4/xlsr_sls_model_v4_calibration_materialization_v1/espeak_spoof/espeak_ru_006_f64b01ec95f72e56b3fd.wav,cc97e49d309f8cc0f5218baab48c30edbe3adc2dc498da500811bde00aea8217,test,spoof,ru,unknown,voxforge_ru_mdc_2026_05_v4_calibration_espeakng:text-only:espeakng_russian_formant:ru:w175:p65:a100,voxforge_ru_mdc_2026_05_v4_calibration_espeakng,VoxForge GPL-3.0-or-later text; eSpeak NG GPL-3.0-or-later; bundled Ubuntu runtime packages retain their declared package licenses,"One-shot offline text-only derivative of frozen VoxForge prompt ru_0071; no reference audio, cloning, resynthesis or replacement",voxforge_ru_mdc_2026_05_v4_calibration_espeakng:synthetic-control:espeakng_russian_formant:ru:w175:p65:a100,ru_0071,17b42c6b88dbec6781dfd75a95515ed8b5cc79d84b87c3f8514500ea95485d20,3.898730158730159,formant_rule_based_tts,eSpeak NG Russian formant synthesizer,eSpeak NG 1.52.0 source-4870adfa25b1a32b4361592f1be8a40337c58d6c; Ubuntu 1.52.0+dfsg-5build1 runtime packages,espeakng_russian_formant:ru:w175:p65:a100,not_applicable:text_only_formant_tts_no_reference_audio,local_cpu_espeakng_formant,offline_text_only_formant_tts,22050,wav,none,,2026-08-15T14:00:00+06:00
voxforge_ru_mdc_2026_05_v4_calibration_espeakng:95f4d64a86e0b498,raw/v4/xlsr_sls_model_v4_calibration_materialization_v1/espeak_spoof/espeak_ru_007_95f4d64a86e0b498c955.wav,2a302f77021388a4efebcc95fffaf48e61fc27ed2328c3a93a6b6e656c09034d,test,spoof,ru,unknown,voxforge_ru_mdc_2026_05_v4_calibration_espeakng:text-only:espeakng_russian_formant:ru:w200:p35:a100,voxforge_ru_mdc_2026_05_v4_calibration_espeakng,VoxForge GPL-3.0-or-later text; eSpeak NG GPL-3.0-or-later; bundled Ubuntu runtime packages retain their declared package licenses,"One-shot offline text-only derivative of frozen VoxForge prompt ru_0099; no reference audio, cloning, resynthesis or replacement",voxforge_ru_mdc_2026_05_v4_calibration_espeakng:synthetic-control:espeakng_russian_formant:ru:w200:p35:a100,ru_0099,bfa4ce54fc99232f374cf7059b6005b5ac19d6ab2b4bb7d1145f90d9f6ba45f5,3.055736961451247,formant_rule_based_tts,eSpeak NG Russian formant synthesizer,eSpeak NG 1.52.0 source-4870adfa25b1a32b4361592f1be8a40337c58d6c; Ubuntu 1.52.0+dfsg-5build1 runtime packages,espeakng_russian_formant:ru:w200:p35:a100,not_applicable:text_only_formant_tts_no_reference_audio,local_cpu_espeakng_formant,offline_text_only_formant_tts,22050,wav,none,,2026-08-15T14:00:00+06:00
voxforge_ru_mdc_2026_05_v4_calibration_espeakng:5cc5eda43053ee75,raw/v4/xlsr_sls_model_v4_calibration_materialization_v1/espeak_spoof/espeak_ru_008_5cc5eda43053ee759409.wav,035c6c6cd88945476abd49490e465468b29310a7a37b420111dc9dd0aead975d,test,spoof,ru,unknown,voxforge_ru_mdc_2026_05_v4_calibration_espeakng:text-only:espeakng_russian_formant:ru:w200:p50:a100,voxforge_ru_mdc_2026_05_v4_calibration_espeakng,VoxForge GPL-3.0-or-later text; eSpeak NG GPL-3.0-or-later; bundled Ubuntu runtime packages retain their declared package licenses,"One-shot offline text-only derivative of frozen VoxForge prompt ru_0037; no reference audio, cloning, resynthesis or replacement",voxforge_ru_mdc_2026_05_v4_calibration_espeakng:synthetic-control:espeakng_russian_formant:ru:w200:p50:a100,ru_0037,03e27fb4aaef118ebde94b602a917c86d9dee8f8f0b33160ea27103fcdc81920,3.4862131519274375,formant_rule_based_tts,eSpeak NG Russian formant synthesizer,eSpeak NG 1.52.0 source-4870adfa25b1a32b4361592f1be8a40337c58d6c; Ubuntu 1.52.0+dfsg-5build1 runtime packages,espeakng_russian_formant:ru:w200:p50:a100,not_applicable:text_only_formant_tts_no_reference_audio,local_cpu_espeakng_formant,offline_text_only_formant_tts,22050,wav,none,,2026-08-15T14:00:00+06:00
voxforge_ru_mdc_2026_05_v4_calibration_espeakng:b37fa992e8e5ca47,raw/v4/xlsr_sls_model_v4_calibration_materialization_v1/espeak_spoof/espeak_ru_009_b37fa992e8e5ca4700e0.wav,9efa6e4149434ffbe0d3003543b90416ba9159024c144497f306e868f4e3170f,test,spoof,ru,unknown,voxforge_ru_mdc_2026_05_v4_calibration_espeakng:text-only:espeakng_russian_formant:ru:w200:p65:a100,voxforge_ru_mdc_2026_05_v4_calibration_espeakng,VoxForge GPL-3.0-or-later text; eSpeak NG GPL-3.0-or-later; bundled Ubuntu runtime packages retain their declared package licenses,"One-shot offline text-only derivative of frozen VoxForge prompt ru_0081; no reference audio, cloning, resynthesis or replacement",voxforge_ru_mdc_2026_05_v4_calibration_espeakng:synthetic-control:espeakng_russian_formant:ru:w200:p65:a100,ru_0081,05a4c32e8a6833c589dddb3eb627e0ec22a5419bb12e7ebf8efbc24a86c6a75e,2.665079365079365,formant_rule_based_tts,eSpeak NG Russian formant synthesizer,eSpeak NG 1.52.0 source-4870adfa25b1a32b4361592f1be8a40337c58d6c; Ubuntu 1.52.0+dfsg-5build1 runtime packages,espeakng_russian_formant:ru:w200:p65:a100,not_applicable:text_only_formant_tts_no_reference_audio,local_cpu_espeakng_formant,offline_text_only_formant_tts,22050,wav,none,,2026-08-15T14:00:00+06:00
voxforge_ru_mdc_2026_05_v4_calibration_espeakng:6085c8500f635b27,raw/v4/xlsr_sls_model_v4_calibration_materialization_v1/espeak_spoof/espeak_ru_010_6085c8500f635b27b906.wav,f182bb29f4ecece33d6caa4c04ec26e269f8bf3f84d6fe74e20d4d7c473f0015,test,spoof,ru,unknown,voxforge_ru_mdc_2026_05_v4_calibration_espeakng:text-only:espeakng_russian_formant:ru:w225:p35:a100,voxforge_ru_mdc_2026_05_v4_calibration_espeakng,VoxForge GPL-3.0-or-later text; eSpeak NG GPL-3.0-or-later; bundled Ubuntu runtime packages retain their declared package licenses,"One-shot offline text-only derivative of frozen VoxForge prompt ru_0005; no reference audio, cloning, resynthesis or replacement",voxforge_ru_mdc_2026_05_v4_calibration_espeakng:synthetic-control:espeakng_russian_formant:ru:w225:p35:a100,ru_0005,f8799fd853a9313a976569882abab1a17617918d46fb9cd8a0850e28118957d4,5.667619047619048,formant_rule_based_tts,eSpeak NG Russian formant synthesizer,eSpeak NG 1.52.0 source-4870adfa25b1a32b4361592f1be8a40337c58d6c; Ubuntu 1.52.0+dfsg-5build1 runtime packages,espeakng_russian_formant:ru:w225:p35:a100,not_applicable:text_only_formant_tts_no_reference_audio,local_cpu_espeakng_formant,offline_text_only_formant_tts,22050,wav,none,,2026-08-15T14:00:00+06:00
