sample_id,relative_path,sha256,split,label,language,code_switch,parent_group_id,source_name,source_license,rights_basis,speaker_pseudo_id,text_id,text_hash,duration_s,generator_family,generator_name,generator_version,voice_id,clone_consent_id,device,capture_route,original_sr,codec,augmentation_chain,augmentation_seed,created_at
voxforge_ru_mdc_2026_05:submission:3dea5d802a71a74e87e54b66af8a7f935578da4d5d38dc0359d157b5cabfa6e0:prompt:ru_0080,processed/v4/xlsr_sls_model_v4_calibration_materialization_v1/source/18/1804cbaeb9b7171bf1b3c4dd1aa874c5d89e2fc8767c4a8d33bc624cebbdc82f.wav,54fa50f1e13b46bab0795caba3046c66014cb27632049a08b95df758fb4e7bc4,test,bonafide,ru,unknown,voxforge_ru_mdc_2026_05:contributor:9f685a32987464e00f5faf3324650398d9492b43484a7d2a9a54d2f89056568f,voxforge_ru_mdc_2026_05_v4_calibration,GPL-3.0-or-later,Pinned VoxForge Russian GPL-3.0-or-later archive; one frozen local personal-research calibration-preparation route only,voxforge_ru_mdc_2026_05:contributor:9f685a32987464e00f5faf3324650398d9492b43484a7d2a9a54d2f89056568f,ru_0080,9927b4d18c75e34f81fcee14802dbe116e6612854e9555c06441beaf3dda9034,13.75,,,,,,unknown,voxforge_submission_read_speech,16000,wav,none,,2026-08-15T14:00:00+06:00
voxforge_ru_mdc_2026_05:submission:697a2a42dc31e9e3220f40edaf5d74b04064217e330597d7a74418efe1a49618:prompt:ru_0034,processed/v4/xlsr_sls_model_v4_calibration_materialization_v1/source/02/026f6d61b3cf97dc1fd0879784fe7c41d993d1fe52fb00c8da0e8022f40f4f57.wav,7776c137f8e6bc328945ef5a20e785c84ce91ed119c3ab9e58f2385e7973d570,test,bonafide,ru,unknown,voxforge_ru_mdc_2026_05:contributor:c40e4c3c9c34d7997660086ee88683b6644a2b55dce471ff6836c79a8f90a658,voxforge_ru_mdc_2026_05_v4_calibration,GPL-3.0-or-later,Pinned VoxForge Russian GPL-3.0-or-later archive; one frozen local personal-research calibration-preparation route only,voxforge_ru_mdc_2026_05:contributor:c40e4c3c9c34d7997660086ee88683b6644a2b55dce471ff6836c79a8f90a658,ru_0034,9f67f74f3952768ae15d904ddb769dfa398f0e1ac789f9b6408b1f4bcda65ddf,7.0,,,,,,unknown,voxforge_submission_read_speech,16000,wav,none,,2026-08-15T14:00:00+06:00
voxforge_ru_mdc_2026_05:submission:bee37a2f7bcd17283dacea870beb65906c9c4221fa5d96ffb15186567f205565:prompt:ru_0093,processed/v4/xlsr_sls_model_v4_calibration_materialization_v1/source/03/03dad47bce9e6a31273620c1afec6fc567f88d8487b5b6d1b389d08d284391ad.wav,6814b721213667c3f2a8ac9414c50afcaf2b217a1739c67ad0d4a8f3370ba576,test,bonafide,ru,unknown,voxforge_ru_mdc_2026_05:contributor:5eb709a5097590f988ff2f4716df24458f938e5f879c73b2e30a62915a190c20,voxforge_ru_mdc_2026_05_v4_calibration,GPL-3.0-or-later,Pinned VoxForge Russian GPL-3.0-or-later archive; one frozen local personal-research calibration-preparation route only,voxforge_ru_mdc_2026_05:contributor:5eb709a5097590f988ff2f4716df24458f938e5f879c73b2e30a62915a190c20,ru_0093,2fb07fa78b8cc40b49e23990400f9613ab10d99f8c864a9c2122d3f31dfdc6b1,9.375,,,,,,unknown,voxforge_submission_read_speech,16000,wav,none,,2026-08-15T14:00:00+06:00
voxforge_ru_mdc_2026_05:submission:ccce998f6d17ab95eec66216892bf67c21f8e3c0a7739a3e662ef101bd79c7c1:prompt:ru_0084,processed/v4/xlsr_sls_model_v4_calibration_materialization_v1/source/b2/b24a807a292f1dd2b47816ca5c4f83c95e603f41d95301f5f291ac2d22cd43d9.wav,d6eddb0eaab9f5dc7b51d1fd5e1f067dfe1b8262804345df4be3f26639301359,test,bonafide,ru,unknown,voxforge_ru_mdc_2026_05:contributor:bf9b7b5ed7551917cb622accc4be4ce1a4c27126ef584d4540c6747236f6eb51,voxforge_ru_mdc_2026_05_v4_calibration,GPL-3.0-or-later,Pinned VoxForge Russian GPL-3.0-or-later archive; one frozen local personal-research calibration-preparation route only,voxforge_ru_mdc_2026_05:contributor:bf9b7b5ed7551917cb622accc4be4ce1a4c27126ef584d4540c6747236f6eb51,ru_0084,27b87e5ff53041cef952435b211bc61ecfd6a5c91e7fb542e4e1bda0196a4f68,10.875,,,,,,unknown,voxforge_submission_read_speech,16000,wav,none,,2026-08-15T14:00:00+06:00
voxforge_ru_mdc_2026_05:submission:983e33922e65eb41f15de60881bc2c70b9028385238aaf25e742fb0678aef95b:prompt:ru_0095,processed/v4/xlsr_sls_model_v4_calibration_materialization_v1/source/2a/2a7b14d97c0db3f5bd71d8f6796254430995ed5337128ea12777829835b16ed4.wav,2bf6f823fd48c34bbba553fe78371b2957d01eff1d7d7ee71c98a0c277a2bcbf,test,bonafide,ru,unknown,voxforge_ru_mdc_2026_05:contributor:1f23ebfc763fc015c1f58f16190cecbd65042f6728d99d77069fefa1f0bc9971,voxforge_ru_mdc_2026_05_v4_calibration,GPL-3.0-or-later,Pinned VoxForge Russian GPL-3.0-or-later archive; one frozen local personal-research calibration-preparation route only,voxforge_ru_mdc_2026_05:contributor:1f23ebfc763fc015c1f58f16190cecbd65042f6728d99d77069fefa1f0bc9971,ru_0095,ad9886d653ff552c0c88cd48f4b3b65d03650f845a21b346dc7a07953a3dd4be,6.625,,,,,,unknown,voxforge_submission_read_speech,16000,wav,none,,2026-08-15T14:00:00+06:00
voxforge_ru_mdc_2026_05:submission:1ed09619f6f1c2296941a0dc09cd947b14ee3c19afc1963230feee0f0eac93d1:prompt:ru_0071,processed/v4/xlsr_sls_model_v4_calibration_materialization_v1/source/78/78bc496b98457dc353d2a744a2b2c7e8c8a3ff3970512110cd2e47497a3f2a45.wav,7b090277792607ffb0f0a5fac5cf859e2f1c1324b162f10f315fd168b61aac51,test,bonafide,ru,unknown,voxforge_ru_mdc_2026_05:contributor:f85236faa23cc9aa649bea0e4e5a8924d7121166a414b15f70339135a4a53eff,voxforge_ru_mdc_2026_05_v4_calibration,GPL-3.0-or-later,Pinned VoxForge Russian GPL-3.0-or-later archive; one frozen local personal-research calibration-preparation route only,voxforge_ru_mdc_2026_05:contributor:f85236faa23cc9aa649bea0e4e5a8924d7121166a414b15f70339135a4a53eff,ru_0071,17b42c6b88dbec6781dfd75a95515ed8b5cc79d84b87c3f8514500ea95485d20,8.375,,,,,,unknown,voxforge_submission_read_speech,16000,wav,none,,2026-08-15T14:00:00+06:00
voxforge_ru_mdc_2026_05:submission:977e306fb59238a0f47820f5b4bd3779e6b2dbc46c5a163ec6f43cdd58ee8be3:prompt:ru_0099,processed/v4/xlsr_sls_model_v4_calibration_materialization_v1/source/3c/3c349105f10b57099ebb54a4e1fd4dd595a861962a3c8f741315c36a7bc405f9.wav,c3f3e6f4933531199ef7ff138044fff9321ded3aa38c791ec476bb224091e81a,test,bonafide,ru,unknown,voxforge_ru_mdc_2026_05:contributor:45e05c2c60122e442287a966fbbb87d47e23756a1bc3d7208e9fadb50843b656,voxforge_ru_mdc_2026_05_v4_calibration,GPL-3.0-or-later,Pinned VoxForge Russian GPL-3.0-or-later archive; one frozen local personal-research calibration-preparation route only,voxforge_ru_mdc_2026_05:contributor:45e05c2c60122e442287a966fbbb87d47e23756a1bc3d7208e9fadb50843b656,ru_0099,bfa4ce54fc99232f374cf7059b6005b5ac19d6ab2b4bb7d1145f90d9f6ba45f5,7.25,,,,,,unknown,voxforge_submission_read_speech,16000,wav,none,,2026-08-15T14:00:00+06:00
voxforge_ru_mdc_2026_05:submission:f903ce15a1dcd4af93bdabe54931b21a001b822e43b7c20f9ba952d789584419:prompt:ru_0037,processed/v4/xlsr_sls_model_v4_calibration_materialization_v1/source/49/49038f6a21427a5c4e9e370d90b0b4ef261ffc96f860c33f4ed8ffe1753f9c24.wav,609b28d64aba1453def6a7b86d1864816cdf2f38f3b88e3dccf7af39d1998a4f,test,bonafide,ru,unknown,voxforge_ru_mdc_2026_05:contributor:cd0b9452fc376fc4c35a60087b366f70d883fc901524daf1f122fbd319384f6a,voxforge_ru_mdc_2026_05_v4_calibration,GPL-3.0-or-later,Pinned VoxForge Russian GPL-3.0-or-later archive; one frozen local personal-research calibration-preparation route only,voxforge_ru_mdc_2026_05:contributor:cd0b9452fc376fc4c35a60087b366f70d883fc901524daf1f122fbd319384f6a,ru_0037,03e27fb4aaef118ebde94b602a917c86d9dee8f8f0b33160ea27103fcdc81920,6.875,,,,,,unknown,voxforge_submission_read_speech,16000,wav,none,,2026-08-15T14:00:00+06:00
voxforge_ru_mdc_2026_05:submission:e6e10c66628bb6762f15d3ac922946c1e90a37d18098f97ec983ff0f50e3528c:prompt:ru_0081,processed/v4/xlsr_sls_model_v4_calibration_materialization_v1/source/34/347c9b68e9c4a2f898dfdfcd42d40e331d5cde548c1593b5ee0e1b8ddc4bae4f.wav,b65e2da72751f5adcbc7c16ac10bfab4f1a2379118715640e527ffc1ee9a1b67,test,bonafide,ru,unknown,voxforge_ru_mdc_2026_05:contributor:bcbf62502fe43e3a92223e585233e78499cf97be9ae5ac60f89d5303fc6d865c,voxforge_ru_mdc_2026_05_v4_calibration,GPL-3.0-or-later,Pinned VoxForge Russian GPL-3.0-or-later archive; one frozen local personal-research calibration-preparation route only,voxforge_ru_mdc_2026_05:contributor:bcbf62502fe43e3a92223e585233e78499cf97be9ae5ac60f89d5303fc6d865c,ru_0081,05a4c32e8a6833c589dddb3eb627e0ec22a5419bb12e7ebf8efbc24a86c6a75e,6.0,,,,,,unknown,voxforge_submission_read_speech,16000,wav,none,,2026-08-15T14:00:00+06:00
voxforge_ru_mdc_2026_05:submission:9705af63fea9b20ccfcd5da9108543b8313891c4a425afef3d53c392c462ba65:prompt:ru_0005,processed/v4/xlsr_sls_model_v4_calibration_materialization_v1/source/9e/9e09ebd7e77fbec0d1efbad22009a1ee0c8cccc34d48db21c8d5b18726c2b722.wav,de75912bea2cdbbd5af59c057c85c2abed32828eebee597e720c596eb8c5b6b8,test,bonafide,ru,unknown,voxforge_ru_mdc_2026_05:contributor:12c612b542a26dc88ffe9d84c2b44b8224fb4238985baea834393d47c21678f6,voxforge_ru_mdc_2026_05_v4_calibration,GPL-3.0-or-later,Pinned VoxForge Russian GPL-3.0-or-later archive; one frozen local personal-research calibration-preparation route only,voxforge_ru_mdc_2026_05:contributor:12c612b542a26dc88ffe9d84c2b44b8224fb4238985baea834393d47c21678f6,ru_0005,f8799fd853a9313a976569882abab1a17617918d46fb9cd8a0850e28118957d4,9.125,,,,,,unknown,voxforge_submission_read_speech,16000,wav,none,,2026-08-15T14:00:00+06:00
