selection_rank,sample_id,submission_pseudo_id,prompt_id,parent_group_id,speaker_pseudo_id,prompt_text_hash,original_prompt_text_hash
1,voxforge_ru_mdc_2026_05:submission:3dea5d802a71a74e87e54b66af8a7f935578da4d5d38dc0359d157b5cabfa6e0:prompt:ru_0080,3dea5d802a71a74e87e54b66af8a7f935578da4d5d38dc0359d157b5cabfa6e0,ru_0080,voxforge_ru_mdc_2026_05:contributor:9f685a32987464e00f5faf3324650398d9492b43484a7d2a9a54d2f89056568f,voxforge_ru_mdc_2026_05:contributor:9f685a32987464e00f5faf3324650398d9492b43484a7d2a9a54d2f89056568f,9927b4d18c75e34f81fcee14802dbe116e6612854e9555c06441beaf3dda9034,cc33a05ab85afee18b80b312d10e7bf0c27ba67af9309fd8415f3a3fa3ddd04a
2,voxforge_ru_mdc_2026_05:submission:697a2a42dc31e9e3220f40edaf5d74b04064217e330597d7a74418efe1a49618:prompt:ru_0034,697a2a42dc31e9e3220f40edaf5d74b04064217e330597d7a74418efe1a49618,ru_0034,voxforge_ru_mdc_2026_05:contributor:c40e4c3c9c34d7997660086ee88683b6644a2b55dce471ff6836c79a8f90a658,voxforge_ru_mdc_2026_05:contributor:c40e4c3c9c34d7997660086ee88683b6644a2b55dce471ff6836c79a8f90a658,9f67f74f3952768ae15d904ddb769dfa398f0e1ac789f9b6408b1f4bcda65ddf,5a88c1fcbaad9ae99152edf89319b70e8d8e94dd3e5d1da36b168dee2a5ead2e
3,voxforge_ru_mdc_2026_05:submission:bee37a2f7bcd17283dacea870beb65906c9c4221fa5d96ffb15186567f205565:prompt:ru_0093,bee37a2f7bcd17283dacea870beb65906c9c4221fa5d96ffb15186567f205565,ru_0093,voxforge_ru_mdc_2026_05:contributor:5eb709a5097590f988ff2f4716df24458f938e5f879c73b2e30a62915a190c20,voxforge_ru_mdc_2026_05:contributor:5eb709a5097590f988ff2f4716df24458f938e5f879c73b2e30a62915a190c20,2fb07fa78b8cc40b49e23990400f9613ab10d99f8c864a9c2122d3f31dfdc6b1,89b069ba7e0f8b60a193a94feb302bd71b781e4246789600bb3b5c7fb723da31
4,voxforge_ru_mdc_2026_05:submission:ccce998f6d17ab95eec66216892bf67c21f8e3c0a7739a3e662ef101bd79c7c1:prompt:ru_0084,ccce998f6d17ab95eec66216892bf67c21f8e3c0a7739a3e662ef101bd79c7c1,ru_0084,voxforge_ru_mdc_2026_05:contributor:bf9b7b5ed7551917cb622accc4be4ce1a4c27126ef584d4540c6747236f6eb51,voxforge_ru_mdc_2026_05:contributor:bf9b7b5ed7551917cb622accc4be4ce1a4c27126ef584d4540c6747236f6eb51,27b87e5ff53041cef952435b211bc61ecfd6a5c91e7fb542e4e1bda0196a4f68,467b1859728e5b4cdad90c34c366cfa0797910fd180e7317e3cf64dca6f5223a
5,voxforge_ru_mdc_2026_05:submission:983e33922e65eb41f15de60881bc2c70b9028385238aaf25e742fb0678aef95b:prompt:ru_0095,983e33922e65eb41f15de60881bc2c70b9028385238aaf25e742fb0678aef95b,ru_0095,voxforge_ru_mdc_2026_05:contributor:1f23ebfc763fc015c1f58f16190cecbd65042f6728d99d77069fefa1f0bc9971,voxforge_ru_mdc_2026_05:contributor:1f23ebfc763fc015c1f58f16190cecbd65042f6728d99d77069fefa1f0bc9971,ad9886d653ff552c0c88cd48f4b3b65d03650f845a21b346dc7a07953a3dd4be,01c826ce87ea7afe9c3b5b6fa9409ce11a42bd5ce9aa734853b52d393b2f09d7
6,voxforge_ru_mdc_2026_05:submission:1ed09619f6f1c2296941a0dc09cd947b14ee3c19afc1963230feee0f0eac93d1:prompt:ru_0071,1ed09619f6f1c2296941a0dc09cd947b14ee3c19afc1963230feee0f0eac93d1,ru_0071,voxforge_ru_mdc_2026_05:contributor:f85236faa23cc9aa649bea0e4e5a8924d7121166a414b15f70339135a4a53eff,voxforge_ru_mdc_2026_05:contributor:f85236faa23cc9aa649bea0e4e5a8924d7121166a414b15f70339135a4a53eff,17b42c6b88dbec6781dfd75a95515ed8b5cc79d84b87c3f8514500ea95485d20,c1c292b0d43a2e1804c01f3d10cb34f295e92d9e95c6be9fd30dcb4696a26b3c
7,voxforge_ru_mdc_2026_05:submission:977e306fb59238a0f47820f5b4bd3779e6b2dbc46c5a163ec6f43cdd58ee8be3:prompt:ru_0099,977e306fb59238a0f47820f5b4bd3779e6b2dbc46c5a163ec6f43cdd58ee8be3,ru_0099,voxforge_ru_mdc_2026_05:contributor:45e05c2c60122e442287a966fbbb87d47e23756a1bc3d7208e9fadb50843b656,voxforge_ru_mdc_2026_05:contributor:45e05c2c60122e442287a966fbbb87d47e23756a1bc3d7208e9fadb50843b656,bfa4ce54fc99232f374cf7059b6005b5ac19d6ab2b4bb7d1145f90d9f6ba45f5,49ebc4ddcd7374c7cfea99dea3df192b3692da0ff0d821856609689407597a04
8,voxforge_ru_mdc_2026_05:submission:f903ce15a1dcd4af93bdabe54931b21a001b822e43b7c20f9ba952d789584419:prompt:ru_0037,f903ce15a1dcd4af93bdabe54931b21a001b822e43b7c20f9ba952d789584419,ru_0037,voxforge_ru_mdc_2026_05:contributor:cd0b9452fc376fc4c35a60087b366f70d883fc901524daf1f122fbd319384f6a,voxforge_ru_mdc_2026_05:contributor:cd0b9452fc376fc4c35a60087b366f70d883fc901524daf1f122fbd319384f6a,03e27fb4aaef118ebde94b602a917c86d9dee8f8f0b33160ea27103fcdc81920,4710d834fdb062da9f72ae43a9b93791943c3742d562450be24accba7b5ba8cf
9,voxforge_ru_mdc_2026_05:submission:e6e10c66628bb6762f15d3ac922946c1e90a37d18098f97ec983ff0f50e3528c:prompt:ru_0081,e6e10c66628bb6762f15d3ac922946c1e90a37d18098f97ec983ff0f50e3528c,ru_0081,voxforge_ru_mdc_2026_05:contributor:bcbf62502fe43e3a92223e585233e78499cf97be9ae5ac60f89d5303fc6d865c,voxforge_ru_mdc_2026_05:contributor:bcbf62502fe43e3a92223e585233e78499cf97be9ae5ac60f89d5303fc6d865c,05a4c32e8a6833c589dddb3eb627e0ec22a5419bb12e7ebf8efbc24a86c6a75e,d19f24957b7efff5357b02059c3d9b735e12b2ff3854240ab7ca87e01cb841ff
10,voxforge_ru_mdc_2026_05:submission:9705af63fea9b20ccfcd5da9108543b8313891c4a425afef3d53c392c462ba65:prompt:ru_0005,9705af63fea9b20ccfcd5da9108543b8313891c4a425afef3d53c392c462ba65,ru_0005,voxforge_ru_mdc_2026_05:contributor:12c612b542a26dc88ffe9d84c2b44b8224fb4238985baea834393d47c21678f6,voxforge_ru_mdc_2026_05:contributor:12c612b542a26dc88ffe9d84c2b44b8224fb4238985baea834393d47c21678f6,f8799fd853a9313a976569882abab1a17617918d46fb9cd8a0850e28118957d4,17f35ec8f354bcaf90f8cdc3be1f283c892bf6b9307c72eb53d8bb7b1f3c8ef6
11,voxforge_ru_mdc_2026_05:submission:066f99c098a54953c6a0ca77d3b543eeea55c7c853d87be24dc0f7bcc43baf7b:prompt:ru_0086,066f99c098a54953c6a0ca77d3b543eeea55c7c853d87be24dc0f7bcc43baf7b,ru_0086,voxforge_ru_mdc_2026_05:contributor:b67564aa0d1938cff993159637242f91ca9fa4395aede9b8c0b6b9d5cea2ed6d,voxforge_ru_mdc_2026_05:contributor:b67564aa0d1938cff993159637242f91ca9fa4395aede9b8c0b6b9d5cea2ed6d,8f4e0f69ac1adab6327cfe9e59bf3e75a5b69a37dc84149fefa1d20aacabbbde,a9ccf50a0d74ac455edcb1c9b8f276da074ecdcd4c37cc15d7c038c37337d02c
12,voxforge_ru_mdc_2026_05:submission:3d6e01a3b13a724afc0aad6c82f0f232fa411b63b69055bf9dc10f6671c74ecb:prompt:ru_0049,3d6e01a3b13a724afc0aad6c82f0f232fa411b63b69055bf9dc10f6671c74ecb,ru_0049,voxforge_ru_mdc_2026_05:contributor:fb98137767c16fb1f63c7ba16a1f331651a05a0c71b48110adf7009760381989,voxforge_ru_mdc_2026_05:contributor:fb98137767c16fb1f63c7ba16a1f331651a05a0c71b48110adf7009760381989,71ded13536a7ebbff6a1f4617c9c6c1ccf554e0d3023295efe865975957dfd94,c6b1b80e770baad98b7c944b75520ad029731387f165aada94c60a238dfccd2b
13,voxforge_ru_mdc_2026_05:submission:b82e5249fa4420e81262871a57a3f3a8604732505ae6afd130f915addef724fb:prompt:ru_0073,b82e5249fa4420e81262871a57a3f3a8604732505ae6afd130f915addef724fb,ru_0073,voxforge_ru_mdc_2026_05:contributor:90e61fd0c8a40f52cba6a0a010314537c8b59f25d9356ebd838cf49be5f3168f,voxforge_ru_mdc_2026_05:contributor:90e61fd0c8a40f52cba6a0a010314537c8b59f25d9356ebd838cf49be5f3168f,9a173921f0cdb179f2abd90d8c7a2477c3b9e30b1176fb5dfe3aa4b4c3709941,b3323c7f74e908335490d09693cc449808d5d2ac02c45e711d7c475dcabc5375
14,voxforge_ru_mdc_2026_05:submission:1c315bf80b6633b861867afc10efa09cb7b74596752d5a3cd7535120d0c5bc2a:prompt:ru_0088,1c315bf80b6633b861867afc10efa09cb7b74596752d5a3cd7535120d0c5bc2a,ru_0088,voxforge_ru_mdc_2026_05:contributor:2f183a4e64493af3f377f745eda502363cd3e7ef6e4d266d444758de0a85fcc8,voxforge_ru_mdc_2026_05:contributor:2f183a4e64493af3f377f745eda502363cd3e7ef6e4d266d444758de0a85fcc8,8a0cf255b24de364f14537864bc5ab8ee094668c74dbb2c9c279b7a574973f97,fc4c241b92bfc546fa46fc7896abab9c3fe2af58c1d39d48fd971e3ef280edf0
