language,selection_rank,sample_id,source_member,source_split,parent_group_id,speaker_pseudo_id,text_id,text_hash,synthesis_text_sha256,synthesis_seed,normalization_operations
ru,1,common_voice_ru_v24:common_voice_ru_33348952,common_voice_ru_33348952.mp3,test,common_voice_ru_v24:client:87382e9bf4fa02e40464d6d589c6c91ed3d203b85f748052a20649b5c5281d91d6aeaf457c9449ef26171baf37948ccd227cbbe09ab105790c32daa8ead7a9fe,common_voice_ru_v24:client:87382e9bf4fa02e40464d6d589c6c91ed3d203b85f748052a20649b5c5281d91d6aeaf457c9449ef26171baf37948ccd227cbbe09ab105790c32daa8ead7a9fe,781b078590159ed47279c8bea9efaa30534e90b93f2a4c15d175126bd97d0b10,3c6fd2b8ea62d0109e47d1fec6cc1e9850e24af4ad905e2ca434f66b22be5f68,3c6fd2b8ea62d0109e47d1fec6cc1e9850e24af4ad905e2ca434f66b22be5f68,1013961400,literal_utf8_source_text
ru,2,common_voice_ru_v24:common_voice_ru_19057249,common_voice_ru_19057249.mp3,test,common_voice_ru_v24:client:f61d92afbd37797ef5680029ec7f02c229ebc43606d30e72256b4d585e6122d13769b91b8fcfd6ad63262f7c62bbcd965db1bb31488f53aeca89080adf1df5bf,common_voice_ru_v24:client:f61d92afbd37797ef5680029ec7f02c229ebc43606d30e72256b4d585e6122d13769b91b8fcfd6ad63262f7c62bbcd965db1bb31488f53aeca89080adf1df5bf,5cbd497183474f66174a9f6b08dce9dde01f2d629774a2c46b57807f0b6620ca,f33e675917075623564484c2109aefae8c5469aa509079b1390823682c4cdbbe,f33e675917075623564484c2109aefae8c5469aa509079b1390823682c4cdbbe,4080953177,literal_utf8_source_text
ru,3,common_voice_ru_v24:common_voice_ru_37949828,common_voice_ru_37949828.mp3,test,common_voice_ru_v24:client:b7414bf132a706576d6698812e8196fc49216739a58b838482bca6dcd5a614e486e6981f63c588027bb66ecb0af2ae54dcd087b72c6df79951c9f5e33b815336,common_voice_ru_v24:client:b7414bf132a706576d6698812e8196fc49216739a58b838482bca6dcd5a614e486e6981f63c588027bb66ecb0af2ae54dcd087b72c6df79951c9f5e33b815336,7140d01b88c26fc7e6f4ec83794f1d7d672d2ea666d82fcd4e2b729f39a3532a,8ee44ab2f66fb8e8d12856ececb67501044998b8efeec898e88a01b09af5ca6b,8ee44ab2f66fb8e8d12856ececb67501044998b8efeec898e88a01b09af5ca6b,2397326002,literal_utf8_source_text
ru,4,common_voice_ru_v24:common_voice_ru_20111061,common_voice_ru_20111061.mp3,test,common_voice_ru_v24:client:03291c62b26e982afb61a71eb889249136e805c9bf140449408625bee1cc47a60ae989246949e6c754d69704bbb5c9373cabcaf1ef535341b4f3e5d90f8393ae,common_voice_ru_v24:client:03291c62b26e982afb61a71eb889249136e805c9bf140449408625bee1cc47a60ae989246949e6c754d69704bbb5c9373cabcaf1ef535341b4f3e5d90f8393ae,e7a4ba37d3c3de8c9e8aab0f2523c7925f3a6e2d2e79f6a562e36e770da13729,b52d47c722cb1fc965d03feb0359ba1ea720a6dcf9205b6eaeba64de1ba5ba85,b52d47c722cb1fc965d03feb0359ba1ea720a6dcf9205b6eaeba64de1ba5ba85,3039643591,literal_utf8_source_text
ru,5,common_voice_ru_v24:common_voice_ru_32700944,common_voice_ru_32700944.mp3,test,common_voice_ru_v24:client:dff9b54a721f680b6a078073fb4202b19a8fd61c9a023cdd77dd428c383d7cd801c36f7aec093e86107bf8dc10f3a2b0fdc7bc7cdca4a10d4becab08fc67cb20,common_voice_ru_v24:client:dff9b54a721f680b6a078073fb4202b19a8fd61c9a023cdd77dd428c383d7cd801c36f7aec093e86107bf8dc10f3a2b0fdc7bc7cdca4a10d4becab08fc67cb20,d05a0c9e2ec809748ffbdf7970558812ba1597cb4df0e7f41ed1ec10882b56fe,9cca30af544691548e11bdfd0eae8ef3e6b6fa1751f5d773d7db58993194c5e7,9cca30af544691548e11bdfd0eae8ef3e6b6fa1751f5d773d7db58993194c5e7,2630496431,literal_utf8_source_text
ru,6,common_voice_ru_v24:common_voice_ru_30387521,common_voice_ru_30387521.mp3,test,common_voice_ru_v24:client:04ca500ab37053dfb8a5bbf0cd01220793acde00b6cf9ecddd452f79b1b90a91239cb8caa265691c49e0691ee2237afd2a1c3c8aa45755928ffbf8aca3325104,common_voice_ru_v24:client:04ca500ab37053dfb8a5bbf0cd01220793acde00b6cf9ecddd452f79b1b90a91239cb8caa265691c49e0691ee2237afd2a1c3c8aa45755928ffbf8aca3325104,9bde62d37676f7c21886db78d36522851f0e3030c4de24f1a5630d9911756ba8,4bb13f4d7a5fa5abe3c5ad239850ca4d1ac0a43b1abb520722c38d2924d86957,4bb13f4d7a5fa5abe3c5ad239850ca4d1ac0a43b1abb520722c38d2924d86957,1269907277,literal_utf8_source_text
ru,7,common_voice_ru_v24:common_voice_ru_22923033,common_voice_ru_22923033.mp3,test,common_voice_ru_v24:client:e1df31869e2627e094fa863022ac638d4710883fd6c1a9d4df8beccc8de9ed030799e3f3d7fc073d15e27bd7f3957049af9e5b46828b427752db94216280ab3e,common_voice_ru_v24:client:e1df31869e2627e094fa863022ac638d4710883fd6c1a9d4df8beccc8de9ed030799e3f3d7fc073d15e27bd7f3957049af9e5b46828b427752db94216280ab3e,6304fe80d8f4a45356fb1678cdb620a5818387e561f8fc882ad3568b0ac05fb9,953b17e343567c4598e438d7cad2c3a08dc19549ce597509964cd45883660d50,953b17e343567c4598e438d7cad2c3a08dc19549ce597509964cd45883660d50,2503677923,literal_utf8_source_text
ru,8,common_voice_ru_v24:common_voice_ru_20176743,common_voice_ru_20176743.mp3,test,common_voice_ru_v24:client:938007cdc6612d27dde151c58475db75e024798f10df6e34d1d170345d585c098a37ec94dc9034024dba52ef5f36f1b6bc914923135a843e1a26dd3a999df3da,common_voice_ru_v24:client:938007cdc6612d27dde151c58475db75e024798f10df6e34d1d170345d585c098a37ec94dc9034024dba52ef5f36f1b6bc914923135a843e1a26dd3a999df3da,e41ffc47eb071032001f0a15693ca484bf49546b6542a86c26401e0601701ca8,97ca7266394fe0bea3bccb5fcb026c8eb197bde8b9eaea72b4856d141fe9d681,97ca7266394fe0bea3bccb5fcb026c8eb197bde8b9eaea72b4856d141fe9d681,2546627174,literal_utf8_source_text
ru,9,common_voice_ru_v24:common_voice_ru_26887644,common_voice_ru_26887644.mp3,test,common_voice_ru_v24:client:9a8b73ef15ccd46fa633707f742bc3d7e7e75360cf46674ff6df546aa53c63de8acd13cd031d3e3cb0f18f2dfe0828067453eb8f3427a6e36d42a90545944bb9,common_voice_ru_v24:client:9a8b73ef15ccd46fa633707f742bc3d7e7e75360cf46674ff6df546aa53c63de8acd13cd031d3e3cb0f18f2dfe0828067453eb8f3427a6e36d42a90545944bb9,a491e115baae90119e01b82c056305df23bf1c3733d57717555715c6885fd1b6,c39d6f1bf6cdf95d6494fc024a98a66dd38cf17d7eecc0c7c1fb319d9118012c,c39d6f1bf6cdf95d6494fc024a98a66dd38cf17d7eecc0c7c1fb319d9118012c,3281874715,literal_utf8_source_text
ru,10,common_voice_ru_v24:common_voice_ru_20559328,common_voice_ru_20559328.mp3,test,common_voice_ru_v24:client:224285eff9bbabb18e4903bfec6bfdb40a829096ee04786cab9bfcaa959f9f86960ce863f939f428dc8d783068863009e88f6e8fe0aafb9f1a51b8bd02e07f91,common_voice_ru_v24:client:224285eff9bbabb18e4903bfec6bfdb40a829096ee04786cab9bfcaa959f9f86960ce863f939f428dc8d783068863009e88f6e8fe0aafb9f1a51b8bd02e07f91,f6480652ea9a551a70d662cf9496c776a08ad9f4c97be999cd927441abebb844,70dc6fda9f4d5dbffe51bf3e69b8f669d50a6071eb6ed91e22843d829f51ad94,70dc6fda9f4d5dbffe51bf3e69b8f669d50a6071eb6ed91e22843d829f51ad94,1893494746,literal_utf8_source_text
