sample_id,relative_path,sha256,split,label,language,code_switch,parent_group_id,source_name,source_license,rights_basis,speaker_pseudo_id,text_id,text_hash,duration_s,generator_family,generator_name,generator_version,voice_id,clone_consent_id,device,capture_route,original_sr,codec,augmentation_chain,augmentation_seed,created_at
issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage:3bcea8dd7d50c661037f,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/kk_kazakhtts/kk_kazakhtts_001_8f74fed98e9d.wav,9fafec42c59f62751c9b97038570ceecad36f2e98e90a0bb5325cdbcbec223d1,test,spoof,kk,false,issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage:fixed-profile:issai_kazakhtts2_male2_tacotron2_pwg,issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage,Kazakh_TTS repository and published pretrained model artifacts CC-BY-4.0; ESPnet Apache-2.0; ParallelWaveGAN MIT,"One-shot local text-only derivative of frozen google_fleurs_kk_v1_v4_final_salvage text google_fleurs_kk_v1:prompt:645; no reference audio, cloning, resynthesis, replacement or backfill",issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage:synthetic-profile:issai_kazakhtts2_male2_tacotron2_pwg,google_fleurs_kk_v1:prompt:645,8f74fed98e9dc311da30505d99a6d2fd13f78ccf3b104b3e61d2396b07bcefd3,5.596009070294785,tacotron2_parallelwavegan_fixed_voice_tts,ISSAI KazakhTTS2 Male2 Tacotron2 + ParallelWaveGAN,source-fc906048ff5914a3528d1ae4ed6f7ccd94d71383; acoustic-deb9cb49703b012d8f1406d15f4fa182b39ecb320bc4e2be5a557ac58766ea75; vocoder-fb415182fdf84dbe6a0bbca72e5ed9ed39009b622cf39e20ba630cb830594329,issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,not_applicable:text_only_no_reference_audio,cuda:0,offline_text_only_final_materialization,22050,wav,text_normalizer=stage_c_kazakhtts_text_v1;synthesis_text_sha256=8f74fed98e9dc311da30505d99a6d2fd13f78ccf3b104b3e61d2396b07bcefd3;reference_audio=forbidden;voice_cloning=false,,2026-08-16T01:00:00+06:00
issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage:e9c6f3119ddb372b0efd,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/kk_kazakhtts/kk_kazakhtts_002_b53b01b0938b.wav,e16de73828e068520f6486cf25c2fcdf8566f60165f9abada322b82c5730fa23,test,spoof,kk,false,issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage:fixed-profile:issai_kazakhtts2_male2_tacotron2_pwg,issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage,Kazakh_TTS repository and published pretrained model artifacts CC-BY-4.0; ESPnet Apache-2.0; ParallelWaveGAN MIT,"One-shot local text-only derivative of frozen google_fleurs_kk_v1_v4_final_salvage text google_fleurs_kk_v1:prompt:322; no reference audio, cloning, resynthesis, replacement or backfill",issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage:synthetic-profile:issai_kazakhtts2_male2_tacotron2_pwg,google_fleurs_kk_v1:prompt:322,b53b01b0938b4a9d9979a14e99e1df7707bfb70d081dc05980c8dd96ef7e7123,10.077460317460318,tacotron2_parallelwavegan_fixed_voice_tts,ISSAI KazakhTTS2 Male2 Tacotron2 + ParallelWaveGAN,source-fc906048ff5914a3528d1ae4ed6f7ccd94d71383; acoustic-deb9cb49703b012d8f1406d15f4fa182b39ecb320bc4e2be5a557ac58766ea75; vocoder-fb415182fdf84dbe6a0bbca72e5ed9ed39009b622cf39e20ba630cb830594329,issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,not_applicable:text_only_no_reference_audio,cuda:0,offline_text_only_final_materialization,22050,wav,text_normalizer=stage_c_kazakhtts_text_v1;synthesis_text_sha256=b53b01b0938b4a9d9979a14e99e1df7707bfb70d081dc05980c8dd96ef7e7123;reference_audio=forbidden;voice_cloning=false,,2026-08-16T01:00:00+06:00
issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage:3ec686e6767b5449d397,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/kk_kazakhtts/kk_kazakhtts_003_54b7b64c2b21.wav,8e47fb20973db6edbdf10200e2afa32c40ded41da237127a7cc63eb19973cfc6,test,spoof,kk,false,issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage:fixed-profile:issai_kazakhtts2_male2_tacotron2_pwg,issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage,Kazakh_TTS repository and published pretrained model artifacts CC-BY-4.0; ESPnet Apache-2.0; ParallelWaveGAN MIT,"One-shot local text-only derivative of frozen google_fleurs_kk_v1_v4_final_salvage text google_fleurs_kk_v1:prompt:257; no reference audio, cloning, resynthesis, replacement or backfill",issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage:synthetic-profile:issai_kazakhtts2_male2_tacotron2_pwg,google_fleurs_kk_v1:prompt:257,54b7b64c2b21d4361349ce0d1b063286ccf6fb5126c2300d55d6ae808d45369c,7.082086167800454,tacotron2_parallelwavegan_fixed_voice_tts,ISSAI KazakhTTS2 Male2 Tacotron2 + ParallelWaveGAN,source-fc906048ff5914a3528d1ae4ed6f7ccd94d71383; acoustic-deb9cb49703b012d8f1406d15f4fa182b39ecb320bc4e2be5a557ac58766ea75; vocoder-fb415182fdf84dbe6a0bbca72e5ed9ed39009b622cf39e20ba630cb830594329,issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,not_applicable:text_only_no_reference_audio,cuda:0,offline_text_only_final_materialization,22050,wav,text_normalizer=stage_c_kazakhtts_text_v1;synthesis_text_sha256=cbbae11ea0f35f0a5f1782f29daa06a4b5eb48f4a2d37cb5d42d19e95fa7791d;reference_audio=forbidden;voice_cloning=false,,2026-08-16T01:00:00+06:00
issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage:dc49235117122cb376f1,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/kk_kazakhtts/kk_kazakhtts_004_bf955a63bff1.wav,c334e688a2f7cc7646bc988992dd69e7b89b9dc536ebcc631629d5a1140510db,test,spoof,kk,false,issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage:fixed-profile:issai_kazakhtts2_male2_tacotron2_pwg,issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage,Kazakh_TTS repository and published pretrained model artifacts CC-BY-4.0; ESPnet Apache-2.0; ParallelWaveGAN MIT,"One-shot local text-only derivative of frozen google_fleurs_kk_v1_v4_final_salvage text google_fleurs_kk_v1:prompt:538; no reference audio, cloning, resynthesis, replacement or backfill",issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage:synthetic-profile:issai_kazakhtts2_male2_tacotron2_pwg,google_fleurs_kk_v1:prompt:538,bf955a63bff11379e1d28a78a4fb6619f5c52fb945b3afd4b61aafbb6a4ba24f,8.196643990929704,tacotron2_parallelwavegan_fixed_voice_tts,ISSAI KazakhTTS2 Male2 Tacotron2 + ParallelWaveGAN,source-fc906048ff5914a3528d1ae4ed6f7ccd94d71383; acoustic-deb9cb49703b012d8f1406d15f4fa182b39ecb320bc4e2be5a557ac58766ea75; vocoder-fb415182fdf84dbe6a0bbca72e5ed9ed39009b622cf39e20ba630cb830594329,issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,not_applicable:text_only_no_reference_audio,cuda:0,offline_text_only_final_materialization,22050,wav,text_normalizer=stage_c_kazakhtts_text_v1;synthesis_text_sha256=bf955a63bff11379e1d28a78a4fb6619f5c52fb945b3afd4b61aafbb6a4ba24f;reference_audio=forbidden;voice_cloning=false,,2026-08-16T01:00:00+06:00
issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage:0de9df42e498b909bfbd,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/kk_kazakhtts/kk_kazakhtts_005_b737b4b3d3e2.wav,afacf08fa4db8f88c0951a62766c9371ea5035361e8063d5b3a432cae604a95f,test,spoof,kk,false,issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage:fixed-profile:issai_kazakhtts2_male2_tacotron2_pwg,issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage,Kazakh_TTS repository and published pretrained model artifacts CC-BY-4.0; ESPnet Apache-2.0; ParallelWaveGAN MIT,"One-shot local text-only derivative of frozen google_fleurs_kk_v1_v4_final_salvage text google_fleurs_kk_v1:prompt:73; no reference audio, cloning, resynthesis, replacement or backfill",issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage:synthetic-profile:issai_kazakhtts2_male2_tacotron2_pwg,google_fleurs_kk_v1:prompt:73,b737b4b3d3e22f6f20d1ad1789e57b61dedb216f98620cbfa76e777af267b30f,10.750839002267574,tacotron2_parallelwavegan_fixed_voice_tts,ISSAI KazakhTTS2 Male2 Tacotron2 + ParallelWaveGAN,source-fc906048ff5914a3528d1ae4ed6f7ccd94d71383; acoustic-deb9cb49703b012d8f1406d15f4fa182b39ecb320bc4e2be5a557ac58766ea75; vocoder-fb415182fdf84dbe6a0bbca72e5ed9ed39009b622cf39e20ba630cb830594329,issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,not_applicable:text_only_no_reference_audio,cuda:0,offline_text_only_final_materialization,22050,wav,text_normalizer=stage_c_kazakhtts_text_v1;synthesis_text_sha256=b737b4b3d3e22f6f20d1ad1789e57b61dedb216f98620cbfa76e777af267b30f;reference_audio=forbidden;voice_cloning=false,,2026-08-16T01:00:00+06:00
issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage:519b4c71199d8c8038f3,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/kk_kazakhtts/kk_kazakhtts_006_f1ddd01effbc.wav,70bffdf96538784f4f8436e618e94f6463c169ae682143c29104b542811111f4,test,spoof,kk,false,issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage:fixed-profile:issai_kazakhtts2_male2_tacotron2_pwg,issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage,Kazakh_TTS repository and published pretrained model artifacts CC-BY-4.0; ESPnet Apache-2.0; ParallelWaveGAN MIT,"One-shot local text-only derivative of frozen google_fleurs_kk_v1_v4_final_salvage text google_fleurs_kk_v1:prompt:482; no reference audio, cloning, resynthesis, replacement or backfill",issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage:synthetic-profile:issai_kazakhtts2_male2_tacotron2_pwg,google_fleurs_kk_v1:prompt:482,f1ddd01effbc85239f7c7787a4ae9a089b9fc2601cc90d5ba60e961aef37ec35,6.5712471655328795,tacotron2_parallelwavegan_fixed_voice_tts,ISSAI KazakhTTS2 Male2 Tacotron2 + ParallelWaveGAN,source-fc906048ff5914a3528d1ae4ed6f7ccd94d71383; acoustic-deb9cb49703b012d8f1406d15f4fa182b39ecb320bc4e2be5a557ac58766ea75; vocoder-fb415182fdf84dbe6a0bbca72e5ed9ed39009b622cf39e20ba630cb830594329,issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,not_applicable:text_only_no_reference_audio,cuda:0,offline_text_only_final_materialization,22050,wav,text_normalizer=stage_c_kazakhtts_text_v1;synthesis_text_sha256=f1ddd01effbc85239f7c7787a4ae9a089b9fc2601cc90d5ba60e961aef37ec35;reference_audio=forbidden;voice_cloning=false,,2026-08-16T01:00:00+06:00
issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage:1db8f83cc5c1db1a0467,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/kk_kazakhtts/kk_kazakhtts_007_c9a078834d4b.wav,cf9e7f1509785a133a57720a104c6f7bff9a9d0c9a15eaa497c2386e06117f37,test,spoof,kk,false,issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage:fixed-profile:issai_kazakhtts2_male2_tacotron2_pwg,issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage,Kazakh_TTS repository and published pretrained model artifacts CC-BY-4.0; ESPnet Apache-2.0; ParallelWaveGAN MIT,"One-shot local text-only derivative of frozen google_fleurs_kk_v1_v4_final_salvage text google_fleurs_kk_v1:prompt:1049; no reference audio, cloning, resynthesis, replacement or backfill",issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage:synthetic-profile:issai_kazakhtts2_male2_tacotron2_pwg,google_fleurs_kk_v1:prompt:1049,c9a078834d4b564894143c3f6d5e9aa724c03ae6b88d4d65c8e8744e835c4fcb,9.09061224489796,tacotron2_parallelwavegan_fixed_voice_tts,ISSAI KazakhTTS2 Male2 Tacotron2 + ParallelWaveGAN,source-fc906048ff5914a3528d1ae4ed6f7ccd94d71383; acoustic-deb9cb49703b012d8f1406d15f4fa182b39ecb320bc4e2be5a557ac58766ea75; vocoder-fb415182fdf84dbe6a0bbca72e5ed9ed39009b622cf39e20ba630cb830594329,issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,not_applicable:text_only_no_reference_audio,cuda:0,offline_text_only_final_materialization,22050,wav,text_normalizer=stage_c_kazakhtts_text_v1;synthesis_text_sha256=c9a078834d4b564894143c3f6d5e9aa724c03ae6b88d4d65c8e8744e835c4fcb;reference_audio=forbidden;voice_cloning=false,,2026-08-16T01:00:00+06:00
issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage:6d1f19947e6c6eab1e07,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/kk_kazakhtts/kk_kazakhtts_008_9824d450ed25.wav,06ab7a2311133a5ce5ba6027f24feaac1aed511f01ce8f7b8a0a9b87ac88c1e4,test,spoof,kk,false,issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage:fixed-profile:issai_kazakhtts2_male2_tacotron2_pwg,issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage,Kazakh_TTS repository and published pretrained model artifacts CC-BY-4.0; ESPnet Apache-2.0; ParallelWaveGAN MIT,"One-shot local text-only derivative of frozen google_fleurs_kk_v1_v4_final_salvage text google_fleurs_kk_v1:prompt:670; no reference audio, cloning, resynthesis, replacement or backfill",issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage:synthetic-profile:issai_kazakhtts2_male2_tacotron2_pwg,google_fleurs_kk_v1:prompt:670,9824d450ed2507ed6d79a2e387e016066acdee2ae65a0f2874107b39f01c0595,5.851428571428571,tacotron2_parallelwavegan_fixed_voice_tts,ISSAI KazakhTTS2 Male2 Tacotron2 + ParallelWaveGAN,source-fc906048ff5914a3528d1ae4ed6f7ccd94d71383; acoustic-deb9cb49703b012d8f1406d15f4fa182b39ecb320bc4e2be5a557ac58766ea75; vocoder-fb415182fdf84dbe6a0bbca72e5ed9ed39009b622cf39e20ba630cb830594329,issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,not_applicable:text_only_no_reference_audio,cuda:0,offline_text_only_final_materialization,22050,wav,text_normalizer=stage_c_kazakhtts_text_v1;synthesis_text_sha256=9824d450ed2507ed6d79a2e387e016066acdee2ae65a0f2874107b39f01c0595;reference_audio=forbidden;voice_cloning=false,,2026-08-16T01:00:00+06:00
issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage:bf0d1bb2f88f7be50376,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/kk_kazakhtts/kk_kazakhtts_009_011079cd5e24.wav,1a7dc4fd2675f9daf93d7ef6244db396e890b73478084939163f1c17c64362ae,test,spoof,kk,false,issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage:fixed-profile:issai_kazakhtts2_male2_tacotron2_pwg,issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage,Kazakh_TTS repository and published pretrained model artifacts CC-BY-4.0; ESPnet Apache-2.0; ParallelWaveGAN MIT,"One-shot local text-only derivative of frozen google_fleurs_kk_v1_v4_final_salvage text google_fleurs_kk_v1:prompt:273; no reference audio, cloning, resynthesis, replacement or backfill",issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage:synthetic-profile:issai_kazakhtts2_male2_tacotron2_pwg,google_fleurs_kk_v1:prompt:273,011079cd5e24c2ebc28e7d38868d903bac72e903863099d87066eea7c5418141,8.928072562358278,tacotron2_parallelwavegan_fixed_voice_tts,ISSAI KazakhTTS2 Male2 Tacotron2 + ParallelWaveGAN,source-fc906048ff5914a3528d1ae4ed6f7ccd94d71383; acoustic-deb9cb49703b012d8f1406d15f4fa182b39ecb320bc4e2be5a557ac58766ea75; vocoder-fb415182fdf84dbe6a0bbca72e5ed9ed39009b622cf39e20ba630cb830594329,issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,not_applicable:text_only_no_reference_audio,cuda:0,offline_text_only_final_materialization,22050,wav,text_normalizer=stage_c_kazakhtts_text_v1;synthesis_text_sha256=011079cd5e24c2ebc28e7d38868d903bac72e903863099d87066eea7c5418141;reference_audio=forbidden;voice_cloning=false,,2026-08-16T01:00:00+06:00
issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage:b4a7fdd7572431c76fa0,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/kk_kazakhtts/kk_kazakhtts_010_15edc52f6d98.wav,bffb2074ca7ee46eb65bb6bbf92e504de89b1d3eabf149db0695123819bd197f,test,spoof,kk,false,issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage:fixed-profile:issai_kazakhtts2_male2_tacotron2_pwg,issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage,Kazakh_TTS repository and published pretrained model artifacts CC-BY-4.0; ESPnet Apache-2.0; ParallelWaveGAN MIT,"One-shot local text-only derivative of frozen google_fleurs_kk_v1_v4_final_salvage text google_fleurs_kk_v1:prompt:1253; no reference audio, cloning, resynthesis, replacement or backfill",issai_kazakhtts2_male2_tacotron2_pwg_v4_final_salvage:synthetic-profile:issai_kazakhtts2_male2_tacotron2_pwg,google_fleurs_kk_v1:prompt:1253,15edc52f6d9822de2e28c5bb065653bcc64448b9f35b922207e38953fb68cb53,4.818140589569161,tacotron2_parallelwavegan_fixed_voice_tts,ISSAI KazakhTTS2 Male2 Tacotron2 + ParallelWaveGAN,source-fc906048ff5914a3528d1ae4ed6f7ccd94d71383; acoustic-deb9cb49703b012d8f1406d15f4fa182b39ecb320bc4e2be5a557ac58766ea75; vocoder-fb415182fdf84dbe6a0bbca72e5ed9ed39009b622cf39e20ba630cb830594329,issai_kazakhtts2_male2_tacotron2_pwg:ISSAI_KazakhTTS2_M2,not_applicable:text_only_no_reference_audio,cuda:0,offline_text_only_final_materialization,22050,wav,text_normalizer=stage_c_kazakhtts_text_v1;synthesis_text_sha256=15edc52f6d9822de2e28c5bb065653bcc64448b9f35b922207e38953fb68cb53;reference_audio=forbidden;voice_cloning=false,,2026-08-16T01:00:00+06:00
