sample_id,relative_path,sha256,split,label,language,code_switch,parent_group_id,source_name,source_license,rights_basis,speaker_pseudo_id,text_id,text_hash,duration_s,generator_family,generator_name,generator_version,voice_id,clone_consent_id,device,capture_route,original_sr,codec,augmentation_chain,augmentation_seed,created_at
google_fleurs_kk_v1:9123579944725184783,processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/kk_source/5c/5c24f3009fafebd300f60928c281d9016a146d590eb3fe401db935039de90cf8.wav,08f359bb531e6a02e84d8c1f4839b49b1adfdd40d08f016db9d9d660114fbfac,test,bonafide,kk,false,google_fleurs_kk_v1:prompt:322,google_fleurs_kk_v1_v4_final_salvage,CC-BY-4.0,Verified partial recovery FLEURS slice; CC-BY-4.0 attribution retained; no replacement or backfill,google_fleurs_kk_v1:unknown,google_fleurs_kk_v1:prompt:322,b53b01b0938b4a9d9979a14e99e1df7707bfb70d081dc05980c8dd96ef7e7123,11.4,,,,,,unknown,read_speech_corpus,16000,wav,,,2026-08-16T01:00:00+06:00
google_fleurs_kk_v1:7985685938427122612,processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/kk_source/48/48aed0606d2d7034e2361d1aa4429e5a441f2edcc02fe13293dad17e55f3c04d.wav,a1514e0d24d52cb1526b9483163c7a2dcc3c2f6848d763db6e2ca1e0224306bf,test,bonafide,kk,false,google_fleurs_kk_v1:prompt:257,google_fleurs_kk_v1_v4_final_salvage,CC-BY-4.0,Verified partial recovery FLEURS slice; CC-BY-4.0 attribution retained; no replacement or backfill,google_fleurs_kk_v1:unknown,google_fleurs_kk_v1:prompt:257,54b7b64c2b21d4361349ce0d1b063286ccf6fb5126c2300d55d6ae808d45369c,8.7,,,,,,unknown,read_speech_corpus,16000,wav,,,2026-08-16T01:00:00+06:00
google_fleurs_kk_v1:14672292347554324875,processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/kk_source/12/12b749803eb6253d6b696339d935c11d2b1fd46687af4c15cea2c4ce757de802.wav,066e2f844bac184ce618740a0ba70c4729436132ed4cc6da11e6cc49456fe830,test,bonafide,kk,false,google_fleurs_kk_v1:prompt:538,google_fleurs_kk_v1_v4_final_salvage,CC-BY-4.0,Verified partial recovery FLEURS slice; CC-BY-4.0 attribution retained; no replacement or backfill,google_fleurs_kk_v1:unknown,google_fleurs_kk_v1:prompt:538,bf955a63bff11379e1d28a78a4fb6619f5c52fb945b3afd4b61aafbb6a4ba24f,10.8,,,,,,unknown,read_speech_corpus,16000,wav,,,2026-08-16T01:00:00+06:00
google_fleurs_kk_v1:654913289757481737,processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/kk_source/2a/2ad7cdc9a4db46aea1338641c739ace8bd1cd54c6c4002a9a9469a28dd8c076c.wav,002e4ca3b070735a8516b23040c3190789877c3522455cfc857c1b8087619ed5,test,bonafide,kk,false,google_fleurs_kk_v1:prompt:73,google_fleurs_kk_v1_v4_final_salvage,CC-BY-4.0,Verified partial recovery FLEURS slice; CC-BY-4.0 attribution retained; no replacement or backfill,google_fleurs_kk_v1:unknown,google_fleurs_kk_v1:prompt:73,b737b4b3d3e22f6f20d1ad1789e57b61dedb216f98620cbfa76e777af267b30f,25.38,,,,,,unknown,read_speech_corpus,16000,wav,,,2026-08-16T01:00:00+06:00
google_fleurs_kk_v1:12102794941351785335,processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/kk_source/11/11ad65d1e865cc5f55e248c6f816875e429360b2dbda58a50a87129d112828f5.wav,4fb2c1e51d186a3799aa3150447358f0ea8ddb083a7efd55766e4df144ba4447,test,bonafide,kk,false,google_fleurs_kk_v1:prompt:482,google_fleurs_kk_v1_v4_final_salvage,CC-BY-4.0,Verified partial recovery FLEURS slice; CC-BY-4.0 attribution retained; no replacement or backfill,google_fleurs_kk_v1:unknown,google_fleurs_kk_v1:prompt:482,f1ddd01effbc85239f7c7787a4ae9a089b9fc2601cc90d5ba60e961aef37ec35,15.54,,,,,,unknown,read_speech_corpus,16000,wav,,,2026-08-16T01:00:00+06:00
google_fleurs_kk_v1:10109350883402351139,processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/kk_source/70/70c85fd3d65869de22647d398d4cb9780db9d240715731157a9a47e9c880dced.wav,bb63481f1e63d4935e1a36e943d9d4307c3bbd94b5f18753fd0beb4de6604b90,test,bonafide,kk,false,google_fleurs_kk_v1:prompt:1049,google_fleurs_kk_v1_v4_final_salvage,CC-BY-4.0,Verified partial recovery FLEURS slice; CC-BY-4.0 attribution retained; no replacement or backfill,google_fleurs_kk_v1:unknown,google_fleurs_kk_v1:prompt:1049,c9a078834d4b564894143c3f6d5e9aa724c03ae6b88d4d65c8e8744e835c4fcb,12.36,,,,,,unknown,read_speech_corpus,16000,wav,,,2026-08-16T01:00:00+06:00
google_fleurs_kk_v1:8477099382803079696,processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/kk_source/36/3636dafb2098fefa90ceab5ec0958627ad42478e67a3c1e40586c950e1949ea9.wav,6e96ed6cde0699db2da9c777c0a6f25666ce4abec9bdc2e81e565e31bedada5b,test,bonafide,kk,false,google_fleurs_kk_v1:prompt:670,google_fleurs_kk_v1_v4_final_salvage,CC-BY-4.0,Verified partial recovery FLEURS slice; CC-BY-4.0 attribution retained; no replacement or backfill,google_fleurs_kk_v1:unknown,google_fleurs_kk_v1:prompt:670,9824d450ed2507ed6d79a2e387e016066acdee2ae65a0f2874107b39f01c0595,12.0,,,,,,unknown,read_speech_corpus,16000,wav,,,2026-08-16T01:00:00+06:00
google_fleurs_kk_v1:10779205642763805442,processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/kk_source/01/017ae9841ef8e30e85d41ee06b152c3a30bd62a919ab3cc7a762917a63c0cba1.wav,19426b4d7b3ce25be728f79c1ec2320fb7bdd97da1af649702a2ee61ba609522,test,bonafide,kk,false,google_fleurs_kk_v1:prompt:273,google_fleurs_kk_v1_v4_final_salvage,CC-BY-4.0,Verified partial recovery FLEURS slice; CC-BY-4.0 attribution retained; no replacement or backfill,google_fleurs_kk_v1:unknown,google_fleurs_kk_v1:prompt:273,011079cd5e24c2ebc28e7d38868d903bac72e903863099d87066eea7c5418141,9.0,,,,,,unknown,read_speech_corpus,16000,wav,,,2026-08-16T01:00:00+06:00
google_fleurs_kk_v1:15807951217357859576,processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/kk_source/3b/3b4ee5784f71643c9898ddbb1dec50577a2a498d1e58e841ef4d849b0c98b3a6.wav,bce920edcdc28642f14909908faae2229320b7f4e3e88a130cdb48ecf4208b76,test,bonafide,kk,false,google_fleurs_kk_v1:prompt:495,google_fleurs_kk_v1_v4_final_salvage,CC-BY-4.0,Verified partial recovery FLEURS slice; CC-BY-4.0 attribution retained; no replacement or backfill,google_fleurs_kk_v1:unknown,google_fleurs_kk_v1:prompt:495,6b819af360dbf5d18e9b6f988a1f10bcaa1308c45a548f4b7fdc56e31c4b50bb,11.7,,,,,,unknown,read_speech_corpus,16000,wav,,,2026-08-16T01:00:00+06:00
google_fleurs_kk_v1:16278295910526329400,processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/kk_source/f8/f842890ead7edfd139f1339d9da5a9011fd59368e47beb3462056d0af0f9af2d.wav,429805defe64e2506ad447132e355e2da3e6f0291bf65fe6ec59ef6bed49a339,test,bonafide,kk,false,google_fleurs_kk_v1:prompt:607,google_fleurs_kk_v1_v4_final_salvage,CC-BY-4.0,Verified partial recovery FLEURS slice; CC-BY-4.0 attribution retained; no replacement or backfill,google_fleurs_kk_v1:unknown,google_fleurs_kk_v1:prompt:607,542c4e545a0cb34294f799fb0f5f451d7f23b3ccc043c120cda9fed1e698f3d3,6.84,,,,,,unknown,read_speech_corpus,16000,wav,,,2026-08-16T01:00:00+06:00
google_fleurs_kk_v1:5658451613953008814,processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/kk_source/ac/ac9f5ead7fc4056c4685fcebda137daa979a8c5537798bf05e4773ea2c53cc0d.wav,1f4830093148fc7f80ad785c9ab93d3e8b5852645778a32a37622b0a1732b45c,test,bonafide,kk,false,google_fleurs_kk_v1:prompt:248,google_fleurs_kk_v1_v4_final_salvage,CC-BY-4.0,Verified partial recovery FLEURS slice; CC-BY-4.0 attribution retained; no replacement or backfill,google_fleurs_kk_v1:unknown,google_fleurs_kk_v1:prompt:248,f0dab0ffbe5eac9f7fc721adc5bb78b3090d1b73a080dd8b60dbd17b53be7968,9.72,,,,,,unknown,read_speech_corpus,16000,wav,,,2026-08-16T01:00:00+06:00
