sample_id,relative_path,sha256,split,label,language,code_switch,parent_group_id,source_name,source_license,rights_basis,speaker_pseudo_id,text_id,text_hash,duration_s,generator_family,generator_name,generator_version,voice_id,clone_consent_id,device,capture_route,original_sr,codec,augmentation_chain,augmentation_seed,created_at
common_voice_ru_v24:common_voice_ru_19057249,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/ru_source/clips/common_voice_ru_19057249.mp3,edfe09685d35e87fed8294a7a4849eb038da6a0ba9dd7fa59dbdd77c520590a1,test,bonafide,ru,false,common_voice_ru_v24:client:f61d92afbd37797ef5680029ec7f02c229ebc43606d30e72256b4d585e6122d13769b91b8fcfd6ad63262f7c62bbcd965db1bb31488f53aeca89080adf1df5bf,common_voice_ru_v24_v4_final_salvage,CC0-1.0,Verified partial recovery Common Voice slice; personal research only; no replacement or backfill,common_voice_ru_v24:client:f61d92afbd37797ef5680029ec7f02c229ebc43606d30e72256b4d585e6122d13769b91b8fcfd6ad63262f7c62bbcd965db1bb31488f53aeca89080adf1df5bf,5cbd497183474f66174a9f6b08dce9dde01f2d629774a2c46b57807f0b6620ca,f33e675917075623564484c2109aefae8c5469aa509079b1390823682c4cdbbe,5.501625,,,,,,unknown,crowdsourced_web_recording,48000,mp3,,,2026-08-16T01:00:00+06:00
common_voice_ru_v24:common_voice_ru_37949828,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/ru_source/clips/common_voice_ru_37949828.mp3,31bca3e3cae6b7d2a5d915cb40100b5413750906424b1b8bb9224aab93b4e873,test,bonafide,ru,false,common_voice_ru_v24:client:b7414bf132a706576d6698812e8196fc49216739a58b838482bca6dcd5a614e486e6981f63c588027bb66ecb0af2ae54dcd087b72c6df79951c9f5e33b815336,common_voice_ru_v24_v4_final_salvage,CC0-1.0,Verified partial recovery Common Voice slice; personal research only; no replacement or backfill,common_voice_ru_v24:client:b7414bf132a706576d6698812e8196fc49216739a58b838482bca6dcd5a614e486e6981f63c588027bb66ecb0af2ae54dcd087b72c6df79951c9f5e33b815336,7140d01b88c26fc7e6f4ec83794f1d7d672d2ea666d82fcd4e2b729f39a3532a,8ee44ab2f66fb8e8d12856ececb67501044998b8efeec898e88a01b09af5ca6b,5.7675,,,,,,unknown,crowdsourced_web_recording,32000,mp3,,,2026-08-16T01:00:00+06:00
common_voice_ru_v24:common_voice_ru_20111061,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/ru_source/clips/common_voice_ru_20111061.mp3,310174f97796906c9f9809af4c2e77bbed3a56640764b43047ae41737c89a400,test,bonafide,ru,false,common_voice_ru_v24:client:03291c62b26e982afb61a71eb889249136e805c9bf140449408625bee1cc47a60ae989246949e6c754d69704bbb5c9373cabcaf1ef535341b4f3e5d90f8393ae,common_voice_ru_v24_v4_final_salvage,CC0-1.0,Verified partial recovery Common Voice slice; personal research only; no replacement or backfill,common_voice_ru_v24:client:03291c62b26e982afb61a71eb889249136e805c9bf140449408625bee1cc47a60ae989246949e6c754d69704bbb5c9373cabcaf1ef535341b4f3e5d90f8393ae,e7a4ba37d3c3de8c9e8aab0f2523c7925f3a6e2d2e79f6a562e36e770da13729,b52d47c722cb1fc965d03feb0359ba1ea720a6dcf9205b6eaeba64de1ba5ba85,5.189625,,,,,,unknown,crowdsourced_web_recording,48000,mp3,,,2026-08-16T01:00:00+06:00
common_voice_ru_v24:common_voice_ru_32700944,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/ru_source/clips/common_voice_ru_32700944.mp3,82d6d3c165d0e5d2dbd1f785f87b9eee71a012eebd5c896ce609860048db968c,test,bonafide,ru,false,common_voice_ru_v24:client:dff9b54a721f680b6a078073fb4202b19a8fd61c9a023cdd77dd428c383d7cd801c36f7aec093e86107bf8dc10f3a2b0fdc7bc7cdca4a10d4becab08fc67cb20,common_voice_ru_v24_v4_final_salvage,CC0-1.0,Verified partial recovery Common Voice slice; personal research only; no replacement or backfill,common_voice_ru_v24:client:dff9b54a721f680b6a078073fb4202b19a8fd61c9a023cdd77dd428c383d7cd801c36f7aec093e86107bf8dc10f3a2b0fdc7bc7cdca4a10d4becab08fc67cb20,d05a0c9e2ec809748ffbdf7970558812ba1597cb4df0e7f41ed1ec10882b56fe,9cca30af544691548e11bdfd0eae8ef3e6b6fa1751f5d773d7db58993194c5e7,4.7955,,,,,,unknown,crowdsourced_web_recording,32000,mp3,,,2026-08-16T01:00:00+06:00
common_voice_ru_v24:common_voice_ru_30387521,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/ru_source/clips/common_voice_ru_30387521.mp3,66f202800b76441ee0d7ea6b9432325bd08f10607668ce3acb11613cbb751d13,test,bonafide,ru,false,common_voice_ru_v24:client:04ca500ab37053dfb8a5bbf0cd01220793acde00b6cf9ecddd452f79b1b90a91239cb8caa265691c49e0691ee2237afd2a1c3c8aa45755928ffbf8aca3325104,common_voice_ru_v24_v4_final_salvage,CC0-1.0,Verified partial recovery Common Voice slice; personal research only; no replacement or backfill,common_voice_ru_v24:client:04ca500ab37053dfb8a5bbf0cd01220793acde00b6cf9ecddd452f79b1b90a91239cb8caa265691c49e0691ee2237afd2a1c3c8aa45755928ffbf8aca3325104,9bde62d37676f7c21886db78d36522851f0e3030c4de24f1a5630d9911756ba8,4bb13f4d7a5fa5abe3c5ad239850ca4d1ac0a43b1abb520722c38d2924d86957,7.54765625,,,,,,unknown,crowdsourced_web_recording,32000,mp3,,,2026-08-16T01:00:00+06:00
common_voice_ru_v24:common_voice_ru_22923033,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/ru_source/clips/common_voice_ru_22923033.mp3,54cbd7fcb405fbf312e288cf9bad56cb508e2c21c10eca3e94bdebed44f0bdc6,test,bonafide,ru,false,common_voice_ru_v24:client:e1df31869e2627e094fa863022ac638d4710883fd6c1a9d4df8beccc8de9ed030799e3f3d7fc073d15e27bd7f3957049af9e5b46828b427752db94216280ab3e,common_voice_ru_v24_v4_final_salvage,CC0-1.0,Verified partial recovery Common Voice slice; personal research only; no replacement or backfill,common_voice_ru_v24:client:e1df31869e2627e094fa863022ac638d4710883fd6c1a9d4df8beccc8de9ed030799e3f3d7fc073d15e27bd7f3957049af9e5b46828b427752db94216280ab3e,6304fe80d8f4a45356fb1678cdb620a5818387e561f8fc882ad3568b0ac05fb9,953b17e343567c4598e438d7cad2c3a08dc19549ce597509964cd45883660d50,4.109625,,,,,,unknown,crowdsourced_web_recording,48000,mp3,,,2026-08-16T01:00:00+06:00
common_voice_ru_v24:common_voice_ru_20176743,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/ru_source/clips/common_voice_ru_20176743.mp3,451e32c62c4ba1f2ab1f2ec296dd436ace2aa18a13b49589a5f325d04804e8d0,test,bonafide,ru,false,common_voice_ru_v24:client:938007cdc6612d27dde151c58475db75e024798f10df6e34d1d170345d585c098a37ec94dc9034024dba52ef5f36f1b6bc914923135a843e1a26dd3a999df3da,common_voice_ru_v24_v4_final_salvage,CC0-1.0,Verified partial recovery Common Voice slice; personal research only; no replacement or backfill,common_voice_ru_v24:client:938007cdc6612d27dde151c58475db75e024798f10df6e34d1d170345d585c098a37ec94dc9034024dba52ef5f36f1b6bc914923135a843e1a26dd3a999df3da,e41ffc47eb071032001f0a15693ca484bf49546b6542a86c26401e0601701ca8,97ca7266394fe0bea3bccb5fcb026c8eb197bde8b9eaea72b4856d141fe9d681,8.549625,,,,,,unknown,crowdsourced_web_recording,48000,mp3,,,2026-08-16T01:00:00+06:00
common_voice_ru_v24:common_voice_ru_26887644,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/ru_source/clips/common_voice_ru_26887644.mp3,d946530a9da23488b759691a38bbc7458c88813e993d8b3a4f5e7a3bff16f49c,test,bonafide,ru,false,common_voice_ru_v24:client:9a8b73ef15ccd46fa633707f742bc3d7e7e75360cf46674ff6df546aa53c63de8acd13cd031d3e3cb0f18f2dfe0828067453eb8f3427a6e36d42a90545944bb9,common_voice_ru_v24_v4_final_salvage,CC0-1.0,Verified partial recovery Common Voice slice; personal research only; no replacement or backfill,common_voice_ru_v24:client:9a8b73ef15ccd46fa633707f742bc3d7e7e75360cf46674ff6df546aa53c63de8acd13cd031d3e3cb0f18f2dfe0828067453eb8f3427a6e36d42a90545944bb9,a491e115baae90119e01b82c056305df23bf1c3733d57717555715c6885fd1b6,c39d6f1bf6cdf95d6494fc024a98a66dd38cf17d7eecc0c7c1fb319d9118012c,5.7675,,,,,,unknown,crowdsourced_web_recording,32000,mp3,,,2026-08-16T01:00:00+06:00
common_voice_ru_v24:common_voice_ru_20559328,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/ru_source/clips/common_voice_ru_20559328.mp3,42564794b84723ab3e521ed8e1eef336ee6986aee177d50ea4c8ad4732e60729,test,bonafide,ru,false,common_voice_ru_v24:client:224285eff9bbabb18e4903bfec6bfdb40a829096ee04786cab9bfcaa959f9f86960ce863f939f428dc8d783068863009e88f6e8fe0aafb9f1a51b8bd02e07f91,common_voice_ru_v24_v4_final_salvage,CC0-1.0,Verified partial recovery Common Voice slice; personal research only; no replacement or backfill,common_voice_ru_v24:client:224285eff9bbabb18e4903bfec6bfdb40a829096ee04786cab9bfcaa959f9f86960ce863f939f428dc8d783068863009e88f6e8fe0aafb9f1a51b8bd02e07f91,f6480652ea9a551a70d662cf9496c776a08ad9f4c97be999cd927441abebb844,70dc6fda9f4d5dbffe51bf3e69b8f669d50a6071eb6ed91e22843d829f51ad94,4.757625,,,,,,unknown,crowdsourced_web_recording,48000,mp3,,,2026-08-16T01:00:00+06:00
common_voice_ru_v24:common_voice_ru_34969206,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/ru_source/clips/common_voice_ru_34969206.mp3,8663459ac316e67ddecb4dbc9b26644153cb991f3ade727daccac6f2c66e5080,test,bonafide,ru,false,common_voice_ru_v24:client:ca1adca885a59675bf42cdee53890250f449c80cd07b7ce167a5deb8dac4db73ec0898bffbc1d74d1d6cb5febc5a08dcb79746c17cb786c6ebe073aab112267f,common_voice_ru_v24_v4_final_salvage,CC0-1.0,Verified partial recovery Common Voice slice; personal research only; no replacement or backfill,common_voice_ru_v24:client:ca1adca885a59675bf42cdee53890250f449c80cd07b7ce167a5deb8dac4db73ec0898bffbc1d74d1d6cb5febc5a08dcb79746c17cb786c6ebe073aab112267f,94821c8469f911d2024f19c42ef477e16c738e4adfb07d010ea852a2daa716a7,fa4a1abd9daefdd91535411aa7aed1e4f711edcfe1fbe13537cad6628f6fbd53,4.4355,,,,,,unknown,crowdsourced_web_recording,32000,mp3,,,2026-08-16T01:00:00+06:00
common_voice_ru_v24:common_voice_ru_25825195,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/ru_source/clips/common_voice_ru_25825195.mp3,d8f51608fd68d52a75312606af83ca8ecdc1191c4dfa234908e41c662b7017ee,test,bonafide,ru,false,common_voice_ru_v24:client:4b80a9cb0d6a419eab1685bed2176c6b99cd9216c180a25a30c141338990127d6469019307c634b952d3b3742f4741f50a548eeba397d8446f86405f112250ca,common_voice_ru_v24_v4_final_salvage,CC0-1.0,Verified partial recovery Common Voice slice; personal research only; no replacement or backfill,common_voice_ru_v24:client:4b80a9cb0d6a419eab1685bed2176c6b99cd9216c180a25a30c141338990127d6469019307c634b952d3b3742f4741f50a548eeba397d8446f86405f112250ca,393e5235fa699fdcb28590f8d16471d3a85e1f6eefb3ac6508afbb6d67bf6237,51a1aaf11a8b2fef7540b013f2a4b7a4d94e03466476de69b99ecafd7f06bdf8,9.4755,,,,,,unknown,crowdsourced_web_recording,32000,mp3,,,2026-08-16T01:00:00+06:00
common_voice_ru_v24:common_voice_ru_35120451,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/ru_source/clips/common_voice_ru_35120451.mp3,7735e80768e7250bc5950dccf526ddd06b729eb634c83ca877294218c4f7fc2c,test,bonafide,ru,false,common_voice_ru_v24:client:aa5455ceff1761f060fa7da75c8bdc85e74aedb03e3e0aff18c939378ce96c87e2ee7a9577bcdbbccd536334b9e85b31e39e0549c837b0948faedc5b32c9c62e,common_voice_ru_v24_v4_final_salvage,CC0-1.0,Verified partial recovery Common Voice slice; personal research only; no replacement or backfill,common_voice_ru_v24:client:aa5455ceff1761f060fa7da75c8bdc85e74aedb03e3e0aff18c939378ce96c87e2ee7a9577bcdbbccd536334b9e85b31e39e0549c837b0948faedc5b32c9c62e,b8a72c1021954980298dd7b4d4252f523646e9f5330a9a3f316ad458f329ddac,224bb25a02b4e29474bdec300c45fdd4bc9598b8ad1e67590abc820418f3611e,6.4875,,,,,,unknown,crowdsourced_web_recording,32000,mp3,,,2026-08-16T01:00:00+06:00
common_voice_ru_v24:common_voice_ru_19028853,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/ru_source/clips/common_voice_ru_19028853.mp3,19f6083f79bba29faff78ded0df97fe5d43f37e69bfc1a24152e6918699f41a5,test,bonafide,ru,false,common_voice_ru_v24:client:7ce78d7fe16ba82873c03d40aecb7a4c78069a007a9ee5c35797ec40ec3c9572a7bfc7671b05213d33e28f7a1fcb36b829e1c852a17ecfc1af700b3d31b8010e,common_voice_ru_v24_v4_final_salvage,CC0-1.0,Verified partial recovery Common Voice slice; personal research only; no replacement or backfill,common_voice_ru_v24:client:7ce78d7fe16ba82873c03d40aecb7a4c78069a007a9ee5c35797ec40ec3c9572a7bfc7671b05213d33e28f7a1fcb36b829e1c852a17ecfc1af700b3d31b8010e,141dc8c8161502f188b70188cef576474fece754503594ebf6a0fa0b257c312b,e3c8f81cd7d9341c903b6eb12856bf8ed5ce34f9d8b47f96656a627c9491bf92,7.229625,,,,,,unknown,crowdsourced_web_recording,48000,mp3,,,2026-08-16T01:00:00+06:00
common_voice_ru_v24:common_voice_ru_19340547,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/ru_source/clips/common_voice_ru_19340547.mp3,1dc8cadba918060e5ac46f9a6a2b781cb594c59742fd4bb208b32e06f5e2e26b,test,bonafide,ru,false,common_voice_ru_v24:client:49e8d8af7e40e732b3366f9f24468a00cdea9e6acc5f9860c333322564ffe717ba203ac749160c29af393e468d3b2d4a08363123c0d008f7f355af63f39062ca,common_voice_ru_v24_v4_final_salvage,CC0-1.0,Verified partial recovery Common Voice slice; personal research only; no replacement or backfill,common_voice_ru_v24:client:49e8d8af7e40e732b3366f9f24468a00cdea9e6acc5f9860c333322564ffe717ba203ac749160c29af393e468d3b2d4a08363123c0d008f7f355af63f39062ca,3b66eae33405eee530da279265b92abc56203dcf4f5f3df69e1d429efbddaa71,fe5d3b40dcb6ac04cfd68699fb176cc3dcd8c44486748e8bc981340a1aa1cd35,6.989625,,,,,,unknown,crowdsourced_web_recording,48000,mp3,,,2026-08-16T01:00:00+06:00
common_voice_ru_v24:common_voice_ru_26872131,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/ru_source/clips/common_voice_ru_26872131.mp3,885e891144acadd361de65a2844f9b333fcf48aae635cef208f329111175f215,test,bonafide,ru,false,common_voice_ru_v24:client:4891e1d0e88cf01ad9c0e8fec0d3992f2ada5535f3edf021b3b19293f3255dc7878291b6fad6c8b26f54d0be24d9ae06ee2e3718c3f9d20fb640bade2c1790e0,common_voice_ru_v24_v4_final_salvage,CC0-1.0,Verified partial recovery Common Voice slice; personal research only; no replacement or backfill,common_voice_ru_v24:client:4891e1d0e88cf01ad9c0e8fec0d3992f2ada5535f3edf021b3b19293f3255dc7878291b6fad6c8b26f54d0be24d9ae06ee2e3718c3f9d20fb640bade2c1790e0,95f272a6cbb77cd55a7f54db7ae8f0ee85f2a81c70cac6af4c282ca6a02f4147,51724825eda871a1ea4f420ecf77e1e9189f018803236199a45c374799fa4588,6.35965625,,,,,,unknown,crowdsourced_web_recording,32000,mp3,,,2026-08-16T01:00:00+06:00
