sample_id,relative_path,sha256,split,label,language,code_switch,parent_group_id,source_name,source_license,rights_basis,speaker_pseudo_id,text_id,text_hash,duration_s,generator_family,generator_name,generator_version,voice_id,clone_consent_id,device,capture_route,original_sr,codec,augmentation_chain,augmentation_seed,created_at
xlsr_sls_model_v4_kk_spoof:Train/talkshow/01_32_567,raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-kazemotts-v1/76/76d1ba226c0a8361554954a197330a91406bd79f71d54d74906ab88ed5678180.wav,e52e1f547a3fa1e801cf4beb0844ba72c7bd21e00c220970ac366c5dbf304003,train,spoof,kk,unknown,xlsr_sls_model_v4_kk_spoof:route:kk-kazemotts-v1,ksc_derived_kk_v2_kazemotts,KSC text CC-BY-4.0; KazEmoTTS model CC-BY-4.0,Frozen KSC2 CC-BY-4.0 text plus hash-pinned local text-only TTS route; personal research; no reference audio or cloning,xlsr-sls-model-v4:kk-kazemotts-v1:voice:M1:angry,xlsr-sls-model-v4:text:76d1ba226c0a8361554954a197330a91406bd79f71d54d74906ab88ed5678180,76d1ba226c0a8361554954a197330a91406bd79f71d54d74906ab88ed5678180,4.144761904761904,gradtts_hifigan_emotional_tts,ISSAI KazEmoTTS Grad-TTS + HiFi-GAN,KazEmoTTS source-revision-0db250b2ebd95c0de7f8fb7ccba9fd65d4815115; checkpoints-2024-03-11,M1:angry,,local_cuda_kazemotts_gradtts_hifigan,v4_offline_text_only_tts:kk-kazemotts-v1,22050,wav,,811424873,2026-08-14T19:02:25Z
xlsr_sls_model_v4_kk_spoof:Train/parliament/senate_13_178,raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-kazemotts-v1/0b/0b88ada1494b08b9ec35dea2fa6ac8132e19ea8ed505f40c1fffb75271ad9792.wav,d597371f5cfed1a9b8c6e2b64e1129ee1cca82ed4506804ce127cbe7c9b12143,train,spoof,kk,unknown,xlsr_sls_model_v4_kk_spoof:route:kk-kazemotts-v1,ksc_derived_kk_v2_kazemotts,KSC text CC-BY-4.0; KazEmoTTS model CC-BY-4.0,Frozen KSC2 CC-BY-4.0 text plus hash-pinned local text-only TTS route; personal research; no reference audio or cloning,xlsr-sls-model-v4:kk-kazemotts-v1:voice:M1:surprise,xlsr-sls-model-v4:text:0b88ada1494b08b9ec35dea2fa6ac8132e19ea8ed505f40c1fffb75271ad9792,0b88ada1494b08b9ec35dea2fa6ac8132e19ea8ed505f40c1fffb75271ad9792,6.989206349206349,gradtts_hifigan_emotional_tts,ISSAI KazEmoTTS Grad-TTS + HiFi-GAN,KazEmoTTS source-revision-0db250b2ebd95c0de7f8fb7ccba9fd65d4815115; checkpoints-2024-03-11,M1:surprise,,local_cuda_kazemotts_gradtts_hifigan,v4_offline_text_only_tts:kk-kazemotts-v1,22050,wav,,1735026259,2026-08-14T19:02:25Z
xlsr_sls_model_v4_kk_spoof:Train/parliament/senate_06_046,raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-kazemotts-v1/dd/ddb49c92e25a529cc7c93910511e39dff6e3e805675d1caa0dfcfadba86402bf.wav,99ab68d37b52dd3ea768a6abac87fcbccdc2fc02f29a1529867171b5c63d21ff,train,spoof,kk,unknown,xlsr_sls_model_v4_kk_spoof:route:kk-kazemotts-v1,ksc_derived_kk_v2_kazemotts,KSC text CC-BY-4.0; KazEmoTTS model CC-BY-4.0,Frozen KSC2 CC-BY-4.0 text plus hash-pinned local text-only TTS route; personal research; no reference audio or cloning,xlsr-sls-model-v4:kk-kazemotts-v1:voice:M1:fear,xlsr-sls-model-v4:text:ddb49c92e25a529cc7c93910511e39dff6e3e805675d1caa0dfcfadba86402bf,ddb49c92e25a529cc7c93910511e39dff6e3e805675d1caa0dfcfadba86402bf,11.795736961451247,gradtts_hifigan_emotional_tts,ISSAI KazEmoTTS Grad-TTS + HiFi-GAN,KazEmoTTS source-revision-0db250b2ebd95c0de7f8fb7ccba9fd65d4815115; checkpoints-2024-03-11,M1:fear,,local_cuda_kazemotts_gradtts_hifigan,v4_offline_text_only_tts:kk-kazemotts-v1,22050,wav,,304314762,2026-08-14T19:02:25Z
xlsr_sls_model_v4_kk_spoof:Train/parliament/senate_10_141,raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-kazemotts-v1/d5/d545f369fc55c71c9574e68f33c488b5f2419383012f1f2b67d4c998dd913f36.wav,b718ce2ede3bea37a7aed3db8b6ab9e0bd563e48c53e23c92d88ca6314385d15,train,spoof,kk,unknown,xlsr_sls_model_v4_kk_spoof:route:kk-kazemotts-v1,ksc_derived_kk_v2_kazemotts,KSC text CC-BY-4.0; KazEmoTTS model CC-BY-4.0,Frozen KSC2 CC-BY-4.0 text plus hash-pinned local text-only TTS route; personal research; no reference audio or cloning,xlsr-sls-model-v4:kk-kazemotts-v1:voice:M1:happy,xlsr-sls-model-v4:text:d545f369fc55c71c9574e68f33c488b5f2419383012f1f2b67d4c998dd913f36,d545f369fc55c71c9574e68f33c488b5f2419383012f1f2b67d4c998dd913f36,1.799546485260771,gradtts_hifigan_emotional_tts,ISSAI KazEmoTTS Grad-TTS + HiFi-GAN,KazEmoTTS source-revision-0db250b2ebd95c0de7f8fb7ccba9fd65d4815115; checkpoints-2024-03-11,M1:happy,,local_cuda_kazemotts_gradtts_hifigan,v4_offline_text_only_tts:kk-kazemotts-v1,22050,wav,,459449947,2026-08-14T19:02:25Z
xlsr_sls_model_v4_kk_spoof:Train/parliament/mazhilis_14_163,raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-kazemotts-v1/de/de08f9a0d80221f03569a088ed66f31316b10d5f7b6ca6d0dd119aee2661eb44.wav,1216588c0e66c5abeb386262305e6f2c2105996f429d470bdab050f7980255fe,train,spoof,kk,unknown,xlsr_sls_model_v4_kk_spoof:route:kk-kazemotts-v1,ksc_derived_kk_v2_kazemotts,KSC text CC-BY-4.0; KazEmoTTS model CC-BY-4.0,Frozen KSC2 CC-BY-4.0 text plus hash-pinned local text-only TTS route; personal research; no reference audio or cloning,xlsr-sls-model-v4:kk-kazemotts-v1:voice:M1:neutral,xlsr-sls-model-v4:text:de08f9a0d80221f03569a088ed66f31316b10d5f7b6ca6d0dd119aee2661eb44,de08f9a0d80221f03569a088ed66f31316b10d5f7b6ca6d0dd119aee2661eb44,10.379319727891156,gradtts_hifigan_emotional_tts,ISSAI KazEmoTTS Grad-TTS + HiFi-GAN,KazEmoTTS source-revision-0db250b2ebd95c0de7f8fb7ccba9fd65d4815115; checkpoints-2024-03-11,M1:neutral,,local_cuda_kazemotts_gradtts_hifigan,v4_offline_text_only_tts:kk-kazemotts-v1,22050,wav,,1792849753,2026-08-14T19:02:26Z
xlsr_sls_model_v4_kk_spoof:Train/tv_news/5f834dacb4722,raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-kazemotts-v1/79/794403f24286fe7f75deb32b1d69eb7b9e553c41249172a77b43fb0029c65b05.wav,c3c0390ad9cfdcc9f141d86a7d4e091534ea2a7a616a1cbe109ccb90c4d6c13c,train,spoof,kk,unknown,xlsr_sls_model_v4_kk_spoof:route:kk-kazemotts-v1,ksc_derived_kk_v2_kazemotts,KSC text CC-BY-4.0; KazEmoTTS model CC-BY-4.0,Frozen KSC2 CC-BY-4.0 text plus hash-pinned local text-only TTS route; personal research; no reference audio or cloning,xlsr-sls-model-v4:kk-kazemotts-v1:voice:M1:sad,xlsr-sls-model-v4:text:794403f24286fe7f75deb32b1d69eb7b9e553c41249172a77b43fb0029c65b05,794403f24286fe7f75deb32b1d69eb7b9e553c41249172a77b43fb0029c65b05,8.40562358276644,gradtts_hifigan_emotional_tts,ISSAI KazEmoTTS Grad-TTS + HiFi-GAN,KazEmoTTS source-revision-0db250b2ebd95c0de7f8fb7ccba9fd65d4815115; checkpoints-2024-03-11,M1:sad,,local_cuda_kazemotts_gradtts_hifigan,v4_offline_text_only_tts:kk-kazemotts-v1,22050,wav,,1251800470,2026-08-14T19:02:26Z
xlsr_sls_model_v4_kk_spoof:Train/podcasts/08_04_080,raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-kazemotts-v1/28/2801923fd9dfd92886a1c09ff1893881b51a7eca1b5c62c0136d93a0e9bd0ac4.wav,d678349bdcdaf72ac1318912dad71875c313832487ab3f93cc508e13be44b937,train,spoof,kk,unknown,xlsr_sls_model_v4_kk_spoof:route:kk-kazemotts-v1,ksc_derived_kk_v2_kazemotts,KSC text CC-BY-4.0; KazEmoTTS model CC-BY-4.0,Frozen KSC2 CC-BY-4.0 text plus hash-pinned local text-only TTS route; personal research; no reference audio or cloning,xlsr-sls-model-v4:kk-kazemotts-v1:voice:F1:angry,xlsr-sls-model-v4:text:2801923fd9dfd92886a1c09ff1893881b51a7eca1b5c62c0136d93a0e9bd0ac4,2801923fd9dfd92886a1c09ff1893881b51a7eca1b5c62c0136d93a0e9bd0ac4,5.468299319727891,gradtts_hifigan_emotional_tts,ISSAI KazEmoTTS Grad-TTS + HiFi-GAN,KazEmoTTS source-revision-0db250b2ebd95c0de7f8fb7ccba9fd65d4815115; checkpoints-2024-03-11,F1:angry,,local_cuda_kazemotts_gradtts_hifigan,v4_offline_text_only_tts:kk-kazemotts-v1,22050,wav,,1601214301,2026-08-14T19:02:26Z
xlsr_sls_model_v4_kk_spoof:Train/radio/01_57_641,raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-kazemotts-v1/f4/f42f140f31d49d0ed0fdbeb63f2ea0cee97877fff7449ffc9f94960f4e77225a.wav,2f7eb7fb45310d408e61582dea8a737d3326c1ade10d50a1020fb61e42c4b0dc,train,spoof,kk,unknown,xlsr_sls_model_v4_kk_spoof:route:kk-kazemotts-v1,ksc_derived_kk_v2_kazemotts,KSC text CC-BY-4.0; KazEmoTTS model CC-BY-4.0,Frozen KSC2 CC-BY-4.0 text plus hash-pinned local text-only TTS route; personal research; no reference audio or cloning,xlsr-sls-model-v4:kk-kazemotts-v1:voice:F1:surprise,xlsr-sls-model-v4:text:f42f140f31d49d0ed0fdbeb63f2ea0cee97877fff7449ffc9f94960f4e77225a,f42f140f31d49d0ed0fdbeb63f2ea0cee97877fff7449ffc9f94960f4e77225a,10.332879818594105,gradtts_hifigan_emotional_tts,ISSAI KazEmoTTS Grad-TTS + HiFi-GAN,KazEmoTTS source-revision-0db250b2ebd95c0de7f8fb7ccba9fd65d4815115; checkpoints-2024-03-11,F1:surprise,,local_cuda_kazemotts_gradtts_hifigan,v4_offline_text_only_tts:kk-kazemotts-v1,22050,wav,,268920466,2026-08-14T19:02:27Z
xlsr_sls_model_v4_kk_spoof:Train/parliament/mazhilis_17_2_181,raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-kazemotts-v1/eb/eb9c7b19e512c32c8e36e27a7eaa543749ce2c64420e3b68c4a086073284d585.wav,b9c9b067fde9780001fb3ac50307b037199109d447a7f2d9140cb0c0562f1677,train,spoof,kk,unknown,xlsr_sls_model_v4_kk_spoof:route:kk-kazemotts-v1,ksc_derived_kk_v2_kazemotts,KSC text CC-BY-4.0; KazEmoTTS model CC-BY-4.0,Frozen KSC2 CC-BY-4.0 text plus hash-pinned local text-only TTS route; personal research; no reference audio or cloning,xlsr-sls-model-v4:kk-kazemotts-v1:voice:F1:fear,xlsr-sls-model-v4:text:eb9c7b19e512c32c8e36e27a7eaa543749ce2c64420e3b68c4a086073284d585,eb9c7b19e512c32c8e36e27a7eaa543749ce2c64420e3b68c4a086073284d585,8.196643990929704,gradtts_hifigan_emotional_tts,ISSAI KazEmoTTS Grad-TTS + HiFi-GAN,KazEmoTTS source-revision-0db250b2ebd95c0de7f8fb7ccba9fd65d4815115; checkpoints-2024-03-11,F1:fear,,local_cuda_kazemotts_gradtts_hifigan,v4_offline_text_only_tts:kk-kazemotts-v1,22050,wav,,585536794,2026-08-14T19:02:27Z
xlsr_sls_model_v4_kk_spoof:Train/tv_news/5f71ce6176210,raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-kazemotts-v1/f9/f905ba584816d6ed64a06424a06c86f02dde2245d46285e23cb35bbd5d08246b.wav,b805d906a736c2628b8f5851406c981ba5ea543747935cebac616cf3ec6e0603,train,spoof,kk,unknown,xlsr_sls_model_v4_kk_spoof:route:kk-kazemotts-v1,ksc_derived_kk_v2_kazemotts,KSC text CC-BY-4.0; KazEmoTTS model CC-BY-4.0,Frozen KSC2 CC-BY-4.0 text plus hash-pinned local text-only TTS route; personal research; no reference audio or cloning,xlsr-sls-model-v4:kk-kazemotts-v1:voice:F1:happy,xlsr-sls-model-v4:text:f905ba584816d6ed64a06424a06c86f02dde2245d46285e23cb35bbd5d08246b,f905ba584816d6ed64a06424a06c86f02dde2245d46285e23cb35bbd5d08246b,2.5658049886621317,gradtts_hifigan_emotional_tts,ISSAI KazEmoTTS Grad-TTS + HiFi-GAN,KazEmoTTS source-revision-0db250b2ebd95c0de7f8fb7ccba9fd65d4815115; checkpoints-2024-03-11,F1:happy,,local_cuda_kazemotts_gradtts_hifigan,v4_offline_text_only_tts:kk-kazemotts-v1,22050,wav,,1341229246,2026-08-14T19:02:27Z
xlsr_sls_model_v4_kk_spoof:Train/podcasts/06_01_303,raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-kazemotts-v1/c5/c500f2a1689cd5601f943ca7764e30bd9860528e4503c41e843b484c5951deb1.wav,fe79a80a74c8cb8c0c4cb6eb4a7690a401e9afbdda57ad43b5efdd11b6e1a769,train,spoof,kk,unknown,xlsr_sls_model_v4_kk_spoof:route:kk-kazemotts-v1,ksc_derived_kk_v2_kazemotts,KSC text CC-BY-4.0; KazEmoTTS model CC-BY-4.0,Frozen KSC2 CC-BY-4.0 text plus hash-pinned local text-only TTS route; personal research; no reference audio or cloning,xlsr-sls-model-v4:kk-kazemotts-v1:voice:F1:neutral,xlsr-sls-model-v4:text:c500f2a1689cd5601f943ca7764e30bd9860528e4503c41e843b484c5951deb1,c500f2a1689cd5601f943ca7764e30bd9860528e4503c41e843b484c5951deb1,10.901768707482994,gradtts_hifigan_emotional_tts,ISSAI KazEmoTTS Grad-TTS + HiFi-GAN,KazEmoTTS source-revision-0db250b2ebd95c0de7f8fb7ccba9fd65d4815115; checkpoints-2024-03-11,F1:neutral,,local_cuda_kazemotts_gradtts_hifigan,v4_offline_text_only_tts:kk-kazemotts-v1,22050,wav,,1652793808,2026-08-14T19:02:27Z
xlsr_sls_model_v4_kk_spoof:Train/parliament/mazhilis_03_442,raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-kazemotts-v1/1f/1f73f3e1d5bfb83d683b10b7b9ab11211659b262e921350fbe44112ca362e183.wav,cf7e8af963e4a90b1c3222b017162a2f93286de6335355c0b99f3c3977268b6c,train,spoof,kk,unknown,xlsr_sls_model_v4_kk_spoof:route:kk-kazemotts-v1,ksc_derived_kk_v2_kazemotts,KSC text CC-BY-4.0; KazEmoTTS model CC-BY-4.0,Frozen KSC2 CC-BY-4.0 text plus hash-pinned local text-only TTS route; personal research; no reference audio or cloning,xlsr-sls-model-v4:kk-kazemotts-v1:voice:F1:sad,xlsr-sls-model-v4:text:1f73f3e1d5bfb83d683b10b7b9ab11211659b262e921350fbe44112ca362e183,1f73f3e1d5bfb83d683b10b7b9ab11211659b262e921350fbe44112ca362e183,4.73687074829932,gradtts_hifigan_emotional_tts,ISSAI KazEmoTTS Grad-TTS + HiFi-GAN,KazEmoTTS source-revision-0db250b2ebd95c0de7f8fb7ccba9fd65d4815115; checkpoints-2024-03-11,F1:sad,,local_cuda_kazemotts_gradtts_hifigan,v4_offline_text_only_tts:kk-kazemotts-v1,22050,wav,,1338914779,2026-08-14T19:02:27Z
xlsr_sls_model_v4_kk_spoof:Train/talkshow/01_38_521,raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-kazemotts-v1/c7/c7a84c2813370c284c5afe3a8e829c1e41240099c16471bc30516ef7847a1450.wav,79ded49e1466213ee24d1982da159b901d2d277824cc70e492913b5ac0560a39,train,spoof,kk,unknown,xlsr_sls_model_v4_kk_spoof:route:kk-kazemotts-v1,ksc_derived_kk_v2_kazemotts,KSC text CC-BY-4.0; KazEmoTTS model CC-BY-4.0,Frozen KSC2 CC-BY-4.0 text plus hash-pinned local text-only TTS route; personal research; no reference audio or cloning,xlsr-sls-model-v4:kk-kazemotts-v1:voice:M2:angry,xlsr-sls-model-v4:text:c7a84c2813370c284c5afe3a8e829c1e41240099c16471bc30516ef7847a1450,c7a84c2813370c284c5afe3a8e829c1e41240099c16471bc30516ef7847a1450,4.260861678004535,gradtts_hifigan_emotional_tts,ISSAI KazEmoTTS Grad-TTS + HiFi-GAN,KazEmoTTS source-revision-0db250b2ebd95c0de7f8fb7ccba9fd65d4815115; checkpoints-2024-03-11,M2:angry,,local_cuda_kazemotts_gradtts_hifigan,v4_offline_text_only_tts:kk-kazemotts-v1,22050,wav,,1583261569,2026-08-14T19:02:28Z
xlsr_sls_model_v4_kk_spoof:Train/podcasts/01_07_592,raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-kazemotts-v1/e0/e056e170147100144f55851b19268a9ab49b12c2adad82feb820678d1faf47e8.wav,376c077766a85191d9d79ee56ba5190d4173a696ed1e004ecc486408cc259733,train,spoof,kk,unknown,xlsr_sls_model_v4_kk_spoof:route:kk-kazemotts-v1,ksc_derived_kk_v2_kazemotts,KSC text CC-BY-4.0; KazEmoTTS model CC-BY-4.0,Frozen KSC2 CC-BY-4.0 text plus hash-pinned local text-only TTS route; personal research; no reference audio or cloning,xlsr-sls-model-v4:kk-kazemotts-v1:voice:M2:surprise,xlsr-sls-model-v4:text:e056e170147100144f55851b19268a9ab49b12c2adad82feb820678d1faf47e8,e056e170147100144f55851b19268a9ab49b12c2adad82feb820678d1faf47e8,4.272471655328798,gradtts_hifigan_emotional_tts,ISSAI KazEmoTTS Grad-TTS + HiFi-GAN,KazEmoTTS source-revision-0db250b2ebd95c0de7f8fb7ccba9fd65d4815115; checkpoints-2024-03-11,M2:surprise,,local_cuda_kazemotts_gradtts_hifigan,v4_offline_text_only_tts:kk-kazemotts-v1,22050,wav,,2135120608,2026-08-14T19:02:28Z
xlsr_sls_model_v4_kk_spoof:Train/tv_news/5fe2a6563937f,raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-kazemotts-v1/29/29224cb66cbe948a0651ce1fbd4e7a6ea73e41d3edfb3a85fe3fda241a87f231.wav,e0215ddb3ef4db2cf981ee50c4f69bfdb5baef8c0c1604f44e96e9d85270bbd1,train,spoof,kk,unknown,xlsr_sls_model_v4_kk_spoof:route:kk-kazemotts-v1,ksc_derived_kk_v2_kazemotts,KSC text CC-BY-4.0; KazEmoTTS model CC-BY-4.0,Frozen KSC2 CC-BY-4.0 text plus hash-pinned local text-only TTS route; personal research; no reference audio or cloning,xlsr-sls-model-v4:kk-kazemotts-v1:voice:M2:fear,xlsr-sls-model-v4:text:29224cb66cbe948a0651ce1fbd4e7a6ea73e41d3edfb3a85fe3fda241a87f231,29224cb66cbe948a0651ce1fbd4e7a6ea73e41d3edfb3a85fe3fda241a87f231,3.622312925170068,gradtts_hifigan_emotional_tts,ISSAI KazEmoTTS Grad-TTS + HiFi-GAN,KazEmoTTS source-revision-0db250b2ebd95c0de7f8fb7ccba9fd65d4815115; checkpoints-2024-03-11,M2:fear,,local_cuda_kazemotts_gradtts_hifigan,v4_offline_text_only_tts:kk-kazemotts-v1,22050,wav,,863766738,2026-08-14T19:02:28Z
xlsr_sls_model_v4_kk_spoof:Train/tv_news/5fa2e802daec0,raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-kazemotts-v1/08/0802ad25e3076ee81b2bbf06240e3233d1a5e2b81f14e9c46b660dacfc90507b.wav,b3ca5051f18c6c1c49bf4f2bf92471859c47f610f8723c2c46e82464f96f697c,train,spoof,kk,unknown,xlsr_sls_model_v4_kk_spoof:route:kk-kazemotts-v1,ksc_derived_kk_v2_kazemotts,KSC text CC-BY-4.0; KazEmoTTS model CC-BY-4.0,Frozen KSC2 CC-BY-4.0 text plus hash-pinned local text-only TTS route; personal research; no reference audio or cloning,xlsr-sls-model-v4:kk-kazemotts-v1:voice:M2:happy,xlsr-sls-model-v4:text:0802ad25e3076ee81b2bbf06240e3233d1a5e2b81f14e9c46b660dacfc90507b,0802ad25e3076ee81b2bbf06240e3233d1a5e2b81f14e9c46b660dacfc90507b,5.9675283446712015,gradtts_hifigan_emotional_tts,ISSAI KazEmoTTS Grad-TTS + HiFi-GAN,KazEmoTTS source-revision-0db250b2ebd95c0de7f8fb7ccba9fd65d4815115; checkpoints-2024-03-11,M2:happy,,local_cuda_kazemotts_gradtts_hifigan,v4_offline_text_only_tts:kk-kazemotts-v1,22050,wav,,1666307396,2026-08-14T19:02:28Z
xlsr_sls_model_v4_kk_spoof:Train/podcasts/01_03_862,raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-kazemotts-v1/5d/5d4117313256fc64e1f959031b48964256db8dbdda16b14ba454b58547e272bd.wav,7edfab8db104554dcc636cb3991fe970bf8d2558e9da56bbfb4221622d8912dd,train,spoof,kk,unknown,xlsr_sls_model_v4_kk_spoof:route:kk-kazemotts-v1,ksc_derived_kk_v2_kazemotts,KSC text CC-BY-4.0; KazEmoTTS model CC-BY-4.0,Frozen KSC2 CC-BY-4.0 text plus hash-pinned local text-only TTS route; personal research; no reference audio or cloning,xlsr-sls-model-v4:kk-kazemotts-v1:voice:M2:neutral,xlsr-sls-model-v4:text:5d4117313256fc64e1f959031b48964256db8dbdda16b14ba454b58547e272bd,5d4117313256fc64e1f959031b48964256db8dbdda16b14ba454b58547e272bd,1.5789569160997732,gradtts_hifigan_emotional_tts,ISSAI KazEmoTTS Grad-TTS + HiFi-GAN,KazEmoTTS source-revision-0db250b2ebd95c0de7f8fb7ccba9fd65d4815115; checkpoints-2024-03-11,M2:neutral,,local_cuda_kazemotts_gradtts_hifigan,v4_offline_text_only_tts:kk-kazemotts-v1,22050,wav,,718408375,2026-08-14T19:02:28Z
xlsr_sls_model_v4_kk_spoof:Train/parliament/mazhilis_14_413,raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-kazemotts-v1/37/3715b6257bf80677f7ac70c365b2d93648903d3ec5e498be93fb17ac2fd8f2cd.wav,0e8f1f8ee7f0004755a73df227fbea97f9c0910dac3fe07e9c0414c0dffcda18,train,spoof,kk,unknown,xlsr_sls_model_v4_kk_spoof:route:kk-kazemotts-v1,ksc_derived_kk_v2_kazemotts,KSC text CC-BY-4.0; KazEmoTTS model CC-BY-4.0,Frozen KSC2 CC-BY-4.0 text plus hash-pinned local text-only TTS route; personal research; no reference audio or cloning,xlsr-sls-model-v4:kk-kazemotts-v1:voice:M2:sad,xlsr-sls-model-v4:text:3715b6257bf80677f7ac70c365b2d93648903d3ec5e498be93fb17ac2fd8f2cd,3715b6257bf80677f7ac70c365b2d93648903d3ec5e498be93fb17ac2fd8f2cd,2.948934240362812,gradtts_hifigan_emotional_tts,ISSAI KazEmoTTS Grad-TTS + HiFi-GAN,KazEmoTTS source-revision-0db250b2ebd95c0de7f8fb7ccba9fd65d4815115; checkpoints-2024-03-11,M2:sad,,local_cuda_kazemotts_gradtts_hifigan,v4_offline_text_only_tts:kk-kazemotts-v1,22050,wav,,1292189471,2026-08-14T19:02:28Z
