sample_id,relative_path,sha256,split,label,language,code_switch,parent_group_id,source_name,source_license,rights_basis,speaker_pseudo_id,text_id,text_hash,duration_s,generator_family,generator_name,generator_version,voice_id,clone_consent_id,device,capture_route,original_sr,codec,augmentation_chain,augmentation_seed,created_at
xlsr_sls_model_v4_kk_spoof:Train/radio/01_09_026,raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-sparktts-v1/02/02e898bdbf7587fedfc8563e211498b6914cb990c4d1abb73f2cc63370bb90f1.wav,f14606bf6cc5a28e8da504e7efe6f34fbd25dcb701967429761a10122cccf268,train,spoof,kk,unknown,xlsr_sls_model_v4_kk_spoof:route:kk-sparktts-v1,ksc_derived_kk_v3_sparktts,KSC text CC-BY-4.0; Spark-TTS-Kazakh model CC-BY-NC-SA-4.0; Spark-TTS inference source Apache-2.0,Frozen KSC2 CC-BY-4.0 text plus hash-pinned local text-only TTS route; personal research; no reference audio or cloning,xlsr-sls-model-v4:kk-sparktts-v1:voice:female:low:low,xlsr-sls-model-v4:text:02e898bdbf7587fedfc8563e211498b6914cb990c4d1abb73f2cc63370bb90f1,02e898bdbf7587fedfc8563e211498b6914cb990c4d1abb73f2cc63370bb90f1,4.36,llm_bicodec_controlled_tts,Spark-TTS-Kazakh controlled LLM + BiCodec,Kazakh model-bd0572a9bf744cb4cf9ab1c7a67bd182fde0c367; Spark-TTS-source-2f1ea9082400547242641f5271b6f941c9f439d1,female:low:low,,local_cuda_sparktts_controlled_bicodec,v4_offline_text_only_tts:kk-sparktts-v1,16000,wav,,1806228205,2026-08-14T19:10:03Z
xlsr_sls_model_v4_kk_spoof:Train/parliament/senate_02_074,raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-sparktts-v1/fa/fae7d2a895090c0f63d0d37a9363e7fa920930bb1bcc310ea8bf337694db8d43.wav,6936ca3d4e937c1c8a21e2946c5b61c1a14939ec3b101bf15a07ca2f7cd40d89,train,spoof,kk,unknown,xlsr_sls_model_v4_kk_spoof:route:kk-sparktts-v1,ksc_derived_kk_v3_sparktts,KSC text CC-BY-4.0; Spark-TTS-Kazakh model CC-BY-NC-SA-4.0; Spark-TTS inference source Apache-2.0,Frozen KSC2 CC-BY-4.0 text plus hash-pinned local text-only TTS route; personal research; no reference audio or cloning,xlsr-sls-model-v4:kk-sparktts-v1:voice:female:low:high,xlsr-sls-model-v4:text:fae7d2a895090c0f63d0d37a9363e7fa920930bb1bcc310ea8bf337694db8d43,fae7d2a895090c0f63d0d37a9363e7fa920930bb1bcc310ea8bf337694db8d43,12.4,llm_bicodec_controlled_tts,Spark-TTS-Kazakh controlled LLM + BiCodec,Kazakh model-bd0572a9bf744cb4cf9ab1c7a67bd182fde0c367; Spark-TTS-source-2f1ea9082400547242641f5271b6f941c9f439d1,female:low:high,,local_cuda_sparktts_controlled_bicodec,v4_offline_text_only_tts:kk-sparktts-v1,16000,wav,,1758591046,2026-08-14T19:11:13Z
xlsr_sls_model_v4_kk_spoof:Train/talkshow/01_23_320,raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-sparktts-v1/16/16241baf34bc9d96233ee33a313d8b68150c450485aae382ede5d235453f1166.wav,aa83acba97c2044ee73e7671f2ec7002903bf3da96232e34c8b74c33aaba5f0e,train,spoof,kk,unknown,xlsr_sls_model_v4_kk_spoof:route:kk-sparktts-v1,ksc_derived_kk_v3_sparktts,KSC text CC-BY-4.0; Spark-TTS-Kazakh model CC-BY-NC-SA-4.0; Spark-TTS inference source Apache-2.0,Frozen KSC2 CC-BY-4.0 text plus hash-pinned local text-only TTS route; personal research; no reference audio or cloning,xlsr-sls-model-v4:kk-sparktts-v1:voice:female:moderate:low,xlsr-sls-model-v4:text:16241baf34bc9d96233ee33a313d8b68150c450485aae382ede5d235453f1166,16241baf34bc9d96233ee33a313d8b68150c450485aae382ede5d235453f1166,7.44,llm_bicodec_controlled_tts,Spark-TTS-Kazakh controlled LLM + BiCodec,Kazakh model-bd0572a9bf744cb4cf9ab1c7a67bd182fde0c367; Spark-TTS-source-2f1ea9082400547242641f5271b6f941c9f439d1,female:moderate:low,,local_cuda_sparktts_controlled_bicodec,v4_offline_text_only_tts:kk-sparktts-v1,16000,wav,,1651077379,2026-08-14T19:11:18Z
xlsr_sls_model_v4_kk_spoof:Train/talkshow/01_06_123,raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-sparktts-v1/ee/eef672432682b5bbd1ce59d1b90f3acdd008bd50ff5607c822e276b542a3c402.wav,a94fd3bb9e51ac4f8fa59aec06a9c647316cc7227a678dd044923be4d8b178e8,train,spoof,kk,unknown,xlsr_sls_model_v4_kk_spoof:route:kk-sparktts-v1,ksc_derived_kk_v3_sparktts,KSC text CC-BY-4.0; Spark-TTS-Kazakh model CC-BY-NC-SA-4.0; Spark-TTS inference source Apache-2.0,Frozen KSC2 CC-BY-4.0 text plus hash-pinned local text-only TTS route; personal research; no reference audio or cloning,xlsr-sls-model-v4:kk-sparktts-v1:voice:female:moderate:high,xlsr-sls-model-v4:text:eef672432682b5bbd1ce59d1b90f3acdd008bd50ff5607c822e276b542a3c402,eef672432682b5bbd1ce59d1b90f3acdd008bd50ff5607c822e276b542a3c402,2.98,llm_bicodec_controlled_tts,Spark-TTS-Kazakh controlled LLM + BiCodec,Kazakh model-bd0572a9bf744cb4cf9ab1c7a67bd182fde0c367; Spark-TTS-source-2f1ea9082400547242641f5271b6f941c9f439d1,female:moderate:high,,local_cuda_sparktts_controlled_bicodec,v4_offline_text_only_tts:kk-sparktts-v1,16000,wav,,402463430,2026-08-14T19:11:20Z
xlsr_sls_model_v4_kk_spoof:Train/podcasts/01_01_433,raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-sparktts-v1/40/40ea052d783c20a4568e2df47e9f647ea6d3a609149d0493a7fbe7cfed03ab02.wav,8741f876800f07bd1a985f6b53d1e2c74673eee4d23bb44866dcf13e19fd144d,train,spoof,kk,unknown,xlsr_sls_model_v4_kk_spoof:route:kk-sparktts-v1,ksc_derived_kk_v3_sparktts,KSC text CC-BY-4.0; Spark-TTS-Kazakh model CC-BY-NC-SA-4.0; Spark-TTS inference source Apache-2.0,Frozen KSC2 CC-BY-4.0 text plus hash-pinned local text-only TTS route; personal research; no reference audio or cloning,xlsr-sls-model-v4:kk-sparktts-v1:voice:female:high:low,xlsr-sls-model-v4:text:40ea052d783c20a4568e2df47e9f647ea6d3a609149d0493a7fbe7cfed03ab02,40ea052d783c20a4568e2df47e9f647ea6d3a609149d0493a7fbe7cfed03ab02,11.24,llm_bicodec_controlled_tts,Spark-TTS-Kazakh controlled LLM + BiCodec,Kazakh model-bd0572a9bf744cb4cf9ab1c7a67bd182fde0c367; Spark-TTS-source-2f1ea9082400547242641f5271b6f941c9f439d1,female:high:low,,local_cuda_sparktts_controlled_bicodec,v4_offline_text_only_tts:kk-sparktts-v1,16000,wav,,1169858873,2026-08-14T19:11:28Z
xlsr_sls_model_v4_kk_spoof:Train/parliament/senate_11_114,raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-sparktts-v1/e5/e5f105de44f471248372b791237ce95762345f01b5a958ca8eacd48190335ba5.wav,22c6e99b9b076e9486024d7fa8bc4492783d9da81b026717eb65320d35341bd5,train,spoof,kk,unknown,xlsr_sls_model_v4_kk_spoof:route:kk-sparktts-v1,ksc_derived_kk_v3_sparktts,KSC text CC-BY-4.0; Spark-TTS-Kazakh model CC-BY-NC-SA-4.0; Spark-TTS inference source Apache-2.0,Frozen KSC2 CC-BY-4.0 text plus hash-pinned local text-only TTS route; personal research; no reference audio or cloning,xlsr-sls-model-v4:kk-sparktts-v1:voice:female:high:high,xlsr-sls-model-v4:text:e5f105de44f471248372b791237ce95762345f01b5a958ca8eacd48190335ba5,e5f105de44f471248372b791237ce95762345f01b5a958ca8eacd48190335ba5,2.36,llm_bicodec_controlled_tts,Spark-TTS-Kazakh controlled LLM + BiCodec,Kazakh model-bd0572a9bf744cb4cf9ab1c7a67bd182fde0c367; Spark-TTS-source-2f1ea9082400547242641f5271b6f941c9f439d1,female:high:high,,local_cuda_sparktts_controlled_bicodec,v4_offline_text_only_tts:kk-sparktts-v1,16000,wav,,1835876068,2026-08-14T19:11:30Z
xlsr_sls_model_v4_kk_spoof:Train/talkshow/01_12_325,raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-sparktts-v1/3e/3ebe058d121e54ea452176d0a0b143bdf2f86b1df8a7e570ea962e7d30c212ab.wav,7f2ff028a99d63991f479d8f186bd2ad4192c76edc1aadcf189d11d674a0d3fc,train,spoof,kk,unknown,xlsr_sls_model_v4_kk_spoof:route:kk-sparktts-v1,ksc_derived_kk_v3_sparktts,KSC text CC-BY-4.0; Spark-TTS-Kazakh model CC-BY-NC-SA-4.0; Spark-TTS inference source Apache-2.0,Frozen KSC2 CC-BY-4.0 text plus hash-pinned local text-only TTS route; personal research; no reference audio or cloning,xlsr-sls-model-v4:kk-sparktts-v1:voice:male:low:low,xlsr-sls-model-v4:text:3ebe058d121e54ea452176d0a0b143bdf2f86b1df8a7e570ea962e7d30c212ab,3ebe058d121e54ea452176d0a0b143bdf2f86b1df8a7e570ea962e7d30c212ab,11.82,llm_bicodec_controlled_tts,Spark-TTS-Kazakh controlled LLM + BiCodec,Kazakh model-bd0572a9bf744cb4cf9ab1c7a67bd182fde0c367; Spark-TTS-source-2f1ea9082400547242641f5271b6f941c9f439d1,male:low:low,,local_cuda_sparktts_controlled_bicodec,v4_offline_text_only_tts:kk-sparktts-v1,16000,wav,,159055609,2026-08-14T19:11:38Z
xlsr_sls_model_v4_kk_spoof:Train/podcasts/08_08_034,raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-sparktts-v1/83/83e6e777a0a6bcb67028c3aed5196d25f6cf33c815b51f623c9693eb6080abb5.wav,4f47548885822242de4e275fc5cacd6adedb344033dad9ee443aa903c96ec086,train,spoof,kk,unknown,xlsr_sls_model_v4_kk_spoof:route:kk-sparktts-v1,ksc_derived_kk_v3_sparktts,KSC text CC-BY-4.0; Spark-TTS-Kazakh model CC-BY-NC-SA-4.0; Spark-TTS inference source Apache-2.0,Frozen KSC2 CC-BY-4.0 text plus hash-pinned local text-only TTS route; personal research; no reference audio or cloning,xlsr-sls-model-v4:kk-sparktts-v1:voice:male:low:high,xlsr-sls-model-v4:text:83e6e777a0a6bcb67028c3aed5196d25f6cf33c815b51f623c9693eb6080abb5,83e6e777a0a6bcb67028c3aed5196d25f6cf33c815b51f623c9693eb6080abb5,4.12,llm_bicodec_controlled_tts,Spark-TTS-Kazakh controlled LLM + BiCodec,Kazakh model-bd0572a9bf744cb4cf9ab1c7a67bd182fde0c367; Spark-TTS-source-2f1ea9082400547242641f5271b6f941c9f439d1,male:low:high,,local_cuda_sparktts_controlled_bicodec,v4_offline_text_only_tts:kk-sparktts-v1,16000,wav,,575447460,2026-08-14T19:11:41Z
xlsr_sls_model_v4_kk_spoof:Train/talkshow/01_24_266,raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-sparktts-v1/ab/ab477c3eb889424eee5bda35287b29cbc0906e651fbdf94e9f72ae68b3540513.wav,245d9ea8dfe026350a08dd6fcd7c097457a1dd591779f6e0b150d46671220f5a,train,spoof,kk,unknown,xlsr_sls_model_v4_kk_spoof:route:kk-sparktts-v1,ksc_derived_kk_v3_sparktts,KSC text CC-BY-4.0; Spark-TTS-Kazakh model CC-BY-NC-SA-4.0; Spark-TTS inference source Apache-2.0,Frozen KSC2 CC-BY-4.0 text plus hash-pinned local text-only TTS route; personal research; no reference audio or cloning,xlsr-sls-model-v4:kk-sparktts-v1:voice:male:moderate:low,xlsr-sls-model-v4:text:ab477c3eb889424eee5bda35287b29cbc0906e651fbdf94e9f72ae68b3540513,ab477c3eb889424eee5bda35287b29cbc0906e651fbdf94e9f72ae68b3540513,8.72,llm_bicodec_controlled_tts,Spark-TTS-Kazakh controlled LLM + BiCodec,Kazakh model-bd0572a9bf744cb4cf9ab1c7a67bd182fde0c367; Spark-TTS-source-2f1ea9082400547242641f5271b6f941c9f439d1,male:moderate:low,,local_cuda_sparktts_controlled_bicodec,v4_offline_text_only_tts:kk-sparktts-v1,16000,wav,,1772995187,2026-08-14T19:11:48Z
xlsr_sls_model_v4_kk_spoof:Train/talkshow/01_78_055,raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-sparktts-v1/60/608676f8f5b4e4d212578d904367cf1d9c63aa72b4d38a37f893c162dd4ae1ef.wav,b53c3be99373faded61658559ca5a26b4323bc89341f98ea823741603801ef54,train,spoof,kk,unknown,xlsr_sls_model_v4_kk_spoof:route:kk-sparktts-v1,ksc_derived_kk_v3_sparktts,KSC text CC-BY-4.0; Spark-TTS-Kazakh model CC-BY-NC-SA-4.0; Spark-TTS inference source Apache-2.0,Frozen KSC2 CC-BY-4.0 text plus hash-pinned local text-only TTS route; personal research; no reference audio or cloning,xlsr-sls-model-v4:kk-sparktts-v1:voice:male:moderate:high,xlsr-sls-model-v4:text:608676f8f5b4e4d212578d904367cf1d9c63aa72b4d38a37f893c162dd4ae1ef,608676f8f5b4e4d212578d904367cf1d9c63aa72b4d38a37f893c162dd4ae1ef,2.14,llm_bicodec_controlled_tts,Spark-TTS-Kazakh controlled LLM + BiCodec,Kazakh model-bd0572a9bf744cb4cf9ab1c7a67bd182fde0c367; Spark-TTS-source-2f1ea9082400547242641f5271b6f941c9f439d1,male:moderate:high,,local_cuda_sparktts_controlled_bicodec,v4_offline_text_only_tts:kk-sparktts-v1,16000,wav,,1144866888,2026-08-14T19:12:28Z
xlsr_sls_model_v4_kk_spoof:Train/radio/01_30_211,raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-sparktts-v1/ea/ea8fa35375aa157a8fc8692d13dadb5715f032724847f551e197d49305114ff5.wav,2c57ba4dd3385bf55d170f0dbd4cc569ae44134e6a1e1e3507baff0f0492a01c,train,spoof,kk,unknown,xlsr_sls_model_v4_kk_spoof:route:kk-sparktts-v1,ksc_derived_kk_v3_sparktts,KSC text CC-BY-4.0; Spark-TTS-Kazakh model CC-BY-NC-SA-4.0; Spark-TTS inference source Apache-2.0,Frozen KSC2 CC-BY-4.0 text plus hash-pinned local text-only TTS route; personal research; no reference audio or cloning,xlsr-sls-model-v4:kk-sparktts-v1:voice:male:high:low,xlsr-sls-model-v4:text:ea8fa35375aa157a8fc8692d13dadb5715f032724847f551e197d49305114ff5,ea8fa35375aa157a8fc8692d13dadb5715f032724847f551e197d49305114ff5,2.72,llm_bicodec_controlled_tts,Spark-TTS-Kazakh controlled LLM + BiCodec,Kazakh model-bd0572a9bf744cb4cf9ab1c7a67bd182fde0c367; Spark-TTS-source-2f1ea9082400547242641f5271b6f941c9f439d1,male:high:low,,local_cuda_sparktts_controlled_bicodec,v4_offline_text_only_tts:kk-sparktts-v1,16000,wav,,1321185501,2026-08-14T19:12:30Z
