sample_id,relative_path,sha256,split,label,language,code_switch,parent_group_id,source_name,source_license,rights_basis,speaker_pseudo_id,text_id,text_hash,duration_s,generator_family,generator_name,generator_version,voice_id,clone_consent_id,device,capture_route,original_sr,codec,augmentation_chain,augmentation_seed,created_at
voxforge_ru_mdc_2026_05:submission:7c4dc7f1f7de5e57af1eb3e02350457fd649ed108c0aebd7116306fedf811cf9:prompt:ru_0081,processed/ec/ec20ce199868ef7658be2f1a6ea787ec85b70ab905f4f98b4daef23c7bbaca7d.wav,fd681887eda9448e11adcf74630452056f9682df2263857c0dd432571884fc97,test,bonafide,ru,unknown,voxforge_ru_mdc_2026_05:contributor:d515241cd172336f8da6dc9c4e124f5d254380b4aab046b97038e4407e0d8cdd,voxforge_ru_mdc_2026_05,GPL-3.0-or-later,Pinned VoxForge Russian GPL-3.0-or-later archive; personal research only,voxforge_ru_mdc_2026_05:contributor:d515241cd172336f8da6dc9c4e124f5d254380b4aab046b97038e4407e0d8cdd,ru_0081,05a4c32e8a6833c589dddb3eb627e0ec22a5419bb12e7ebf8efbc24a86c6a75e,5.5,,,,,,unknown,voxforge_submission_read_speech,48000,wav,,,2026-08-13T18:13:54Z
voxforge_ru_mdc_2026_05:submission:da4db367d1e24650568ffd9aa416d3d2d4c4bcb9aa78e0146b399570cea258e9:prompt:ru_0035,processed/52/52973aaa76a7c766abe4fbff9293f8574a64dd617c23260b1307735afc6e647f.wav,979606c5a654f0771c0616d9187c6cba78abfef907933fdd1f59f88e0b8c3486,test,bonafide,ru,unknown,voxforge_ru_mdc_2026_05:contributor:3f54081f7834e199ef48252e90455bfc4537c0ccb8950d9b633158cd91238e3b,voxforge_ru_mdc_2026_05,GPL-3.0-or-later,Pinned VoxForge Russian GPL-3.0-or-later archive; personal research only,voxforge_ru_mdc_2026_05:contributor:3f54081f7834e199ef48252e90455bfc4537c0ccb8950d9b633158cd91238e3b,ru_0035,9c60ef21d2ee4e019dc70c2d454b1b0f5d1442956e62b4831ec349abe6814441,7.5,,,,,,unknown,voxforge_submission_read_speech,48000,wav,,,2026-08-13T18:13:54Z
voxforge_ru_mdc_2026_05:submission:be2a9e4ac96085d60da8ff71289e2605c39bfbcfed560cc217c499359868a01b:prompt:ru_0042,processed/0f/0fa7cfb2dedb3461d3a1b361ba8c476c63cee0ab093c9b61eb51cbd7a4120c2a.wav,7987db017a6701a4b6407358c85eb1bfb5b2d4a9831ce6f4846ebafd27128c6a,test,bonafide,ru,unknown,voxforge_ru_mdc_2026_05:contributor:4242c6bdb7b91a990069ec57a71892aacdee85105428ff98e38cd5fc8834886f,voxforge_ru_mdc_2026_05,GPL-3.0-or-later,Pinned VoxForge Russian GPL-3.0-or-later archive; personal research only,voxforge_ru_mdc_2026_05:contributor:4242c6bdb7b91a990069ec57a71892aacdee85105428ff98e38cd5fc8834886f,ru_0042,a3bb152d6847e5ffbcca56059d62004bafe22b46e02f93db6f7a9d9d2db4e788,6.625,,,,,,unknown,voxforge_submission_read_speech,48000,wav,,,2026-08-13T18:13:54Z
voxforge_ru_mdc_2026_05:submission:e6266c1e3462c5001eec35edf613553fdfea43a5db1429f069065596af765d45:prompt:ru_0075,processed/7a/7ad8132fa23171ae514ee53b8ed722c375dd95aa194762b9c153f3fb7a0bdc2d.wav,246f1cef356fe256cd9fc40da36d9db999e3afec895bc58e5e4f004d0b704e35,test,bonafide,ru,unknown,voxforge_ru_mdc_2026_05:contributor:026ad9b14a7453b7488daa0c6acbc258b1506f52c441c7c465474c1a564394ff,voxforge_ru_mdc_2026_05,GPL-3.0-or-later,Pinned VoxForge Russian GPL-3.0-or-later archive; personal research only,voxforge_ru_mdc_2026_05:contributor:026ad9b14a7453b7488daa0c6acbc258b1506f52c441c7c465474c1a564394ff,ru_0075,98a460c44832da8b47da1b280091a98abfd6051cff470b77e4d9003aa579c0ac,9.625,,,,,,unknown,voxforge_submission_read_speech,48000,wav,,,2026-08-13T18:13:54Z
voxforge_ru_mdc_2026_05:submission:fe4d774c3f4c3b4ed5fe1c7b5c1f95d92d97ef62060d33cab5c72c1eda59c5d4:prompt:ru_0045,processed/67/674b19d74404f8e0943b48098c188e408a4a82d089de5ad3fdb60563399b8d8d.wav,51a8b7d595bded5a9b9473ad3d489867eddaae8cdb78f6eadc48ebdbd8048c3e,test,bonafide,ru,unknown,voxforge_ru_mdc_2026_05:contributor:d92ebbc87ebf6c482489ee055336f0a0ebffc32f39b9034f7327b9f4d6afbd3f,voxforge_ru_mdc_2026_05,GPL-3.0-or-later,Pinned VoxForge Russian GPL-3.0-or-later archive; personal research only,voxforge_ru_mdc_2026_05:contributor:d92ebbc87ebf6c482489ee055336f0a0ebffc32f39b9034f7327b9f4d6afbd3f,ru_0045,032ca5e9a5158ae437074ad928a40d019e66aa4f04ad21f2a3ef5acd35d1029e,5.625,,,,,,unknown,voxforge_submission_read_speech,48000,wav,,,2026-08-13T18:13:54Z
voxforge_ru_mdc_2026_05:submission:753d123cebe3cd8993343f08fb0476dc6cef8dc7ad3540a8eaeeb6032999c309:prompt:ru_0073,processed/37/37148c39cd819422360de58b76e24f28ade28b1f6f027d822742bc7b033f035e.wav,87d0ded0cdeeb0139ebbfa38f3845179fce3b5232cd86d053c261bfff8057e8f,test,bonafide,ru,unknown,voxforge_ru_mdc_2026_05:contributor:6ab84705e5d695efd532f462bc41ffc7a05f3a097b877dd2b95d168cd9f3b93d,voxforge_ru_mdc_2026_05,GPL-3.0-or-later,Pinned VoxForge Russian GPL-3.0-or-later archive; personal research only,voxforge_ru_mdc_2026_05:contributor:6ab84705e5d695efd532f462bc41ffc7a05f3a097b877dd2b95d168cd9f3b93d,ru_0073,9a173921f0cdb179f2abd90d8c7a2477c3b9e30b1176fb5dfe3aa4b4c3709941,6.375,,,,,,unknown,voxforge_submission_read_speech,48000,wav,,,2026-08-13T18:13:54Z
voxforge_ru_mdc_2026_05:submission:7b7cab5c4a0b8bae0f4c6b2917e91114dca074f2373a28acd48dff92bae5f74d:prompt:ru_0087,processed/f9/f9145fd907ae5e04fe8551e6577125824e9a75b1af8b0275f9f923e806303acd.wav,49eb9ca4ab7baff5a1d5ab52621d13af92780cfccfcf565614327f2a16ce8f93,test,bonafide,ru,unknown,voxforge_ru_mdc_2026_05:contributor:c8da90d2602da6e44edde7bd88315dd1fc592cc187423f7240b7936b8f5deecb,voxforge_ru_mdc_2026_05,GPL-3.0-or-later,Pinned VoxForge Russian GPL-3.0-or-later archive; personal research only,voxforge_ru_mdc_2026_05:contributor:c8da90d2602da6e44edde7bd88315dd1fc592cc187423f7240b7936b8f5deecb,ru_0087,ff5fa09d83d28397669ab1932464a7066485643014a14c3575ef957b496f0bf1,6.5,,,,,,unknown,voxforge_submission_read_speech,48000,wav,,,2026-08-13T18:13:54Z
voxforge_ru_mdc_2026_05:submission:1c9f86fb5c2c48ca091a52282089866bde85fb4f9bc24ea5c18894c321856dc5:prompt:ru_0032,processed/aa/aabe68e81660cea40094430d2101292b99405b53405aa350d4b964d0f5979db1.wav,eeaf196045a32226eaadeebaa78c99b13eabbee7b23b08cbe6f313588dc4b741,test,bonafide,ru,unknown,voxforge_ru_mdc_2026_05:contributor:9a13187d8611c44f6fb02874488aead1b5f66299bb9024e81ba173d0b5defefa,voxforge_ru_mdc_2026_05,GPL-3.0-or-later,Pinned VoxForge Russian GPL-3.0-or-later archive; personal research only,voxforge_ru_mdc_2026_05:contributor:9a13187d8611c44f6fb02874488aead1b5f66299bb9024e81ba173d0b5defefa,ru_0032,c7f27a664bf689206a491808c99d548552fc5c0bfe2fabc6971e653728102da3,10.125,,,,,,unknown,voxforge_submission_read_speech,48000,wav,,,2026-08-13T18:13:54Z
voxforge_ru_mdc_2026_05:submission:a168ed3ff87fbbdfab3187250014e8e61b8a7ba4814722f3aea95539ca9fcf21:prompt:ru_0008,processed/5f/5ff2bfca5884613043bfb84de17f0cc3d3c1935d987ac82033fcc138103df627.wav,8b4c01fdab18823e71212de7248fdc04203681d33b7809fa30a1d45accdb2f12,test,bonafide,ru,unknown,voxforge_ru_mdc_2026_05:contributor:0139bc5debaaa4b84e9341efb6ffa3e470f45a084742310e8f0b63ea83380168,voxforge_ru_mdc_2026_05,GPL-3.0-or-later,Pinned VoxForge Russian GPL-3.0-or-later archive; personal research only,voxforge_ru_mdc_2026_05:contributor:0139bc5debaaa4b84e9341efb6ffa3e470f45a084742310e8f0b63ea83380168,ru_0008,badaef8270a22d017c41d4d66a44e6b18b2d65f8c613d51b93845ffcaedb246b,11.625,,,,,,unknown,voxforge_submission_read_speech,48000,wav,,,2026-08-13T18:13:54Z
voxforge_ru_mdc_2026_05:submission:b3d7a433b57422be9becaf2a3c3a96ca75c59c57f10f58ab327a45615a8340f6:prompt:ru_0017,processed/9b/9b0ad325f0a7f3a0b1d3c5b23fc683e3f3cc88c1c27f703cdc9e5725388da1d0.wav,9eb07fa32b54dd3e3df2898ec93ca715ecfe7f6f2e6f09a605ef787d9e45d66c,test,bonafide,ru,unknown,voxforge_ru_mdc_2026_05:contributor:095168c8f4b81cdeba1ea0152b473065c9155a853104c2fdc798c51d17cf80fb,voxforge_ru_mdc_2026_05,GPL-3.0-or-later,Pinned VoxForge Russian GPL-3.0-or-later archive; personal research only,voxforge_ru_mdc_2026_05:contributor:095168c8f4b81cdeba1ea0152b473065c9155a853104c2fdc798c51d17cf80fb,ru_0017,6a4e6616041d4bd992e610faa136f8292474a422e53bbb581c18ece388f1507f,7.125,,,,,,unknown,voxforge_submission_read_speech,48000,wav,,,2026-08-13T18:13:54Z
